,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00254600,0.00257800,0.00242700,0.00248800,44154.51100000,2019-05-24 08:59:59.999,109.80923787,7758,21304.25600000,53.03610195,0
1,2019-05-24 09:00:00.000,0.00248800,0.00259400,0.00237000,0.00242400,68901.83200000,2019-05-25 08:59:59.999,170.29228963,8967,36802.40100000,90.96069207,0
2,2019-05-25 09:00:00.000,0.00242400,0.00245900,0.00240800,0.00242000,20100.91800000,2019-05-26 08:59:59.999,48.92682077,4325,9399.65300000,22.91437633,0
3,2019-05-26 09:00:00.000,0.00242000,0.00246500,0.00227800,0.00229300,48983.65300000,2019-05-27 08:59:59.999,117.65856095,5820,27566.84900000,66.47443692,0
4,2019-05-27 09:00:00.000,0.00229200,0.00237400,0.00225400,0.00230300,29656.71100000,2019-05-28 08:59:59.999,68.47735530,5928,15505.43300000,35.82413116,0
5,2019-05-28 09:00:00.000,0.00230200,0.00236600,0.00228500,0.00235500,28579.41500000,2019-05-29 08:59:59.999,66.56182895,4431,16001.02800000,37.28625971,0
6,2019-05-29 09:00:00.000,0.00236200,0.00242100,0.00232200,0.00237800,53570.80400000,2019-05-30 08:59:59.999,126.91069235,6515,28818.92600000,68.26812801,0
7,2019-05-30 09:00:00.000,0.00237700,0.00246500,0.00229600,0.00232000,78162.95000000,2019-05-31 08:59:59.999,185.73350138,11120,41178.34400000,98.17868878,0
8,2019-05-31 09:00:00.000,0.00232000,0.00232000,0.00224300,0.00229300,35820.02400000,2019-06-01 08:59:59.999,81.66268999,7086,18517.92200000,42.25732274,0
9,2019-06-01 09:00:00.000,0.00229600,0.00231100,0.00226400,0.00226700,20562.34300000,2019-06-02 08:59:59.999,47.01180105,3997,10303.05500000,23.57396733,0
10,2019-06-02 09:00:00.000,0.00227000,0.00227400,0.00223400,0.00225900,13670.01300000,2019-06-03 08:59:59.999,30.78375373,2764,6579.21500000,14.82109001,0
11,2019-06-03 09:00:00.000,0.00226100,0.00228900,0.00223400,0.00228100,20828.53100000,2019-06-04 08:59:59.999,47.03989114,3577,9937.28600000,22.44486166,0
12,2019-06-04 09:00:00.000,0.00227800,0.00230100,0.00221200,0.00222200,28081.12700000,2019-06-05 08:59:59.999,63.14460960,4833,13355.72700000,30.06742818,0
13,2019-06-05 09:00:00.000,0.00222000,0.00243000,0.00221000,0.00225900,55696.71700000,2019-06-06 08:59:59.999,128.01278366,10106,25955.76300000,59.86241120,0
14,2019-06-06 09:00:00.000,0.00226000,0.00228900,0.00220000,0.00224400,17696.14400000,2019-06-07 08:59:59.999,39.70028802,3525,7571.90200000,17.02161366,0
15,2019-06-07 09:00:00.000,0.00224400,0.00231500,0.00223300,0.00230000,19649.87500000,2019-06-08 08:59:59.999,44.65761996,3701,10307.35500000,23.46285132,0
16,2019-06-08 09:00:00.000,0.00229900,0.00244000,0.00229000,0.00243100,32871.32900000,2019-06-09 08:59:59.999,77.89349069,5719,18304.06200000,43.39066299,0
17,2019-06-09 09:00:00.000,0.00243100,0.00265900,0.00228000,0.00231900,116638.85700000,2019-06-10 08:59:59.999,286.81245105,14167,52790.82500000,129.90944512,0
18,2019-06-10 09:00:00.000,0.00232100,0.00244400,0.00231800,0.00237000,38472.21300000,2019-06-11 08:59:59.999,91.27117650,6535,18878.86000000,44.79879173,0
19,2019-06-11 09:00:00.000,0.00237100,0.00249200,0.00232800,0.00235700,36905.39400000,2019-06-12 08:59:59.999,87.80012484,5315,16700.59500000,39.85452400,0
20,2019-06-12 09:00:00.000,0.00235800,0.00237500,0.00226200,0.00228000,26301.69200000,2019-06-13 08:59:59.999,60.30275498,4137,12524.13700000,28.75909460,0
21,2019-06-13 09:00:00.000,0.00227800,0.00228800,0.00221300,0.00223000,13378.22200000,2019-06-14 08:59:59.999,30.24492453,2724,7112.38300000,16.09771283,0
22,2019-06-14 09:00:00.000,0.00222900,0.00235700,0.00207500,0.00209200,35644.86400000,2019-06-15 08:59:59.999,77.83022849,5869,17187.40900000,37.67496549,0
23,2019-06-15 09:00:00.000,0.00208700,0.00213900,0.00204800,0.00212000,18999.25400000,2019-06-16 08:59:59.999,39.88224344,3083,8429.27200000,17.70269750,0
24,2019-06-16 09:00:00.000,0.00211900,0.00213500,0.00200000,0.00208200,42217.33500000,2019-06-17 08:59:59.999,86.60745178,5521,20799.82200000,42.72769867,0
25,2019-06-17 09:00:00.000,0.00208000,0.00208200,0.00197200,0.00200800,19502.12700000,2019-06-18 08:59:59.999,39.28044011,2979,10600.84000000,21.31477354,0
26,2019-06-18 09:00:00.000,0.00200500,0.00206700,0.00196900,0.00199000,16849.64900000,2019-06-19 08:59:59.999,33.84532403,2997,7650.29600000,15.40246075,0
27,2019-06-19 09:00:00.000,0.00199000,0.00203400,0.00196200,0.00197600,15138.65600000,2019-06-20 08:59:59.999,30.23349976,2476,7109.21400000,14.22171626,0
28,2019-06-20 09:00:00.000,0.00197100,0.00200000,0.00187300,0.00188200,19645.34500000,2019-06-21 08:59:59.999,37.78242981,3618,9860.72600000,19.01208443,0
29,2019-06-21 09:00:00.000,0.00188100,0.00189900,0.00178300,0.00178300,12470.47800000,2019-06-22 08:59:59.999,22.97432526,2491,4668.44400000,8.61943963,0
30,2019-06-22 09:00:00.000,0.00178300,0.00179700,0.00164100,0.00172900,31707.59000000,2019-06-23 08:59:59.999,54.52582120,4660,14245.56200000,24.49313404,0
31,2019-06-23 09:00:00.000,0.00173100,0.00174900,0.00162700,0.00167400,17667.39200000,2019-06-24 08:59:59.999,29.97101138,3097,9589.19200000,16.25025033,0
