,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00006760,0.00007450,0.00006520,0.00006710,3397238.06000000,2019-05-24 08:59:59.999,236.98294614,10364,1578308.22000000,110.42691150,0
1,2019-05-24 09:00:00.000,0.00006710,0.00007050,0.00006360,0.00006460,2065282.32000000,2019-05-25 08:59:59.999,138.96027465,6945,712852.79000000,48.17484184,0
2,2019-05-25 09:00:00.000,0.00006460,0.00006500,0.00006280,0.00006380,950496.14000000,2019-05-26 08:59:59.999,60.74972466,3058,505066.96000000,32.38165559,0
3,2019-05-26 09:00:00.000,0.00006370,0.00006440,0.00005500,0.00005500,1014350.61000000,2019-05-27 08:59:59.999,60.42006708,3845,407555.93000000,24.33285068,0
4,2019-05-27 09:00:00.000,0.00005510,0.00006070,0.00005150,0.00005530,2231359.72000000,2019-05-28 08:59:59.999,123.26072106,8310,997701.50000000,55.11419162,0
5,2019-05-28 09:00:00.000,0.00005540,0.00005950,0.00005370,0.00005560,971955.61000000,2019-05-29 08:59:59.999,54.48119200,3782,430486.76000000,24.17395302,0
6,2019-05-29 09:00:00.000,0.00005540,0.00005710,0.00004810,0.00005140,2063450.25000000,2019-05-30 08:59:59.999,109.29806027,5607,764260.47000000,40.75482797,0
7,2019-05-30 09:00:00.000,0.00005140,0.00005730,0.00004950,0.00005090,3371556.32000000,2019-05-31 08:59:59.999,178.89312755,9162,1470474.35000000,78.21542337,0
8,2019-05-31 09:00:00.000,0.00005090,0.00005430,0.00005060,0.00005160,1636241.22000000,2019-06-01 08:59:59.999,85.19254043,4554,774412.24000000,40.41908653,0
9,2019-06-01 09:00:00.000,0.00005160,0.00005230,0.00004970,0.00005000,1260466.32000000,2019-06-02 08:59:59.999,63.88258310,3442,530631.78000000,26.99903678,0
10,2019-06-02 09:00:00.000,0.00005000,0.00005430,0.00004970,0.00005380,1958509.16000000,2019-06-03 08:59:59.999,102.63951065,5369,976041.43000000,51.20699610,0
11,2019-06-03 09:00:00.000,0.00005380,0.00005630,0.00005100,0.00005400,2055151.43000000,2019-06-04 08:59:59.999,110.54720702,5829,851643.54000000,45.88895318,0
12,2019-06-04 09:00:00.000,0.00005390,0.00005840,0.00005210,0.00005410,2662236.76000000,2019-06-05 08:59:59.999,148.05343839,7732,1167108.26000000,65.01110761,0
13,2019-06-05 09:00:00.000,0.00005410,0.00005420,0.00005200,0.00005270,871262.69000000,2019-06-06 08:59:59.999,46.25747946,2328,328161.35000000,17.46298535,0
14,2019-06-06 09:00:00.000,0.00005270,0.00005760,0.00005180,0.00005300,2034403.19000000,2019-06-07 08:59:59.999,109.48134793,5447,851543.63000000,46.26220363,0
15,2019-06-07 09:00:00.000,0.00005300,0.00005410,0.00005250,0.00005330,654791.53000000,2019-06-08 08:59:59.999,34.92307688,1826,259673.28000000,13.88452257,0
16,2019-06-08 09:00:00.000,0.00005340,0.00005550,0.00005310,0.00005430,979938.74000000,2019-06-09 08:59:59.999,53.36416372,2486,529745.68000000,28.87526117,0
17,2019-06-09 09:00:00.000,0.00005430,0.00005610,0.00005400,0.00005470,734936.22000000,2019-06-10 08:59:59.999,40.45003476,2330,328753.13000000,18.11626223,0
18,2019-06-10 09:00:00.000,0.00005470,0.00005940,0.00005460,0.00005860,1777504.48000000,2019-06-11 08:59:59.999,101.43508145,5773,920411.74000000,52.57510364,0
19,2019-06-11 09:00:00.000,0.00005870,0.00006150,0.00005730,0.00005850,1959045.85000000,2019-06-12 08:59:59.999,116.48464404,5827,921737.90000000,54.94159308,0
20,2019-06-12 09:00:00.000,0.00005850,0.00005930,0.00005550,0.00005610,1160191.95000000,2019-06-13 08:59:59.999,66.39778459,6372,580635.23000000,33.27545294,0
21,2019-06-13 09:00:00.000,0.00005650,0.00005760,0.00005380,0.00005420,1133381.31000000,2019-06-14 08:59:59.999,62.67978806,4832,567410.22000000,31.42791330,0
22,2019-06-14 09:00:00.000,0.00005420,0.00005450,0.00004750,0.00004840,1438195.88000000,2019-06-15 08:59:59.999,72.38018663,4198,621289.40000000,31.38014514,0
23,2019-06-15 09:00:00.000,0.00004830,0.00005970,0.00004530,0.00004600,5595324.19000000,2019-06-16 08:59:59.999,288.33984999,14086,2539580.31000000,132.66468632,0
24,2019-06-16 09:00:00.000,0.00004600,0.00004660,0.00004240,0.00004450,1259567.45000000,2019-06-17 08:59:59.999,56.40075766,3720,549954.80000000,24.73043442,0
25,2019-06-17 09:00:00.000,0.00004470,0.00004670,0.00004160,0.00004210,1449526.06000000,2019-06-18 08:59:59.999,63.90069462,3851,598475.58000000,26.49023834,0
26,2019-06-18 09:00:00.000,0.00004210,0.00004310,0.00004140,0.00004290,913030.28000000,2019-06-19 08:59:59.999,38.65548176,2031,371648.72000000,15.77242791,0
27,2019-06-19 09:00:00.000,0.00004260,0.00004310,0.00004150,0.00004190,985640.04000000,2019-06-20 08:59:59.999,41.58693053,1985,444058.12000000,18.79594453,0
28,2019-06-20 09:00:00.000,0.00004190,0.00004290,0.00003670,0.00003720,2058572.65000000,2019-06-21 08:59:59.999,82.99131357,4994,813933.37000000,33.11612381,0
29,2019-06-21 09:00:00.000,0.00003720,0.00003730,0.00003270,0.00003310,1382518.20000000,2019-06-22 08:59:59.999,49.15780981,3218,542890.63000000,19.37077272,0
30,2019-06-22 09:00:00.000,0.00003310,0.00003350,0.00002890,0.00003160,1521605.79000000,2019-06-23 08:59:59.999,47.40820679,3355,708792.66000000,22.06652618,0
31,2019-06-23 09:00:00.000,0.00003170,0.00003550,0.00002890,0.00003090,2242588.29000000,2019-06-24 08:59:59.999,72.26030553,4805,993910.75000000,32.05823016,0
32,2019-06-24 09:00:00.000,0.00003100,0.00003160,0.00002950,0.00003020,529629.33000000,2019-06-25 08:59:59.999,16.18371041,1409,206854.66000000,6.34079794,0
33,2019-06-25 09:00:00.000,0.00003010,0.00003010,0.00002650,0.00002660,1382313.01000000,2019-06-26 08:59:59.999,38.61666368,2875,500686.90000000,14.03687712,0
34,2019-06-26 09:00:00.000,0.00002660,0.00004200,0.00002580,0.00003250,17349857.24000000,2019-06-27 08:59:59.999,578.90585472,33445,8218717.16000000,276.20263602,0
35,2019-06-27 09:00:00.000,0.00003260,0.00003740,0.00002710,0.00003220,10815300.54000000,2019-06-28 08:59:59.999,347.29062815,19435,5342029.93000000,172.18657029,0
36,2019-06-28 09:00:00.000,0.00003230,0.00003410,0.00002930,0.00003130,4492449.98000000,2019-06-29 08:59:59.999,143.03167186,7895,2160936.43000000,69.14809524,0
37,2019-06-29 09:00:00.000,0.00003140,0.00003480,0.00003060,0.00003320,3361662.87000000,2019-06-30 08:59:59.999,109.60537098,5634,1714346.22000000,56.02084904,0
38,2019-06-30 09:00:00.000,0.00003320,0.00003540,0.00003210,0.00003490,3391128.56000000,2019-07-01 08:59:59.999,115.57998716,4518,2246724.37000000,76.84975572,0
39,2019-07-01 09:00:00.000,0.00003470,0.00003800,0.00003460,0.00003690,1720494.93000000,2019-07-02 08:59:59.999,62.64001375,4010,886008.03000000,32.26575159,0
40,2019-07-02 09:00:00.000,0.00003690,0.00003760,0.00003150,0.00003230,1790812.16000000,2019-07-03 08:59:59.999,61.56869270,4059,740609.78000000,25.47651241,0
41,2019-07-03 09:00:00.000,0.00003240,0.00003250,0.00002880,0.00002900,1534345.26000000,2019-07-04 08:59:59.999,47.36633302,3554,651389.83000000,20.20523312,0
42,2019-07-04 09:00:00.000,0.00002890,0.00003210,0.00002850,0.00003150,1065919.15000000,2019-07-05 08:59:59.999,32.08744854,2531,472877.92000000,14.26224760,0
43,2019-07-05 09:00:00.000,0.00003150,0.00003210,0.00003060,0.00003150,380197.90000000,2019-07-06 08:59:59.999,11.92408699,970,128035.80000000,4.01713165,0
44,2019-07-06 09:00:00.000,0.00003160,0.00003350,0.00003060,0.00003220,768944.95000000,2019-07-07 08:59:59.999,24.79941142,1641,338055.67000000,10.90805621,0
45,2019-07-07 09:00:00.000,0.00003230,0.00003230,0.00003070,0.00003120,540641.16000000,2019-07-08 08:59:59.999,17.11563132,1119,223707.33000000,7.09654876,0
46,2019-07-08 09:00:00.000,0.00003120,0.00003130,0.00002710,0.00002740,745950.26000000,2019-07-09 08:59:59.999,21.47953354,1676,357527.85000000,10.30664361,0
47,2019-07-09 09:00:00.000,0.00002750,0.00002920,0.00002560,0.00002600,812471.63000000,2019-07-10 08:59:59.999,22.18485351,2093,347956.43000000,9.55479424,0
48,2019-07-10 09:00:00.000,0.00002610,0.00002610,0.00002280,0.00002470,2211270.05000000,2019-07-11 08:59:59.999,52.84914655,4237,1014156.90000000,24.30432988,0
49,2019-07-11 09:00:00.000,0.00002470,0.00002590,0.00002380,0.00002410,583350.27000000,2019-07-12 08:59:59.999,14.32750421,1743,255016.96000000,6.27260653,0
50,2019-07-12 09:00:00.000,0.00002410,0.00002810,0.00002390,0.00002530,825253.87000000,2019-07-13 08:59:59.999,20.84746754,2496,395294.19000000,10.03192782,0
51,2019-07-13 09:00:00.000,0.00002520,0.00003090,0.00002520,0.00002670,1543950.05000000,2019-07-14 08:59:59.999,43.10167879,4397,733396.79000000,20.54715588,0
52,2019-07-14 09:00:00.000,0.00002680,0.00003010,0.00002630,0.00002780,918161.05000000,2019-07-15 08:59:59.999,25.82175091,3092,420434.40000000,11.87881623,0
53,2019-07-15 09:00:00.000,0.00002780,0.00003000,0.00002610,0.00002660,1031954.31000000,2019-07-16 08:59:59.999,28.74583615,3167,442256.32000000,12.37011558,0
54,2019-07-16 09:00:00.000,0.00002660,0.00002890,0.00002560,0.00002740,1280221.88000000,2019-07-17 08:59:59.999,34.06246229,3550,582286.45000000,15.65878450,0
55,2019-07-17 09:00:00.000,0.00002730,0.00002800,0.00002670,0.00002720,400350.48000000,2019-07-18 08:59:59.999,10.98895946,1394,178626.60000000,4.92896394,0
56,2019-07-18 09:00:00.000,0.00002730,0.00002760,0.00002550,0.00002570,266268.17000000,2019-07-19 08:59:59.999,7.03056929,1174,121841.81000000,3.21970101,0
57,2019-07-19 09:00:00.000,0.00002560,0.00002830,0.00002490,0.00002610,778567.72000000,2019-07-20 08:59:59.999,20.78201979,1779,433011.17000000,11.61340098,0
58,2019-07-20 09:00:00.000,0.00002610,0.00002780,0.00002560,0.00002620,297392.13000000,2019-07-21 08:59:59.999,8.00749569,949,139568.11000000,3.77602018,0
59,2019-07-21 09:00:00.000,0.00002640,0.00002680,0.00002590,0.00002600,129262.12000000,2019-07-22 08:59:59.999,3.39054058,600,54222.54000000,1.42623871,0
60,2019-07-22 09:00:00.000,0.00002610,0.00002750,0.00002580,0.00002670,378403.30000000,2019-07-23 08:59:59.999,9.99286457,1192,176330.03000000,4.66531813,0
61,2019-07-23 09:00:00.000,0.00002660,0.00002690,0.00002590,0.00002640,266239.00000000,2019-07-24 08:59:59.999,7.02154387,722,79125.79000000,2.09517472,0
62,2019-07-24 09:00:00.000,0.00002610,0.00002750,0.00002550,0.00002730,256657.02000000,2019-07-25 08:59:59.999,6.84205435,763,129699.87000000,3.46658625,0
63,2019-07-25 09:00:00.000,0.00002720,0.00003110,0.00002660,0.00002980,1112814.09000000,2019-07-26 08:59:59.999,31.96702102,2801,563605.46000000,16.27851586,0
64,2019-07-26 09:00:00.000,0.00002980,0.00003090,0.00002860,0.00002980,522486.33000000,2019-07-27 08:59:59.999,15.45387284,2073,191899.12000000,5.70245878,0
65,2019-07-27 09:00:00.000,0.00002990,0.00003070,0.00002880,0.00002950,413923.74000000,2019-07-28 08:59:59.999,12.28587331,1213,248035.99000000,7.38212246,0
66,2019-07-28 09:00:00.000,0.00002950,0.00003030,0.00002890,0.00002960,251526.22000000,2019-07-29 08:59:59.999,7.41459596,696,104131.46000000,3.07790974,0
67,2019-07-29 09:00:00.000,0.00002960,0.00003470,0.00002920,0.00003160,2003519.59000000,2019-07-30 08:59:59.999,64.05949424,5519,1032261.30000000,33.03435904,0
68,2019-07-30 09:00:00.000,0.00003160,0.00003170,0.00002870,0.00002940,497992.64000000,2019-07-31 08:59:59.999,14.85853691,1589,198859.96000000,5.91286384,0
69,2019-07-31 09:00:00.000,0.00002920,0.00002940,0.00002610,0.00002650,575946.52000000,2019-08-01 08:59:59.999,15.76567207,2205,233150.25000000,6.39162427,0
70,2019-08-01 09:00:00.000,0.00002650,0.00003590,0.00002620,0.00002890,2594549.82000000,2019-08-02 08:59:59.999,77.18687828,6927,1333708.62000000,39.66184569,0
71,2019-08-02 09:00:00.000,0.00002900,0.00003350,0.00002760,0.00002800,2649748.99000000,2019-08-03 08:59:59.999,80.27116939,8712,1169058.99000000,35.64049604,0
72,2019-08-03 09:00:00.000,0.00002780,0.00002840,0.00002750,0.00002820,353221.46000000,2019-08-04 08:59:59.999,9.80641369,849,144340.03000000,4.02469123,0
73,2019-08-04 09:00:00.000,0.00002820,0.00003000,0.00002740,0.00002770,493832.52000000,2019-08-05 08:59:59.999,14.19538352,1547,197430.04000000,5.69816420,0
74,2019-08-05 09:00:00.000,0.00002770,0.00002770,0.00002450,0.00002490,429242.81000000,2019-08-06 08:59:59.999,11.03170262,1467,216305.36000000,5.55459786,0
75,2019-08-06 09:00:00.000,0.00002490,0.00002700,0.00002290,0.00002600,862342.27000000,2019-08-07 08:59:59.999,21.81626517,2387,442893.64000000,11.25530238,0
76,2019-08-07 09:00:00.000,0.00002600,0.00002700,0.00002420,0.00002450,491332.59000000,2019-08-08 08:59:59.999,12.66745183,1767,195425.25000000,5.07322839,0
77,2019-08-08 09:00:00.000,0.00002440,0.00002520,0.00002320,0.00002320,422763.74000000,2019-08-09 08:59:59.999,10.17222299,1474,176015.44000000,4.23837710,0
78,2019-08-09 09:00:00.000,0.00002330,0.00002370,0.00002160,0.00002160,483372.36000000,2019-08-10 08:59:59.999,10.99437268,1730,212564.86000000,4.84909953,0
79,2019-08-10 09:00:00.000,0.00002180,0.00002350,0.00002160,0.00002280,267241.12000000,2019-08-11 08:59:59.999,5.97542058,706,139647.59000000,3.13644666,0
80,2019-08-11 09:00:00.000,0.00002260,0.00002370,0.00002200,0.00002220,262940.12000000,2019-08-12 08:59:59.999,5.99611424,801,97774.35000000,2.23509369,0
81,2019-08-12 09:00:00.000,0.00002230,0.00002370,0.00002210,0.00002240,310834.17000000,2019-08-13 08:59:59.999,7.08788795,904,132279.92000000,3.02414284,0
82,2019-08-13 09:00:00.000,0.00002260,0.00002360,0.00002240,0.00002350,363041.58000000,2019-08-14 08:59:59.999,8.30385972,776,160367.67000000,3.68710565,0
83,2019-08-14 09:00:00.000,0.00002350,0.00002370,0.00002070,0.00002230,891274.96000000,2019-08-15 08:59:59.999,20.04739924,2011,318685.84000000,7.16304559,0
84,2019-08-15 09:00:00.000,0.00002240,0.00002250,0.00002090,0.00002130,419039.64000000,2019-08-16 08:59:59.999,9.03276361,891,164265.20000000,3.55988137,0
85,2019-08-16 09:00:00.000,0.00002130,0.00002250,0.00002020,0.00002090,500053.68000000,2019-08-17 08:59:59.999,10.64871544,1155,186440.06000000,3.99713493,0
86,2019-08-17 09:00:00.000,0.00002100,0.00002570,0.00002090,0.00002210,1605142.03000000,2019-08-18 08:59:59.999,36.83567159,3197,756226.34000000,17.41897601,0
87,2019-08-18 09:00:00.000,0.00002210,0.00002310,0.00002200,0.00002250,514087.73000000,2019-08-19 08:59:59.999,11.60102333,1049,244271.20000000,5.51650582,0
88,2019-08-19 09:00:00.000,0.00002260,0.00002260,0.00002090,0.00002090,770753.18000000,2019-08-20 08:59:59.999,16.49127894,1515,391198.95000000,8.37255901,0
89,2019-08-20 09:00:00.000,0.00002090,0.00002140,0.00002060,0.00002070,338966.99000000,2019-08-21 08:59:59.999,7.11774379,628,131056.87000000,2.77018334,0
90,2019-08-21 09:00:00.000,0.00002070,0.00002190,0.00002060,0.00002140,390326.98000000,2019-08-22 08:59:59.999,8.29471080,1019,170129.87000000,3.62101374,0
91,2019-08-22 09:00:00.000,0.00002150,0.00002300,0.00001940,0.00002210,1271062.94000000,2019-08-23 08:59:59.999,27.34397482,2397,584062.65000000,12.68178296,0
92,2019-08-23 09:00:00.000,0.00002220,0.00002250,0.00002090,0.00002130,533635.30000000,2019-08-24 08:59:59.999,11.51353033,1179,183898.85000000,3.97577123,0
93,2019-08-24 09:00:00.000,0.00002130,0.00002460,0.00002120,0.00002420,1119532.51000000,2019-08-25 08:59:59.999,25.77750504,2436,629994.41000000,14.47118627,0
94,2019-08-25 09:00:00.000,0.00002420,0.00002440,0.00002200,0.00002230,997031.74000000,2019-08-26 08:59:59.999,23.10207022,2045,527470.05000000,12.26891614,0
95,2019-08-26 09:00:00.000,0.00002250,0.00002280,0.00002090,0.00002230,463321.77000000,2019-08-27 08:59:59.999,10.09776608,1407,237577.74000000,5.19972193,0
96,2019-08-27 09:00:00.000,0.00002210,0.00002260,0.00002210,0.00002240,154893.83000000,2019-08-28 08:59:59.999,3.45951541,390,65728.12000000,1.47145791,0
97,2019-08-28 09:00:00.000,0.00002230,0.00002250,0.00002040,0.00002160,710993.22000000,2019-08-29 08:59:59.999,15.21333180,1532,249995.94000000,5.39064233,0
98,2019-08-29 09:00:00.000,0.00002190,0.00002190,0.00002100,0.00002130,290295.65000000,2019-08-30 08:59:59.999,6.22213094,764,100822.49000000,2.17388582,0
99,2019-08-30 09:00:00.000,0.00002140,0.00002180,0.00002070,0.00002070,332029.27000000,2019-08-31 08:59:59.999,7.04157344,860,131916.93000000,2.81538047,0
100,2019-08-31 09:00:00.000,0.00002080,0.00002230,0.00002070,0.00002140,343671.02000000,2019-09-01 08:59:59.999,7.42150937,768,139471.34000000,3.00200068,0
101,2019-09-01 09:00:00.000,0.00002140,0.00002150,0.00002020,0.00002050,177093.62000000,2019-09-02 08:59:59.999,3.67145624,504,42575.50000000,0.89237613,0
