,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-08-25 09:00:00.000,0.00000186,0.00000262,0.00000186,0.00000248,529383445.00000000,2020-08-26 08:59:59.999,1207.00785405,46337,236190302.00000000,539.55269565,0
1,2020-08-26 09:00:00.000,0.00000248,0.00000256,0.00000214,0.00000221,237660907.00000000,2020-08-27 08:59:59.999,553.93584520,31998,107445759.00000000,250.80172269,0
2,2020-08-27 09:00:00.000,0.00000222,0.00000234,0.00000197,0.00000213,157702484.00000000,2020-08-28 08:59:59.999,341.84298059,21892,69085222.00000000,150.35864449,0
3,2020-08-28 09:00:00.000,0.00000212,0.00000243,0.00000212,0.00000224,99633528.00000000,2020-08-29 08:59:59.999,228.23591940,20290,47327555.00000000,108.71539035,0
4,2020-08-29 09:00:00.000,0.00000224,0.00000233,0.00000203,0.00000213,114143972.00000000,2020-08-30 08:59:59.999,246.39451135,16201,49683305.00000000,107.76139899,0
5,2020-08-30 09:00:00.000,0.00000213,0.00000238,0.00000204,0.00000231,161090149.00000000,2020-08-31 08:59:59.999,352.30836948,19578,69934079.00000000,154.37291492,0
6,2020-08-31 09:00:00.000,0.00000232,0.00000273,0.00000230,0.00000244,265443250.00000000,2020-09-01 08:59:59.999,670.32113276,38010,126911065.00000000,321.69625815,0
7,2020-09-01 09:00:00.000,0.00000244,0.00000246,0.00000220,0.00000231,113044388.00000000,2020-09-02 08:59:59.999,261.07653684,24052,51542620.00000000,119.30203383,0
8,2020-09-02 09:00:00.000,0.00000231,0.00000263,0.00000221,0.00000239,125951423.00000000,2020-09-03 08:59:59.999,303.91144386,26552,57002041.00000000,138.10477020,0
9,2020-09-03 09:00:00.000,0.00000239,0.00000242,0.00000187,0.00000194,131719200.00000000,2020-09-04 08:59:59.999,280.16904502,23797,55676973.00000000,119.08118499,0
10,2020-09-04 09:00:00.000,0.00000194,0.00000210,0.00000175,0.00000191,108473322.00000000,2020-09-05 08:59:59.999,208.20976802,14322,51575675.00000000,99.35921982,0
11,2020-09-05 09:00:00.000,0.00000191,0.00000212,0.00000140,0.00000162,101910271.00000000,2020-09-06 08:59:59.999,179.01213563,15288,40471288.00000000,72.76411817,0
12,2020-09-06 09:00:00.000,0.00000162,0.00000188,0.00000145,0.00000182,69780791.00000000,2020-09-07 08:59:59.999,118.58907254,14362,33770004.00000000,57.52218698,0
13,2020-09-07 09:00:00.000,0.00000182,0.00000183,0.00000145,0.00000159,77763780.00000000,2020-09-08 08:59:59.999,124.41105176,9440,35939658.00000000,57.81825648,0
14,2020-09-08 09:00:00.000,0.00000159,0.00000170,0.00000147,0.00000157,108932925.00000000,2020-09-09 08:59:59.999,172.83093673,13746,51299140.00000000,81.68810375,0
15,2020-09-09 09:00:00.000,0.00000157,0.00000185,0.00000153,0.00000176,81093435.00000000,2020-09-10 08:59:59.999,135.69249136,11198,42248997.00000000,71.05541854,0
16,2020-09-10 09:00:00.000,0.00000176,0.00000177,0.00000163,0.00000169,60750361.00000000,2020-09-11 08:59:59.999,103.24393538,8427,27709536.00000000,47.26488221,0
17,2020-09-11 09:00:00.000,0.00000168,0.00000169,0.00000155,0.00000163,47659942.00000000,2020-09-12 08:59:59.999,77.07887138,6694,20662689.00000000,33.55164875,0
18,2020-09-12 09:00:00.000,0.00000163,0.00000180,0.00000160,0.00000174,54130698.00000000,2020-09-13 08:59:59.999,91.58254530,7853,26414153.00000000,44.90258560,0
19,2020-09-13 09:00:00.000,0.00000174,0.00000178,0.00000158,0.00000163,53577441.00000000,2020-09-14 08:59:59.999,90.08093616,8831,22492427.00000000,37.91871016,0
20,2020-09-14 09:00:00.000,0.00000165,0.00000168,0.00000156,0.00000160,34228817.00000000,2020-09-15 08:59:59.999,55.07906601,4861,13702997.00000000,22.11274720,0
21,2020-09-15 09:00:00.000,0.00000159,0.00000159,0.00000131,0.00000136,65419945.00000000,2020-09-16 08:59:59.999,93.92421885,5770,24257692.00000000,34.90407036,0
22,2020-09-16 09:00:00.000,0.00000135,0.00000141,0.00000123,0.00000129,58200105.00000000,2020-09-17 08:59:59.999,75.95177566,6265,24718694.00000000,32.37011048,0
23,2020-09-17 09:00:00.000,0.00000129,0.00000139,0.00000122,0.00000127,46105513.00000000,2020-09-18 08:59:59.999,59.58750340,5403,20137965.00000000,26.13035306,0
24,2020-09-18 09:00:00.000,0.00000127,0.00000131,0.00000118,0.00000123,50765825.00000000,2020-09-19 08:59:59.999,63.30768395,4307,22485766.00000000,28.12246054,0
25,2020-09-19 09:00:00.000,0.00000124,0.00000137,0.00000119,0.00000137,41395702.00000000,2020-09-20 08:59:59.999,52.12476242,3775,19402468.00000000,24.58158539,0
26,2020-09-20 09:00:00.000,0.00000137,0.00000144,0.00000124,0.00000128,52572377.00000000,2020-09-21 08:59:59.999,70.54125966,6484,26349030.00000000,35.58910200,0
27,2020-09-21 09:00:00.000,0.00000127,0.00000150,0.00000115,0.00000124,218819169.00000000,2020-09-22 08:59:59.999,283.12980970,12219,141776926.00000000,185.18561301,0
28,2020-09-22 09:00:00.000,0.00000123,0.00000128,0.00000118,0.00000121,30702643.00000000,2020-09-23 08:59:59.999,37.84943891,3304,13968764.00000000,17.30265315,0
29,2020-09-23 09:00:00.000,0.00000121,0.00000123,0.00000098,0.00000103,93298165.00000000,2020-09-24 08:59:59.999,104.54237523,7103,39468734.00000000,44.39114023,0
30,2020-09-24 09:00:00.000,0.00000103,0.00000124,0.00000102,0.00000121,228303483.00000000,2020-09-25 08:59:59.999,255.75357699,8637,171053360.00000000,192.35380237,0
31,2020-09-25 09:00:00.000,0.00000120,0.00000122,0.00000110,0.00000117,46470673.00000000,2020-09-26 08:59:59.999,53.53641390,4203,19555814.00000000,22.63798316,0
32,2020-09-26 09:00:00.000,0.00000117,0.00000122,0.00000113,0.00000115,28861151.00000000,2020-09-27 08:59:59.999,33.84399507,2746,12858026.00000000,15.17601887,0
33,2020-09-27 09:00:00.000,0.00000114,0.00000123,0.00000106,0.00000109,57590252.00000000,2020-09-28 08:59:59.999,64.65936936,3798,19980494.00000000,22.67389585,0
34,2020-09-28 09:00:00.000,0.00000108,0.00000110,0.00000099,0.00000100,73515029.00000000,2020-09-29 08:59:59.999,76.11516908,4687,36578547.00000000,37.93144254,0
35,2020-09-29 09:00:00.000,0.00000100,0.00000103,0.00000085,0.00000097,153724668.00000000,2020-09-30 08:59:59.999,145.01835413,6905,69955241.00000000,66.13410724,0
36,2020-09-30 09:00:00.000,0.00000097,0.00000098,0.00000084,0.00000089,117779959.00000000,2020-10-01 08:59:59.999,104.89853818,6220,53967204.00000000,48.20931163,0
37,2020-10-01 09:00:00.000,0.00000089,0.00000099,0.00000088,0.00000094,93341244.00000000,2020-10-02 08:59:59.999,87.52024629,5817,46548121.00000000,44.02067435,0
38,2020-10-02 09:00:00.000,0.00000094,0.00000094,0.00000080,0.00000084,92596805.00000000,2020-10-03 08:59:59.999,78.79704154,5940,36281672.00000000,30.84702694,0
39,2020-10-03 09:00:00.000,0.00000083,0.00000087,0.00000081,0.00000086,34844820.00000000,2020-10-04 08:59:59.999,29.19638529,1770,14831668.00000000,12.52758887,0
