,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-07-24 09:00:00.000,0.00005635,0.00008713,0.00005635,0.00006430,18641948.00000000,2020-07-25 08:59:59.999,1317.43444677,51539,8215801.00000000,582.71905930,0
1,2020-07-25 09:00:00.000,0.00006430,0.00007355,0.00005407,0.00005466,9340262.00000000,2020-07-26 08:59:59.999,618.18591147,33136,4240479.00000000,282.53121523,0
2,2020-07-26 09:00:00.000,0.00005499,0.00006734,0.00004831,0.00005024,5975448.00000000,2020-07-27 08:59:59.999,344.96443070,22003,2486978.00000000,144.25741803,0
3,2020-07-27 09:00:00.000,0.00005026,0.00005093,0.00003564,0.00003903,8482630.00000000,2020-07-28 08:59:59.999,371.32265106,25296,3962251.00000000,174.34488853,0
4,2020-07-28 09:00:00.000,0.00003890,0.00005230,0.00003800,0.00004543,6588091.00000000,2020-07-29 08:59:59.999,306.71351329,21047,2957140.00000000,138.25440367,0
5,2020-07-29 09:00:00.000,0.00004531,0.00005499,0.00004220,0.00004531,5766543.00000000,2020-07-30 08:59:59.999,277.15651513,21421,2431747.00000000,118.52636329,0
6,2020-07-30 09:00:00.000,0.00004537,0.00005299,0.00004365,0.00004402,2942643.00000000,2020-07-31 08:59:59.999,141.65620598,10831,1062497.00000000,51.18773743,0
7,2020-07-31 09:00:00.000,0.00004401,0.00004689,0.00004002,0.00004060,2583035.00000000,2020-08-01 08:59:59.999,110.79913978,11291,871505.00000000,37.46855471,0
8,2020-08-01 09:00:00.000,0.00004045,0.00004417,0.00003744,0.00003774,2361480.00000000,2020-08-02 08:59:59.999,94.76823231,9322,873734.00000000,35.34598302,0
9,2020-08-02 09:00:00.000,0.00003777,0.00004417,0.00003636,0.00004340,2752565.00000000,2020-08-03 08:59:59.999,109.53486286,8966,1109552.00000000,44.99411349,0
10,2020-08-03 09:00:00.000,0.00004315,0.00004575,0.00003869,0.00004083,2209205.00000000,2020-08-04 08:59:59.999,91.72993955,7867,779106.00000000,32.40990310,0
11,2020-08-04 09:00:00.000,0.00004076,0.00004590,0.00003999,0.00004508,2526386.00000000,2020-08-05 08:59:59.999,107.57853207,7369,1216276.00000000,51.86323834,0
12,2020-08-05 09:00:00.000,0.00004531,0.00005639,0.00004373,0.00004733,6643517.00000000,2020-08-06 08:59:59.999,329.58926224,25627,2983519.00000000,148.94538174,0
13,2020-08-06 09:00:00.000,0.00004740,0.00005249,0.00004373,0.00004968,2982562.00000000,2020-08-07 08:59:59.999,143.53509015,13673,1350438.00000000,65.25018259,0
14,2020-08-07 09:00:00.000,0.00004977,0.00005368,0.00004798,0.00005046,2393235.00000000,2020-08-08 08:59:59.999,121.26177472,10645,1148578.00000000,58.58569308,0
15,2020-08-08 09:00:00.000,0.00005047,0.00006030,0.00005038,0.00005620,3532068.00000000,2020-08-09 08:59:59.999,198.84384182,16803,1671988.00000000,94.13117113,0
16,2020-08-09 09:00:00.000,0.00005621,0.00006936,0.00005356,0.00006648,2792734.00000000,2020-08-10 08:59:59.999,169.50546404,15654,1283193.00000000,77.74174834,0
17,2020-08-10 09:00:00.000,0.00006652,0.00007985,0.00006001,0.00006626,5817460.00000000,2020-08-11 08:59:59.999,405.75713749,29172,2301168.00000000,161.88990476,0
18,2020-08-11 09:00:00.000,0.00006660,0.00006999,0.00006070,0.00006723,3438752.00000000,2020-08-12 08:59:59.999,222.57198989,17691,1444123.00000000,94.08392614,0
19,2020-08-12 09:00:00.000,0.00006724,0.00008117,0.00006407,0.00007760,3336056.00000000,2020-08-13 08:59:59.999,237.16096155,21184,1465736.00000000,106.64973975,0
20,2020-08-13 09:00:00.000,0.00007724,0.00008128,0.00006900,0.00007112,2876354.00000000,2020-08-14 08:59:59.999,215.06535017,18757,1212080.00000000,91.32561592,0
21,2020-08-14 09:00:00.000,0.00007106,0.00008700,0.00006632,0.00008191,3173577.00000000,2020-08-15 08:59:59.999,252.69875097,23585,1661879.00000000,133.03804628,0
