,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000669,0.00000721,0.00000646,0.00000665,121023432.00000000,2019-05-24 08:59:59.999,821.40921042,22967,51738828.00000000,353.01033938,0
1,2019-05-24 09:00:00.000,0.00000665,0.00000701,0.00000634,0.00000654,105221305.00000000,2019-05-25 08:59:59.999,705.35024423,18547,43753000.00000000,293.65886841,0
2,2019-05-25 09:00:00.000,0.00000652,0.00000664,0.00000637,0.00000646,37973233.00000000,2019-05-26 08:59:59.999,245.42617952,6833,15853555.00000000,102.56780497,0
3,2019-05-26 09:00:00.000,0.00000646,0.00000734,0.00000639,0.00000657,194067026.00000000,2019-05-27 08:59:59.999,1308.84659206,36905,91156558.00000000,616.89621664,0
4,2019-05-27 09:00:00.000,0.00000657,0.00000662,0.00000590,0.00000608,129490756.00000000,2019-05-28 08:59:59.999,806.12404000,27126,52374249.00000000,326.19398916,0
5,2019-05-28 09:00:00.000,0.00000608,0.00000635,0.00000598,0.00000627,89310341.00000000,2019-05-29 08:59:59.999,550.27823342,16840,40893170.00000000,252.43976924,0
6,2019-05-29 09:00:00.000,0.00000629,0.00000676,0.00000608,0.00000646,142826050.00000000,2019-05-30 08:59:59.999,910.84057169,26310,69040658.00000000,440.68309160,0
7,2019-05-30 09:00:00.000,0.00000645,0.00000735,0.00000620,0.00000659,346553655.00000000,2019-05-31 08:59:59.999,2351.23973588,52324,157322993.00000000,1072.86724261,0
8,2019-05-31 09:00:00.000,0.00000657,0.00000750,0.00000649,0.00000704,252943025.00000000,2019-06-01 08:59:59.999,1785.17243935,41918,125134139.00000000,883.90344674,0
9,2019-06-01 09:00:00.000,0.00000703,0.00000833,0.00000700,0.00000828,314079532.00000000,2019-06-02 08:59:59.999,2418.38378941,54521,162924477.00000000,1257.99914311,0
10,2019-06-02 09:00:00.000,0.00000828,0.00000937,0.00000775,0.00000836,435692051.00000000,2019-06-03 08:59:59.999,3693.36064948,79276,206598030.00000000,1755.74138128,0
11,2019-06-03 09:00:00.000,0.00000835,0.00000947,0.00000802,0.00000882,470097238.00000000,2019-06-04 08:59:59.999,4125.55951138,99546,218694394.00000000,1923.98981223,0
12,2019-06-04 09:00:00.000,0.00000883,0.00000930,0.00000807,0.00000843,350379646.00000000,2019-06-05 08:59:59.999,3057.18830621,63922,156036162.00000000,1364.51645599,0
13,2019-06-05 09:00:00.000,0.00000843,0.00000864,0.00000801,0.00000832,172897440.00000000,2019-06-06 08:59:59.999,1426.52991587,30225,81770910.00000000,676.19749674,0
14,2019-06-06 09:00:00.000,0.00000832,0.00000846,0.00000783,0.00000811,135318171.00000000,2019-06-07 08:59:59.999,1093.39557782,20587,56668193.00000000,458.80664791,0
15,2019-06-07 09:00:00.000,0.00000810,0.00000838,0.00000789,0.00000814,88282066.00000000,2019-06-08 08:59:59.999,716.91647377,16640,41551486.00000000,338.07352927,0
16,2019-06-08 09:00:00.000,0.00000812,0.00000885,0.00000796,0.00000872,141007233.00000000,2019-06-09 08:59:59.999,1192.22303920,29936,77358395.00000000,655.21509873,0
17,2019-06-09 09:00:00.000,0.00000873,0.00000893,0.00000810,0.00000828,121480287.00000000,2019-06-10 08:59:59.999,1037.10120028,24732,53895989.00000000,461.31635498,0
18,2019-06-10 09:00:00.000,0.00000827,0.00000858,0.00000806,0.00000840,128785475.00000000,2019-06-11 08:59:59.999,1066.49098442,22247,59579194.00000000,493.86552817,0
19,2019-06-11 09:00:00.000,0.00000841,0.00000842,0.00000813,0.00000823,91070955.00000000,2019-06-12 08:59:59.999,750.27823609,13827,38946106.00000000,321.04988879,0
20,2019-06-12 09:00:00.000,0.00000825,0.00000835,0.00000790,0.00000803,83652725.00000000,2019-06-13 08:59:59.999,679.54187389,14022,36221078.00000000,294.31103405,0
21,2019-06-13 09:00:00.000,0.00000803,0.00000834,0.00000760,0.00000777,113378561.00000000,2019-06-14 08:59:59.999,902.43472114,21888,49332567.00000000,392.92190171,0
22,2019-06-14 09:00:00.000,0.00000777,0.00000794,0.00000685,0.00000695,139124938.00000000,2019-06-15 08:59:59.999,1030.81346159,27857,62519564.00000000,463.86921094,0
23,2019-06-15 09:00:00.000,0.00000695,0.00000736,0.00000685,0.00000711,77279541.00000000,2019-06-16 08:59:59.999,550.87220358,13663,38198193.00000000,272.61440011,0
24,2019-06-16 09:00:00.000,0.00000710,0.00000716,0.00000645,0.00000697,93773032.00000000,2019-06-17 08:59:59.999,641.46362931,18020,43685737.00000000,299.35834118,0
25,2019-06-17 09:00:00.000,0.00000697,0.00000704,0.00000654,0.00000671,76979311.00000000,2019-06-18 08:59:59.999,517.43716436,13417,32850425.00000000,220.98032484,0
26,2019-06-18 09:00:00.000,0.00000671,0.00000698,0.00000650,0.00000691,53716763.00000000,2019-06-19 08:59:59.999,358.13120675,10824,25396229.00000000,169.81914662,0
27,2019-06-19 09:00:00.000,0.00000691,0.00000731,0.00000680,0.00000689,103440363.00000000,2019-06-20 08:59:59.999,732.54372800,19469,46876074.00000000,332.84690122,0
28,2019-06-20 09:00:00.000,0.00000689,0.00000692,0.00000646,0.00000651,65706841.00000000,2019-06-21 08:59:59.999,437.90448751,11895,25593808.00000000,170.73961715,0
29,2019-06-21 09:00:00.000,0.00000650,0.00000652,0.00000601,0.00000605,65540619.00000000,2019-06-22 08:59:59.999,408.42790282,13088,26582259.00000000,165.76943190,0
30,2019-06-22 09:00:00.000,0.00000605,0.00000646,0.00000518,0.00000595,141988295.00000000,2019-06-23 08:59:59.999,826.55872184,26025,64231077.00000000,373.96547154,0
31,2019-06-23 09:00:00.000,0.00000595,0.00000612,0.00000550,0.00000571,91711890.00000000,2019-06-24 08:59:59.999,535.80987111,15270,41556842.00000000,243.32853513,0
32,2019-06-24 09:00:00.000,0.00000569,0.00000641,0.00000569,0.00000586,180131108.00000000,2019-06-25 08:59:59.999,1094.12846080,28126,77992277.00000000,474.44768063,0
33,2019-06-25 09:00:00.000,0.00000586,0.00000593,0.00000531,0.00000534,108779058.00000000,2019-06-26 08:59:59.999,606.39417728,17326,43366759.00000000,241.78669872,0
34,2019-06-26 09:00:00.000,0.00000534,0.00000540,0.00000415,0.00000448,237109303.00000000,2019-06-27 08:59:59.999,1119.36560791,36060,101339818.00000000,475.52155581,0
35,2019-06-27 09:00:00.000,0.00000450,0.00000527,0.00000424,0.00000478,236152271.00000000,2019-06-28 08:59:59.999,1130.83034688,33815,115355738.00000000,552.68754841,0
36,2019-06-28 09:00:00.000,0.00000477,0.00000489,0.00000427,0.00000432,114759367.00000000,2019-06-29 08:59:59.999,525.28806597,16613,49622069.00000000,228.12552554,0
37,2019-06-29 09:00:00.000,0.00000433,0.00000505,0.00000433,0.00000502,142815617.00000000,2019-06-30 08:59:59.999,674.38336316,22638,71738378.00000000,339.22342671,0
38,2019-06-30 09:00:00.000,0.00000503,0.00000505,0.00000473,0.00000485,68731596.00000000,2019-07-01 08:59:59.999,331.03370557,11026,31047516.00000000,149.56288076,0
39,2019-07-01 09:00:00.000,0.00000485,0.00000525,0.00000480,0.00000515,104541177.00000000,2019-07-02 08:59:59.999,528.50037257,16738,49244505.00000000,249.40606708,0
40,2019-07-02 09:00:00.000,0.00000515,0.00000525,0.00000468,0.00000480,120625062.00000000,2019-07-03 08:59:59.999,601.72238353,21742,50675879.00000000,253.52390867,0
41,2019-07-03 09:00:00.000,0.00000480,0.00000499,0.00000437,0.00000459,158097738.00000000,2019-07-04 08:59:59.999,729.54895118,30831,75933405.00000000,351.21361096,0
