,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-08-14 09:00:00.000,0.00000071,0.00000787,0.00000071,0.00000562,806970558.00000000,2020-08-15 08:59:59.999,4900.15376620,145703,341115436.00000000,2078.17376026,0
1,2020-08-15 09:00:00.000,0.00000562,0.00000600,0.00000408,0.00000436,332276341.00000000,2020-08-16 08:59:59.999,1619.86748162,59012,138161110.00000000,675.16183464,0
2,2020-08-16 09:00:00.000,0.00000432,0.00000591,0.00000403,0.00000511,245112046.00000000,2020-08-17 08:59:59.999,1244.26026904,49387,117631570.00000000,597.43301628,0
3,2020-08-17 09:00:00.000,0.00000510,0.00000553,0.00000425,0.00000439,108450067.00000000,2020-08-18 08:59:59.999,516.16704681,22641,40071255.00000000,191.47796339,0
4,2020-08-18 09:00:00.000,0.00000439,0.00000498,0.00000418,0.00000430,60491600.00000000,2020-08-19 08:59:59.999,272.68650749,12239,25091755.00000000,113.84268019,0
5,2020-08-19 09:00:00.000,0.00000430,0.00000485,0.00000407,0.00000444,63639627.00000000,2020-08-20 08:59:59.999,286.30105693,14418,27464014.00000000,124.43071839,0
6,2020-08-20 09:00:00.000,0.00000445,0.00000486,0.00000432,0.00000451,68017401.00000000,2020-08-21 08:59:59.999,310.26480144,14950,30780706.00000000,141.21485111,0
7,2020-08-21 09:00:00.000,0.00000454,0.00000454,0.00000380,0.00000384,47115137.00000000,2020-08-22 08:59:59.999,200.58358177,9685,17064109.00000000,73.31148174,0
8,2020-08-22 09:00:00.000,0.00000384,0.00000425,0.00000354,0.00000394,38448764.00000000,2020-08-23 08:59:59.999,148.32883100,8314,15091244.00000000,58.62299047,0
9,2020-08-23 09:00:00.000,0.00000393,0.00000415,0.00000358,0.00000380,38006018.00000000,2020-08-24 08:59:59.999,144.19255184,8270,12905979.00000000,49.34786877,0
10,2020-08-24 09:00:00.000,0.00000376,0.00000456,0.00000360,0.00000433,77339934.00000000,2020-08-25 08:59:59.999,325.34731022,18132,36742086.00000000,154.63484424,0
11,2020-08-25 09:00:00.000,0.00000435,0.00000485,0.00000402,0.00000423,46587897.00000000,2020-08-26 08:59:59.999,205.33081989,13974,20758237.00000000,92.28281647,0
12,2020-08-26 09:00:00.000,0.00000423,0.00000515,0.00000415,0.00000511,63719816.00000000,2020-08-27 08:59:59.999,298.63771074,15911,28651385.00000000,134.87510910,0
13,2020-08-27 09:00:00.000,0.00000511,0.00000666,0.00000476,0.00000653,178747824.00000000,2020-08-28 08:59:59.999,1052.27923016,53988,90066711.00000000,531.77363032,0
14,2020-08-28 09:00:00.000,0.00000654,0.00000725,0.00000601,0.00000607,143853204.00000000,2020-08-29 08:59:59.999,956.81218249,36724,69327396.00000000,465.62967236,0
15,2020-08-29 09:00:00.000,0.00000607,0.00000648,0.00000571,0.00000633,55588110.00000000,2020-08-30 08:59:59.999,334.40454764,17672,26136150.00000000,157.76355070,0
16,2020-08-30 09:00:00.000,0.00000632,0.00000643,0.00000546,0.00000570,59322061.00000000,2020-08-31 08:59:59.999,345.88280911,13424,25861593.00000000,150.77885664,0
17,2020-08-31 09:00:00.000,0.00000571,0.00000667,0.00000571,0.00000604,73009402.00000000,2020-09-01 08:59:59.999,454.23774555,19385,31795870.00000000,198.47205346,0
18,2020-09-01 09:00:00.000,0.00000604,0.00000605,0.00000499,0.00000500,94963078.00000000,2020-09-02 08:59:59.999,511.03363409,21171,38008864.00000000,205.26540328,0
19,2020-09-02 09:00:00.000,0.00000500,0.00000526,0.00000448,0.00000513,76663636.00000000,2020-09-03 08:59:59.999,371.42992590,17283,30912200.00000000,150.30871926,0
