,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00019100,0.00020400,0.00018000,0.00019900,726669.57400000,2019-05-24 08:59:59.999,138.23826493,5895,329250.17200000,62.89641905,0
1,2019-05-24 09:00:00.000,0.00019900,0.00021600,0.00018400,0.00019800,1051297.53400000,2019-05-25 08:59:59.999,210.62303114,9977,451602.08100000,90.81554713,0
2,2019-05-25 09:00:00.000,0.00019800,0.00020700,0.00019200,0.00020000,412943.12500000,2019-05-26 08:59:59.999,82.57943333,3296,159073.93700000,31.87338185,0
3,2019-05-26 09:00:00.000,0.00019900,0.00023100,0.00019600,0.00021500,1151046.74900000,2019-05-27 08:59:59.999,244.92850446,10249,565017.23500000,120.81751340,0
4,2019-05-27 09:00:00.000,0.00021500,0.00025500,0.00021000,0.00021500,2446221.38900000,2019-05-28 08:59:59.999,571.97903005,25743,1080622.37700000,253.81405130,0
5,2019-05-28 09:00:00.000,0.00021500,0.00022800,0.00020600,0.00022200,772006.19100000,2019-05-29 08:59:59.999,167.40654553,9042,352490.72200000,76.75112174,0
6,2019-05-29 09:00:00.000,0.00022200,0.00024600,0.00021700,0.00023500,758474.96500000,2019-05-30 08:59:59.999,176.89882341,9258,391413.58500000,91.75145773,0
7,2019-05-30 09:00:00.000,0.00023500,0.00028000,0.00023000,0.00026800,1707328.51400000,2019-05-31 08:59:59.999,439.36140375,20508,846362.55700000,219.31360303,0
8,2019-05-31 09:00:00.000,0.00026700,0.00028900,0.00024900,0.00027000,1355690.59100000,2019-06-01 08:59:59.999,368.63661447,16090,599433.86300000,163.56604805,0
9,2019-06-01 09:00:00.000,0.00027000,0.00028800,0.00023500,0.00023900,1430025.32600000,2019-06-02 08:59:59.999,366.60058638,15283,581412.80700000,149.76415590,0
10,2019-06-02 09:00:00.000,0.00023900,0.00024600,0.00022400,0.00022800,696950.46500000,2019-06-03 08:59:59.999,164.51667504,6771,295032.05700000,70.04704927,0
11,2019-06-03 09:00:00.000,0.00022700,0.00022900,0.00021200,0.00021600,383835.67000000,2019-06-04 08:59:59.999,84.67193855,4179,158720.61000000,35.12618836,0
12,2019-06-04 09:00:00.000,0.00021500,0.00022000,0.00021000,0.00021800,441411.64400000,2019-06-05 08:59:59.999,95.50781582,3643,198712.44600000,43.12127345,0
13,2019-06-05 09:00:00.000,0.00021900,0.00022100,0.00020700,0.00020900,360017.93000000,2019-06-06 08:59:59.999,76.49628505,3327,176153.37500000,37.47802437,0
14,2019-06-06 09:00:00.000,0.00020900,0.00021400,0.00020600,0.00020800,286438.96900000,2019-06-07 08:59:59.999,60.05621864,2586,145876.54200000,30.66107530,0
15,2019-06-07 09:00:00.000,0.00020900,0.00021900,0.00020800,0.00021100,364542.35000000,2019-06-08 08:59:59.999,77.63377588,2668,200297.42100000,42.71217180,0
16,2019-06-08 09:00:00.000,0.00021100,0.00023600,0.00021000,0.00022500,627195.55200000,2019-06-09 08:59:59.999,140.04307130,5830,293250.10500000,65.66664489,0
17,2019-06-09 09:00:00.000,0.00022500,0.00023000,0.00021100,0.00021400,284553.70900000,2019-06-10 08:59:59.999,62.77528964,3700,103861.49400000,23.01494124,0
18,2019-06-10 09:00:00.000,0.00021300,0.00021800,0.00021100,0.00021400,213500.26200000,2019-06-11 08:59:59.999,45.92924815,2700,106951.50800000,23.06629690,0
19,2019-06-11 09:00:00.000,0.00021400,0.00021500,0.00020800,0.00021300,194237.25100000,2019-06-12 08:59:59.999,41.12878851,2120,80927.57400000,17.19172344,0
20,2019-06-12 09:00:00.000,0.00021300,0.00021400,0.00020300,0.00020900,173641.20600000,2019-06-13 08:59:59.999,36.18525273,2000,66376.37200000,13.87856462,0
21,2019-06-13 09:00:00.000,0.00020800,0.00020900,0.00019200,0.00019400,216065.01800000,2019-06-14 08:59:59.999,43.79130260,2629,80613.30000000,16.41884240,0
22,2019-06-14 09:00:00.000,0.00019400,0.00020400,0.00016700,0.00018900,587903.26500000,2019-06-15 08:59:59.999,108.99861132,7251,258757.89600000,48.27252551,0
23,2019-06-15 09:00:00.000,0.00018800,0.00019600,0.00018100,0.00018500,303245.77900000,2019-06-16 08:59:59.999,57.58275972,3888,152047.56500000,29.01350729,0
24,2019-06-16 09:00:00.000,0.00018500,0.00019100,0.00016800,0.00017900,357328.46500000,2019-06-17 08:59:59.999,63.91618367,3427,124941.64800000,22.49202580,0
25,2019-06-17 09:00:00.000,0.00017900,0.00018300,0.00017300,0.00018000,193589.24800000,2019-06-18 08:59:59.999,34.40278784,2526,99216.35800000,17.67912584,0
26,2019-06-18 09:00:00.000,0.00017900,0.00021400,0.00017800,0.00018700,907463.85200000,2019-06-19 08:59:59.999,177.32469100,9410,426192.82500000,83.32621618,0
27,2019-06-19 09:00:00.000,0.00018600,0.00019900,0.00018300,0.00018800,249855.74100000,2019-06-20 08:59:59.999,47.46008097,3417,120125.33800000,22.86358027,0
28,2019-06-20 09:00:00.000,0.00018800,0.00019300,0.00017800,0.00018200,203728.66200000,2019-06-21 08:59:59.999,37.51999039,2356,86112.35500000,15.92662556,0
29,2019-06-21 09:00:00.000,0.00018200,0.00019900,0.00018100,0.00019200,541293.73800000,2019-06-22 08:59:59.999,103.89123270,6216,249254.13400000,47.97621614,0
30,2019-06-22 09:00:00.000,0.00019300,0.00020200,0.00017300,0.00017800,477472.19100000,2019-06-23 08:59:59.999,86.51130279,5078,149946.33400000,27.30379774,0
31,2019-06-23 09:00:00.000,0.00017700,0.00018600,0.00017000,0.00017100,280896.20100000,2019-06-24 08:59:59.999,50.07445021,2936,116589.89200000,20.92714204,0
32,2019-06-24 09:00:00.000,0.00017200,0.00017200,0.00016000,0.00016400,266475.45200000,2019-06-25 08:59:59.999,44.13623292,3129,129216.23800000,21.40218452,0
33,2019-06-25 09:00:00.000,0.00016300,0.00016600,0.00014800,0.00014900,233835.44700000,2019-06-26 08:59:59.999,36.80590172,2708,86788.09200000,13.76613471,0
34,2019-06-26 09:00:00.000,0.00014900,0.00015000,0.00012600,0.00013200,627457.02200000,2019-06-27 08:59:59.999,86.47600297,6119,267199.95500000,37.13323780,0
35,2019-06-27 09:00:00.000,0.00013200,0.00016600,0.00012900,0.00015200,748117.61000000,2019-06-28 08:59:59.999,113.25295482,17859,397373.82800000,60.28278047,0
36,2019-06-28 09:00:00.000,0.00015200,0.00015900,0.00014900,0.00015500,420398.18500000,2019-06-29 08:59:59.999,64.89434463,18352,153297.86800000,23.75280855,0
37,2019-06-29 09:00:00.000,0.00015500,0.00017600,0.00015300,0.00016300,783606.05600000,2019-06-30 08:59:59.999,128.21089463,16267,336713.15800000,55.35994798,0
38,2019-06-30 09:00:00.000,0.00016300,0.00017900,0.00016100,0.00017800,484781.39000000,2019-07-01 08:59:59.999,81.86759812,3791,215057.20000000,36.51190687,0
39,2019-07-01 09:00:00.000,0.00017700,0.00018000,0.00016500,0.00017200,498521.62900000,2019-07-02 08:59:59.999,85.44656786,3638,247338.67200000,42.56807732,0
40,2019-07-02 09:00:00.000,0.00017200,0.00017500,0.00014600,0.00015200,697488.92900000,2019-07-03 08:59:59.999,110.93367691,4609,269144.78200000,42.48003002,0
41,2019-07-03 09:00:00.000,0.00015200,0.00015500,0.00014400,0.00014600,264952.08700000,2019-07-04 08:59:59.999,39.32893436,2324,109649.14800000,16.37443787,0
42,2019-07-04 09:00:00.000,0.00014600,0.00014700,0.00013800,0.00014300,165769.27100000,2019-07-05 08:59:59.999,23.46028561,1829,70178.38700000,9.94112957,0
43,2019-07-05 09:00:00.000,0.00014300,0.00014800,0.00014000,0.00014300,169090.28500000,2019-07-06 08:59:59.999,24.29196863,1486,70001.73300000,10.09515463,0
44,2019-07-06 09:00:00.000,0.00014200,0.00014200,0.00013500,0.00014100,255450.07000000,2019-07-07 08:59:59.999,35.39887854,1722,72872.92500000,10.13210264,0
45,2019-07-07 09:00:00.000,0.00014100,0.00014400,0.00013700,0.00013800,155186.36200000,2019-07-08 08:59:59.999,21.82076014,1343,67996.88900000,9.59515301,0
46,2019-07-08 09:00:00.000,0.00013800,0.00014000,0.00012200,0.00012600,326376.58700000,2019-07-09 08:59:59.999,42.89450481,1983,93537.56000000,12.32174785,0
47,2019-07-09 09:00:00.000,0.00012600,0.00014000,0.00012000,0.00013400,325194.38400000,2019-07-10 08:59:59.999,42.07863854,3147,165599.14100000,21.51135001,0
48,2019-07-10 09:00:00.000,0.00013400,0.00013600,0.00012400,0.00012700,244507.34200000,2019-07-11 08:59:59.999,31.14828344,2476,84283.41700000,10.80654813,0
49,2019-07-11 09:00:00.000,0.00012700,0.00012900,0.00011800,0.00011900,230487.57700000,2019-07-12 08:59:59.999,28.20611327,2386,71148.09700000,8.72621286,0
50,2019-07-12 09:00:00.000,0.00012000,0.00012500,0.00011400,0.00012200,170706.15000000,2019-07-13 08:59:59.999,20.32396907,1943,83687.83300000,10.03900121,0
51,2019-07-13 09:00:00.000,0.00012200,0.00012700,0.00011900,0.00012000,92269.98200000,2019-07-14 08:59:59.999,11.34784658,1401,36218.29400000,4.48015313,0
52,2019-07-14 09:00:00.000,0.00011900,0.00013400,0.00011700,0.00012600,167004.67400000,2019-07-15 08:59:59.999,20.97277421,2898,92066.61300000,11.58390949,0
53,2019-07-15 09:00:00.000,0.00012600,0.00012700,0.00011400,0.00011800,296539.33400000,2019-07-16 08:59:59.999,35.79400096,2304,62687.00200000,7.49084915,0
54,2019-07-16 09:00:00.000,0.00011800,0.00012700,0.00011600,0.00011900,432609.93800000,2019-07-17 08:59:59.999,52.63300117,4090,202544.41400000,24.74161812,0
55,2019-07-17 09:00:00.000,0.00011900,0.00012600,0.00011600,0.00012500,153337.16600000,2019-07-18 08:59:59.999,18.35569955,1833,70911.89800000,8.54126620,0
56,2019-07-18 09:00:00.000,0.00012500,0.00012900,0.00011900,0.00012500,164434.65000000,2019-07-19 08:59:59.999,20.29303988,2130,84216.66100000,10.43843052,0
57,2019-07-19 09:00:00.000,0.00012500,0.00012600,0.00012000,0.00012500,50024.08900000,2019-07-20 08:59:59.999,6.15839000,785,32878.42600000,4.05132468,0
58,2019-07-20 09:00:00.000,0.00012600,0.00012900,0.00011800,0.00012100,115819.78700000,2019-07-21 08:59:59.999,14.23581090,1342,40936.74500000,5.06321556,0
59,2019-07-21 09:00:00.000,0.00012100,0.00013500,0.00012100,0.00013300,1736816.35400000,2019-07-22 08:59:59.999,217.75641786,3767,307878.77800000,39.87951661,0
60,2019-07-22 09:00:00.000,0.00013300,0.00014200,0.00013100,0.00013900,1507997.29500000,2019-07-23 08:59:59.999,204.24462568,2989,197514.69700000,27.08260449,0
