,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000227,0.00000273,0.00000227,0.00000234,73801240.00000000,2019-05-24 08:59:59.999,182.97281168,11261,30233838.00000000,75.33064075,0
1,2019-05-24 09:00:00.000,0.00000233,0.00000245,0.00000209,0.00000211,41264434.00000000,2019-05-25 08:59:59.999,92.56632765,4412,16125896.00000000,36.21267614,0
2,2019-05-25 09:00:00.000,0.00000212,0.00000215,0.00000203,0.00000214,13400855.00000000,2019-05-26 08:59:59.999,28.11675107,1893,6118794.00000000,12.88304281,0
3,2019-05-26 09:00:00.000,0.00000214,0.00000230,0.00000191,0.00000194,38273634.00000000,2019-05-27 08:59:59.999,81.30073169,4148,15539276.00000000,33.09253075,0
4,2019-05-27 09:00:00.000,0.00000194,0.00000215,0.00000186,0.00000206,21953265.00000000,2019-05-28 08:59:59.999,43.49702948,3822,9504020.00000000,18.91497570,0
5,2019-05-28 09:00:00.000,0.00000206,0.00000228,0.00000202,0.00000208,39208901.00000000,2019-05-29 08:59:59.999,83.78736389,5217,16639339.00000000,35.86575707,0
6,2019-05-29 09:00:00.000,0.00000207,0.00000220,0.00000205,0.00000216,20453750.00000000,2019-05-30 08:59:59.999,43.57067377,2807,8541854.00000000,18.29317488,0
7,2019-05-30 09:00:00.000,0.00000217,0.00000227,0.00000202,0.00000206,29373054.00000000,2019-05-31 08:59:59.999,63.36565840,4186,10512117.00000000,22.80041313,0
8,2019-05-31 09:00:00.000,0.00000205,0.00000218,0.00000204,0.00000214,7983564.00000000,2019-06-01 08:59:59.999,16.91693917,1374,3237677.00000000,6.88202128,0
9,2019-06-01 09:00:00.000,0.00000214,0.00000217,0.00000204,0.00000204,7756296.00000000,2019-06-02 08:59:59.999,16.24632765,1116,2885224.00000000,6.05834555,0
10,2019-06-02 09:00:00.000,0.00000205,0.00000220,0.00000205,0.00000217,11446866.00000000,2019-06-03 08:59:59.999,24.36850556,1666,5845379.00000000,12.45692847,0
11,2019-06-03 09:00:00.000,0.00000216,0.00000224,0.00000205,0.00000213,18551402.00000000,2019-06-04 08:59:59.999,39.98325696,2803,8879514.00000000,19.19415966,0
12,2019-06-04 09:00:00.000,0.00000213,0.00000215,0.00000208,0.00000210,7115856.00000000,2019-06-05 08:59:59.999,15.03890660,1047,2518657.00000000,5.34168035,0
