,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000371,0.00000397,0.00000341,0.00000356,54420349.00000000,2019-05-24 08:59:59.999,200.39256512,9407,22102505.00000000,81.83679893,0
1,2019-05-24 09:00:00.000,0.00000356,0.00000369,0.00000325,0.00000329,31804324.00000000,2019-05-25 08:59:59.999,109.82052767,5316,11527414.00000000,39.87865157,0
2,2019-05-25 09:00:00.000,0.00000329,0.00000341,0.00000325,0.00000328,10298084.00000000,2019-05-26 08:59:59.999,34.04321184,1870,3634826.00000000,12.08123715,0
3,2019-05-26 09:00:00.000,0.00000328,0.00000354,0.00000301,0.00000302,17314669.00000000,2019-05-27 08:59:59.999,56.74867277,4284,7456278.00000000,24.62200118,0
4,2019-05-27 09:00:00.000,0.00000305,0.00000342,0.00000295,0.00000324,10853361.00000000,2019-05-28 08:59:59.999,33.52498335,3243,4739871.00000000,14.78361765,0
5,2019-05-28 09:00:00.000,0.00000324,0.00000342,0.00000313,0.00000323,19031969.00000000,2019-05-29 08:59:59.999,62.06433271,4672,7998079.00000000,26.19221309,0
6,2019-05-29 09:00:00.000,0.00000321,0.00000330,0.00000302,0.00000320,9942458.00000000,2019-05-30 08:59:59.999,31.40630089,2423,4185709.00000000,13.29363909,0
7,2019-05-30 09:00:00.000,0.00000321,0.00000333,0.00000303,0.00000316,14414572.00000000,2019-05-31 08:59:59.999,46.18510098,3116,7121962.00000000,22.96998388,0
8,2019-05-31 09:00:00.000,0.00000316,0.00000327,0.00000305,0.00000321,7664211.00000000,2019-06-01 08:59:59.999,24.08053994,2272,3428482.00000000,10.84458571,0
9,2019-06-01 09:00:00.000,0.00000322,0.00000340,0.00000311,0.00000325,10100240.00000000,2019-06-02 08:59:59.999,32.69267633,2822,4596803.00000000,14.95686088,0
10,2019-06-02 09:00:00.000,0.00000326,0.00000586,0.00000323,0.00000396,165243631.00000000,2019-06-03 08:59:59.999,747.68444823,24365,80165168.00000000,366.18806810,0
11,2019-06-03 09:00:00.000,0.00000396,0.00000426,0.00000345,0.00000349,109450546.00000000,2019-06-04 08:59:59.999,416.35230534,18156,42645329.00000000,163.57139517,0
12,2019-06-04 09:00:00.000,0.00000349,0.00000369,0.00000336,0.00000341,30262154.00000000,2019-06-05 08:59:59.999,106.29533466,6018,13623444.00000000,48.09756389,0
13,2019-06-05 09:00:00.000,0.00000341,0.00000363,0.00000333,0.00000363,19836074.00000000,2019-06-06 08:59:59.999,68.55947185,4062,9071624.00000000,31.40011723,0
14,2019-06-06 09:00:00.000,0.00000363,0.00000369,0.00000340,0.00000349,13526286.00000000,2019-06-07 08:59:59.999,48.01627261,2708,4360518.00000000,15.50875911,0
15,2019-06-07 09:00:00.000,0.00000348,0.00000352,0.00000338,0.00000346,7301843.00000000,2019-06-08 08:59:59.999,25.27281737,2010,2714493.00000000,9.42890118,0
16,2019-06-08 09:00:00.000,0.00000346,0.00000367,0.00000345,0.00000353,8310294.00000000,2019-06-09 08:59:59.999,29.63880749,2245,3265573.00000000,11.66151362,0
17,2019-06-09 09:00:00.000,0.00000353,0.00000361,0.00000331,0.00000336,26835478.00000000,2019-06-10 08:59:59.999,92.63128820,4716,12103824.00000000,41.89190944,0
18,2019-06-10 09:00:00.000,0.00000336,0.00000363,0.00000332,0.00000353,18804334.00000000,2019-06-11 08:59:59.999,66.00986078,4306,8656155.00000000,30.45002788,0
19,2019-06-11 09:00:00.000,0.00000353,0.00000372,0.00000339,0.00000368,22686341.00000000,2019-06-12 08:59:59.999,80.96294699,5478,10233715.00000000,36.66464721,0
20,2019-06-12 09:00:00.000,0.00000368,0.00000368,0.00000345,0.00000356,7960696.00000000,2019-06-13 08:59:59.999,28.33887443,2080,2974596.00000000,10.59571151,0
21,2019-06-13 09:00:00.000,0.00000354,0.00000360,0.00000327,0.00000331,8112831.00000000,2019-06-14 08:59:59.999,27.71859526,2306,2777684.00000000,9.50452869,0
22,2019-06-14 09:00:00.000,0.00000330,0.00000384,0.00000307,0.00000316,48560169.00000000,2019-06-15 08:59:59.999,168.21750328,10059,20519686.00000000,71.56622355,0
23,2019-06-15 09:00:00.000,0.00000315,0.00000335,0.00000307,0.00000319,16465243.00000000,2019-06-16 08:59:59.999,52.40158659,3380,8429671.00000000,26.87611709,0
24,2019-06-16 09:00:00.000,0.00000320,0.00000360,0.00000298,0.00000327,50364629.00000000,2019-06-17 08:59:59.999,167.27449609,9534,21329213.00000000,71.27900259,0
25,2019-06-17 09:00:00.000,0.00000327,0.00000337,0.00000299,0.00000301,14927732.00000000,2019-06-18 08:59:59.999,47.05685863,3334,6225999.00000000,19.71885183,0
26,2019-06-18 09:00:00.000,0.00000303,0.00000320,0.00000300,0.00000309,8314319.00000000,2019-06-19 08:59:59.999,25.64045221,1996,3585353.00000000,11.07977617,0
27,2019-06-19 09:00:00.000,0.00000309,0.00000319,0.00000301,0.00000305,12747918.00000000,2019-06-20 08:59:59.999,39.80869246,2502,6014129.00000000,18.84496994,0
28,2019-06-20 09:00:00.000,0.00000305,0.00000310,0.00000275,0.00000282,17070667.00000000,2019-06-21 08:59:59.999,49.84804576,3303,6116519.00000000,17.90792527,0
29,2019-06-21 09:00:00.000,0.00000284,0.00000290,0.00000247,0.00000247,12283315.00000000,2019-06-22 08:59:59.999,32.59466738,2240,3961142.00000000,10.57761668,0
30,2019-06-22 09:00:00.000,0.00000248,0.00000254,0.00000208,0.00000226,22882565.00000000,2019-06-23 08:59:59.999,51.70592487,3245,9874600.00000000,22.30044181,0
31,2019-06-23 09:00:00.000,0.00000226,0.00000246,0.00000210,0.00000221,13787679.00000000,2019-06-24 08:59:59.999,31.84085851,2240,6562551.00000000,15.20069515,0
32,2019-06-24 09:00:00.000,0.00000220,0.00000255,0.00000218,0.00000233,29312239.00000000,2019-06-25 08:59:59.999,67.86230554,4867,12324019.00000000,28.70946477,0
33,2019-06-25 09:00:00.000,0.00000234,0.00000235,0.00000195,0.00000197,34468452.00000000,2019-06-26 08:59:59.999,72.67135619,4569,11521877.00000000,24.25642007,0
34,2019-06-26 09:00:00.000,0.00000198,0.00000200,0.00000147,0.00000157,30173782.00000000,2019-06-27 08:59:59.999,51.81423908,4096,12988707.00000000,22.13748968,0
35,2019-06-27 09:00:00.000,0.00000157,0.00000183,0.00000154,0.00000173,14083087.00000000,2019-06-28 08:59:59.999,24.04206905,1834,6478309.00000000,11.07286482,0
36,2019-06-28 09:00:00.000,0.00000172,0.00000189,0.00000160,0.00000161,22369893.00000000,2019-06-29 08:59:59.999,39.50405085,2931,9079614.00000000,16.15831097,0
37,2019-06-29 09:00:00.000,0.00000161,0.00000179,0.00000159,0.00000174,17088193.00000000,2019-06-30 08:59:59.999,28.99512801,2191,8637846.00000000,14.68566897,0
38,2019-06-30 09:00:00.000,0.00000174,0.00000182,0.00000168,0.00000181,9639311.00000000,2019-07-01 08:59:59.999,16.76096137,1112,4273995.00000000,7.46922379,0
39,2019-07-01 09:00:00.000,0.00000182,0.00000188,0.00000176,0.00000185,13458164.00000000,2019-07-02 08:59:59.999,24.56186338,1344,6122747.00000000,11.22169401,0
40,2019-07-02 09:00:00.000,0.00000185,0.00000191,0.00000163,0.00000171,15821433.00000000,2019-07-03 08:59:59.999,28.35777200,2240,6281774.00000000,11.35705188,0
41,2019-07-03 09:00:00.000,0.00000169,0.00000190,0.00000155,0.00000166,28359513.00000000,2019-07-04 08:59:59.999,48.49615849,3152,13317224.00000000,22.85415807,0
42,2019-07-04 09:00:00.000,0.00000166,0.00000215,0.00000166,0.00000185,84099225.00000000,2019-07-05 08:59:59.999,159.00150278,9498,38477144.00000000,72.97998297,0
43,2019-07-05 09:00:00.000,0.00000185,0.00000197,0.00000177,0.00000190,22850580.00000000,2019-07-06 08:59:59.999,42.64671671,2886,9698006.00000000,18.13599299,0
44,2019-07-06 09:00:00.000,0.00000190,0.00000190,0.00000171,0.00000177,14226711.00000000,2019-07-07 08:59:59.999,25.43600721,1718,5222796.00000000,9.34309890,0
45,2019-07-07 09:00:00.000,0.00000177,0.00000196,0.00000172,0.00000184,20722586.00000000,2019-07-08 08:59:59.999,38.56356091,2328,9869629.00000000,18.40938332,0
46,2019-07-08 09:00:00.000,0.00000185,0.00000190,0.00000156,0.00000157,13344583.00000000,2019-07-09 08:59:59.999,22.97737820,1672,5586462.00000000,9.60657253,0
47,2019-07-09 09:00:00.000,0.00000158,0.00000160,0.00000142,0.00000148,13941029.00000000,2019-07-10 08:59:59.999,20.97782092,1595,5860628.00000000,8.84775147,0
48,2019-07-10 09:00:00.000,0.00000148,0.00000149,0.00000130,0.00000139,12432086.00000000,2019-07-11 08:59:59.999,17.16820710,1632,4839308.00000000,6.69105306,0
49,2019-07-11 09:00:00.000,0.00000139,0.00000166,0.00000135,0.00000143,18494749.00000000,2019-07-12 08:59:59.999,26.96546401,2696,9165736.00000000,13.54033780,0
50,2019-07-12 09:00:00.000,0.00000142,0.00000166,0.00000138,0.00000143,21472457.00000000,2019-07-13 08:59:59.999,32.21429572,3148,9364283.00000000,14.36788958,0
51,2019-07-13 09:00:00.000,0.00000144,0.00000150,0.00000140,0.00000145,13045647.00000000,2019-07-14 08:59:59.999,18.94032340,1588,6240812.00000000,9.10081256,0
52,2019-07-14 09:00:00.000,0.00000146,0.00000147,0.00000140,0.00000142,4199209.00000000,2019-07-15 08:59:59.999,6.01274393,751,1729741.00000000,2.48630664,0
53,2019-07-15 09:00:00.000,0.00000142,0.00000142,0.00000128,0.00000134,12454645.00000000,2019-07-16 08:59:59.999,16.63203177,1813,5551058.00000000,7.41279867,0
54,2019-07-16 09:00:00.000,0.00000133,0.00000136,0.00000126,0.00000130,4775847.00000000,2019-07-17 08:59:59.999,6.25723438,1105,1899951.00000000,2.49789444,0
55,2019-07-17 09:00:00.000,0.00000129,0.00000135,0.00000126,0.00000132,9883637.00000000,2019-07-18 08:59:59.999,12.83651704,1205,4966395.00000000,6.46158230,0
56,2019-07-18 09:00:00.000,0.00000132,0.00000139,0.00000121,0.00000124,8955894.00000000,2019-07-19 08:59:59.999,11.58881731,1543,4044156.00000000,5.30081266,0
57,2019-07-19 09:00:00.000,0.00000126,0.00000138,0.00000122,0.00000130,10494337.00000000,2019-07-20 08:59:59.999,13.51470402,1347,6273394.00000000,8.19383689,0
58,2019-07-20 09:00:00.000,0.00000130,0.00000134,0.00000128,0.00000129,3674080.00000000,2019-07-21 08:59:59.999,4.79566140,547,1726725.00000000,2.25966120,0
59,2019-07-21 09:00:00.000,0.00000130,0.00000133,0.00000128,0.00000132,2495835.00000000,2019-07-22 08:59:59.999,3.25581970,514,820525.00000000,1.07284101,0
60,2019-07-22 09:00:00.000,0.00000131,0.00000136,0.00000130,0.00000132,4948896.00000000,2019-07-23 08:59:59.999,6.57379882,855,1944452.00000000,2.59115579,0
61,2019-07-23 09:00:00.000,0.00000133,0.00000139,0.00000129,0.00000137,10234583.00000000,2019-07-24 08:59:59.999,13.74703450,1348,3747442.00000000,5.04190567,0
62,2019-07-24 09:00:00.000,0.00000138,0.00000140,0.00000133,0.00000138,4350545.00000000,2019-07-25 08:59:59.999,5.93611820,919,2157590.00000000,2.95607159,0
63,2019-07-25 09:00:00.000,0.00000138,0.00000143,0.00000136,0.00000142,3583702.00000000,2019-07-26 08:59:59.999,4.99196128,758,1790342.00000000,2.51338948,0
64,2019-07-26 09:00:00.000,0.00000143,0.00000149,0.00000140,0.00000144,5396192.00000000,2019-07-27 08:59:59.999,7.82523337,988,2302551.00000000,3.35027341,0
65,2019-07-27 09:00:00.000,0.00000145,0.00000145,0.00000136,0.00000138,5791441.00000000,2019-07-28 08:59:59.999,8.07555588,1326,2233619.00000000,3.12077254,0
