,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000338,0.00000341,0.00000326,0.00000330,15538056.00000000,2019-05-24 08:59:59.999,51.76861011,2949,7799731.00000000,26.03407536,0
1,2019-05-24 09:00:00.000,0.00000332,0.00000340,0.00000324,0.00000333,13258310.00000000,2019-05-25 08:59:59.999,43.98832549,2730,6864923.00000000,22.81762076,0
2,2019-05-25 09:00:00.000,0.00000333,0.00000334,0.00000324,0.00000330,6364396.00000000,2019-05-26 08:59:59.999,20.92010554,1465,2971275.00000000,9.79450047,0
3,2019-05-26 09:00:00.000,0.00000330,0.00000361,0.00000315,0.00000322,27848527.00000000,2019-05-27 08:59:59.999,95.04405249,6540,15834566.00000000,54.19056779,0
4,2019-05-27 09:00:00.000,0.00000322,0.00000364,0.00000320,0.00000346,29919057.00000000,2019-05-28 08:59:59.999,101.00987203,8118,14809857.00000000,50.04614636,0
5,2019-05-28 09:00:00.000,0.00000348,0.00000379,0.00000340,0.00000354,37709993.00000000,2019-05-29 08:59:59.999,134.06035631,7618,17472798.00000000,62.26224203,0
6,2019-05-29 09:00:00.000,0.00000354,0.00000362,0.00000336,0.00000343,12389246.00000000,2019-05-30 08:59:59.999,43.13570217,3300,6316068.00000000,22.04927179,0
7,2019-05-30 09:00:00.000,0.00000345,0.00000370,0.00000329,0.00000331,20353206.00000000,2019-05-31 08:59:59.999,71.14287044,4685,9682837.00000000,34.00152033,0
8,2019-05-31 09:00:00.000,0.00000331,0.00000338,0.00000329,0.00000338,7105226.00000000,2019-06-01 08:59:59.999,23.62616904,1605,3016303.00000000,10.06070274,0
9,2019-06-01 09:00:00.000,0.00000336,0.00000342,0.00000329,0.00000331,5965747.00000000,2019-06-02 08:59:59.999,19.97152090,1441,2966546.00000000,9.94267754,0
10,2019-06-02 09:00:00.000,0.00000333,0.00000338,0.00000329,0.00000336,6947557.00000000,2019-06-03 08:59:59.999,23.12800964,1451,3335718.00000000,11.11696714,0
11,2019-06-03 09:00:00.000,0.00000336,0.00000349,0.00000328,0.00000332,8722345.00000000,2019-06-04 08:59:59.999,29.29279732,2447,3948345.00000000,13.27881991,0
12,2019-06-04 09:00:00.000,0.00000332,0.00000337,0.00000322,0.00000329,10065389.00000000,2019-06-05 08:59:59.999,33.17840270,2346,5031885.00000000,16.62365987,0
13,2019-06-05 09:00:00.000,0.00000329,0.00000361,0.00000328,0.00000340,20159144.00000000,2019-06-06 08:59:59.999,68.97844537,4928,9742107.00000000,33.44022655,0
14,2019-06-06 09:00:00.000,0.00000340,0.00000345,0.00000331,0.00000340,9217230.00000000,2019-06-07 08:59:59.999,31.06618405,2018,4159921.00000000,14.04924314,0
15,2019-06-07 09:00:00.000,0.00000338,0.00000420,0.00000334,0.00000376,103405718.00000000,2019-06-08 08:59:59.999,393.11639548,17788,48207707.00000000,183.44442529,0
16,2019-06-08 09:00:00.000,0.00000376,0.00000393,0.00000349,0.00000356,22287168.00000000,2019-06-09 08:59:59.999,81.09234383,4559,10543681.00000000,38.46756990,0
17,2019-06-09 09:00:00.000,0.00000356,0.00000385,0.00000349,0.00000371,35636202.00000000,2019-06-10 08:59:59.999,131.24066497,6999,15510988.00000000,57.24035770,0
18,2019-06-10 09:00:00.000,0.00000372,0.00000387,0.00000364,0.00000373,26536453.00000000,2019-06-11 08:59:59.999,99.77363728,4528,11893108.00000000,44.76467026,0
19,2019-06-11 09:00:00.000,0.00000372,0.00000390,0.00000368,0.00000376,12951835.00000000,2019-06-12 08:59:59.999,48.80748119,2786,6302645.00000000,23.80085368,0
20,2019-06-12 09:00:00.000,0.00000377,0.00000383,0.00000367,0.00000372,13401556.00000000,2019-06-13 08:59:59.999,50.01727607,2223,6296431.00000000,23.50137255,0
21,2019-06-13 09:00:00.000,0.00000372,0.00000373,0.00000350,0.00000358,7342548.00000000,2019-06-14 08:59:59.999,26.49539560,1825,3426103.00000000,12.38918970,0
22,2019-06-14 09:00:00.000,0.00000357,0.00000365,0.00000328,0.00000337,18476218.00000000,2019-06-15 08:59:59.999,64.47463639,3436,9727785.00000000,34.14283057,0
23,2019-06-15 09:00:00.000,0.00000337,0.00000342,0.00000322,0.00000327,7303520.00000000,2019-06-16 08:59:59.999,24.11935510,1595,2614865.00000000,8.65105853,0
24,2019-06-16 09:00:00.000,0.00000329,0.00000329,0.00000302,0.00000322,15832787.00000000,2019-06-17 08:59:59.999,49.70009390,3138,6871554.00000000,21.57284588,0
25,2019-06-17 09:00:00.000,0.00000323,0.00000330,0.00000305,0.00000307,13942340.00000000,2019-06-18 08:59:59.999,43.48407393,2468,7090347.00000000,22.09178466,0
26,2019-06-18 09:00:00.000,0.00000308,0.00000320,0.00000297,0.00000307,24544735.00000000,2019-06-19 08:59:59.999,75.39887231,3031,11159150.00000000,34.22764035,0
27,2019-06-19 09:00:00.000,0.00000306,0.00000313,0.00000303,0.00000307,7037704.00000000,2019-06-20 08:59:59.999,21.74534007,1399,3557815.00000000,11.02102855,0
