,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-07-09 09:00:00.000,0.00030760,0.00036380,0.00029360,0.00032010,627270.80000000,2020-07-10 08:59:59.999,202.96593747,11974,270687.28000000,87.92399959,0
1,2020-07-10 09:00:00.000,0.00032070,0.00032650,0.00030050,0.00031310,215364.49000000,2020-07-11 08:59:59.999,67.23522711,8464,91353.42000000,28.67434892,0
2,2020-07-11 09:00:00.000,0.00031450,0.00031530,0.00028700,0.00030510,279889.37000000,2020-07-12 08:59:59.999,84.51670882,8573,80931.70000000,24.51051543,0
3,2020-07-12 09:00:00.000,0.00030490,0.00030890,0.00029460,0.00029920,235735.81000000,2020-07-13 08:59:59.999,71.21563095,7146,76218.90000000,23.09654863,0
4,2020-07-13 09:00:00.000,0.00029960,0.00030600,0.00027050,0.00027520,327419.88000000,2020-07-14 08:59:59.999,95.02146281,7669,113439.22000000,32.95508092,0
5,2020-07-14 09:00:00.000,0.00027520,0.00029900,0.00025800,0.00029690,439422.78000000,2020-07-15 08:59:59.999,119.94442319,14702,183177.55000000,50.41941031,0
6,2020-07-15 09:00:00.000,0.00029700,0.00034210,0.00029000,0.00033230,695860.80000000,2020-07-16 08:59:59.999,219.73589509,21429,326111.10000000,102.87779280,0
7,2020-07-16 09:00:00.000,0.00033200,0.00035610,0.00030510,0.00033900,591756.16000000,2020-07-17 08:59:59.999,197.69829115,17819,231636.89000000,77.54758311,0
8,2020-07-17 09:00:00.000,0.00033870,0.00038900,0.00033540,0.00036160,675493.78000000,2020-07-18 08:59:59.999,249.05661890,21193,323355.89000000,119.27735705,0
9,2020-07-18 09:00:00.000,0.00036160,0.00038400,0.00034660,0.00036910,345901.09000000,2020-07-19 08:59:59.999,126.29906096,14519,144099.49000000,52.46641823,0
10,2020-07-19 09:00:00.000,0.00036810,0.00038990,0.00035710,0.00035830,297833.13000000,2020-07-20 08:59:59.999,110.53194629,9477,121980.43000000,45.45572659,0
11,2020-07-20 09:00:00.000,0.00035800,0.00046680,0.00035500,0.00042040,1214164.01000000,2020-07-21 08:59:59.999,497.07645154,39731,539326.70000000,221.64268685,0
12,2020-07-21 09:00:00.000,0.00041900,0.00043880,0.00035700,0.00037040,904962.36000000,2020-07-22 08:59:59.999,354.94590910,24934,413611.39000000,162.63171918,0
13,2020-07-22 09:00:00.000,0.00037040,0.00040740,0.00036290,0.00036490,482412.06000000,2020-07-23 08:59:59.999,185.36383512,15486,249255.00000000,96.13622998,0
14,2020-07-23 09:00:00.000,0.00036490,0.00038180,0.00033760,0.00034740,450268.90000000,2020-07-24 08:59:59.999,161.83049599,11455,245105.29000000,88.56267735,0
15,2020-07-24 09:00:00.000,0.00034730,0.00038250,0.00033770,0.00035080,429543.31000000,2020-07-25 08:59:59.999,153.90986252,13295,206262.21000000,73.88657901,0
16,2020-07-25 09:00:00.000,0.00034930,0.00039050,0.00034420,0.00036490,373149.82000000,2020-07-26 08:59:59.999,135.66126816,11990,182930.52000000,66.59730639,0
17,2020-07-26 09:00:00.000,0.00036570,0.00037280,0.00029000,0.00031790,802117.22000000,2020-07-27 08:59:59.999,258.42223162,22264,427086.66000000,137.63875115,0
18,2020-07-27 09:00:00.000,0.00031700,0.00032660,0.00024800,0.00025970,1021400.72000000,2020-07-28 08:59:59.999,283.57027700,24040,479352.83000000,133.41517055,0
19,2020-07-28 09:00:00.000,0.00025970,0.00031750,0.00024100,0.00030900,994664.87000000,2020-07-29 08:59:59.999,292.35101943,24224,470063.98000000,138.43613661,0
20,2020-07-29 09:00:00.000,0.00030900,0.00031140,0.00027340,0.00029470,636943.82000000,2020-07-30 08:59:59.999,185.21417094,15344,302473.49000000,87.49696366,0
21,2020-07-30 09:00:00.000,0.00029480,0.00033220,0.00029480,0.00031940,667506.58000000,2020-07-31 08:59:59.999,209.51370211,21364,313612.08000000,98.65750379,0
22,2020-07-31 09:00:00.000,0.00031990,0.00034970,0.00031710,0.00034880,613638.43000000,2020-08-01 08:59:59.999,204.76458046,17149,312313.99000000,104.37464959,0
23,2020-08-01 09:00:00.000,0.00034880,0.00036000,0.00030420,0.00032150,832177.28000000,2020-08-02 08:59:59.999,278.47094121,25337,391208.81000000,131.30627764,0
24,2020-08-02 09:00:00.000,0.00032150,0.00039830,0.00031000,0.00038560,908141.00000000,2020-08-03 08:59:59.999,321.21572109,39706,425355.85000000,149.80472577,0
25,2020-08-03 09:00:00.000,0.00038600,0.00039440,0.00035260,0.00036920,415735.74000000,2020-08-04 08:59:59.999,154.49612062,24526,190289.31000000,70.86183788,0
26,2020-08-04 09:00:00.000,0.00036920,0.00041000,0.00036820,0.00039950,336159.58000000,2020-08-05 08:59:59.999,129.57855919,32642,182774.93000000,70.58535578,0
27,2020-08-05 09:00:00.000,0.00039950,0.00041110,0.00036820,0.00036950,419854.79000000,2020-08-06 08:59:59.999,163.91899738,11942,188692.89000000,73.72889293,0
28,2020-08-06 09:00:00.000,0.00036960,0.00040500,0.00036840,0.00037850,363124.88000000,2020-08-07 08:59:59.999,137.85724529,10486,181935.39000000,69.14859330,0
29,2020-08-07 09:00:00.000,0.00037830,0.00040000,0.00036200,0.00037080,291332.21000000,2020-08-08 08:59:59.999,109.84320248,7346,131583.30000000,49.80679057,0
30,2020-08-08 09:00:00.000,0.00037060,0.00038200,0.00036260,0.00036920,262195.89000000,2020-08-09 08:59:59.999,97.56409185,6737,116132.26000000,43.26889906,0
31,2020-08-09 09:00:00.000,0.00036950,0.00037920,0.00035720,0.00036300,300585.22000000,2020-08-10 08:59:59.999,110.22980131,7823,124737.51000000,45.78527895,0
32,2020-08-10 09:00:00.000,0.00036300,0.00042500,0.00035700,0.00040570,920795.92000000,2020-08-11 08:59:59.999,367.42573732,22323,424559.40000000,169.64020994,0
33,2020-08-11 09:00:00.000,0.00040560,0.00043400,0.00037400,0.00042770,504620.91000000,2020-08-12 08:59:59.999,201.44742839,19223,219492.93000000,88.13675491,0
34,2020-08-12 09:00:00.000,0.00042840,0.00051880,0.00042550,0.00048870,1326822.74000000,2020-08-13 08:59:59.999,623.98101330,41840,615729.29000000,289.11191074,0
35,2020-08-13 09:00:00.000,0.00048860,0.00052040,0.00040700,0.00043090,1354226.18000000,2020-08-14 08:59:59.999,612.85538214,47139,587942.08000000,266.41730879,0
36,2020-08-14 09:00:00.000,0.00043080,0.00054900,0.00042060,0.00052350,1255526.41000000,2020-08-15 08:59:59.999,622.90305456,45098,609744.56000000,302.61857729,0
37,2020-08-15 09:00:00.000,0.00052310,0.00062500,0.00048900,0.00057900,1886354.84000000,2020-08-16 08:59:59.999,1076.42958654,82561,857222.87000000,489.26846876,0
38,2020-08-16 09:00:00.000,0.00057870,0.00057940,0.00053060,0.00053970,514658.18000000,2020-08-17 08:59:59.999,284.56065656,24520,233856.96000000,129.30517483,0
39,2020-08-17 09:00:00.000,0.00053730,0.00058000,0.00049610,0.00050110,745090.26000000,2020-08-18 08:59:59.999,395.72580886,26977,409035.72000000,216.20388970,0
40,2020-08-18 09:00:00.000,0.00050150,0.00054780,0.00046020,0.00051350,711316.69000000,2020-08-19 08:59:59.999,356.57425684,25526,339516.14000000,170.80366728,0
41,2020-08-19 09:00:00.000,0.00051450,0.00057000,0.00046000,0.00051920,858326.02000000,2020-08-20 08:59:59.999,434.12967813,39135,385756.18000000,195.49256785,0
42,2020-08-20 09:00:00.000,0.00051920,0.00063000,0.00051790,0.00052090,817143.95000000,2020-08-21 08:59:59.999,444.48982259,28446,369381.18000000,202.11542723,0
43,2020-08-21 09:00:00.000,0.00052110,0.00052780,0.00045370,0.00046300,561565.32000000,2020-08-22 08:59:59.999,278.11552908,27482,237053.06000000,117.50570440,0
44,2020-08-22 09:00:00.000,0.00046110,0.00051960,0.00044710,0.00049940,639295.08000000,2020-08-23 08:59:59.999,310.23562606,24467,292866.31000000,142.11147708,0
45,2020-08-23 09:00:00.000,0.00049940,0.00050530,0.00046380,0.00048860,331687.23000000,2020-08-24 08:59:59.999,160.20985221,16086,147205.95000000,71.18526541,0
46,2020-08-24 09:00:00.000,0.00048730,0.00055080,0.00047750,0.00053060,448559.50000000,2020-08-25 08:59:59.999,230.44805182,16449,214905.61000000,110.58347080,0
47,2020-08-25 09:00:00.000,0.00053040,0.00056800,0.00048530,0.00051800,511710.51000000,2020-08-26 08:59:59.999,269.80040750,24803,240183.61000000,126.93291041,0
48,2020-08-26 09:00:00.000,0.00051760,0.00056800,0.00051280,0.00053350,525003.77000000,2020-08-27 08:59:59.999,284.23035178,22560,219231.27000000,118.74549391,0
49,2020-08-27 09:00:00.000,0.00053470,0.00055800,0.00050860,0.00053800,477013.36000000,2020-08-28 08:59:59.999,255.42953669,18965,210749.46000000,112.90032826,0
50,2020-08-28 09:00:00.000,0.00053800,0.00061850,0.00053420,0.00059520,824773.28000000,2020-08-29 08:59:59.999,482.35788640,31780,370547.47000000,216.92529672,0
51,2020-08-29 09:00:00.000,0.00059570,0.00060940,0.00055540,0.00056920,352651.92000000,2020-08-30 08:59:59.999,204.97818377,17356,163741.84000000,95.18385498,0
52,2020-08-30 09:00:00.000,0.00056870,0.00063760,0.00056840,0.00062370,704829.27000000,2020-08-31 08:59:59.999,426.96621568,30740,291151.56000000,176.18882994,0
53,2020-08-31 09:00:00.000,0.00062310,0.00064730,0.00059210,0.00062980,760619.70000000,2020-09-01 08:59:59.999,471.28478869,30757,372298.67000000,230.26798307,0
54,2020-09-01 09:00:00.000,0.00062990,0.00067420,0.00059450,0.00059540,1009695.13000000,2020-09-02 08:59:59.999,637.41082486,38885,509742.01000000,321.89887168,0
55,2020-09-02 09:00:00.000,0.00059560,0.00060270,0.00052200,0.00056090,744326.90000000,2020-09-03 08:59:59.999,419.89444761,24760,346187.05000000,194.86977074,0
56,2020-09-03 09:00:00.000,0.00056110,0.00057670,0.00049730,0.00051850,951713.17000000,2020-09-04 08:59:59.999,512.19560230,27281,393967.99000000,212.70092919,0
57,2020-09-04 09:00:00.000,0.00051750,0.00056120,0.00047390,0.00051170,982079.06000000,2020-09-05 08:59:59.999,503.56825101,30112,316605.12000000,162.49062083,0
58,2020-09-05 09:00:00.000,0.00050840,0.00053870,0.00036820,0.00043950,1347642.78000000,2020-09-06 08:59:59.999,608.37621456,36952,445530.31000000,199.54083653,0
59,2020-09-06 09:00:00.000,0.00044030,0.00050720,0.00040990,0.00048310,861099.09000000,2020-09-07 08:59:59.999,396.34568554,30651,456543.35000000,211.79189100,0
60,2020-09-07 09:00:00.000,0.00048310,0.00049170,0.00041580,0.00044690,565834.40000000,2020-09-08 08:59:59.999,253.24518788,19532,261538.44000000,117.64577407,0
61,2020-09-08 09:00:00.000,0.00044700,0.00045230,0.00040750,0.00041950,544848.07000000,2020-09-09 08:59:59.999,234.22928851,17291,266786.14000000,114.97490451,0
62,2020-09-09 09:00:00.000,0.00041920,0.00051450,0.00041840,0.00048920,615126.87000000,2020-09-10 08:59:59.999,281.47985407,23708,340504.05000000,155.99472541,0
63,2020-09-10 09:00:00.000,0.00048920,0.00056840,0.00048920,0.00055360,765627.93000000,2020-09-11 08:59:59.999,401.40063013,27899,377058.17000000,197.57436251,0
64,2020-09-11 09:00:00.000,0.00055400,0.00058190,0.00052460,0.00057650,692256.04000000,2020-09-12 08:59:59.999,384.91297327,23528,265455.02000000,147.25660990,0
65,2020-09-12 09:00:00.000,0.00057600,0.00059600,0.00054590,0.00058780,579351.27000000,2020-09-13 08:59:59.999,330.68843796,24767,251443.07000000,143.83195988,0
66,2020-09-13 09:00:00.000,0.00058790,0.00060250,0.00049530,0.00052220,818408.15000000,2020-09-14 08:59:59.999,444.31907868,35774,362987.04000000,197.82517816,0
67,2020-09-14 09:00:00.000,0.00052090,0.00053950,0.00048140,0.00048560,382032.06000000,2020-09-15 08:59:59.999,195.15086007,17381,189972.21000000,97.23797128,0
68,2020-09-15 09:00:00.000,0.00048560,0.00051440,0.00041330,0.00041700,899728.95000000,2020-09-16 08:59:59.999,407.93371976,22613,404405.32000000,183.54156801,0
69,2020-09-16 09:00:00.000,0.00041680,0.00044980,0.00038520,0.00043820,1179175.64000000,2020-09-17 08:59:59.999,486.46539826,26666,592360.09000000,245.32222187,0
70,2020-09-17 09:00:00.000,0.00043790,0.00045650,0.00039950,0.00041020,978467.39000000,2020-09-18 08:59:59.999,418.11678594,27640,515047.73000000,220.33531699,0
71,2020-09-18 09:00:00.000,0.00041020,0.00043400,0.00040000,0.00041730,670971.60000000,2020-09-19 08:59:59.999,277.46694867,20001,362877.77000000,150.10278837,0
72,2020-09-19 09:00:00.000,0.00041640,0.00041730,0.00038440,0.00038800,647196.64000000,2020-09-20 08:59:59.999,258.25784412,17978,295613.11000000,117.98907411,0
73,2020-09-20 09:00:00.000,0.00038770,0.00041440,0.00037500,0.00038380,401034.07000000,2020-09-21 08:59:59.999,157.99690690,13954,210766.66000000,83.17683547,0
74,2020-09-21 09:00:00.000,0.00038360,0.00038890,0.00033360,0.00034730,1100625.23000000,2020-09-22 08:59:59.999,390.33331606,24726,496598.31000000,176.89497105,0
75,2020-09-22 09:00:00.000,0.00034730,0.00041070,0.00034480,0.00040660,633582.43000000,2020-09-23 08:59:59.999,241.57179337,16238,313562.22000000,119.72318599,0
76,2020-09-23 09:00:00.000,0.00040620,0.00042000,0.00035890,0.00036110,489253.22000000,2020-09-24 08:59:59.999,190.00400779,14921,220282.96000000,85.61035173,0
77,2020-09-24 09:00:00.000,0.00036120,0.00044150,0.00035890,0.00041040,840012.45000000,2020-09-25 08:59:59.999,335.26450027,25681,445150.56000000,178.14407011,0
78,2020-09-25 09:00:00.000,0.00041000,0.00048620,0.00040640,0.00046010,1003302.87000000,2020-09-26 08:59:59.999,437.96717499,31210,512429.61000000,224.25725313,0
