,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-04-10 09:00:00.000,0.00002989,0.00019455,0.00002989,0.00013792,69159696.00000000,2020-04-11 08:59:59.999,10156.84292995,266714,33351173.00000000,4903.48004378,0
1,2020-04-11 09:00:00.000,0.00013793,0.00015333,0.00011151,0.00011455,29221929.00000000,2020-04-12 08:59:59.999,3876.05999829,113595,13839339.00000000,1847.78369063,0
2,2020-04-12 09:00:00.000,0.00011467,0.00013550,0.00011042,0.00012726,21984081.00000000,2020-04-13 08:59:59.999,2699.40089100,95775,11041379.00000000,1356.83834702,0
3,2020-04-13 09:00:00.000,0.00012772,0.00012822,0.00011300,0.00011375,10950524.00000000,2020-04-14 08:59:59.999,1321.36127637,49795,4841674.00000000,586.17603919,0
4,2020-04-14 09:00:00.000,0.00011357,0.00011650,0.00009105,0.00009700,12645953.00000000,2020-04-15 08:59:59.999,1293.30757269,53529,5667640.00000000,575.83983408,0
5,2020-04-15 09:00:00.000,0.00009713,0.00010353,0.00009201,0.00009627,8413113.00000000,2020-04-16 08:59:59.999,823.94459811,44029,4113572.00000000,404.43519354,0
6,2020-04-16 09:00:00.000,0.00009611,0.00011365,0.00009497,0.00009725,17860049.00000000,2020-04-17 08:59:59.999,1886.93083624,69117,8931934.00000000,945.51792372,0
7,2020-04-17 09:00:00.000,0.00009713,0.00010094,0.00009304,0.00009321,4357167.00000000,2020-04-18 08:59:59.999,419.22117100,24352,1782378.00000000,172.01346288,0
8,2020-04-18 09:00:00.000,0.00009325,0.00009985,0.00009310,0.00009348,3994742.00000000,2020-04-19 08:59:59.999,382.34831255,19507,1776588.00000000,170.34897063,0
9,2020-04-19 09:00:00.000,0.00009348,0.00009392,0.00008329,0.00008477,4397843.00000000,2020-04-20 08:59:59.999,387.04322884,20326,1790933.00000000,157.89995874,0
10,2020-04-20 09:00:00.000,0.00008478,0.00008913,0.00007624,0.00007777,4542657.00000000,2020-04-21 08:59:59.999,374.23186209,15104,2002355.00000000,165.63458719,0
