,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-08-11 09:00:00.000,0.00000932,0.00014250,0.00000932,0.00013633,45644198.00000000,2020-08-12 08:59:59.999,5225.71904027,111800,22236679.00000000,2535.90828150,0
1,2020-08-12 09:00:00.000,0.00013658,0.00017562,0.00013651,0.00014377,48599282.00000000,2020-08-13 08:59:59.999,7684.81377099,142188,23182053.00000000,3667.71365947,0
2,2020-08-13 09:00:00.000,0.00014403,0.00019404,0.00013943,0.00017031,22263437.00000000,2020-08-14 08:59:59.999,3823.00239032,96607,10424058.00000000,1797.13274554,0
3,2020-08-14 09:00:00.000,0.00017028,0.00018309,0.00015289,0.00015714,8462898.00000000,2020-08-15 08:59:59.999,1430.13481366,44142,4027396.00000000,680.38134474,0
4,2020-08-15 09:00:00.000,0.00015834,0.00015940,0.00013697,0.00014078,5202363.00000000,2020-08-16 08:59:59.999,775.37639189,29882,2552651.00000000,381.30820571,0
5,2020-08-16 09:00:00.000,0.00014022,0.00015621,0.00012832,0.00014505,4933960.00000000,2020-08-17 08:59:59.999,711.08740818,24037,2338611.00000000,338.10969400,0
6,2020-08-17 09:00:00.000,0.00014533,0.00015080,0.00013000,0.00013419,3085252.00000000,2020-08-18 08:59:59.999,434.01890522,14666,1448809.00000000,204.81007710,0
7,2020-08-18 09:00:00.000,0.00013419,0.00015033,0.00012814,0.00013951,3604317.00000000,2020-08-19 08:59:59.999,501.71491776,17365,1712605.00000000,238.66174106,0
8,2020-08-19 09:00:00.000,0.00013970,0.00014852,0.00013319,0.00013623,1938275.00000000,2020-08-20 08:59:59.999,269.54768116,10467,897020.00000000,124.80736436,0
9,2020-08-20 09:00:00.000,0.00013559,0.00015100,0.00013559,0.00014979,1921735.00000000,2020-08-21 08:59:59.999,276.13058901,9552,927145.00000000,133.01801477,0
10,2020-08-21 09:00:00.000,0.00014977,0.00014977,0.00013022,0.00013121,1655190.00000000,2020-08-22 08:59:59.999,229.29517776,9389,692483.00000000,95.93435725,0
11,2020-08-22 09:00:00.000,0.00013107,0.00013491,0.00012301,0.00013238,1116301.00000000,2020-08-23 08:59:59.999,146.15340359,7060,548382.00000000,71.86619056,0
12,2020-08-23 09:00:00.000,0.00013239,0.00013882,0.00012700,0.00013143,1159696.00000000,2020-08-24 08:59:59.999,152.54210904,6207,508566.00000000,66.99637946,0
13,2020-08-24 09:00:00.000,0.00013165,0.00015683,0.00012930,0.00015633,8048401.00000000,2020-08-25 08:59:59.999,1203.32877895,53181,4400564.00000000,658.84762288,0
14,2020-08-25 09:00:00.000,0.00015634,0.00015975,0.00013949,0.00014779,2265770.00000000,2020-08-26 08:59:59.999,334.52421169,15378,1007814.00000000,148.79417765,0
15,2020-08-26 09:00:00.000,0.00014751,0.00018500,0.00014543,0.00018116,5553282.00000000,2020-08-27 08:59:59.999,943.89134825,38543,2901981.00000000,493.96953283,0
16,2020-08-27 09:00:00.000,0.00018076,0.00022839,0.00017706,0.00022418,10391991.00000000,2020-08-28 08:59:59.999,2157.78832157,80509,5126583.00000000,1064.44503969,0
17,2020-08-28 09:00:00.000,0.00022348,0.00024700,0.00020205,0.00020983,7865290.00000000,2020-08-29 08:59:59.999,1767.25397775,68438,3582743.00000000,807.52740294,0
18,2020-08-29 09:00:00.000,0.00020940,0.00025797,0.00019889,0.00024619,6337439.00000000,2020-08-30 08:59:59.999,1455.72971234,49044,3200973.00000000,739.02815697,0
19,2020-08-30 09:00:00.000,0.00024630,0.00025571,0.00022794,0.00024690,4990994.00000000,2020-08-31 08:59:59.999,1208.63849046,45299,2185344.00000000,528.75319956,0
20,2020-08-31 09:00:00.000,0.00024650,0.00030888,0.00022372,0.00028248,6623421.00000000,2020-09-01 08:59:59.999,1761.59537450,59422,3221424.00000000,858.55635818,0
21,2020-09-01 09:00:00.000,0.00028280,0.00032470,0.00026010,0.00026216,6226544.00000000,2020-09-02 08:59:59.999,1807.44489538,63192,2914715.00000000,847.21638803,0
22,2020-09-02 09:00:00.000,0.00026208,0.00033000,0.00024120,0.00031575,7344484.00000000,2020-09-03 08:59:59.999,2114.55290676,85345,3510829.00000000,1016.91974378,0
23,2020-09-03 09:00:00.000,0.00031541,0.00032500,0.00027700,0.00028503,5127692.00000000,2020-09-04 08:59:59.999,1545.81756414,58110,2350220.00000000,707.63937200,0
24,2020-09-04 09:00:00.000,0.00028508,0.00031344,0.00025067,0.00027668,3414137.00000000,2020-09-05 08:59:59.999,965.42984308,42161,1514301.00000000,431.27849305,0
25,2020-09-05 09:00:00.000,0.00027656,0.00030140,0.00019581,0.00021758,4886121.00000000,2020-09-06 08:59:59.999,1160.13838642,54462,2209188.00000000,523.91572763,0
26,2020-09-06 09:00:00.000,0.00021739,0.00026234,0.00019459,0.00025302,3880456.00000000,2020-09-07 08:59:59.999,914.44262532,40691,1904056.00000000,447.50411789,0
27,2020-09-07 09:00:00.000,0.00025374,0.00026337,0.00020986,0.00023502,3010912.00000000,2020-09-08 08:59:59.999,694.46267931,33202,1350673.00000000,311.87521648,0
28,2020-09-08 09:00:00.000,0.00023468,0.00023791,0.00020656,0.00021070,1932720.00000000,2020-09-09 08:59:59.999,424.95438819,20818,824903.00000000,182.07852306,0
29,2020-09-09 09:00:00.000,0.00021066,0.00025257,0.00020717,0.00024070,3156119.00000000,2020-09-10 08:59:59.999,730.51757783,26678,1565283.00000000,362.89703114,0
30,2020-09-10 09:00:00.000,0.00024071,0.00024769,0.00022031,0.00022109,2050233.00000000,2020-09-11 08:59:59.999,481.48769137,19588,976837.00000000,230.08371869,0
31,2020-09-11 09:00:00.000,0.00022118,0.00023242,0.00021333,0.00022969,1570624.00000000,2020-09-12 08:59:59.999,349.85728453,12047,930575.00000000,207.89399396,0
32,2020-09-12 09:00:00.000,0.00022960,0.00023754,0.00021741,0.00023096,1277938.00000000,2020-09-13 08:59:59.999,291.11629584,14226,674726.00000000,153.76753329,0
33,2020-09-13 09:00:00.000,0.00023096,0.00025111,0.00021462,0.00023016,3775076.00000000,2020-09-14 08:59:59.999,874.13993679,39365,1920505.00000000,444.96129318,0
34,2020-09-14 09:00:00.000,0.00023015,0.00024000,0.00021754,0.00022428,2389468.00000000,2020-09-15 08:59:59.999,547.18636754,24622,1218608.00000000,279.99477102,0
35,2020-09-15 09:00:00.000,0.00022431,0.00023313,0.00018617,0.00018898,1920442.00000000,2020-09-16 08:59:59.999,402.16749344,19405,848377.00000000,178.39088014,0
36,2020-09-16 09:00:00.000,0.00018904,0.00018904,0.00015875,0.00016684,2535469.00000000,2020-09-17 08:59:59.999,443.42847500,19776,1127967.00000000,197.55656641,0
37,2020-09-17 09:00:00.000,0.00016685,0.00018239,0.00016465,0.00017742,1583388.00000000,2020-09-18 08:59:59.999,276.22505903,15584,770803.00000000,134.67174043,0
38,2020-09-18 09:00:00.000,0.00017728,0.00021037,0.00017427,0.00019272,3211022.00000000,2020-09-19 08:59:59.999,611.73283467,27073,1666736.00000000,317.60031559,0
