,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00004770,0.00005550,0.00004700,0.00004790,2546493.58000000,2019-05-24 08:59:59.999,127.97076490,9393,1201603.95000000,60.57055579,0
1,2019-05-24 09:00:00.000,0.00004790,0.00005120,0.00004750,0.00004850,2044508.87000000,2019-05-25 08:59:59.999,100.20318328,7009,967324.86000000,47.47856814,0
2,2019-05-25 09:00:00.000,0.00004830,0.00005000,0.00004760,0.00004870,1091149.45000000,2019-05-26 08:59:59.999,52.90234939,4070,563351.81000000,27.34348059,0
3,2019-05-26 09:00:00.000,0.00004860,0.00005110,0.00004430,0.00004590,2518962.59000000,2019-05-27 08:59:59.999,121.58918860,7617,1052064.40000000,50.59918739,0
4,2019-05-27 09:00:00.000,0.00004590,0.00005000,0.00004550,0.00004830,1963820.27000000,2019-05-28 08:59:59.999,93.71457653,7626,1042804.98000000,49.75736020,0
5,2019-05-28 09:00:00.000,0.00004830,0.00005020,0.00004710,0.00004910,1893400.29000000,2019-05-29 08:59:59.999,91.74053026,4952,848772.80000000,41.10953817,0
6,2019-05-29 09:00:00.000,0.00004890,0.00004990,0.00004720,0.00004810,1178030.37000000,2019-05-30 08:59:59.999,56.76035229,3411,480703.23000000,23.17858816,0
7,2019-05-30 09:00:00.000,0.00004810,0.00005000,0.00004550,0.00004630,2428652.64000000,2019-05-31 08:59:59.999,116.63407193,6440,987931.45000000,47.57150010,0
8,2019-05-31 09:00:00.000,0.00004610,0.00004830,0.00004520,0.00004700,1435607.81000000,2019-06-01 08:59:59.999,66.52791838,3921,744338.90000000,34.50464622,0
9,2019-06-01 09:00:00.000,0.00004670,0.00004840,0.00004580,0.00004610,849658.42000000,2019-06-02 08:59:59.999,39.48790573,2661,332863.32000000,15.52700705,0
10,2019-06-02 09:00:00.000,0.00004620,0.00004780,0.00004610,0.00004710,1113822.02000000,2019-06-03 08:59:59.999,52.23304348,2692,366995.04000000,17.26258009,0
11,2019-06-03 09:00:00.000,0.00004710,0.00004730,0.00004570,0.00004640,990833.77000000,2019-06-04 08:59:59.999,45.97472403,3294,494843.32000000,22.98579812,0
12,2019-06-04 09:00:00.000,0.00004620,0.00004710,0.00004470,0.00004540,1010648.78000000,2019-06-05 08:59:59.999,46.22211278,4151,437287.99000000,20.06586956,0
13,2019-06-05 09:00:00.000,0.00004530,0.00004680,0.00004510,0.00004570,837893.88000000,2019-06-06 08:59:59.999,38.36598630,2721,353138.31000000,16.18857978,0
14,2019-06-06 09:00:00.000,0.00004580,0.00004610,0.00004490,0.00004550,744322.28000000,2019-06-07 08:59:59.999,33.82852210,2118,304820.72000000,13.87452027,0
15,2019-06-07 09:00:00.000,0.00004550,0.00004820,0.00004510,0.00004680,1197296.96000000,2019-06-08 08:59:59.999,55.70674758,4641,593479.33000000,27.69809471,0
16,2019-06-08 09:00:00.000,0.00004680,0.00005100,0.00004600,0.00004950,2947707.99000000,2019-06-09 08:59:59.999,145.05033707,9345,1377070.80000000,67.87424688,0
17,2019-06-09 09:00:00.000,0.00004950,0.00005560,0.00004870,0.00004950,4412682.41000000,2019-06-10 08:59:59.999,229.20603616,13836,1968406.40000000,102.61790688,0
