,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-06-11 09:00:00.000,0.00000034,0.00000035,0.00000025,0.00000025,1484007132.00000000,2020-06-12 08:59:59.999,417.24513427,8505,646476302.00000000,184.33492860,0
1,2020-06-12 09:00:00.000,0.00000025,0.00000027,0.00000024,0.00000027,473377500.00000000,2020-06-13 08:59:59.999,122.23464913,3187,228746932.00000000,59.79992111,0
2,2020-06-13 09:00:00.000,0.00000026,0.00000029,0.00000025,0.00000026,624667128.00000000,2020-06-14 08:59:59.999,168.36896812,6964,285049628.00000000,77.71498644,0
3,2020-06-14 09:00:00.000,0.00000026,0.00000027,0.00000024,0.00000025,207590375.00000000,2020-06-15 08:59:59.999,52.43962999,1856,104888266.00000000,26.66245236,0
4,2020-06-15 09:00:00.000,0.00000025,0.00000025,0.00000022,0.00000024,368652283.00000000,2020-06-16 08:59:59.999,85.54031975,2235,154348854.00000000,36.06624729,0
5,2020-06-16 09:00:00.000,0.00000025,0.00000025,0.00000022,0.00000024,154092365.00000000,2020-06-17 08:59:59.999,35.66162374,1040,42315172.00000000,9.89897365,0
6,2020-06-17 09:00:00.000,0.00000023,0.00000027,0.00000023,0.00000026,633102435.00000000,2020-06-18 08:59:59.999,159.51089829,14652,491857919.00000000,124.86364173,0
7,2020-06-18 09:00:00.000,0.00000025,0.00000027,0.00000024,0.00000025,738873390.00000000,2020-06-19 08:59:59.999,188.31809298,8348,405075683.00000000,104.59073782,0
8,2020-06-19 09:00:00.000,0.00000026,0.00000026,0.00000024,0.00000024,181106558.00000000,2020-06-20 08:59:59.999,44.72443063,2804,64104526.00000000,16.06339950,0
9,2020-06-20 09:00:00.000,0.00000024,0.00000026,0.00000024,0.00000026,175840172.00000000,2020-06-21 08:59:59.999,43.83266028,997,70144134.00000000,17.57985833,0
10,2020-06-21 09:00:00.000,0.00000025,0.00000026,0.00000024,0.00000025,150867569.00000000,2020-06-22 08:59:59.999,37.58899482,642,53353012.00000000,13.36525541,0
11,2020-06-22 09:00:00.000,0.00000024,0.00000025,0.00000023,0.00000024,113581424.00000000,2020-06-23 08:59:59.999,27.40572652,900,30473081.00000000,7.46663384,0
12,2020-06-23 09:00:00.000,0.00000024,0.00000025,0.00000023,0.00000024,54631006.00000000,2020-06-24 08:59:59.999,12.92240809,485,19724588.00000000,4.75256163,0
13,2020-06-24 09:00:00.000,0.00000024,0.00000024,0.00000022,0.00000023,235060096.00000000,2020-06-25 08:59:59.999,54.05818870,1131,88907213.00000000,20.55324412,0
14,2020-06-25 09:00:00.000,0.00000023,0.00000023,0.00000022,0.00000022,70873122.00000000,2020-06-26 08:59:59.999,15.87391200,486,28182516.00000000,6.48197868,0
15,2020-06-26 09:00:00.000,0.00000023,0.00000023,0.00000021,0.00000022,170907336.00000000,2020-06-27 08:59:59.999,37.92150759,938,74305217.00000000,16.71631270,0
16,2020-06-27 09:00:00.000,0.00000022,0.00000023,0.00000020,0.00000020,78302761.00000000,2020-06-28 08:59:59.999,16.62303485,717,10222475.00000000,2.21858075,0
17,2020-06-28 09:00:00.000,0.00000020,0.00000022,0.00000020,0.00000020,118869434.00000000,2020-06-29 08:59:59.999,24.95931943,551,66562142.00000000,14.00327905,0
18,2020-06-29 09:00:00.000,0.00000021,0.00000022,0.00000020,0.00000021,238522924.00000000,2020-06-30 08:59:59.999,50.07260126,764,132531755.00000000,27.85122101,0
19,2020-06-30 09:00:00.000,0.00000021,0.00000022,0.00000020,0.00000021,180398806.00000000,2020-07-01 08:59:59.999,37.95791911,715,110532812.00000000,23.30504598,0
20,2020-07-01 09:00:00.000,0.00000021,0.00000022,0.00000020,0.00000022,330315140.00000000,2020-07-02 08:59:59.999,69.56966876,889,175843202.00000000,37.32508337,0
21,2020-07-02 09:00:00.000,0.00000022,0.00000022,0.00000020,0.00000020,121484076.00000000,2020-07-03 08:59:59.999,25.46213333,786,40037279.00000000,8.42879852,0
22,2020-07-03 09:00:00.000,0.00000020,0.00000022,0.00000020,0.00000021,213439943.00000000,2020-07-04 08:59:59.999,44.82943592,1102,111002581.00000000,23.33657230,0
23,2020-07-04 09:00:00.000,0.00000021,0.00000022,0.00000021,0.00000022,93559193.00000000,2020-07-05 08:59:59.999,19.70311179,387,29532075.00000000,6.25741701,0
24,2020-07-05 09:00:00.000,0.00000021,0.00000022,0.00000020,0.00000021,141665159.00000000,2020-07-06 08:59:59.999,29.72230972,399,45531353.00000000,9.58280107,0
25,2020-07-06 09:00:00.000,0.00000020,0.00000022,0.00000020,0.00000020,71038674.00000000,2020-07-07 08:59:59.999,14.63758802,407,40306446.00000000,8.46436691,0
26,2020-07-07 09:00:00.000,0.00000021,0.00000022,0.00000020,0.00000022,256438458.00000000,2020-07-08 08:59:59.999,53.88738557,925,146630477.00000000,30.87951079,0
27,2020-07-08 09:00:00.000,0.00000022,0.00000024,0.00000021,0.00000023,1000358338.00000000,2020-07-09 08:59:59.999,228.62270409,4992,643366371.00000000,147.40102095,0
28,2020-07-09 09:00:00.000,0.00000023,0.00000028,0.00000022,0.00000026,1639807019.00000000,2020-07-10 08:59:59.999,400.89581800,8720,876948862.00000000,216.78210358,0
29,2020-07-10 09:00:00.000,0.00000025,0.00000026,0.00000023,0.00000026,792405737.00000000,2020-07-11 08:59:59.999,196.67959754,4332,366265888.00000000,91.96883915,0
30,2020-07-11 09:00:00.000,0.00000026,0.00000028,0.00000024,0.00000026,772066668.00000000,2020-07-12 08:59:59.999,200.91129916,3895,361301709.00000000,94.48583813,0
31,2020-07-12 09:00:00.000,0.00000025,0.00000028,0.00000025,0.00000026,426545299.00000000,2020-07-13 08:59:59.999,112.07047309,2516,284325709.00000000,75.40012515,0
32,2020-07-13 09:00:00.000,0.00000026,0.00000026,0.00000023,0.00000024,572871974.00000000,2020-07-14 08:59:59.999,140.34348683,3334,152700403.00000000,37.33920072,0
33,2020-07-14 09:00:00.000,0.00000024,0.00000025,0.00000023,0.00000025,204149682.00000000,2020-07-15 08:59:59.999,49.63822389,1264,99154626.00000000,24.44513550,0
34,2020-07-15 09:00:00.000,0.00000025,0.00000025,0.00000023,0.00000023,159132723.00000000,2020-07-16 08:59:59.999,38.31289251,1016,53450776.00000000,12.95644536,0
35,2020-07-16 09:00:00.000,0.00000024,0.00000030,0.00000023,0.00000027,1219252418.00000000,2020-07-17 08:59:59.999,324.73593095,7297,765580756.00000000,204.18329516,0
