,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00003586,0.00003790,0.00003454,0.00003771,2674427.00000000,2019-05-24 08:59:59.999,97.00449469,7879,1167249.00000000,42.50144913,0
1,2019-05-24 09:00:00.000,0.00003772,0.00003936,0.00003548,0.00003679,2848192.00000000,2019-05-25 08:59:59.999,106.53436615,7911,1313702.00000000,49.23565141,0
2,2019-05-25 09:00:00.000,0.00003674,0.00003966,0.00003652,0.00003830,1715846.00000000,2019-05-26 08:59:59.999,64.69217536,6118,910634.00000000,34.45305604,0
3,2019-05-26 09:00:00.000,0.00003818,0.00004280,0.00003395,0.00003438,5937137.00000000,2019-05-27 08:59:59.999,231.94377467,16578,3020144.00000000,118.46787354,0
4,2019-05-27 09:00:00.000,0.00003441,0.00003515,0.00003396,0.00003456,772035.00000000,2019-05-28 08:59:59.999,26.74435498,3057,418974.00000000,14.52767571,0
5,2019-05-28 09:00:00.000,0.00003458,0.00003534,0.00003398,0.00003454,954407.00000000,2019-05-29 08:59:59.999,32.97302751,3148,417963.00000000,14.46038203,0
6,2019-05-29 09:00:00.000,0.00003454,0.00003537,0.00003322,0.00003380,1581185.00000000,2019-05-30 08:59:59.999,54.01310685,4691,741320.00000000,25.29325541,0
7,2019-05-30 09:00:00.000,0.00003375,0.00003432,0.00003159,0.00003203,1825210.00000000,2019-05-31 08:59:59.999,60.59426814,5173,861135.00000000,28.63478478,0
8,2019-05-31 09:00:00.000,0.00003198,0.00003291,0.00003158,0.00003249,915078.00000000,2019-06-01 08:59:59.999,29.51347546,2849,434267.00000000,14.01887759,0
9,2019-06-01 09:00:00.000,0.00003250,0.00003370,0.00003203,0.00003242,944328.00000000,2019-06-02 08:59:59.999,30.83858327,3044,524745.00000000,17.15880216,0
10,2019-06-02 09:00:00.000,0.00003240,0.00003320,0.00003202,0.00003260,1301247.00000000,2019-06-03 08:59:59.999,42.39778160,4037,530176.00000000,17.27868407,0
11,2019-06-03 09:00:00.000,0.00003261,0.00003271,0.00003114,0.00003152,1097318.00000000,2019-06-04 08:59:59.999,34.88959260,3198,519858.00000000,16.54470856,0
12,2019-06-04 09:00:00.000,0.00003159,0.00003247,0.00003152,0.00003206,536055.00000000,2019-06-05 08:59:59.999,17.16390607,1953,189471.00000000,6.07793806,0
13,2019-06-05 09:00:00.000,0.00003205,0.00003344,0.00003098,0.00003178,2156793.00000000,2019-06-06 08:59:59.999,68.76827522,6559,996518.00000000,31.80318204,0
14,2019-06-06 09:00:00.000,0.00003179,0.00003319,0.00003168,0.00003316,832822.00000000,2019-06-07 08:59:59.999,26.91597464,2943,516200.00000000,16.69231650,0
15,2019-06-07 09:00:00.000,0.00003306,0.00003595,0.00003255,0.00003400,2488526.00000000,2019-06-08 08:59:59.999,84.65069228,7846,1344894.00000000,45.85529612,0
16,2019-06-08 09:00:00.000,0.00003401,0.00003896,0.00003370,0.00003581,4867118.00000000,2019-06-09 08:59:59.999,177.49631649,15162,2551341.00000000,93.09034783,0
