,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00011750,0.00012760,0.00011280,0.00012400,1091733.01000000,2019-05-24 08:59:59.999,130.11071149,9354,504075.45000000,60.21726361,0
1,2019-05-24 09:00:00.000,0.00012390,0.00013140,0.00011650,0.00012010,1537510.88000000,2019-05-25 08:59:59.999,188.75434128,14580,744513.16000000,91.41851489,0
2,2019-05-25 09:00:00.000,0.00012010,0.00013990,0.00011980,0.00013400,3485086.24000000,2019-05-26 08:59:59.999,460.15287171,25341,1596375.17000000,211.12345972,0
3,2019-05-26 09:00:00.000,0.00013440,0.00013690,0.00011250,0.00011750,2404486.47000000,2019-05-27 08:59:59.999,301.04978378,16690,986305.51000000,123.34923730,0
4,2019-05-27 09:00:00.000,0.00011750,0.00012040,0.00011320,0.00011750,942212.84000000,2019-05-28 08:59:59.999,109.33476408,8686,483993.76000000,56.25478788,0
5,2019-05-28 09:00:00.000,0.00011750,0.00011840,0.00011500,0.00011780,677607.74000000,2019-05-29 08:59:59.999,79.25341061,5294,285664.40000000,33.43437010,0
6,2019-05-29 09:00:00.000,0.00011760,0.00012520,0.00011660,0.00011980,1083866.74000000,2019-05-30 08:59:59.999,130.61959914,9722,483846.54000000,58.43596911,0
7,2019-05-30 09:00:00.000,0.00011950,0.00012680,0.00011310,0.00011470,1247133.25000000,2019-05-31 08:59:59.999,149.35648308,8982,569725.59000000,68.38167427,0
8,2019-05-31 09:00:00.000,0.00011440,0.00012100,0.00011250,0.00011660,597691.25000000,2019-06-01 08:59:59.999,69.64526632,5087,297194.83000000,34.81567270,0
9,2019-06-01 09:00:00.000,0.00011660,0.00012040,0.00011500,0.00011580,697489.98000000,2019-06-02 08:59:59.999,81.51446960,5531,350186.40000000,40.98017863,0
10,2019-06-02 09:00:00.000,0.00011580,0.00011800,0.00011430,0.00011680,461450.68000000,2019-06-03 08:59:59.999,53.65853899,3852,241656.02000000,28.11084385,0
11,2019-06-03 09:00:00.000,0.00011710,0.00011710,0.00011250,0.00011440,536953.79000000,2019-06-04 08:59:59.999,61.71284754,3978,207084.99000000,23.81960397,0
12,2019-06-04 09:00:00.000,0.00011410,0.00011450,0.00011000,0.00011310,879735.63000000,2019-06-05 08:59:59.999,98.92502792,6023,457800.50000000,51.55699548,0
13,2019-06-05 09:00:00.000,0.00011320,0.00011410,0.00010990,0.00011150,567015.92000000,2019-06-06 08:59:59.999,63.43891133,3798,262759.12000000,29.46930899,0
14,2019-06-06 09:00:00.000,0.00011150,0.00011350,0.00011000,0.00011260,730792.98000000,2019-06-07 08:59:59.999,81.60703774,4123,268248.05000000,30.05240843,0
15,2019-06-07 09:00:00.000,0.00011260,0.00011480,0.00011000,0.00011310,904886.00000000,2019-06-08 08:59:59.999,101.89908066,6768,426735.23000000,48.14875996,0
16,2019-06-08 09:00:00.000,0.00011310,0.00011820,0.00011280,0.00011580,806314.08000000,2019-06-09 08:59:59.999,93.39675829,7469,400118.63000000,46.38259636,0
17,2019-06-09 09:00:00.000,0.00011570,0.00012640,0.00011540,0.00011930,1807473.44000000,2019-06-10 08:59:59.999,217.92209186,14567,904714.09000000,109.06235371,0
18,2019-06-10 09:00:00.000,0.00011920,0.00012600,0.00011840,0.00012050,1155941.82000000,2019-06-11 08:59:59.999,140.93161351,8792,519728.78000000,63.51710491,0
19,2019-06-11 09:00:00.000,0.00012040,0.00012190,0.00011770,0.00011920,706587.35000000,2019-06-12 08:59:59.999,84.61690229,4316,269647.41000000,32.34235000,0
20,2019-06-12 09:00:00.000,0.00011970,0.00012000,0.00011490,0.00011600,809168.29000000,2019-06-13 08:59:59.999,94.76598930,4640,404654.45000000,47.38252884,0
21,2019-06-13 09:00:00.000,0.00011600,0.00012080,0.00011160,0.00011310,813713.00000000,2019-06-14 08:59:59.999,94.26489431,6192,319884.34000000,37.07023428,0
22,2019-06-14 09:00:00.000,0.00011300,0.00011380,0.00010250,0.00010570,989447.90000000,2019-06-15 08:59:59.999,107.03010744,7225,443461.72000000,47.96342454,0
23,2019-06-15 09:00:00.000,0.00010560,0.00010710,0.00010100,0.00010290,595406.42000000,2019-06-16 08:59:59.999,62.16354614,4188,272920.26000000,28.59716251,0
24,2019-06-16 09:00:00.000,0.00010290,0.00014220,0.00010260,0.00011810,8030125.91000000,2019-06-17 08:59:59.999,996.80986177,47886,3898178.55000000,486.32281116,0
25,2019-06-17 09:00:00.000,0.00011800,0.00011820,0.00010540,0.00010610,1771242.20000000,2019-06-18 08:59:59.999,193.97303162,11642,736422.14000000,80.46517424,0
26,2019-06-18 09:00:00.000,0.00010640,0.00010730,0.00010490,0.00010630,581296.21000000,2019-06-19 08:59:59.999,61.47031882,3410,277560.78000000,29.37109379,0
27,2019-06-19 09:00:00.000,0.00010660,0.00010730,0.00010360,0.00010540,400710.70000000,2019-06-20 08:59:59.999,42.36938164,2964,155435.69000000,16.47046049,0
28,2019-06-20 09:00:00.000,0.00010510,0.00010690,0.00009620,0.00009880,795481.47000000,2019-06-21 08:59:59.999,80.68327792,5495,342314.00000000,34.83844349,0
29,2019-06-21 09:00:00.000,0.00009850,0.00009870,0.00009010,0.00009080,776593.67000000,2019-06-22 08:59:59.999,72.85242935,4569,373227.53000000,35.02695854,0
30,2019-06-22 09:00:00.000,0.00009070,0.00009220,0.00008100,0.00008980,1144574.93000000,2019-06-23 08:59:59.999,99.13518062,7300,527872.88000000,45.74071064,0
31,2019-06-23 09:00:00.000,0.00008980,0.00009450,0.00008410,0.00008880,828970.55000000,2019-06-24 08:59:59.999,74.68744224,5388,387438.51000000,34.95880752,0
32,2019-06-24 09:00:00.000,0.00008890,0.00008960,0.00008610,0.00008820,312842.21000000,2019-06-25 08:59:59.999,27.46240115,2617,135990.59000000,11.94210983,0
33,2019-06-25 09:00:00.000,0.00008800,0.00008990,0.00008260,0.00008340,519930.14000000,2019-06-26 08:59:59.999,44.47933591,3786,222824.59000000,19.06511609,0
34,2019-06-26 09:00:00.000,0.00008350,0.00008350,0.00007080,0.00007290,2211679.96000000,2019-06-27 08:59:59.999,171.26512413,13685,999505.66000000,77.50036956,0
