,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-10-25 09:00:00.000,0.00004037,0.00008000,0.00003210,0.00004334,52921128.00000000,2019-10-26 08:59:59.999,2183.99376145,66747,23595139.00000000,982.93216099,0
1,2019-10-26 09:00:00.000,0.00004338,0.00004385,0.00002555,0.00002840,29003921.00000000,2019-10-27 08:59:59.999,917.78811722,32007,13196614.00000000,416.97436138,0
2,2019-10-27 09:00:00.000,0.00002843,0.00002952,0.00002189,0.00002219,16414940.00000000,2019-10-28 08:59:59.999,406.49006413,22380,6967562.00000000,172.20336940,0
3,2019-10-28 09:00:00.000,0.00002225,0.00002665,0.00002080,0.00002310,16004041.00000000,2019-10-29 08:59:59.999,389.77062039,18037,6965460.00000000,169.78739516,0
4,2019-10-29 09:00:00.000,0.00002315,0.00002406,0.00002205,0.00002240,5612439.00000000,2019-10-30 08:59:59.999,128.56532066,7598,2541376.00000000,58.30778013,0
5,2019-10-30 09:00:00.000,0.00002245,0.00002307,0.00002098,0.00002145,3987623.00000000,2019-10-31 08:59:59.999,87.77270769,6238,1757854.00000000,38.91058216,0
6,2019-10-31 09:00:00.000,0.00002149,0.00002327,0.00002014,0.00002106,9762877.00000000,2019-11-01 08:59:59.999,211.93320095,8809,4573121.00000000,99.48454391,0
7,2019-11-01 09:00:00.000,0.00002106,0.00002166,0.00002039,0.00002061,5340760.00000000,2019-11-02 08:59:59.999,112.00691729,5143,2396159.00000000,50.52760383,0
8,2019-11-02 09:00:00.000,0.00002061,0.00002184,0.00002040,0.00002084,5072653.00000000,2019-11-03 08:59:59.999,106.94584429,6468,2245091.00000000,47.37880872,0
9,2019-11-03 09:00:00.000,0.00002093,0.00002826,0.00002081,0.00002540,26088692.00000000,2019-11-04 08:59:59.999,641.06801162,36330,12730122.00000000,312.12380724,0
10,2019-11-04 09:00:00.000,0.00002531,0.00002680,0.00002345,0.00002367,20909368.00000000,2019-11-05 08:59:59.999,518.97029760,21222,8212674.00000000,204.60068695,0
11,2019-11-05 09:00:00.000,0.00002356,0.00002455,0.00002253,0.00002368,11949380.00000000,2019-11-06 08:59:59.999,279.47041149,10898,5057086.00000000,118.36765746,0
12,2019-11-06 09:00:00.000,0.00002372,0.00002454,0.00002169,0.00002172,7473977.00000000,2019-11-07 08:59:59.999,173.10689051,7931,2775831.00000000,64.71661891,0
13,2019-11-07 09:00:00.000,0.00002180,0.00002420,0.00002172,0.00002390,11055449.00000000,2019-11-08 08:59:59.999,251.52207015,12447,4991180.00000000,113.65116500,0
14,2019-11-08 09:00:00.000,0.00002390,0.00002495,0.00002240,0.00002429,11625411.00000000,2019-11-09 08:59:59.999,273.35074022,10072,4815049.00000000,113.57870378,0
15,2019-11-09 09:00:00.000,0.00002428,0.00002541,0.00002293,0.00002323,9493921.00000000,2019-11-10 08:59:59.999,229.07823996,8015,3831962.00000000,92.64454628,0
16,2019-11-10 09:00:00.000,0.00002323,0.00002358,0.00002195,0.00002210,5402753.00000000,2019-11-11 08:59:59.999,123.19511124,4622,2385417.00000000,54.50832255,0
17,2019-11-11 09:00:00.000,0.00002210,0.00002294,0.00002198,0.00002237,3889408.00000000,2019-11-12 08:59:59.999,87.27273486,3612,1837684.00000000,41.23705014,0
18,2019-11-12 09:00:00.000,0.00002237,0.00002239,0.00002150,0.00002175,2740317.00000000,2019-11-13 08:59:59.999,60.18940463,3303,1005935.00000000,22.07642180,0
19,2019-11-13 09:00:00.000,0.00002173,0.00002234,0.00002172,0.00002209,1652134.00000000,2019-11-14 08:59:59.999,36.38048864,1571,854161.00000000,18.81169468,0
20,2019-11-14 09:00:00.000,0.00002209,0.00002220,0.00002104,0.00002119,1969488.00000000,2019-11-15 08:59:59.999,42.34750532,2091,701984.00000000,15.12441533,0
21,2019-11-15 09:00:00.000,0.00002115,0.00002184,0.00002021,0.00002165,6681433.00000000,2019-11-16 08:59:59.999,140.41105377,6410,3190378.00000000,67.23385046,0
22,2019-11-16 09:00:00.000,0.00002173,0.00002230,0.00002140,0.00002145,4236865.00000000,2019-11-17 08:59:59.999,92.49039705,4134,1857115.00000000,40.64461462,0
23,2019-11-17 09:00:00.000,0.00002150,0.00002163,0.00002088,0.00002106,2521698.00000000,2019-11-18 08:59:59.999,53.65050757,2129,921484.00000000,19.62663038,0
24,2019-11-18 09:00:00.000,0.00002107,0.00002114,0.00002021,0.00002047,3410678.00000000,2019-11-19 08:59:59.999,70.26184490,3198,1310353.00000000,27.04051797,0
25,2019-11-19 09:00:00.000,0.00002048,0.00002066,0.00001901,0.00001935,5747081.00000000,2019-11-20 08:59:59.999,112.45569141,5752,2146197.00000000,41.98484063,0
26,2019-11-20 09:00:00.000,0.00001937,0.00001954,0.00001796,0.00001817,3886795.00000000,2019-11-21 08:59:59.999,72.32457080,4391,1353314.00000000,25.15772381,0
27,2019-11-21 09:00:00.000,0.00001816,0.00001830,0.00001673,0.00001700,5419911.00000000,2019-11-22 08:59:59.999,93.34577639,4307,2518493.00000000,43.33263391,0
28,2019-11-22 09:00:00.000,0.00001700,0.00001733,0.00001501,0.00001558,9247109.00000000,2019-11-23 08:59:59.999,147.89444199,6439,4039075.00000000,64.58022962,0
29,2019-11-23 09:00:00.000,0.00001563,0.00001770,0.00001509,0.00001679,8972951.00000000,2019-11-24 08:59:59.999,149.25238969,7065,4512264.00000000,74.99627587,0
30,2019-11-24 09:00:00.000,0.00001679,0.00001975,0.00001663,0.00001819,17516574.00000000,2019-11-25 08:59:59.999,320.15094041,19085,8351471.00000000,152.49348460,0
31,2019-11-25 09:00:00.000,0.00001826,0.00001827,0.00001571,0.00001626,10878507.00000000,2019-11-26 08:59:59.999,179.37531753,7117,4320120.00000000,71.15635473,0
32,2019-11-26 09:00:00.000,0.00001618,0.00001645,0.00001545,0.00001594,5090869.00000000,2019-11-27 08:59:59.999,80.74173452,3605,2110550.00000000,33.52879743,0
33,2019-11-27 09:00:00.000,0.00001594,0.00001621,0.00001473,0.00001512,5055350.00000000,2019-11-28 08:59:59.999,78.06754965,2959,2247278.00000000,34.67101100,0
34,2019-11-28 09:00:00.000,0.00001501,0.00001638,0.00001490,0.00001553,5014309.00000000,2019-11-29 08:59:59.999,79.06248254,3110,2174618.00000000,34.22426879,0
35,2019-11-29 09:00:00.000,0.00001555,0.00001608,0.00001473,0.00001498,3267649.00000000,2019-11-30 08:59:59.999,50.12132940,2527,1279179.00000000,19.64029607,0
36,2019-11-30 09:00:00.000,0.00001498,0.00001511,0.00001440,0.00001458,2039126.00000000,2019-12-01 08:59:59.999,30.02652990,2434,868957.00000000,12.80761086,0
37,2019-12-01 09:00:00.000,0.00001458,0.00001470,0.00001438,0.00001441,1579020.00000000,2019-12-02 08:59:59.999,22.95300306,2052,752893.00000000,10.96460676,0
38,2019-12-02 09:00:00.000,0.00001443,0.00001472,0.00001428,0.00001440,1936283.00000000,2019-12-03 08:59:59.999,28.03789764,1328,753838.00000000,10.93996144,0
39,2019-12-03 09:00:00.000,0.00001436,0.00001437,0.00001367,0.00001386,3756578.00000000,2019-12-04 08:59:59.999,52.70817676,3391,1868680.00000000,26.26828593,0
40,2019-12-04 09:00:00.000,0.00001388,0.00001395,0.00001287,0.00001343,3231292.00000000,2019-12-05 08:59:59.999,43.26496309,3606,1369522.00000000,18.33563431,0
41,2019-12-05 09:00:00.000,0.00001336,0.00001351,0.00001247,0.00001268,2448227.00000000,2019-12-06 08:59:59.999,31.32592571,3053,962455.00000000,12.32185134,0
42,2019-12-06 09:00:00.000,0.00001258,0.00001345,0.00001258,0.00001305,3590697.00000000,2019-12-07 08:59:59.999,46.93836056,4317,1692265.00000000,22.10239669,0
43,2019-12-07 09:00:00.000,0.00001305,0.00001305,0.00001252,0.00001259,1896561.00000000,2019-12-08 08:59:59.999,24.24366922,3081,842655.00000000,10.79009773,0
44,2019-12-08 09:00:00.000,0.00001259,0.00001367,0.00001250,0.00001333,3841124.00000000,2019-12-09 08:59:59.999,50.29972859,4430,2269833.00000000,29.71195085,0
45,2019-12-09 09:00:00.000,0.00001339,0.00001428,0.00001324,0.00001336,4024409.00000000,2019-12-10 08:59:59.999,55.39696300,4358,1661758.00000000,22.90293131,0
46,2019-12-10 09:00:00.000,0.00001336,0.00001342,0.00001217,0.00001254,3295811.00000000,2019-12-11 08:59:59.999,41.50340370,3101,1282637.00000000,16.11153949,0
47,2019-12-11 09:00:00.000,0.00001246,0.00001275,0.00001230,0.00001230,1212102.00000000,2019-12-12 08:59:59.999,15.17710176,1132,511649.00000000,6.41921809,0
48,2019-12-12 09:00:00.000,0.00001231,0.00001238,0.00001162,0.00001179,2280249.00000000,2019-12-13 08:59:59.999,27.40374926,2591,911075.00000000,10.96030302,0
49,2019-12-13 09:00:00.000,0.00001179,0.00001255,0.00001170,0.00001178,2095191.00000000,2019-12-14 08:59:59.999,25.40003430,1503,971277.00000000,11.78224827,0
50,2019-12-14 09:00:00.000,0.00001182,0.00001197,0.00001155,0.00001164,1214715.00000000,2019-12-15 08:59:59.999,14.28341685,815,523946.00000000,6.17062465,0
51,2019-12-15 09:00:00.000,0.00001162,0.00001398,0.00001156,0.00001292,9055868.00000000,2019-12-16 08:59:59.999,117.02420055,6187,4254698.00000000,54.86384869,0
