,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2017-10-11 09:00:00.000,0.00003401,0.00003550,0.00002910,0.00003000,3620606.00000000,2017-10-12 08:59:59.999,115.57317528,1632,1289096.00000000,41.97246448,21523594.30000000
1,2017-10-12 09:00:00.000,0.00002999,0.00003195,0.00002031,0.00002241,4084622.00000000,2017-10-13 08:59:59.999,103.05851006,2649,1410971.00000000,35.88642074,23834171.15000000
2,2017-10-13 09:00:00.000,0.00002330,0.00002330,0.00001280,0.00001750,5094988.00000000,2017-10-14 08:59:59.999,94.08659787,2348,1873412.00000000,35.59707019,27239799.45000000
3,2017-10-14 09:00:00.000,0.00001750,0.00002100,0.00001655,0.00002000,2827182.00000000,2017-10-15 08:59:59.999,53.07189924,1111,1249885.00000000,23.85533452,28668717.24000000
4,2017-10-15 09:00:00.000,0.00001999,0.00002094,0.00001751,0.00001925,2291204.00000000,2017-10-16 08:59:59.999,42.94978762,847,873897.00000000,16.51169552,28660995.76000000
5,2017-10-16 09:00:00.000,0.00001925,0.00001990,0.00001700,0.00001797,2552722.00000000,2017-10-17 08:59:59.999,46.51414122,834,464187.00000000,8.60445655,29820938.91000000
6,2017-10-17 09:00:00.000,0.00001797,0.00002480,0.00001711,0.00002139,5153920.00000000,2017-10-18 08:59:59.999,107.63961894,1819,2377764.00000000,49.08629155,32400044.88000000
7,2017-10-18 09:00:00.000,0.00002137,0.00003100,0.00001981,0.00002672,11107685.00000000,2017-10-19 08:59:59.999,287.87444776,3625,5428517.00000000,141.71474676,35524679.58000000
8,2017-10-19 09:00:00.000,0.00002682,0.00002998,0.00002333,0.00002452,5319511.00000000,2017-10-20 08:59:59.999,142.45401024,2160,2052662.00000000,55.82938177,36432964.81000000
9,2017-10-20 09:00:00.000,0.00002535,0.00002615,0.00001901,0.00002035,3693042.00000000,2017-10-21 08:59:59.999,82.56201282,1367,1203463.00000000,27.71263741,37200694.23000000
10,2017-10-21 09:00:00.000,0.00002011,0.00002271,0.00001877,0.00002106,1962869.00000000,2017-10-22 08:59:59.999,40.42605819,737,798235.00000000,16.97565396,37276364.77000000
