,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-09-21 09:00:00.000,0.00193900,0.00243500,0.00179900,0.00186200,83650.88200000,2020-09-22 08:59:59.999,167.19140259,12059,35687.95700000,71.62858518,0
1,2020-09-22 09:00:00.000,0.00186100,0.00191900,0.00166900,0.00170800,30620.52300000,2020-09-23 08:59:59.999,53.80038442,6493,15031.79200000,26.31781209,0
2,2020-09-23 09:00:00.000,0.00170800,0.00174500,0.00161700,0.00164300,10759.18400000,2020-09-24 08:59:59.999,18.03309586,2863,4531.35900000,7.63841099,0
3,2020-09-24 09:00:00.000,0.00162600,0.00164800,0.00155300,0.00157900,12759.30000000,2020-09-25 08:59:59.999,20.31602216,2459,4535.39200000,7.24196955,0
4,2020-09-25 09:00:00.000,0.00158100,0.00162200,0.00151300,0.00156100,8812.74000000,2020-09-26 08:59:59.999,13.77005335,2132,3899.73900000,6.10854339,0
5,2020-09-26 09:00:00.000,0.00156100,0.00171000,0.00148300,0.00150900,7977.58400000,2020-09-27 08:59:59.999,12.49863585,1948,3531.01900000,5.58839273,0
6,2020-09-27 09:00:00.000,0.00151000,0.00152100,0.00134000,0.00135300,14270.28800000,2020-09-28 08:59:59.999,20.12718693,2953,7590.94200000,10.66262759,0
7,2020-09-28 09:00:00.000,0.00136200,0.00153000,0.00131900,0.00135500,49555.19200000,2020-09-29 08:59:59.999,69.35383677,7174,22121.84700000,30.99903487,0
8,2020-09-29 09:00:00.000,0.00135700,0.00152600,0.00130600,0.00146200,48173.41800000,2020-09-30 08:59:59.999,67.71050281,9395,24994.77300000,35.05872028,0
9,2020-09-30 09:00:00.000,0.00145600,0.00178800,0.00144100,0.00170000,89255.61100000,2020-10-01 08:59:59.999,146.85246304,10456,35980.40000000,60.14428547,0
10,2020-10-01 09:00:00.000,0.00169900,0.00173100,0.00148700,0.00152900,62835.01900000,2020-10-02 08:59:59.999,100.42667262,9519,20344.97200000,32.26951646,0
11,2020-10-02 09:00:00.000,0.00152900,0.00155900,0.00137300,0.00149200,35608.47700000,2020-10-03 08:59:59.999,52.31595489,4358,14150.31000000,20.69200784,0
12,2020-10-03 09:00:00.000,0.00148100,0.00161400,0.00147700,0.00156400,15580.17400000,2020-10-04 08:59:59.999,24.07025544,2034,4650.28000000,7.22143187,0
