,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-09-01 09:00:00.000,0.00051090,0.00388800,0.00051090,0.00073470,6092423.32000000,2020-09-02 08:59:59.999,5397.68410415,132948,2746318.09000000,2434.34822180,0
1,2020-09-02 09:00:00.000,0.00073960,0.00077850,0.00052800,0.00063680,5673943.27000000,2020-09-03 08:59:59.999,3488.57016481,115491,2635515.29000000,1619.16288046,0
2,2020-09-03 09:00:00.000,0.00063570,0.00078500,0.00046110,0.00048100,6199378.59000000,2020-09-04 08:59:59.999,3793.70639725,131316,2853383.21000000,1756.84753034,0
3,2020-09-04 09:00:00.000,0.00048040,0.00054950,0.00041990,0.00043770,3583902.69000000,2020-09-05 08:59:59.999,1712.09776092,72114,1609962.81000000,771.62909229,0
4,2020-09-05 09:00:00.000,0.00043650,0.00048490,0.00013220,0.00018510,20570692.80000000,2020-09-06 08:59:59.999,4697.80328725,192431,9137748.07000000,2076.16965743,0
5,2020-09-06 09:00:00.000,0.00018540,0.00034000,0.00011300,0.00030980,37645456.85000000,2020-09-07 08:59:59.999,9485.46600794,325576,18212315.24000000,4633.47730051,0
6,2020-09-07 09:00:00.000,0.00030990,0.00032870,0.00022040,0.00027540,18490215.97000000,2020-09-08 08:59:59.999,5034.54278440,162376,8852348.73000000,2413.82316832,0
7,2020-09-08 09:00:00.000,0.00027510,0.00028850,0.00022920,0.00023440,9431883.17000000,2020-09-09 08:59:59.999,2474.60448442,92511,4501907.73000000,1184.17647783,0
8,2020-09-09 09:00:00.000,0.00023460,0.00031070,0.00021560,0.00028160,13145863.33000000,2020-09-10 08:59:59.999,3486.01124911,128570,6461785.51000000,1714.89662726,0
9,2020-09-10 09:00:00.000,0.00028170,0.00030330,0.00021740,0.00023000,12213439.49000000,2020-09-11 08:59:59.999,3081.38236498,118183,5582858.97000000,1411.10007074,0
10,2020-09-11 09:00:00.000,0.00023060,0.00028570,0.00019790,0.00026080,14451462.86000000,2020-09-12 08:59:59.999,3558.25226954,147694,7311091.86000000,1809.25539511,0
11,2020-09-12 09:00:00.000,0.00026100,0.00026300,0.00022430,0.00025210,11017116.46000000,2020-09-13 08:59:59.999,2630.37568172,119334,4976740.57000000,1190.94388872,0
