,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-07-07 09:00:00.000,0.00006376,0.00007599,0.00006250,0.00006280,7566715.00000000,2020-07-08 08:59:59.999,519.68960453,20183,3069744.00000000,211.17326101,0
1,2020-07-08 09:00:00.000,0.00006280,0.00006459,0.00005870,0.00006200,3524958.00000000,2020-07-09 08:59:59.999,216.63762172,13058,1518190.00000000,93.36905504,0
2,2020-07-09 09:00:00.000,0.00006192,0.00006760,0.00005786,0.00006175,6425138.00000000,2020-07-10 08:59:59.999,394.97646406,13958,4089578.00000000,252.08938101,0
3,2020-07-10 09:00:00.000,0.00006174,0.00006850,0.00005866,0.00006087,16789023.00000000,2020-07-11 08:59:59.999,1042.68769556,27068,11954165.00000000,745.60737316,0
4,2020-07-11 09:00:00.000,0.00006088,0.00006545,0.00005900,0.00006176,4975032.00000000,2020-07-12 08:59:59.999,308.62996138,8068,3600663.00000000,223.51106753,0
5,2020-07-12 09:00:00.000,0.00006177,0.00006666,0.00005890,0.00005949,20621769.00000000,2020-07-13 08:59:59.999,1285.28834195,25177,13977297.00000000,871.18191292,0
6,2020-07-13 09:00:00.000,0.00005948,0.00007128,0.00005799,0.00006556,47807816.00000000,2020-07-14 08:59:59.999,3124.78115251,44184,39480549.00000000,2584.12898553,0
7,2020-07-14 09:00:00.000,0.00006556,0.00008920,0.00006430,0.00008417,35291177.00000000,2020-07-15 08:59:59.999,2659.71602843,74003,21634022.00000000,1634.93448610,0
8,2020-07-15 09:00:00.000,0.00008417,0.00009760,0.00008254,0.00008754,25555069.00000000,2020-07-16 08:59:59.999,2315.84321052,82240,13304757.00000000,1210.31790027,0
9,2020-07-16 09:00:00.000,0.00008770,0.00009212,0.00007800,0.00008364,11561151.00000000,2020-07-17 08:59:59.999,979.43428650,45211,4834631.00000000,411.79221516,0
10,2020-07-17 09:00:00.000,0.00008364,0.00011600,0.00008204,0.00011341,20962680.00000000,2020-07-18 08:59:59.999,2098.03042206,70625,10877580.00000000,1094.47065279,0
11,2020-07-18 09:00:00.000,0.00011340,0.00013300,0.00010387,0.00013069,18851177.00000000,2020-07-19 08:59:59.999,2226.91082282,77234,10079764.00000000,1202.67078982,0
12,2020-07-19 09:00:00.000,0.00013069,0.00018478,0.00012363,0.00017776,39249296.00000000,2020-07-20 08:59:59.999,5766.21651661,124755,23297970.00000000,3432.58141325,0
13,2020-07-20 09:00:00.000,0.00017693,0.00021831,0.00015600,0.00018050,43527448.00000000,2020-07-21 08:59:59.999,8176.04449430,178981,23635829.00000000,4451.40372585,0
14,2020-07-21 09:00:00.000,0.00018050,0.00018942,0.00015050,0.00017620,32062686.00000000,2020-07-22 08:59:59.999,5456.71803819,132136,18891946.00000000,3231.89604297,0
15,2020-07-22 09:00:00.000,0.00017662,0.00019021,0.00015540,0.00016140,11774637.00000000,2020-07-23 08:59:59.999,2057.28790022,63202,5340518.00000000,936.20710952,0
16,2020-07-23 09:00:00.000,0.00016127,0.00017765,0.00015711,0.00017005,29120276.00000000,2020-07-24 08:59:59.999,4922.02303455,57695,23998673.00000000,4061.25510003,0
17,2020-07-24 09:00:00.000,0.00017013,0.00022195,0.00016465,0.00021310,20169814.00000000,2020-07-25 08:59:59.999,3899.21303089,94526,11446174.00000000,2201.81531812,0
18,2020-07-25 09:00:00.000,0.00021310,0.00023739,0.00019766,0.00020617,15149237.00000000,2020-07-26 08:59:59.999,3372.82517621,89198,7185817.00000000,1603.86619830,0
19,2020-07-26 09:00:00.000,0.00020577,0.00021029,0.00017874,0.00019149,11694755.00000000,2020-07-27 08:59:59.999,2301.72929568,69052,5031275.00000000,991.10878625,0
20,2020-07-27 09:00:00.000,0.00019190,0.00019600,0.00012296,0.00013785,28547408.00000000,2020-07-28 08:59:59.999,4209.34471603,124222,12795562.00000000,1893.50684565,0
21,2020-07-28 09:00:00.000,0.00013714,0.00015750,0.00012900,0.00014799,15449172.00000000,2020-07-29 08:59:59.999,2248.88771155,66671,7092608.00000000,1032.64432915,0
22,2020-07-29 09:00:00.000,0.00014799,0.00016150,0.00013260,0.00014145,11044928.00000000,2020-07-30 08:59:59.999,1583.27572695,46804,5290071.00000000,758.95739669,0
23,2020-07-30 09:00:00.000,0.00014143,0.00014736,0.00013609,0.00013682,6182116.00000000,2020-07-31 08:59:59.999,875.96191570,29433,2677487.00000000,379.61645995,0
24,2020-07-31 09:00:00.000,0.00013693,0.00016500,0.00013246,0.00015498,16333072.00000000,2020-08-01 08:59:59.999,2437.09748684,62821,7888681.00000000,1178.56907205,0
25,2020-08-01 09:00:00.000,0.00015516,0.00016759,0.00013620,0.00013830,19666661.00000000,2020-08-02 08:59:59.999,2986.35988539,79062,9405990.00000000,1432.54947968,0
26,2020-08-02 09:00:00.000,0.00013832,0.00016200,0.00012569,0.00015673,13166322.00000000,2020-08-03 08:59:59.999,1908.31764367,58928,6145715.00000000,895.68723800,0
27,2020-08-03 09:00:00.000,0.00015641,0.00017389,0.00015100,0.00017163,14060325.00000000,2020-08-04 08:59:59.999,2289.15825926,61321,6542907.00000000,1067.46435013,0
28,2020-08-04 09:00:00.000,0.00017197,0.00018630,0.00015531,0.00016521,19228118.00000000,2020-08-05 08:59:59.999,3356.17739997,89712,8900609.00000000,1559.07408710,0
29,2020-08-05 09:00:00.000,0.00016521,0.00017393,0.00014819,0.00015164,15808741.00000000,2020-08-06 08:59:59.999,2533.11383203,70097,7655166.00000000,1226.26829796,0
30,2020-08-06 09:00:00.000,0.00015199,0.00016485,0.00015000,0.00016302,7900758.00000000,2020-08-07 08:59:59.999,1232.10195856,37446,3572719.00000000,556.74382175,0
31,2020-08-07 09:00:00.000,0.00016352,0.00016668,0.00015350,0.00015859,7731627.00000000,2020-08-08 08:59:59.999,1244.65737883,42385,3463003.00000000,557.72911625,0
32,2020-08-08 09:00:00.000,0.00015852,0.00018670,0.00015657,0.00018238,23659189.00000000,2020-08-09 08:59:59.999,4110.16355868,67489,17038684.00000000,2969.51777427,0
33,2020-08-09 09:00:00.000,0.00018240,0.00021990,0.00017563,0.00020053,20823344.00000000,2020-08-10 08:59:59.999,4148.75921092,109141,10913357.00000000,2176.41272340,0
34,2020-08-10 09:00:00.000,0.00020053,0.00023095,0.00019101,0.00021323,17318456.00000000,2020-08-11 08:59:59.999,3679.64679341,95363,8640155.00000000,1841.81377153,0
35,2020-08-11 09:00:00.000,0.00021285,0.00028500,0.00020000,0.00027700,27277347.00000000,2020-08-12 08:59:59.999,6711.10531991,117595,16563571.00000000,4048.50031572,0
36,2020-08-12 09:00:00.000,0.00027700,0.00033500,0.00026548,0.00033069,15678502.00000000,2020-08-13 08:59:59.999,4636.91174819,89989,8356692.00000000,2485.49536482,0
37,2020-08-13 09:00:00.000,0.00033100,0.00043578,0.00031594,0.00036761,25820689.00000000,2020-08-14 08:59:59.999,9630.96300403,191294,13609841.00000000,5082.36737899,0
38,2020-08-14 09:00:00.000,0.00036663,0.00037925,0.00029720,0.00031672,17878480.00000000,2020-08-15 08:59:59.999,6137.81634142,149547,8387490.00000000,2885.07425868,0
39,2020-08-15 09:00:00.000,0.00031625,0.00033320,0.00027943,0.00028112,16441706.00000000,2020-08-16 08:59:59.999,5005.69849160,139235,7357799.00000000,2243.21598372,0
40,2020-08-16 09:00:00.000,0.00028131,0.00031199,0.00027200,0.00028657,17799356.00000000,2020-08-17 08:59:59.999,5203.07826752,143123,7171343.00000000,2098.18522565,0
41,2020-08-17 09:00:00.000,0.00028657,0.00029600,0.00024320,0.00025228,17762227.00000000,2020-08-18 08:59:59.999,4813.15061087,111108,7239694.00000000,1954.07165379,0
42,2020-08-18 09:00:00.000,0.00025272,0.00033941,0.00024800,0.00030228,26912768.00000000,2020-08-19 08:59:59.999,8029.22413780,156999,13568293.00000000,4058.24156190,0
43,2020-08-19 09:00:00.000,0.00030252,0.00031639,0.00024600,0.00026286,21996262.00000000,2020-08-20 08:59:59.999,6006.69101470,155147,10196639.00000000,2788.71268669,0
44,2020-08-20 09:00:00.000,0.00026275,0.00029889,0.00026225,0.00026992,18749456.00000000,2020-08-21 08:59:59.999,5242.69016852,133837,8688013.00000000,2432.22280313,0
45,2020-08-21 09:00:00.000,0.00026962,0.00027622,0.00022000,0.00022685,27623992.00000000,2020-08-22 08:59:59.999,6762.33924929,171896,11771824.00000000,2881.90485986,0
46,2020-08-22 09:00:00.000,0.00022742,0.00024917,0.00020100,0.00023970,24327051.00000000,2020-08-23 08:59:59.999,5449.72403014,142068,10915350.00000000,2452.88532145,0
47,2020-08-23 09:00:00.000,0.00023964,0.00025313,0.00021703,0.00024446,13084340.00000000,2020-08-24 08:59:59.999,3070.11030486,81503,6335784.00000000,1490.71001594,0
48,2020-08-24 09:00:00.000,0.00024448,0.00026573,0.00023300,0.00024984,12564213.00000000,2020-08-25 08:59:59.999,3180.89078700,86658,5942192.00000000,1509.51888322,0
