,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000944,0.00001000,0.00000900,0.00000928,7628274.00000000,2019-05-24 08:59:59.999,72.15199750,5333,3422012.00000000,32.49611871,0
1,2019-05-24 09:00:00.000,0.00000927,0.00000934,0.00000849,0.00000872,4115161.00000000,2019-05-25 08:59:59.999,36.71471996,2837,1667310.00000000,14.90640069,0
2,2019-05-25 09:00:00.000,0.00000871,0.00000889,0.00000858,0.00000863,1689310.00000000,2019-05-26 08:59:59.999,14.70054378,1506,793970.00000000,6.91307643,0
3,2019-05-26 09:00:00.000,0.00000862,0.00000925,0.00000798,0.00000819,8439518.00000000,2019-05-27 08:59:59.999,73.50660716,4418,4121216.00000000,36.10355125,0
4,2019-05-27 09:00:00.000,0.00000816,0.00000817,0.00000772,0.00000810,4700954.00000000,2019-05-28 08:59:59.999,37.20698885,3270,2097504.00000000,16.63998465,0
5,2019-05-28 09:00:00.000,0.00000810,0.00000827,0.00000769,0.00000783,5637833.00000000,2019-05-29 08:59:59.999,44.92805984,3035,2490642.00000000,19.85163156,0
6,2019-05-29 09:00:00.000,0.00000783,0.00001017,0.00000767,0.00000923,22281940.00000000,2019-05-30 08:59:59.999,206.91952711,13053,10618507.00000000,98.72630321,0
7,2019-05-30 09:00:00.000,0.00000928,0.00000929,0.00000777,0.00000815,16795368.00000000,2019-05-31 08:59:59.999,143.65269803,8351,6465110.00000000,55.12460348,0
8,2019-05-31 09:00:00.000,0.00000811,0.00000875,0.00000793,0.00000830,9683640.00000000,2019-06-01 08:59:59.999,80.28559080,4755,4609006.00000000,38.32848850,0
9,2019-06-01 09:00:00.000,0.00000831,0.00000950,0.00000823,0.00000871,21166674.00000000,2019-06-02 08:59:59.999,188.27465464,12227,9537815.00000000,84.98426636,0
10,2019-06-02 09:00:00.000,0.00000871,0.00000922,0.00000854,0.00000883,7150741.00000000,2019-06-03 08:59:59.999,62.99002337,4914,3282230.00000000,28.97267574,0
11,2019-06-03 09:00:00.000,0.00000883,0.00000909,0.00000833,0.00000851,7729956.00000000,2019-06-04 08:59:59.999,67.08227294,4817,3369981.00000000,29.30721477,0
12,2019-06-04 09:00:00.000,0.00000850,0.00000887,0.00000815,0.00000825,9260638.00000000,2019-06-05 08:59:59.999,78.30940234,5317,4212440.00000000,35.80262105,0
13,2019-06-05 09:00:00.000,0.00000828,0.00000849,0.00000803,0.00000810,4072145.00000000,2019-06-06 08:59:59.999,33.73869316,2345,1626072.00000000,13.54261337,0
14,2019-06-06 09:00:00.000,0.00000810,0.00000820,0.00000778,0.00000793,4970696.00000000,2019-06-07 08:59:59.999,39.66700400,2660,1687784.00000000,13.51557253,0
15,2019-06-07 09:00:00.000,0.00000792,0.00000848,0.00000786,0.00000827,5826043.00000000,2019-06-08 08:59:59.999,47.74402902,3074,3233880.00000000,26.48374576,0
16,2019-06-08 09:00:00.000,0.00000827,0.00000865,0.00000813,0.00000826,5418954.00000000,2019-06-09 08:59:59.999,45.41411453,2984,2081468.00000000,17.46372217,0
17,2019-06-09 09:00:00.000,0.00000826,0.00000832,0.00000790,0.00000796,2097485.00000000,2019-06-10 08:59:59.999,16.99029061,1392,789825.00000000,6.41386111,0
18,2019-06-10 09:00:00.000,0.00000796,0.00000835,0.00000793,0.00000822,2539624.00000000,2019-06-11 08:59:59.999,20.80874884,1657,1113817.00000000,9.14517702,0
19,2019-06-11 09:00:00.000,0.00000820,0.00000839,0.00000803,0.00000822,2581047.00000000,2019-06-12 08:59:59.999,21.09868761,1714,1049777.00000000,8.60435854,0
20,2019-06-12 09:00:00.000,0.00000822,0.00000860,0.00000798,0.00000858,9593045.00000000,2019-06-13 08:59:59.999,79.94506857,4791,3806900.00000000,31.83602427,0
21,2019-06-13 09:00:00.000,0.00000855,0.00000876,0.00000794,0.00000802,10607158.00000000,2019-06-14 08:59:59.999,89.22191125,5168,3925359.00000000,33.16741025,0
22,2019-06-14 09:00:00.000,0.00000799,0.00000817,0.00000693,0.00000722,10493710.00000000,2019-06-15 08:59:59.999,79.03482739,5109,3719029.00000000,27.96184787,0
23,2019-06-15 09:00:00.000,0.00000722,0.00000764,0.00000703,0.00000711,4028505.00000000,2019-06-16 08:59:59.999,29.52756938,2594,1588369.00000000,11.65404301,0
24,2019-06-16 09:00:00.000,0.00000710,0.00000715,0.00000648,0.00000670,3945087.00000000,2019-06-17 08:59:59.999,26.46398928,2231,1484192.00000000,9.93422850,0
25,2019-06-17 09:00:00.000,0.00000672,0.00000673,0.00000620,0.00000632,3795407.00000000,2019-06-18 08:59:59.999,24.54746533,1941,1557267.00000000,10.10084851,0
26,2019-06-18 09:00:00.000,0.00000632,0.00000846,0.00000623,0.00000649,90333014.00000000,2019-06-19 08:59:59.999,643.14008251,28979,46275480.00000000,333.57071964,0
27,2019-06-19 09:00:00.000,0.00000647,0.00000687,0.00000635,0.00000639,6183803.00000000,2019-06-20 08:59:59.999,40.98859001,3049,2746408.00000000,18.18732685,0
28,2019-06-20 09:00:00.000,0.00000639,0.00000646,0.00000556,0.00000575,5883339.00000000,2019-06-21 08:59:59.999,35.28960256,3030,2273577.00000000,13.60034018,0
29,2019-06-21 09:00:00.000,0.00000575,0.00000577,0.00000493,0.00000497,5762555.00000000,2019-06-22 08:59:59.999,30.76816843,2748,1945795.00000000,10.45118093,0
30,2019-06-22 09:00:00.000,0.00000494,0.00000528,0.00000427,0.00000483,14167058.00000000,2019-06-23 08:59:59.999,66.58402618,5368,6804916.00000000,31.98498613,0
31,2019-06-23 09:00:00.000,0.00000483,0.00000515,0.00000442,0.00000467,5187845.00000000,2019-06-24 08:59:59.999,25.07929299,2589,2344322.00000000,11.37213108,0
32,2019-06-24 09:00:00.000,0.00000466,0.00000480,0.00000443,0.00000456,3450731.00000000,2019-06-25 08:59:59.999,15.96543214,1410,1416745.00000000,6.56046116,0
33,2019-06-25 09:00:00.000,0.00000454,0.00000478,0.00000420,0.00000422,6809097.00000000,2019-06-26 08:59:59.999,30.33303071,3050,2658153.00000000,11.88439021,0
34,2019-06-26 09:00:00.000,0.00000422,0.00000460,0.00000335,0.00000345,32009727.00000000,2019-06-27 08:59:59.999,122.01660560,9591,13479089.00000000,51.85628489,0
35,2019-06-27 09:00:00.000,0.00000344,0.00000414,0.00000334,0.00000367,11608949.00000000,2019-06-28 08:59:59.999,44.09969050,3732,5133958.00000000,19.52829332,0
36,2019-06-28 09:00:00.000,0.00000368,0.00000404,0.00000347,0.00000377,8222806.00000000,2019-06-29 08:59:59.999,30.69689013,2750,4307428.00000000,16.10144052,0
