,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-01-21 09:00:00.000,0.00000151,0.00000209,0.00000133,0.00000137,287718563.00000000,2020-01-22 08:59:59.999,466.00177388,14870,123124763.00000000,200.53705532,0
1,2020-01-22 09:00:00.000,0.00000137,0.00000146,0.00000129,0.00000132,178457557.00000000,2020-01-23 08:59:59.999,244.29707812,5560,123189342.00000000,168.86332197,0
2,2020-01-23 09:00:00.000,0.00000132,0.00000134,0.00000113,0.00000116,77042890.00000000,2020-01-24 08:59:59.999,94.07974364,4122,32362930.00000000,39.50183826,0
3,2020-01-24 09:00:00.000,0.00000116,0.00000120,0.00000110,0.00000114,88119427.00000000,2020-01-25 08:59:59.999,101.76333822,3787,48719040.00000000,56.63649759,0
4,2020-01-25 09:00:00.000,0.00000115,0.00000123,0.00000112,0.00000116,112932026.00000000,2020-01-26 08:59:59.999,134.53630625,3198,79488378.00000000,95.23974032,0
5,2020-01-26 09:00:00.000,0.00000117,0.00000118,0.00000106,0.00000109,37552687.00000000,2020-01-27 08:59:59.999,41.82373004,1885,13762130.00000000,15.32898981,0
6,2020-01-27 09:00:00.000,0.00000109,0.00000109,0.00000098,0.00000099,21220706.00000000,2020-01-28 08:59:59.999,21.99066765,1091,6658184.00000000,6.91308637,0
7,2020-01-28 09:00:00.000,0.00000100,0.00000100,0.00000089,0.00000089,31786323.00000000,2020-01-29 08:59:59.999,30.27344882,1544,13060807.00000000,12.45395940,0
8,2020-01-29 09:00:00.000,0.00000090,0.00000095,0.00000084,0.00000090,22006352.00000000,2020-01-30 08:59:59.999,20.08498782,2172,10975930.00000000,10.07274424,0
9,2020-01-30 09:00:00.000,0.00000090,0.00000094,0.00000084,0.00000086,31948735.00000000,2020-01-31 08:59:59.999,28.35240715,1549,15021484.00000000,13.38792875,0
10,2020-01-31 09:00:00.000,0.00000085,0.00000092,0.00000085,0.00000091,10453147.00000000,2020-02-01 08:59:59.999,9.26859193,645,5043948.00000000,4.47001949,0
11,2020-02-01 09:00:00.000,0.00000090,0.00000100,0.00000089,0.00000096,57214055.00000000,2020-02-02 08:59:59.999,55.26414377,2906,35493236.00000000,34.48295370,0
12,2020-02-02 09:00:00.000,0.00000096,0.00000097,0.00000090,0.00000091,32052080.00000000,2020-02-03 08:59:59.999,30.01149976,1624,11896678.00000000,11.19013335,0
13,2020-02-03 09:00:00.000,0.00000092,0.00000093,0.00000089,0.00000091,11359143.00000000,2020-02-04 08:59:59.999,10.31444520,610,5838828.00000000,5.32370283,0
14,2020-02-04 09:00:00.000,0.00000092,0.00000100,0.00000090,0.00000092,103063597.00000000,2020-02-05 08:59:59.999,98.92380478,2409,62951790.00000000,60.73598094,0
15,2020-02-05 09:00:00.000,0.00000092,0.00000096,0.00000085,0.00000088,30391321.00000000,2020-02-06 08:59:59.999,27.74105877,1262,11259807.00000000,10.34339517,0
16,2020-02-06 09:00:00.000,0.00000089,0.00000117,0.00000087,0.00000102,160047847.00000000,2020-02-07 08:59:59.999,165.82466270,6127,78507601.00000000,81.27498917,0
17,2020-02-07 09:00:00.000,0.00000103,0.00000128,0.00000099,0.00000106,263138864.00000000,2020-02-08 08:59:59.999,303.91907087,12187,128375745.00000000,149.56705356,0
18,2020-02-08 09:00:00.000,0.00000106,0.00000111,0.00000098,0.00000104,50762368.00000000,2020-02-09 08:59:59.999,53.02358511,2617,23084731.00000000,24.25590834,0
19,2020-02-09 09:00:00.000,0.00000105,0.00000105,0.00000096,0.00000100,25141559.00000000,2020-02-10 08:59:59.999,25.27069105,1492,8488995.00000000,8.57424214,0
20,2020-02-10 09:00:00.000,0.00000101,0.00000106,0.00000097,0.00000104,33675340.00000000,2020-02-11 08:59:59.999,34.21928682,1882,15473055.00000000,15.79073015,0
21,2020-02-11 09:00:00.000,0.00000104,0.00000114,0.00000101,0.00000107,71306898.00000000,2020-02-12 08:59:59.999,76.44098227,3211,32580104.00000000,35.25604602,0
22,2020-02-12 09:00:00.000,0.00000107,0.00000142,0.00000105,0.00000136,283713140.00000000,2020-02-13 08:59:59.999,361.73320239,18007,146746567.00000000,188.14133319,0
23,2020-02-13 09:00:00.000,0.00000136,0.00000137,0.00000113,0.00000118,132225080.00000000,2020-02-14 08:59:59.999,163.66605899,7396,63085044.00000000,78.31950714,0
