,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-24 09:00:00.000,0.00000269,0.00000348,0.00000154,0.00000191,3556236996.00000000,2019-05-25 08:59:59.999,6923.39235560,86793,1583673925.00000000,3094.76464321,0
1,2019-05-25 09:00:00.000,0.00000190,0.00000309,0.00000189,0.00000274,6485262753.00000000,2019-05-26 08:59:59.999,17066.46829962,203630,3034911178.00000000,7995.88343492,0
2,2019-05-26 09:00:00.000,0.00000274,0.00000288,0.00000196,0.00000205,2403585614.00000000,2019-05-27 08:59:59.999,5698.45283715,89468,1043031632.00000000,2476.46464813,0
3,2019-05-27 09:00:00.000,0.00000205,0.00000210,0.00000177,0.00000187,1147183025.00000000,2019-05-28 08:59:59.999,2215.52065694,33487,535569732.00000000,1036.36163890,0
4,2019-05-28 09:00:00.000,0.00000187,0.00000197,0.00000177,0.00000189,631586100.00000000,2019-05-29 08:59:59.999,1168.01089955,20472,288175509.00000000,534.23279853,0
5,2019-05-29 09:00:00.000,0.00000189,0.00000216,0.00000184,0.00000208,1263731926.00000000,2019-05-30 08:59:59.999,2520.24866534,38635,632178944.00000000,1263.51673756,0
6,2019-05-30 09:00:00.000,0.00000207,0.00000209,0.00000165,0.00000174,884398034.00000000,2019-05-31 08:59:59.999,1680.84803485,29870,375448834.00000000,714.43578434,0
7,2019-05-31 09:00:00.000,0.00000174,0.00000178,0.00000166,0.00000173,393868992.00000000,2019-06-01 08:59:59.999,677.15151304,12325,178558978.00000000,308.02672387,0
8,2019-06-01 09:00:00.000,0.00000173,0.00000176,0.00000157,0.00000165,475414607.00000000,2019-06-02 08:59:59.999,793.01734381,15872,202176058.00000000,338.39015540,0
9,2019-06-02 09:00:00.000,0.00000165,0.00000176,0.00000162,0.00000169,356622922.00000000,2019-06-03 08:59:59.999,598.45768963,13734,165707411.00000000,278.85682136,0
10,2019-06-03 09:00:00.000,0.00000168,0.00000170,0.00000157,0.00000164,218952851.00000000,2019-06-04 08:59:59.999,358.59217219,10141,102961781.00000000,169.10284620,0
11,2019-06-04 09:00:00.000,0.00000164,0.00000173,0.00000159,0.00000165,279152615.00000000,2019-06-05 08:59:59.999,461.43813765,12913,125770257.00000000,208.56198455,0
12,2019-06-05 09:00:00.000,0.00000165,0.00000176,0.00000162,0.00000170,444138145.00000000,2019-06-06 08:59:59.999,750.78892612,17884,198957009.00000000,337.46041786,0
13,2019-06-06 09:00:00.000,0.00000171,0.00000195,0.00000169,0.00000181,793710884.00000000,2019-06-07 08:59:59.999,1457.97645063,30217,370612670.00000000,681.87057435,0
14,2019-06-07 09:00:00.000,0.00000181,0.00000188,0.00000174,0.00000181,271965829.00000000,2019-06-08 08:59:59.999,492.07762980,12738,127309417.00000000,231.14833152,0
15,2019-06-08 09:00:00.000,0.00000181,0.00000193,0.00000175,0.00000190,385233224.00000000,2019-06-09 08:59:59.999,712.75098935,16956,182924569.00000000,339.51672893,0
16,2019-06-09 09:00:00.000,0.00000190,0.00000200,0.00000166,0.00000174,511588041.00000000,2019-06-10 08:59:59.999,946.64865463,18893,212985321.00000000,396.81801286,0
17,2019-06-10 09:00:00.000,0.00000174,0.00000181,0.00000168,0.00000176,299170513.00000000,2019-06-11 08:59:59.999,526.10168829,11975,141051636.00000000,248.76255040,0
18,2019-06-11 09:00:00.000,0.00000177,0.00000178,0.00000167,0.00000173,231202998.00000000,2019-06-12 08:59:59.999,397.95003967,8875,89856930.00000000,154.99374120,0
19,2019-06-12 09:00:00.000,0.00000172,0.00000174,0.00000163,0.00000166,217261533.00000000,2019-06-13 08:59:59.999,363.72290408,7292,93808896.00000000,157.37141730,0
20,2019-06-13 09:00:00.000,0.00000166,0.00000167,0.00000157,0.00000161,140468009.00000000,2019-06-14 08:59:59.999,228.43882561,5277,60636192.00000000,98.69625607,0
21,2019-06-14 09:00:00.000,0.00000161,0.00000163,0.00000139,0.00000144,255639326.00000000,2019-06-15 08:59:59.999,380.91571282,9625,98859346.00000000,147.43518027,0
22,2019-06-15 09:00:00.000,0.00000145,0.00000147,0.00000135,0.00000138,210285544.00000000,2019-06-16 08:59:59.999,295.41676794,6070,88462919.00000000,124.54073818,0
23,2019-06-16 09:00:00.000,0.00000139,0.00000140,0.00000127,0.00000134,177930154.00000000,2019-06-17 08:59:59.999,234.70374980,5417,78600282.00000000,104.05162218,0
24,2019-06-17 09:00:00.000,0.00000134,0.00000138,0.00000127,0.00000129,144523294.00000000,2019-06-18 08:59:59.999,191.85593116,5590,66752805.00000000,88.86741928,0
25,2019-06-18 09:00:00.000,0.00000129,0.00000133,0.00000125,0.00000130,112543950.00000000,2019-06-19 08:59:59.999,145.68619596,4470,48829567.00000000,63.38629070,0
