,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000067,0.00000069,0.00000065,0.00000067,211029000.00000000,2019-05-24 08:59:59.999,141.54611741,3262,84536726.00000000,57.04514507,0
1,2019-05-24 09:00:00.000,0.00000067,0.00000069,0.00000064,0.00000064,163632819.00000000,2019-05-25 08:59:59.999,108.78973388,2328,57214078.00000000,38.28491136,0
2,2019-05-25 09:00:00.000,0.00000065,0.00000067,0.00000063,0.00000064,122143333.00000000,2019-05-26 08:59:59.999,79.01942152,1754,51036014.00000000,33.22040166,0
3,2019-05-26 09:00:00.000,0.00000063,0.00000068,0.00000058,0.00000060,223995915.00000000,2019-05-27 08:59:59.999,142.67594400,3585,88448189.00000000,56.82159222,0
4,2019-05-27 09:00:00.000,0.00000060,0.00000062,0.00000055,0.00000059,221054688.00000000,2019-05-28 08:59:59.999,128.45611802,3517,99332972.00000000,58.26660262,0
5,2019-05-28 09:00:00.000,0.00000058,0.00000061,0.00000058,0.00000059,107350977.00000000,2019-05-29 08:59:59.999,63.52732388,1930,53453867.00000000,31.81274250,0
6,2019-05-29 09:00:00.000,0.00000059,0.00000068,0.00000057,0.00000063,358495231.00000000,2019-05-30 08:59:59.999,227.51244063,5863,183116676.00000000,116.79826402,0
7,2019-05-30 09:00:00.000,0.00000062,0.00000065,0.00000058,0.00000059,180493922.00000000,2019-05-31 08:59:59.999,111.67644924,2865,65097144.00000000,40.60486779,0
8,2019-05-31 09:00:00.000,0.00000060,0.00000061,0.00000059,0.00000059,67278337.00000000,2019-06-01 08:59:59.999,40.20574416,1042,31895904.00000000,19.19724124,0
9,2019-06-01 09:00:00.000,0.00000060,0.00000060,0.00000058,0.00000059,91142059.00000000,2019-06-02 08:59:59.999,53.60968095,1503,33535246.00000000,19.87363467,0
10,2019-06-02 09:00:00.000,0.00000059,0.00000059,0.00000057,0.00000059,54472532.00000000,2019-06-03 08:59:59.999,31.66903244,1012,19454931.00000000,11.41031748,0
11,2019-06-03 09:00:00.000,0.00000058,0.00000060,0.00000057,0.00000058,51755351.00000000,2019-06-04 08:59:59.999,30.09522658,980,17994656.00000000,10.52787550,0
12,2019-06-04 09:00:00.000,0.00000059,0.00000059,0.00000056,0.00000057,73856002.00000000,2019-06-05 08:59:59.999,42.45384600,1307,26718956.00000000,15.41961523,0
13,2019-06-05 09:00:00.000,0.00000057,0.00000061,0.00000056,0.00000060,97768139.00000000,2019-06-06 08:59:59.999,56.56634311,1319,51580881.00000000,30.00533138,0
14,2019-06-06 09:00:00.000,0.00000059,0.00000062,0.00000058,0.00000060,112603605.00000000,2019-06-07 08:59:59.999,67.34794398,2011,52323800.00000000,31.50109471,0
15,2019-06-07 09:00:00.000,0.00000059,0.00000066,0.00000059,0.00000062,296057535.00000000,2019-06-08 08:59:59.999,186.11842544,3730,164145990.00000000,103.41214867,0
16,2019-06-08 09:00:00.000,0.00000062,0.00000069,0.00000060,0.00000064,354758612.00000000,2019-06-09 08:59:59.999,227.80709460,4662,187929861.00000000,122.02030885,0
17,2019-06-09 09:00:00.000,0.00000064,0.00000065,0.00000060,0.00000062,93899596.00000000,2019-06-10 08:59:59.999,58.47678786,1540,38345000.00000000,24.03587033,0
18,2019-06-10 09:00:00.000,0.00000062,0.00000067,0.00000060,0.00000063,139957944.00000000,2019-06-11 08:59:59.999,88.00667254,2238,71451980.00000000,45.55704388,0
19,2019-06-11 09:00:00.000,0.00000063,0.00000064,0.00000061,0.00000063,88103055.00000000,2019-06-12 08:59:59.999,54.87327382,1325,31726281.00000000,19.96589841,0
20,2019-06-12 09:00:00.000,0.00000062,0.00000064,0.00000060,0.00000061,75153200.00000000,2019-06-13 08:59:59.999,46.69023176,1297,28068152.00000000,17.62798745,0
21,2019-06-13 09:00:00.000,0.00000060,0.00000062,0.00000058,0.00000059,72664718.00000000,2019-06-14 08:59:59.999,43.71611095,1323,33802535.00000000,20.50620497,0
22,2019-06-14 09:00:00.000,0.00000058,0.00000060,0.00000038,0.00000052,222793910.00000000,2019-06-15 08:59:59.999,115.00311475,3206,96187561.00000000,49.04118154,0
23,2019-06-15 09:00:00.000,0.00000052,0.00000089,0.00000051,0.00000063,1377049866.00000000,2019-06-16 08:59:59.999,926.80337745,22916,738286599.00000000,499.53904264,0
24,2019-06-16 09:00:00.000,0.00000063,0.00000081,0.00000059,0.00000062,1283720323.00000000,2019-06-17 08:59:59.999,904.59478539,23167,587226335.00000000,416.24016710,0
25,2019-06-17 09:00:00.000,0.00000062,0.00000071,0.00000057,0.00000061,693514134.00000000,2019-06-18 08:59:59.999,439.58477686,10904,332068148.00000000,212.87257337,0
26,2019-06-18 09:00:00.000,0.00000061,0.00000063,0.00000057,0.00000058,187903485.00000000,2019-06-19 08:59:59.999,112.10957965,3357,81583426.00000000,49.07657782,0
27,2019-06-19 09:00:00.000,0.00000059,0.00000064,0.00000056,0.00000058,331319004.00000000,2019-06-20 08:59:59.999,198.81552856,4372,165628391.00000000,100.58431121,0
28,2019-06-20 09:00:00.000,0.00000058,0.00000060,0.00000052,0.00000053,144082596.00000000,2019-06-21 08:59:59.999,81.49209990,2411,51483130.00000000,29.41938839,0
29,2019-06-21 09:00:00.000,0.00000053,0.00000057,0.00000051,0.00000052,112374987.00000000,2019-06-22 08:59:59.999,60.39897961,2113,45458624.00000000,24.70624494,0
30,2019-06-22 09:00:00.000,0.00000053,0.00000053,0.00000046,0.00000050,179170615.00000000,2019-06-23 08:59:59.999,88.58837163,3714,83415797.00000000,41.60629272,0
31,2019-06-23 09:00:00.000,0.00000050,0.00000058,0.00000048,0.00000055,379002093.00000000,2019-06-24 08:59:59.999,202.42190691,6364,225735662.00000000,121.18888568,0
32,2019-06-24 09:00:00.000,0.00000056,0.00000068,0.00000051,0.00000061,943913558.00000000,2019-06-25 08:59:59.999,558.70423513,15366,493368359.00000000,295.08922155,0
