,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-03-20 09:00:00.000,0.00000489,0.00000492,0.00000482,0.00000485,6722718.00000000,2019-03-21 08:59:59.999,32.74385992,2845,2303546.00000000,11.25625517,0
1,2019-03-21 09:00:00.000,0.00000487,0.00000489,0.00000431,0.00000457,18679277.00000000,2019-03-22 08:59:59.999,86.92182651,4110,6779897.00000000,31.43426586,0
2,2019-03-22 09:00:00.000,0.00000457,0.00000463,0.00000449,0.00000460,7125172.00000000,2019-03-23 08:59:59.999,32.55006581,2534,2516985.00000000,11.51899832,0
3,2019-03-23 09:00:00.000,0.00000461,0.00000461,0.00000448,0.00000451,7492228.00000000,2019-03-24 08:59:59.999,33.96656839,2363,2860921.00000000,12.98764081,0
4,2019-03-24 09:00:00.000,0.00000452,0.00000476,0.00000438,0.00000451,22839074.00000000,2019-03-25 08:59:59.999,105.18447415,4779,9498997.00000000,43.74697242,0
5,2019-03-25 09:00:00.000,0.00000451,0.00000491,0.00000442,0.00000466,51067573.00000000,2019-03-26 08:59:59.999,236.95630075,11040,24355852.00000000,113.55397134,0
6,2019-03-26 09:00:00.000,0.00000465,0.00000586,0.00000450,0.00000512,155716312.00000000,2019-03-27 08:59:59.999,802.08701993,30957,76277608.00000000,394.74266027,0
7,2019-03-27 09:00:00.000,0.00000512,0.00000654,0.00000500,0.00000523,134119953.00000000,2019-03-28 08:59:59.999,745.22050601,27621,62221073.00000000,348.89867070,0
8,2019-03-28 09:00:00.000,0.00000523,0.00000530,0.00000493,0.00000504,29542637.00000000,2019-03-29 08:59:59.999,149.69204964,6314,11654829.00000000,59.12746812,0
9,2019-03-29 09:00:00.000,0.00000506,0.00000544,0.00000503,0.00000513,32618099.00000000,2019-03-30 08:59:59.999,170.16493560,8650,14847099.00000000,77.52573409,0
10,2019-03-30 09:00:00.000,0.00000513,0.00000546,0.00000504,0.00000536,37322670.00000000,2019-03-31 08:59:59.999,197.83244242,8192,18518705.00000000,98.46764003,0
11,2019-03-31 09:00:00.000,0.00000538,0.00000551,0.00000521,0.00000527,28415756.00000000,2019-04-01 08:59:59.999,152.12761997,7585,12150134.00000000,65.19537769,0
12,2019-04-01 09:00:00.000,0.00000525,0.00000529,0.00000514,0.00000520,14567824.00000000,2019-04-02 08:59:59.999,75.95611208,3719,6287791.00000000,32.82682637,0
13,2019-04-02 09:00:00.000,0.00000520,0.00000521,0.00000440,0.00000474,29201474.00000000,2019-04-03 08:59:59.999,140.22580722,8834,11911701.00000000,57.16104273,0
14,2019-04-03 09:00:00.000,0.00000473,0.00000483,0.00000415,0.00000426,25373914.00000000,2019-04-04 08:59:59.999,114.58653238,6641,11018022.00000000,49.93510731,0
