,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-08-27 09:00:00.000,0.00395300,0.00546900,0.00394900,0.00477900,209273.21300000,2020-08-28 08:59:59.999,962.57141138,50146,91865.08800000,423.44335330,0
1,2020-08-28 09:00:00.000,0.00475500,0.00526500,0.00440200,0.00484700,143542.50100000,2020-08-29 08:59:59.999,689.72335083,50869,62638.66700000,301.06702335,0
2,2020-08-29 09:00:00.000,0.00485800,0.00690000,0.00477000,0.00652300,191446.00100000,2020-08-30 08:59:59.999,1125.20495528,70948,89691.83000000,527.37088111,0
3,2020-08-30 09:00:00.000,0.00653400,0.00783500,0.00600100,0.00616000,235095.46600000,2020-08-31 08:59:59.999,1599.82671668,73372,101184.07100000,689.80946791,0
4,2020-08-31 09:00:00.000,0.00614500,0.00642600,0.00551600,0.00589000,101231.25300000,2020-09-01 08:59:59.999,602.29323744,34886,37840.60300000,224.67630368,0
5,2020-09-01 09:00:00.000,0.00588100,0.00635000,0.00483100,0.00504500,145958.43800000,2020-09-02 08:59:59.999,830.55846488,49251,63375.64100000,361.53565457,0
6,2020-09-02 09:00:00.000,0.00504400,0.00571400,0.00480100,0.00517800,82330.22400000,2020-09-03 08:59:59.999,434.19033641,26606,37677.81900000,198.80002734,0
7,2020-09-03 09:00:00.000,0.00517900,0.00548400,0.00397200,0.00425700,133757.53400000,2020-09-04 08:59:59.999,634.46934234,41679,62983.12300000,297.79520781,0
8,2020-09-04 09:00:00.000,0.00425600,0.00473300,0.00397200,0.00433100,71795.43600000,2020-09-05 08:59:59.999,313.00323383,17278,34069.20800000,148.44792556,0
9,2020-09-05 09:00:00.000,0.00433200,0.00452000,0.00260000,0.00299900,96831.27700000,2020-09-06 08:59:59.999,334.24491984,22118,41010.51300000,143.85205927,0
10,2020-09-06 09:00:00.000,0.00301800,0.00383500,0.00255000,0.00374700,126268.03600000,2020-09-07 08:59:59.999,397.00962854,27737,57674.72100000,182.64337981,0
11,2020-09-07 09:00:00.000,0.00372500,0.00434500,0.00300000,0.00365000,170051.75100000,2020-09-08 08:59:59.999,618.60975601,40615,77719.78100000,283.53914805,0
12,2020-09-08 09:00:00.000,0.00365200,0.00372000,0.00309000,0.00323100,54035.64700000,2020-09-09 08:59:59.999,183.77091464,16924,25728.09700000,87.73688874,0
13,2020-09-09 09:00:00.000,0.00323200,0.00368500,0.00306300,0.00338100,66513.11100000,2020-09-10 08:59:59.999,223.23874526,16019,31370.22100000,105.03158545,0
14,2020-09-10 09:00:00.000,0.00338200,0.00388400,0.00337100,0.00358000,78711.60100000,2020-09-11 08:59:59.999,285.86661906,18952,38057.89400000,138.27967765,0
15,2020-09-11 09:00:00.000,0.00357800,0.00385500,0.00327800,0.00366700,57368.76900000,2020-09-12 08:59:59.999,201.10385238,12597,30638.58400000,107.63798026,0
16,2020-09-12 09:00:00.000,0.00366800,0.00445500,0.00351700,0.00425100,125497.77800000,2020-09-13 08:59:59.999,506.54796520,37448,59481.20800000,240.66735657,0
17,2020-09-13 09:00:00.000,0.00424900,0.00432000,0.00351700,0.00381100,69516.46900000,2020-09-14 08:59:59.999,265.81161927,21426,31175.65300000,119.45659471,0
18,2020-09-14 09:00:00.000,0.00379500,0.00393100,0.00357600,0.00366000,44575.89800000,2020-09-15 08:59:59.999,166.87376837,13353,19308.47500000,72.39349479,0
19,2020-09-15 09:00:00.000,0.00364500,0.00366300,0.00295000,0.00296800,45251.13800000,2020-09-16 08:59:59.999,149.72717582,10361,21469.53100000,71.48271466,0
20,2020-09-16 09:00:00.000,0.00296200,0.00309000,0.00261800,0.00279600,42537.81200000,2020-09-17 08:59:59.999,120.79762686,9292,20548.21100000,58.34315638,0
21,2020-09-17 09:00:00.000,0.00278700,0.00298200,0.00266900,0.00279200,34775.58000000,2020-09-18 08:59:59.999,96.78180297,8497,16468.36100000,45.72385432,0
22,2020-09-18 09:00:00.000,0.00279800,0.00338700,0.00270000,0.00286100,104539.72900000,2020-09-19 08:59:59.999,304.57181376,17186,49896.35600000,145.34093870,0
23,2020-09-19 09:00:00.000,0.00287500,0.00287500,0.00260600,0.00277600,60443.12400000,2020-09-20 08:59:59.999,164.39335477,9489,29547.71500000,80.33832006,0
24,2020-09-20 09:00:00.000,0.00277300,0.00291000,0.00248700,0.00254400,55333.15800000,2020-09-21 08:59:59.999,149.86803115,9771,22605.81100000,61.15730822,0
25,2020-09-21 09:00:00.000,0.00254900,0.00259900,0.00155000,0.00208600,109051.38100000,2020-09-22 08:59:59.999,241.52198867,19717,52968.78500000,117.56874909,0
26,2020-09-22 09:00:00.000,0.00209000,0.00216700,0.00190100,0.00203700,60231.93300000,2020-09-23 08:59:59.999,121.77660645,11405,26642.41800000,54.13687148,0
27,2020-09-23 09:00:00.000,0.00203000,0.00250000,0.00179500,0.00187700,117682.45600000,2020-09-24 08:59:59.999,237.33015037,21374,57180.57400000,114.89201270,0
28,2020-09-24 09:00:00.000,0.00187500,0.00210500,0.00185200,0.00208500,61522.05100000,2020-09-25 08:59:59.999,122.77084186,8799,29222.41400000,58.40317026,0
29,2020-09-25 09:00:00.000,0.00209000,0.00224900,0.00188000,0.00216300,48794.32100000,2020-09-26 08:59:59.999,99.60482430,7464,24037.17600000,49.18515441,0
30,2020-09-26 09:00:00.000,0.00216800,0.00233000,0.00206200,0.00221000,55734.84900000,2020-09-27 08:59:59.999,121.74114417,7541,25828.10600000,56.36908198,0
31,2020-09-27 09:00:00.000,0.00220000,0.00223000,0.00205000,0.00214000,23263.99300000,2020-09-28 08:59:59.999,49.60526000,3559,12203.91500000,26.00826918,0
32,2020-09-28 09:00:00.000,0.00214300,0.00247700,0.00209400,0.00233500,70961.31200000,2020-09-29 08:59:59.999,164.45366786,9526,30659.01600000,70.96747692,0
33,2020-09-29 09:00:00.000,0.00233000,0.00238000,0.00210600,0.00216400,56843.82900000,2020-09-30 08:59:59.999,127.80018307,9812,30478.06400000,68.59667732,0
34,2020-09-30 09:00:00.000,0.00216400,0.00217400,0.00204100,0.00208000,41647.57100000,2020-10-01 08:59:59.999,87.30181117,6383,19924.68800000,41.75084005,0
35,2020-10-01 09:00:00.000,0.00208500,0.00220300,0.00189800,0.00195500,53329.93500000,2020-10-02 08:59:59.999,107.24186854,6317,28014.21000000,56.13523404,0
36,2020-10-02 09:00:00.000,0.00194900,0.00198000,0.00174000,0.00190000,63782.95100000,2020-10-03 08:59:59.999,117.96835508,7738,31695.61900000,58.55660553,0
37,2020-10-03 09:00:00.000,0.00190200,0.00191900,0.00184900,0.00186400,9601.22200000,2020-10-04 08:59:59.999,18.08563453,1752,4719.59500000,8.89790655,0
