,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-12-05 09:00:00.000,0.00000070,0.00000195,0.00000070,0.00000130,3799139039.00000000,2019-12-06 08:59:59.999,5431.55647136,132727,1872851403.00000000,2660.35859381,0
1,2019-12-06 09:00:00.000,0.00000130,0.00000146,0.00000119,0.00000122,1876438964.00000000,2019-12-07 08:59:59.999,2481.71442206,84307,1078352570.00000000,1436.48775914,0
2,2019-12-07 09:00:00.000,0.00000121,0.00000126,0.00000107,0.00000109,1165013450.00000000,2019-12-08 08:59:59.999,1342.92702385,48534,705356466.00000000,813.07786411,0
3,2019-12-08 09:00:00.000,0.00000108,0.00000124,0.00000101,0.00000111,1854554770.00000000,2019-12-09 08:59:59.999,2146.10493475,92177,1042615361.00000000,1213.30524073,0
4,2019-12-09 09:00:00.000,0.00000111,0.00000119,0.00000105,0.00000108,666518467.00000000,2019-12-10 08:59:59.999,750.45442599,43484,337885149.00000000,383.56385370,0
5,2019-12-10 09:00:00.000,0.00000108,0.00000109,0.00000097,0.00000099,1065251893.00000000,2019-12-11 08:59:59.999,1096.19610776,66616,524246118.00000000,543.27845584,0
6,2019-12-11 09:00:00.000,0.00000098,0.00000116,0.00000098,0.00000112,717788804.00000000,2019-12-12 08:59:59.999,774.94746309,32011,406554502.00000000,440.63563622,0
7,2019-12-12 09:00:00.000,0.00000111,0.00000112,0.00000099,0.00000101,390138598.00000000,2019-12-13 08:59:59.999,404.50971573,23340,158147967.00000000,164.77790197,0
8,2019-12-13 09:00:00.000,0.00000100,0.00000103,0.00000098,0.00000100,161375435.00000000,2019-12-14 08:59:59.999,161.84634045,5868,58212221.00000000,58.67430097,0
9,2019-12-14 09:00:00.000,0.00000101,0.00000103,0.00000097,0.00000098,183217531.00000000,2019-12-15 08:59:59.999,181.75752379,8361,84576555.00000000,84.29115205,0
10,2019-12-15 09:00:00.000,0.00000098,0.00000109,0.00000097,0.00000104,319562542.00000000,2019-12-16 08:59:59.999,333.33853193,10029,200594346.00000000,210.60160732,0
11,2019-12-16 09:00:00.000,0.00000105,0.00000113,0.00000101,0.00000103,390920114.00000000,2019-12-17 08:59:59.999,419.09691007,11991,214397048.00000000,230.58604224,0
12,2019-12-17 09:00:00.000,0.00000103,0.00000105,0.00000098,0.00000100,195093823.00000000,2019-12-18 08:59:59.999,196.42925652,10627,92235169.00000000,93.29344809,0
13,2019-12-18 09:00:00.000,0.00000099,0.00000101,0.00000096,0.00000096,180269224.00000000,2019-12-19 08:59:59.999,177.41545310,9091,65033061.00000000,64.40446880,0
14,2019-12-19 09:00:00.000,0.00000097,0.00000098,0.00000091,0.00000094,291771972.00000000,2019-12-20 08:59:59.999,276.67643533,24304,179319223.00000000,170.77152199,0
