,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000348,0.00000354,0.00000340,0.00000343,218436824.00000000,2019-05-24 08:59:59.999,755.06182265,16063,100146349.00000000,346.41607269,0
1,2019-05-24 09:00:00.000,0.00000343,0.00000354,0.00000341,0.00000346,252324067.00000000,2019-05-25 08:59:59.999,877.82406367,17175,123160012.00000000,428.78916931,0
2,2019-05-25 09:00:00.000,0.00000347,0.00000361,0.00000341,0.00000343,239328784.00000000,2019-05-26 08:59:59.999,833.38037101,15181,109876702.00000000,383.25261591,0
3,2019-05-26 09:00:00.000,0.00000344,0.00000381,0.00000339,0.00000357,1043067377.00000000,2019-05-27 08:59:59.999,3793.80357565,61396,526041149.00000000,1915.70187936,0
4,2019-05-27 09:00:00.000,0.00000357,0.00000415,0.00000355,0.00000399,1533260699.00000000,2019-05-28 08:59:59.999,5912.92014291,101064,734800703.00000000,2836.11060462,0
5,2019-05-28 09:00:00.000,0.00000399,0.00000423,0.00000380,0.00000399,1155177588.00000000,2019-05-29 08:59:59.999,4593.05737254,80547,557606741.00000000,2221.84191609,0
6,2019-05-29 09:00:00.000,0.00000399,0.00000399,0.00000378,0.00000389,509925051.00000000,2019-05-30 08:59:59.999,1986.30195263,37694,240739388.00000000,939.04943161,0
7,2019-05-30 09:00:00.000,0.00000390,0.00000410,0.00000364,0.00000375,866912138.00000000,2019-05-31 08:59:59.999,3391.55975247,69607,389138478.00000000,1527.11923946,0
8,2019-05-31 09:00:00.000,0.00000375,0.00000388,0.00000371,0.00000386,415903503.00000000,2019-06-01 08:59:59.999,1579.29218034,32810,208006753.00000000,790.92527285,0
9,2019-06-01 09:00:00.000,0.00000387,0.00000459,0.00000382,0.00000438,1654971733.00000000,2019-06-02 08:59:59.999,7050.70262695,129364,841362657.00000000,3584.50960602,0
10,2019-06-02 09:00:00.000,0.00000439,0.00000471,0.00000425,0.00000438,1086483271.00000000,2019-06-03 08:59:59.999,4869.39710494,94985,516914281.00000000,2320.77031839,0
11,2019-06-03 09:00:00.000,0.00000437,0.00000468,0.00000408,0.00000416,1394697797.00000000,2019-06-04 08:59:59.999,6103.10193870,103619,661268272.00000000,2901.78277253,0
12,2019-06-04 09:00:00.000,0.00000416,0.00000457,0.00000400,0.00000456,835109302.00000000,2019-06-05 08:59:59.999,3602.22402003,81866,426033921.00000000,1841.97827932,0
13,2019-06-05 09:00:00.000,0.00000456,0.00000462,0.00000430,0.00000437,489154217.00000000,2019-06-06 08:59:59.999,2165.96459215,39173,234978073.00000000,1042.34077272,0
14,2019-06-06 09:00:00.000,0.00000436,0.00000438,0.00000410,0.00000418,431675330.00000000,2019-06-07 08:59:59.999,1824.22185205,31501,205413485.00000000,868.93180999,0
15,2019-06-07 09:00:00.000,0.00000419,0.00000430,0.00000414,0.00000420,305186361.00000000,2019-06-08 08:59:59.999,1282.05787262,20823,156725007.00000000,658.99081883,0
16,2019-06-08 09:00:00.000,0.00000420,0.00000421,0.00000403,0.00000406,250927935.00000000,2019-06-09 08:59:59.999,1032.07064212,18448,112012375.00000000,461.10502419,0
17,2019-06-09 09:00:00.000,0.00000406,0.00000409,0.00000381,0.00000389,316457764.00000000,2019-06-10 08:59:59.999,1244.81615939,26562,137730984.00000000,542.23606524,0
18,2019-06-10 09:00:00.000,0.00000388,0.00000406,0.00000385,0.00000394,362158147.00000000,2019-06-11 08:59:59.999,1427.65600301,27735,185652059.00000000,732.62062835,0
