,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-09-17 09:00:00.000,0.00002727,0.00041000,0.00001400,0.00031637,35864919.00000000,2020-09-18 08:59:59.999,10788.11500630,348802,16865750.00000000,5095.65623438,0
1,2020-09-18 09:00:00.000,0.00031644,0.00079259,0.00029552,0.00063327,62428182.00000000,2020-09-19 08:59:59.999,34009.67346811,656155,31003677.00000000,16909.63178216,0
2,2020-09-19 09:00:00.000,0.00063232,0.00068000,0.00047129,0.00051630,23323962.00000000,2020-09-20 08:59:59.999,13816.15513550,284554,11048959.00000000,6563.55495958,0
3,2020-09-20 09:00:00.000,0.00051658,0.00055576,0.00043203,0.00047859,14374112.00000000,2020-09-21 08:59:59.999,6959.56417984,163825,6803733.00000000,3297.63125088,0
4,2020-09-21 09:00:00.000,0.00047764,0.00051530,0.00039394,0.00040692,13635142.00000000,2020-09-22 08:59:59.999,5995.91211401,137591,6506052.00000000,2873.44517655,0
5,2020-09-22 09:00:00.000,0.00040821,0.00043525,0.00035399,0.00037136,10567119.00000000,2020-09-23 08:59:59.999,4098.70325742,104239,5105638.00000000,1980.54685357,0
6,2020-09-23 09:00:00.000,0.00037169,0.00051302,0.00037091,0.00042737,14904812.00000000,2020-09-24 08:59:59.999,6569.53845483,186673,7291735.00000000,3217.50421813,0
7,2020-09-24 09:00:00.000,0.00042751,0.00050061,0.00041375,0.00048110,10210999.00000000,2020-09-25 08:59:59.999,4793.82477776,120629,4982627.00000000,2343.84216472,0
8,2020-09-25 09:00:00.000,0.00048085,0.00051896,0.00045025,0.00046000,7385335.00000000,2020-09-26 08:59:59.999,3565.15006839,81703,3400191.00000000,1643.71014074,0
9,2020-09-26 09:00:00.000,0.00045996,0.00046415,0.00043850,0.00045474,3283916.00000000,2020-09-27 08:59:59.999,1486.16578483,38522,1541004.00000000,698.43950321,0
10,2020-09-27 09:00:00.000,0.00045383,0.00048400,0.00043959,0.00044980,2907021.00000000,2020-09-28 08:59:59.999,1331.45856949,36965,1460585.00000000,670.29067471,0
11,2020-09-28 09:00:00.000,0.00045000,0.00045520,0.00039150,0.00039667,3650696.00000000,2020-09-29 08:59:59.999,1531.23003672,44970,1668580.00000000,700.88631232,0
12,2020-09-29 09:00:00.000,0.00039690,0.00041071,0.00038084,0.00040477,2851135.00000000,2020-09-30 08:59:59.999,1130.35360517,30370,1397104.00000000,554.42018997,0
13,2020-09-30 09:00:00.000,0.00040429,0.00040429,0.00037000,0.00038579,1891797.00000000,2020-10-01 08:59:59.999,726.17079689,19715,880452.00000000,338.21222919,0
14,2020-10-01 09:00:00.000,0.00038579,0.00041571,0.00037410,0.00040001,4149329.00000000,2020-10-02 08:59:59.999,1636.85782312,38527,2004298.00000000,792.15109574,0
15,2020-10-02 09:00:00.000,0.00039897,0.00039917,0.00034378,0.00036862,2990116.00000000,2020-10-03 08:59:59.999,1103.58264210,27002,1309955.00000000,483.56102673,0
16,2020-10-03 09:00:00.000,0.00036870,0.00037626,0.00036336,0.00036916,984263.00000000,2020-10-04 08:59:59.999,363.80588899,7379,530024.00000000,196.15149150,0
