,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2017-11-07 09:00:00.000,0.00002510,0.00003900,0.00002510,0.00003380,865442.00000000,2017-11-08 08:59:59.999,29.85175426,888,348258.00000000,12.08575109,14664891.89655595
1,2017-11-08 09:00:00.000,0.00003400,0.00004700,0.00002802,0.00003432,2393917.00000000,2017-11-09 08:59:59.999,83.53212396,1026,940055.00000000,33.56528947,17585189.29603379
2,2017-11-09 09:00:00.000,0.00003434,0.00003999,0.00003432,0.00003788,1697303.00000000,2017-11-10 08:59:59.999,64.11148675,832,593178.00000000,22.70649702,21184154.66229176
3,2017-11-10 09:00:00.000,0.00003737,0.00003789,0.00003455,0.00003687,1298659.00000000,2017-11-11 08:59:59.999,46.56851087,500,294866.00000000,10.58461908,20284992.30585980
4,2017-11-11 09:00:00.000,0.00003687,0.00003980,0.00003452,0.00003778,1370970.00000000,2017-11-12 08:59:59.999,51.18641428,1899,532377.00000000,20.00661854,20794028.09815526
5,2017-11-12 09:00:00.000,0.00003768,0.00003970,0.00003186,0.00003500,3351540.00000000,2017-11-13 08:59:59.999,119.65272847,5853,1629338.00000000,58.72842079,21839846.40936767
6,2017-11-13 09:00:00.000,0.00003538,0.00003694,0.00003135,0.00003410,1159654.00000000,2017-11-14 08:59:59.999,39.71472272,1320,571235.00000000,19.72468075,22493925.21702185
7,2017-11-14 09:00:00.000,0.00003410,0.00003628,0.00003313,0.00003579,1519784.00000000,2017-11-15 08:59:59.999,52.40171478,1553,518062.00000000,18.05266818,24350509.56920221
8,2017-11-15 09:00:00.000,0.00003568,0.00003900,0.00003403,0.00003677,2793942.00000000,2017-11-16 08:59:59.999,100.35198775,2591,1068848.00000000,38.65786616,25848809.58294175
9,2017-11-16 09:00:00.000,0.00003662,0.00004518,0.00003219,0.00003300,7778645.00000000,2017-11-17 08:59:59.999,309.14990345,5402,3114521.00000000,125.11518580,34410855.16728169
10,2017-11-17 09:00:00.000,0.00003400,0.00003600,0.00003103,0.00003393,2065716.00000000,2017-11-18 08:59:59.999,68.73622335,1745,680415.00000000,22.79226566,35254821.21684536
11,2017-11-18 09:00:00.000,0.00003387,0.00003621,0.00003200,0.00003401,1317235.00000000,2017-11-19 08:59:59.999,44.46331768,929,491083.00000000,16.56598511,35466363.12753962
