,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000094,0.00000096,0.00000092,0.00000095,273967237.00000000,2019-05-24 08:59:59.999,257.72104375,4063,134385123.00000000,126.72649055,0
1,2019-05-24 09:00:00.000,0.00000095,0.00000096,0.00000090,0.00000092,370089400.00000000,2019-05-25 08:59:59.999,344.93985075,5591,158829670.00000000,148.80186410,0
2,2019-05-25 09:00:00.000,0.00000092,0.00000095,0.00000091,0.00000092,162018613.00000000,2019-05-26 08:59:59.999,149.83159828,2925,79578658.00000000,73.88171082,0
3,2019-05-26 09:00:00.000,0.00000091,0.00000093,0.00000083,0.00000088,463863804.00000000,2019-05-27 08:59:59.999,409.72955715,7496,197324442.00000000,174.91109880,0
4,2019-05-27 09:00:00.000,0.00000087,0.00000093,0.00000084,0.00000092,663194444.00000000,2019-05-28 08:59:59.999,580.66796061,9306,345055798.00000000,303.36508566,0
5,2019-05-28 09:00:00.000,0.00000092,0.00000094,0.00000089,0.00000090,596746579.00000000,2019-05-29 08:59:59.999,542.90827068,7953,270834988.00000000,247.29584577,0
6,2019-05-29 09:00:00.000,0.00000089,0.00000091,0.00000087,0.00000089,404895400.00000000,2019-05-30 08:59:59.999,360.54365946,5620,154332709.00000000,138.01195737,0
7,2019-05-30 09:00:00.000,0.00000089,0.00000098,0.00000087,0.00000090,1189444694.00000000,2019-05-31 08:59:59.999,1093.12974579,14341,623844276.00000000,576.29927622,0
8,2019-05-31 09:00:00.000,0.00000090,0.00000094,0.00000088,0.00000090,407863518.00000000,2019-06-01 08:59:59.999,365.97407280,5353,177355569.00000000,159.86817951,0
9,2019-06-01 09:00:00.000,0.00000090,0.00000091,0.00000086,0.00000087,415395149.00000000,2019-06-02 08:59:59.999,365.06624410,5318,153625965.00000000,135.70751893,0
10,2019-06-02 09:00:00.000,0.00000087,0.00000090,0.00000086,0.00000088,351704523.00000000,2019-06-03 08:59:59.999,309.28443013,5227,200231058.00000000,176.73896758,0
11,2019-06-03 09:00:00.000,0.00000089,0.00000091,0.00000087,0.00000089,364475778.00000000,2019-06-04 08:59:59.999,322.90053138,5575,159240460.00000000,141.90528975,0
12,2019-06-04 09:00:00.000,0.00000089,0.00000098,0.00000087,0.00000097,747739063.00000000,2019-06-05 08:59:59.999,692.97466857,10826,392222920.00000000,364.21318313,0
13,2019-06-05 09:00:00.000,0.00000097,0.00000103,0.00000093,0.00000099,1031848923.00000000,2019-06-06 08:59:59.999,1012.65245630,13841,517574454.00000000,509.27554355,0
14,2019-06-06 09:00:00.000,0.00000099,0.00000104,0.00000097,0.00000099,693917123.00000000,2019-06-07 08:59:59.999,696.04717072,9070,343209775.00000000,345.38981745,0
15,2019-06-07 09:00:00.000,0.00000098,0.00000100,0.00000095,0.00000097,557408965.00000000,2019-06-08 08:59:59.999,539.35475628,6599,234629091.00000000,227.56036782,0
