,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00008370,0.00008650,0.00007880,0.00007990,1638777.71000000,2019-05-24 08:59:59.999,135.19961804,6277,704239.01000000,58.21499080,0
1,2019-05-24 09:00:00.000,0.00007990,0.00008400,0.00007490,0.00007710,2114596.12000000,2019-05-25 08:59:59.999,167.02886921,7516,917452.27000000,72.47148383,0
2,2019-05-25 09:00:00.000,0.00007710,0.00008600,0.00007690,0.00007880,1390575.54000000,2019-05-26 08:59:59.999,112.30882011,6315,592176.75000000,48.12843456,0
3,2019-05-26 09:00:00.000,0.00007860,0.00008320,0.00007000,0.00007140,2178408.09000000,2019-05-27 08:59:59.999,169.49787649,8214,873435.43000000,67.97893482,0
4,2019-05-27 09:00:00.000,0.00007150,0.00007330,0.00006780,0.00006960,834041.36000000,2019-05-28 08:59:59.999,58.92582703,3682,376339.67000000,26.67281126,0
5,2019-05-28 09:00:00.000,0.00006960,0.00007800,0.00006960,0.00007410,1390014.71000000,2019-05-29 08:59:59.999,103.21551419,6731,661146.18000000,49.12785598,0
6,2019-05-29 09:00:00.000,0.00007400,0.00007720,0.00006760,0.00007290,1363655.18000000,2019-05-30 08:59:59.999,99.32983591,4910,614426.62000000,44.85005789,0
7,2019-05-30 09:00:00.000,0.00007290,0.00007640,0.00006860,0.00007000,1659587.61000000,2019-05-31 08:59:59.999,119.74676875,5171,697885.92000000,50.55117671,0
8,2019-05-31 09:00:00.000,0.00007030,0.00007100,0.00006810,0.00006930,497768.06000000,2019-06-01 08:59:59.999,34.53888820,1935,203894.46000000,14.18536583,0
9,2019-06-01 09:00:00.000,0.00006930,0.00007400,0.00006830,0.00006920,730719.77000000,2019-06-02 08:59:59.999,51.24501518,3677,342144.90000000,24.07720098,0
10,2019-06-02 09:00:00.000,0.00006910,0.00007300,0.00006880,0.00007090,569261.82000000,2019-06-03 08:59:59.999,40.26760178,2887,295928.13000000,20.94690692,0
11,2019-06-03 09:00:00.000,0.00007090,0.00007130,0.00006610,0.00006680,650465.31000000,2019-06-04 08:59:59.999,44.80818242,2411,225390.61000000,15.56276390,0
12,2019-06-04 09:00:00.000,0.00006690,0.00007100,0.00006490,0.00006710,914992.08000000,2019-06-05 08:59:59.999,61.35003341,3269,385110.38000000,25.87774821,0
13,2019-06-05 09:00:00.000,0.00006700,0.00007020,0.00006690,0.00006900,523325.92000000,2019-06-06 08:59:59.999,35.93701783,2118,229906.68000000,15.81339139,0
14,2019-06-06 09:00:00.000,0.00006880,0.00007290,0.00006780,0.00007100,1078424.76000000,2019-06-07 08:59:59.999,75.82956002,3761,527042.39000000,37.13108274,0
15,2019-06-07 09:00:00.000,0.00007110,0.00007110,0.00006860,0.00006990,517255.06000000,2019-06-08 08:59:59.999,36.12166373,1936,250165.21000000,17.50189229,0
16,2019-06-08 09:00:00.000,0.00007030,0.00007200,0.00006960,0.00007120,534750.09000000,2019-06-09 08:59:59.999,37.84184791,1986,251096.77000000,17.78591798,0
17,2019-06-09 09:00:00.000,0.00007120,0.00007310,0.00006940,0.00007030,478552.09000000,2019-06-10 08:59:59.999,34.03318867,2195,187977.97000000,13.43155627,0
18,2019-06-10 09:00:00.000,0.00007030,0.00007640,0.00006980,0.00007330,1277800.19000000,2019-06-11 08:59:59.999,93.85811129,5488,591128.13000000,43.50594995,0
19,2019-06-11 09:00:00.000,0.00007330,0.00007480,0.00007100,0.00007430,693825.83000000,2019-06-12 08:59:59.999,50.34300749,2510,332382.93000000,24.17192599,0
20,2019-06-12 09:00:00.000,0.00007400,0.00007440,0.00006860,0.00006960,817558.21000000,2019-06-13 08:59:59.999,58.05655666,2730,239943.59000000,17.02043428,0
21,2019-06-13 09:00:00.000,0.00006970,0.00007040,0.00006670,0.00006820,529149.36000000,2019-06-14 08:59:59.999,36.44909911,1918,241821.24000000,16.67795357,0
22,2019-06-14 09:00:00.000,0.00006840,0.00007780,0.00006130,0.00006270,2962563.97000000,2019-06-15 08:59:59.999,208.97610835,10874,1327609.88000000,94.13609640,0
23,2019-06-15 09:00:00.000,0.00006260,0.00006630,0.00006210,0.00006290,500505.76000000,2019-06-16 08:59:59.999,31.92218648,2256,242440.18000000,15.49347612,0
24,2019-06-16 09:00:00.000,0.00006300,0.00006490,0.00005870,0.00006050,806132.65000000,2019-06-17 08:59:59.999,49.28460148,3661,327828.15000000,20.09695764,0
25,2019-06-17 09:00:00.000,0.00006060,0.00006450,0.00005830,0.00005920,952703.49000000,2019-06-18 08:59:59.999,58.41415944,3975,467260.23000000,28.72364790,0
26,2019-06-18 09:00:00.000,0.00005920,0.00006330,0.00005860,0.00006010,707498.15000000,2019-06-19 08:59:59.999,43.15643486,2731,345404.79000000,21.18945474,0
27,2019-06-19 09:00:00.000,0.00006010,0.00006160,0.00005750,0.00005830,561813.21000000,2019-06-20 08:59:59.999,33.72231736,2242,233233.29000000,14.02476471,0
28,2019-06-20 09:00:00.000,0.00005830,0.00006000,0.00005250,0.00005390,840176.80000000,2019-06-21 08:59:59.999,47.33450432,3447,383991.68000000,21.77806436,0
29,2019-06-21 09:00:00.000,0.00005390,0.00005390,0.00004690,0.00004750,1107935.88000000,2019-06-22 08:59:59.999,54.65105895,4043,470407.89000000,23.16952549,0
30,2019-06-22 09:00:00.000,0.00004740,0.00004820,0.00004230,0.00004500,975818.53000000,2019-06-23 08:59:59.999,43.75271588,3435,465712.83000000,20.88800587,0
31,2019-06-23 09:00:00.000,0.00004500,0.00005150,0.00004110,0.00004370,1029546.32000000,2019-06-24 08:59:59.999,46.83561117,3823,473456.32000000,21.61452642,0
32,2019-06-24 09:00:00.000,0.00004350,0.00004650,0.00004240,0.00004330,656340.73000000,2019-06-25 08:59:59.999,28.56573497,2441,273540.28000000,11.96141555,0
33,2019-06-25 09:00:00.000,0.00004330,0.00004340,0.00003860,0.00003880,944946.40000000,2019-06-26 08:59:59.999,38.12202512,2905,372054.02000000,15.00293195,0
34,2019-06-26 09:00:00.000,0.00003880,0.00006400,0.00003680,0.00004100,11843072.05000000,2019-06-27 08:59:59.999,563.50604844,24341,5328658.39000000,255.66235722,0
35,2019-06-27 09:00:00.000,0.00004060,0.00004290,0.00003780,0.00003910,1668327.48000000,2019-06-28 08:59:59.999,66.46545878,4970,712981.01000000,28.47538097,0
36,2019-06-28 09:00:00.000,0.00003910,0.00004010,0.00003550,0.00003550,781456.66000000,2019-06-29 08:59:59.999,29.70286428,2388,290735.95000000,11.13988301,0
37,2019-06-29 09:00:00.000,0.00003570,0.00003940,0.00003510,0.00003680,1039006.24000000,2019-06-30 08:59:59.999,38.59312050,2736,488669.25000000,18.15597551,0
38,2019-06-30 09:00:00.000,0.00003680,0.00004180,0.00003580,0.00004120,1609352.82000000,2019-07-01 08:59:59.999,61.97124166,3761,789158.23000000,30.39770557,0
39,2019-07-01 09:00:00.000,0.00004120,0.00004290,0.00003880,0.00004170,1233597.16000000,2019-07-02 08:59:59.999,50.52819657,3267,593741.78000000,24.48019108,0
40,2019-07-02 09:00:00.000,0.00004170,0.00004830,0.00003990,0.00004120,2053617.78000000,2019-07-03 08:59:59.999,90.12713237,6000,802117.29000000,35.25845044,0
41,2019-07-03 09:00:00.000,0.00004130,0.00004130,0.00003710,0.00003790,1058723.48000000,2019-07-04 08:59:59.999,41.32591170,2644,452188.77000000,17.66497402,0
