,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000589,0.00000639,0.00000573,0.00000619,30065864.00000000,2019-05-24 08:59:59.999,179.77430293,4636,21218988.00000000,126.71166960,0
1,2019-05-24 09:00:00.000,0.00000619,0.00000652,0.00000575,0.00000582,26960397.00000000,2019-05-25 08:59:59.999,165.48564137,4299,19486161.00000000,119.77361701,0
2,2019-05-25 09:00:00.000,0.00000583,0.00000596,0.00000558,0.00000583,25986031.00000000,2019-05-26 08:59:59.999,150.18194104,2986,21203885.00000000,122.60049654,0
3,2019-05-26 09:00:00.000,0.00000584,0.00000627,0.00000559,0.00000573,34784213.00000000,2019-05-27 08:59:59.999,208.16856940,5432,26416669.00000000,158.35117747,0
4,2019-05-27 09:00:00.000,0.00000570,0.00000594,0.00000560,0.00000570,25976377.00000000,2019-05-28 08:59:59.999,149.69748848,3117,21634877.00000000,124.77987726,0
5,2019-05-28 09:00:00.000,0.00000570,0.00000594,0.00000565,0.00000575,28109796.00000000,2019-05-29 08:59:59.999,163.66609089,2897,23952620.00000000,139.64642002,0
6,2019-05-29 09:00:00.000,0.00000575,0.00000614,0.00000554,0.00000596,23347366.00000000,2019-05-30 08:59:59.999,136.88540130,5521,16358910.00000000,95.85269447,0
7,2019-05-30 09:00:00.000,0.00000595,0.00000618,0.00000560,0.00000570,23891071.00000000,2019-05-31 08:59:59.999,142.32560654,6103,14782212.00000000,88.61441481,0
8,2019-05-31 09:00:00.000,0.00000572,0.00000586,0.00000557,0.00000580,22732358.00000000,2019-06-01 08:59:59.999,131.19368412,2719,19839749.00000000,114.57460404,0
9,2019-06-01 09:00:00.000,0.00000580,0.00000608,0.00000573,0.00000598,22194227.00000000,2019-06-02 08:59:59.999,132.38834613,4058,18580081.00000000,110.96420454,0
10,2019-06-02 09:00:00.000,0.00000597,0.00000615,0.00000585,0.00000599,21737431.00000000,2019-06-03 08:59:59.999,131.36943263,3987,16659273.00000000,100.89022459,0
11,2019-06-03 09:00:00.000,0.00000597,0.00000597,0.00000572,0.00000577,20034173.00000000,2019-06-04 08:59:59.999,117.93336304,2888,16290281.00000000,96.03048844,0
12,2019-06-04 09:00:00.000,0.00000575,0.00000587,0.00000566,0.00000573,19882495.00000000,2019-06-05 08:59:59.999,114.34453823,2840,16857385.00000000,97.00455942,0
13,2019-06-05 09:00:00.000,0.00000573,0.00000590,0.00000563,0.00000578,22453878.00000000,2019-06-06 08:59:59.999,129.72504087,3986,17984479.00000000,103.98531542,0
14,2019-06-06 09:00:00.000,0.00000578,0.00000600,0.00000557,0.00000576,25923046.00000000,2019-06-07 08:59:59.999,150.71797393,5647,17291287.00000000,100.90680777,0
15,2019-06-07 09:00:00.000,0.00000574,0.00000590,0.00000570,0.00000583,17705001.00000000,2019-06-08 08:59:59.999,102.56134266,2764,14569208.00000000,84.43957507,0
16,2019-06-08 09:00:00.000,0.00000584,0.00000614,0.00000581,0.00000603,21587084.00000000,2019-06-09 08:59:59.999,128.81748060,3983,16071704.00000000,95.83960597,0
17,2019-06-09 09:00:00.000,0.00000603,0.00000610,0.00000580,0.00000586,18587345.00000000,2019-06-10 08:59:59.999,111.30028337,2951,15010564.00000000,90.03192792,0
18,2019-06-10 09:00:00.000,0.00000584,0.00000620,0.00000581,0.00000607,23290104.00000000,2019-06-11 08:59:59.999,140.47689266,4450,18132818.00000000,109.34900678,0
19,2019-06-11 09:00:00.000,0.00000608,0.00000636,0.00000603,0.00000615,19316801.00000000,2019-06-12 08:59:59.999,119.64816740,5191,12073447.00000000,74.85500651,0
20,2019-06-12 09:00:00.000,0.00000615,0.00000649,0.00000602,0.00000630,22387556.00000000,2019-06-13 08:59:59.999,139.07234793,6235,14205017.00000000,87.99952518,0
21,2019-06-13 09:00:00.000,0.00000630,0.00000671,0.00000630,0.00000648,19430989.00000000,2019-06-14 08:59:59.999,126.20683652,7373,8963902.00000000,58.36260941,0
22,2019-06-14 09:00:00.000,0.00000646,0.00000679,0.00000562,0.00000582,19627278.00000000,2019-06-15 08:59:59.999,122.59572255,8372,8673221.00000000,54.59576438,0
23,2019-06-15 09:00:00.000,0.00000582,0.00000596,0.00000554,0.00000566,11107488.00000000,2019-06-16 08:59:59.999,63.48144828,3161,5900459.00000000,33.70994116,0
24,2019-06-16 09:00:00.000,0.00000566,0.00000569,0.00000514,0.00000541,9928983.00000000,2019-06-17 08:59:59.999,53.01075691,2975,6391905.00000000,34.08958589,0
25,2019-06-17 09:00:00.000,0.00000540,0.00000562,0.00000512,0.00000521,9783612.00000000,2019-06-18 08:59:59.999,52.48577511,2573,6138630.00000000,32.92206879,0
26,2019-06-18 09:00:00.000,0.00000519,0.00000529,0.00000505,0.00000513,7275950.00000000,2019-06-19 08:59:59.999,37.46316743,1661,4627894.00000000,23.86368260,0
27,2019-06-19 09:00:00.000,0.00000512,0.00000535,0.00000499,0.00000534,11563690.00000000,2019-06-20 08:59:59.999,59.43597132,3033,6165946.00000000,31.65081498,0
28,2019-06-20 09:00:00.000,0.00000534,0.00000652,0.00000493,0.00000522,52257596.00000000,2019-06-21 08:59:59.999,294.69106754,15819,23707776.00000000,134.27378174,0
