,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000581,0.00000771,0.00000568,0.00000640,85753303.00000000,2019-05-24 08:59:59.999,581.11883209,21942,37875823.00000000,256.52598477,0
1,2019-05-24 09:00:00.000,0.00000644,0.00000720,0.00000567,0.00000583,32353136.00000000,2019-05-25 08:59:59.999,204.79269384,9497,13399130.00000000,84.69654892,0
2,2019-05-25 09:00:00.000,0.00000585,0.00000606,0.00000558,0.00000574,11387681.00000000,2019-05-26 08:59:59.999,65.33080216,3308,5487328.00000000,31.57192571,0
3,2019-05-26 09:00:00.000,0.00000574,0.00000625,0.00000511,0.00000518,25263829.00000000,2019-05-27 08:59:59.999,144.71175251,7015,11354385.00000000,65.37782483,0
4,2019-05-27 09:00:00.000,0.00000523,0.00000540,0.00000500,0.00000532,11173037.00000000,2019-05-28 08:59:59.999,58.35225974,3134,4889985.00000000,25.58699216,0
5,2019-05-28 09:00:00.000,0.00000528,0.00000603,0.00000526,0.00000560,29785041.00000000,2019-05-29 08:59:59.999,169.85729195,8857,13782834.00000000,78.60648459,0
6,2019-05-29 09:00:00.000,0.00000563,0.00000631,0.00000551,0.00000606,16571878.00000000,2019-05-30 08:59:59.999,97.90849706,6587,7605588.00000000,45.13039117,0
7,2019-05-30 09:00:00.000,0.00000606,0.00000640,0.00000549,0.00000567,21045307.00000000,2019-05-31 08:59:59.999,125.73527651,6861,8868561.00000000,53.36669882,0
8,2019-05-31 09:00:00.000,0.00000566,0.00000615,0.00000551,0.00000597,8984178.00000000,2019-06-01 08:59:59.999,52.44419403,2752,3929019.00000000,22.98516183,0
9,2019-06-01 09:00:00.000,0.00000597,0.00000605,0.00000572,0.00000590,6591270.00000000,2019-06-02 08:59:59.999,38.80406245,2068,2640402.00000000,15.60577222,0
10,2019-06-02 09:00:00.000,0.00000590,0.00000630,0.00000584,0.00000597,9386208.00000000,2019-06-03 08:59:59.999,56.79287976,3054,4171300.00000000,25.29048983,0
11,2019-06-03 09:00:00.000,0.00000598,0.00000607,0.00000582,0.00000584,7397759.00000000,2019-06-04 08:59:59.999,43.89156414,2037,2349947.00000000,14.01791016,0
12,2019-06-04 09:00:00.000,0.00000584,0.00000601,0.00000569,0.00000577,4260390.00000000,2019-06-05 08:59:59.999,24.85817849,1451,1768292.00000000,10.33656733,0
