,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00004630,0.00004888,0.00004185,0.00004334,8220460.00000000,2019-05-24 08:59:59.999,367.54173907,17377,4017749.00000000,180.39501724,0
1,2019-05-24 09:00:00.000,0.00004340,0.00004810,0.00004090,0.00004134,9279529.00000000,2019-05-25 08:59:59.999,413.50276834,17679,4575683.00000000,204.30039832,0
2,2019-05-25 09:00:00.000,0.00004138,0.00004579,0.00003934,0.00004338,5168025.00000000,2019-05-26 08:59:59.999,216.86688743,11952,2477145.00000000,104.28753102,0
3,2019-05-26 09:00:00.000,0.00004329,0.00004461,0.00003600,0.00003792,5801137.00000000,2019-05-27 08:59:59.999,238.73924205,12468,2427002.00000000,99.88440245,0
4,2019-05-27 09:00:00.000,0.00003792,0.00003882,0.00003594,0.00003731,3584289.00000000,2019-05-28 08:59:59.999,133.62812852,7197,1735665.00000000,64.73944645,0
5,2019-05-28 09:00:00.000,0.00003731,0.00003837,0.00003654,0.00003712,2963145.00000000,2019-05-29 08:59:59.999,110.89687516,5811,1214313.00000000,45.47026373,0
6,2019-05-29 09:00:00.000,0.00003719,0.00003828,0.00003600,0.00003778,2814769.00000000,2019-05-30 08:59:59.999,104.69123673,5306,1400038.00000000,52.14448252,0
7,2019-05-30 09:00:00.000,0.00003783,0.00004044,0.00003467,0.00003535,8791374.00000000,2019-05-31 08:59:59.999,332.02910318,14102,3881247.00000000,146.84238225,0
8,2019-05-31 09:00:00.000,0.00003544,0.00003797,0.00003457,0.00003761,4834992.00000000,2019-06-01 08:59:59.999,176.97875317,9582,2468129.00000000,90.34846321,0
9,2019-06-01 09:00:00.000,0.00003763,0.00003862,0.00003553,0.00003733,3819617.00000000,2019-06-02 08:59:59.999,141.17854403,7328,1692977.00000000,62.62391619,0
10,2019-06-02 09:00:00.000,0.00003733,0.00003981,0.00003691,0.00003788,3180980.00000000,2019-06-03 08:59:59.999,120.83328834,7308,1705159.00000000,64.98293397,0
11,2019-06-03 09:00:00.000,0.00003789,0.00003792,0.00003595,0.00003691,2474962.00000000,2019-06-04 08:59:59.999,91.21956999,5463,1110970.00000000,40.94052610,0
12,2019-06-04 09:00:00.000,0.00003694,0.00003700,0.00003577,0.00003622,2054161.00000000,2019-06-05 08:59:59.999,74.41348251,4588,947827.00000000,34.36514136,0
13,2019-06-05 09:00:00.000,0.00003621,0.00003950,0.00003613,0.00003744,4332711.00000000,2019-06-06 08:59:59.999,163.84724254,10488,2152892.00000000,81.51209408,0
14,2019-06-06 09:00:00.000,0.00003741,0.00003843,0.00003661,0.00003743,3217478.00000000,2019-06-07 08:59:59.999,120.55741179,6440,1634720.00000000,61.32430970,0
15,2019-06-07 09:00:00.000,0.00003750,0.00003991,0.00003734,0.00003914,3351370.00000000,2019-06-08 08:59:59.999,129.36065497,6983,1722944.00000000,66.57785073,0
16,2019-06-08 09:00:00.000,0.00003913,0.00004194,0.00003879,0.00003971,5895170.00000000,2019-06-09 08:59:59.999,236.79868683,11758,2930400.00000000,117.84418966,0
17,2019-06-09 09:00:00.000,0.00003968,0.00003986,0.00003757,0.00003809,2592585.00000000,2019-06-10 08:59:59.999,100.61736260,5179,1258254.00000000,48.88594692,0
18,2019-06-10 09:00:00.000,0.00003817,0.00004400,0.00003778,0.00004129,8299253.00000000,2019-06-11 08:59:59.999,343.00392645,16951,4435966.00000000,183.81695266,0
19,2019-06-11 09:00:00.000,0.00004136,0.00004247,0.00003992,0.00004064,3991292.00000000,2019-06-12 08:59:59.999,164.33345113,8704,1716182.00000000,70.73619398,0
20,2019-06-12 09:00:00.000,0.00004073,0.00004497,0.00003971,0.00004187,6265464.00000000,2019-06-13 08:59:59.999,261.43024997,13305,3275666.00000000,137.00212500,0
21,2019-06-13 09:00:00.000,0.00004187,0.00004187,0.00003824,0.00003882,3664671.00000000,2019-06-14 08:59:59.999,146.06657599,7567,1660064.00000000,66.30267657,0
22,2019-06-14 09:00:00.000,0.00003885,0.00003965,0.00003240,0.00003347,6492535.00000000,2019-06-15 08:59:59.999,230.36890273,12290,2922759.00000000,103.22365438,0
23,2019-06-15 09:00:00.000,0.00003349,0.00003597,0.00003340,0.00003516,3431442.00000000,2019-06-16 08:59:59.999,118.63766947,7891,1649282.00000000,57.03349276,0
24,2019-06-16 09:00:00.000,0.00003516,0.00003550,0.00003163,0.00003272,2793908.00000000,2019-06-17 08:59:59.999,91.43739871,6685,1305975.00000000,42.76512514,0
25,2019-06-17 09:00:00.000,0.00003270,0.00003363,0.00003194,0.00003243,3084153.00000000,2019-06-18 08:59:59.999,100.68342986,7117,1256786.00000000,41.09074273,0
26,2019-06-18 09:00:00.000,0.00003246,0.00003352,0.00003205,0.00003241,1294306.00000000,2019-06-19 08:59:59.999,42.30838949,3366,588978.00000000,19.29218704,0
27,2019-06-19 09:00:00.000,0.00003244,0.00003505,0.00003200,0.00003290,2217141.00000000,2019-06-20 08:59:59.999,74.19289989,5357,1046866.00000000,35.15316062,0
28,2019-06-20 09:00:00.000,0.00003296,0.00003323,0.00002854,0.00002922,3206123.00000000,2019-06-21 08:59:59.999,98.83941601,7695,1405650.00000000,43.31473820,0
29,2019-06-21 09:00:00.000,0.00002922,0.00002939,0.00002560,0.00002667,2645373.00000000,2019-06-22 08:59:59.999,73.72496062,5957,1118605.00000000,31.28071027,0
30,2019-06-22 09:00:00.000,0.00002672,0.00002911,0.00002268,0.00002581,4447062.00000000,2019-06-23 08:59:59.999,112.25478454,10216,2163616.00000000,54.61949298,0
31,2019-06-23 09:00:00.000,0.00002581,0.00002930,0.00002400,0.00002510,4775355.00000000,2019-06-24 08:59:59.999,126.55780656,9605,2451191.00000000,65.21178170,0
32,2019-06-24 09:00:00.000,0.00002507,0.00002562,0.00002386,0.00002421,2188596.00000000,2019-06-25 08:59:59.999,54.24931190,4344,1054453.00000000,26.16777315,0
33,2019-06-25 09:00:00.000,0.00002423,0.00002554,0.00002206,0.00002225,4524426.00000000,2019-06-26 08:59:59.999,105.90456850,8968,2062411.00000000,48.39431791,0
34,2019-06-26 09:00:00.000,0.00002225,0.00002231,0.00001721,0.00001825,6778368.00000000,2019-06-27 08:59:59.999,132.70135037,10284,3184230.00000000,62.05301336,0
35,2019-06-27 09:00:00.000,0.00001829,0.00002100,0.00001750,0.00001961,3640985.00000000,2019-06-28 08:59:59.999,70.76902444,5598,1852420.00000000,36.12838181,0
36,2019-06-28 09:00:00.000,0.00001962,0.00001999,0.00001780,0.00001807,2920248.00000000,2019-06-29 08:59:59.999,54.89909665,4507,1517902.00000000,28.53617407,0
37,2019-06-29 09:00:00.000,0.00001797,0.00002000,0.00001779,0.00001929,2337535.00000000,2019-06-30 08:59:59.999,44.47726872,3393,1290074.00000000,24.59251377,0
38,2019-06-30 09:00:00.000,0.00001942,0.00002029,0.00001879,0.00001990,1400950.00000000,2019-07-01 08:59:59.999,27.55021010,2239,780659.00000000,15.37631661,0
39,2019-07-01 09:00:00.000,0.00001989,0.00002187,0.00001989,0.00002116,4687421.00000000,2019-07-02 08:59:59.999,99.29733401,5229,2284723.00000000,48.43424112,0
40,2019-07-02 09:00:00.000,0.00002124,0.00002254,0.00001890,0.00001922,5285370.00000000,2019-07-03 08:59:59.999,110.05175982,7143,2555957.00000000,53.30227506,0
41,2019-07-03 09:00:00.000,0.00001917,0.00002025,0.00001763,0.00001794,4258725.00000000,2019-07-04 08:59:59.999,79.66852075,5405,2090242.00000000,39.17360872,0
42,2019-07-04 09:00:00.000,0.00001788,0.00001850,0.00001687,0.00001756,3120410.00000000,2019-07-05 08:59:59.999,54.59829183,4299,1612085.00000000,28.17251989,0
43,2019-07-05 09:00:00.000,0.00001756,0.00001833,0.00001709,0.00001784,3023390.00000000,2019-07-06 08:59:59.999,53.67624837,4237,1461037.00000000,25.97187089,0
44,2019-07-06 09:00:00.000,0.00001779,0.00001780,0.00001665,0.00001727,3021168.00000000,2019-07-07 08:59:59.999,51.84285654,4309,1471960.00000000,25.25528085,0
45,2019-07-07 09:00:00.000,0.00001727,0.00001955,0.00001711,0.00001811,4458114.00000000,2019-07-08 08:59:59.999,81.73365798,7067,2272233.00000000,41.72064632,0
46,2019-07-08 09:00:00.000,0.00001815,0.00002125,0.00001622,0.00001632,11955290.00000000,2019-07-09 08:59:59.999,226.01823091,17473,5662158.00000000,107.74755920,0
47,2019-07-09 09:00:00.000,0.00001632,0.00001736,0.00001499,0.00001583,6646815.00000000,2019-07-10 08:59:59.999,105.67192637,8784,3348408.00000000,53.28037971,0
48,2019-07-10 09:00:00.000,0.00001585,0.00001588,0.00001391,0.00001454,4028802.00000000,2019-07-11 08:59:59.999,59.40225144,5364,1951055.00000000,28.79005391,0
49,2019-07-11 09:00:00.000,0.00001457,0.00001490,0.00001379,0.00001414,2114946.00000000,2019-07-12 08:59:59.999,30.08268846,3424,1194123.00000000,17.02040869,0
50,2019-07-12 09:00:00.000,0.00001415,0.00001745,0.00001380,0.00001501,7004449.00000000,2019-07-13 08:59:59.999,109.63562642,8904,3424466.00000000,53.45085938,0
51,2019-07-13 09:00:00.000,0.00001500,0.00001579,0.00001491,0.00001499,3333665.00000000,2019-07-14 08:59:59.999,50.83542529,4790,1527670.00000000,23.29012655,0
52,2019-07-14 09:00:00.000,0.00001499,0.00001523,0.00001423,0.00001446,1785837.00000000,2019-07-15 08:59:59.999,26.11156311,3085,905574.00000000,13.24036424,0
53,2019-07-15 09:00:00.000,0.00001442,0.00001457,0.00001294,0.00001308,2068932.00000000,2019-07-16 08:59:59.999,28.28675259,3402,764391.00000000,10.46379374,0
54,2019-07-16 09:00:00.000,0.00001304,0.00001333,0.00001253,0.00001261,1512424.00000000,2019-07-17 08:59:59.999,19.47638731,2421,791052.00000000,10.17848601,0
55,2019-07-17 09:00:00.000,0.00001258,0.00001498,0.00001243,0.00001362,3423008.00000000,2019-07-18 08:59:59.999,46.79098867,5042,1667766.00000000,22.75497526,0
56,2019-07-18 09:00:00.000,0.00001359,0.00001521,0.00001270,0.00001302,2720399.00000000,2019-07-19 08:59:59.999,37.37012268,4212,1253311.00000000,17.24530477,0
57,2019-07-19 09:00:00.000,0.00001301,0.00001359,0.00001270,0.00001327,1629119.00000000,2019-07-20 08:59:59.999,21.30158776,2289,862978.00000000,11.28721844,0
58,2019-07-20 09:00:00.000,0.00001331,0.00001414,0.00001298,0.00001390,1759534.00000000,2019-07-21 08:59:59.999,23.58653771,2513,912515.00000000,12.24785000,0
59,2019-07-21 09:00:00.000,0.00001384,0.00001521,0.00001352,0.00001475,3064089.00000000,2019-07-22 08:59:59.999,44.57696112,5341,1421863.00000000,20.70244078,0
60,2019-07-22 09:00:00.000,0.00001476,0.00001481,0.00001375,0.00001415,2365945.00000000,2019-07-23 08:59:59.999,33.81172714,3169,1096150.00000000,15.66540880,0
61,2019-07-23 09:00:00.000,0.00001424,0.00001659,0.00001385,0.00001499,4375139.00000000,2019-07-24 08:59:59.999,66.74226337,7280,2145856.00000000,32.82556786,0
62,2019-07-24 09:00:00.000,0.00001501,0.00001740,0.00001473,0.00001639,5425423.00000000,2019-07-25 08:59:59.999,87.74039449,11816,2551334.00000000,41.24739465,0
63,2019-07-25 09:00:00.000,0.00001639,0.00001643,0.00001570,0.00001586,1694591.00000000,2019-07-26 08:59:59.999,27.06276562,2992,834642.00000000,13.33763970,0
64,2019-07-26 09:00:00.000,0.00001588,0.00001608,0.00001534,0.00001544,1666426.00000000,2019-07-27 08:59:59.999,26.09341247,2063,755747.00000000,11.82810764,0
65,2019-07-27 09:00:00.000,0.00001544,0.00001545,0.00001480,0.00001532,1304349.00000000,2019-07-28 08:59:59.999,19.73840771,2004,647451.00000000,9.81661540,0
66,2019-07-28 09:00:00.000,0.00001528,0.00001691,0.00001527,0.00001552,2484000.00000000,2019-07-29 08:59:59.999,39.59354830,3626,1214275.00000000,19.35447229,0
67,2019-07-29 09:00:00.000,0.00001557,0.00001652,0.00001525,0.00001542,1806002.00000000,2019-07-30 08:59:59.999,28.16509199,2743,865842.00000000,13.47912094,0
68,2019-07-30 09:00:00.000,0.00001538,0.00001547,0.00001486,0.00001514,956823.00000000,2019-07-31 08:59:59.999,14.47596016,1458,382879.00000000,5.79888730,0
69,2019-07-31 09:00:00.000,0.00001513,0.00001525,0.00001371,0.00001383,1463768.00000000,2019-08-01 08:59:59.999,21.14769818,2721,556818.00000000,8.03143989,0
70,2019-08-01 09:00:00.000,0.00001380,0.00001401,0.00001308,0.00001314,1184506.00000000,2019-08-02 08:59:59.999,16.05247875,1587,512742.00000000,6.97268479,0
71,2019-08-02 09:00:00.000,0.00001316,0.00001511,0.00001275,0.00001344,2706910.00000000,2019-08-03 08:59:59.999,37.63770529,5280,1271233.00000000,17.73462954,0
72,2019-08-03 09:00:00.000,0.00001344,0.00001359,0.00001236,0.00001243,1084875.00000000,2019-08-04 08:59:59.999,13.89267782,2156,466226.00000000,5.95325538,0
73,2019-08-04 09:00:00.000,0.00001244,0.00001324,0.00001224,0.00001238,993904.00000000,2019-08-05 08:59:59.999,12.60109120,1475,375351.00000000,4.77033296,0
74,2019-08-05 09:00:00.000,0.00001232,0.00001236,0.00001048,0.00001092,2616119.00000000,2019-08-06 08:59:59.999,29.03241111,3754,1055768.00000000,11.64746937,0
75,2019-08-06 09:00:00.000,0.00001090,0.00001098,0.00000990,0.00001046,2193769.00000000,2019-08-07 08:59:59.999,22.58302436,2549,992525.00000000,10.23067658,0
