,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00030980,0.00041750,0.00030450,0.00041480,10544778.12000000,2019-05-24 08:59:59.999,3556.32223959,154174,5813250.21000000,1957.37374437,0
1,2019-05-24 09:00:00.000,0.00041520,0.00044880,0.00033300,0.00033570,11609961.41000000,2019-05-25 08:59:59.999,4383.06296016,151036,5624129.42000000,2123.15672594,0
2,2019-05-25 09:00:00.000,0.00033530,0.00034590,0.00032750,0.00033850,4894618.57000000,2019-05-26 08:59:59.999,1641.00704790,68207,2713166.30000000,910.02871725,0
3,2019-05-26 09:00:00.000,0.00033860,0.00033880,0.00030750,0.00031070,3929253.28000000,2019-05-27 08:59:59.999,1286.36987992,73186,2316788.60000000,758.13540649,0
4,2019-05-27 09:00:00.000,0.00031080,0.00031650,0.00030600,0.00031040,3513621.91000000,2019-05-28 08:59:59.999,1091.63849754,70356,2044475.60000000,635.42118519,0
5,2019-05-28 09:00:00.000,0.00031050,0.00033040,0.00030860,0.00031580,3532919.27000000,2019-05-29 08:59:59.999,1121.24457942,79072,1960512.97000000,622.62036353,0
6,2019-05-29 09:00:00.000,0.00031590,0.00032170,0.00030910,0.00030910,2890079.10000000,2019-05-30 08:59:59.999,909.93361852,71036,1557037.23000000,490.55576836,0
7,2019-05-30 09:00:00.000,0.00030920,0.00031720,0.00029860,0.00030830,4708896.90000000,2019-05-31 08:59:59.999,1449.03789054,73238,2440927.80000000,751.25652599,0
8,2019-05-31 09:00:00.000,0.00030850,0.00031170,0.00030100,0.00030850,3376337.66000000,2019-06-01 08:59:59.999,1036.58442241,67573,1898987.22000000,583.33448881,0
9,2019-06-01 09:00:00.000,0.00030850,0.00031310,0.00030380,0.00030510,2193716.86000000,2019-06-02 08:59:59.999,675.79867494,53095,1258375.33000000,387.87003393,0
10,2019-06-02 09:00:00.000,0.00030510,0.00031170,0.00029740,0.00030430,3815380.89000000,2019-06-03 08:59:59.999,1159.26491354,72265,2018436.13000000,613.78445193,0
11,2019-06-03 09:00:00.000,0.00030440,0.00030580,0.00029230,0.00029730,3703878.32000000,2019-06-04 08:59:59.999,1112.33243241,77462,2072433.14000000,622.64578252,0
12,2019-06-04 09:00:00.000,0.00029730,0.00030500,0.00029400,0.00030160,4896574.77000000,2019-06-05 08:59:59.999,1464.45164940,95113,2765820.96000000,827.56199786,0
13,2019-06-05 09:00:00.000,0.00030150,0.00030430,0.00029510,0.00029560,2061491.49000000,2019-06-06 08:59:59.999,614.99514498,51905,1124282.29000000,335.64740670,0
14,2019-06-06 09:00:00.000,0.00029570,0.00030000,0.00029300,0.00029540,1855536.27000000,2019-06-07 08:59:59.999,549.34142649,42715,1032804.54000000,305.96982805,0
15,2019-06-07 09:00:00.000,0.00029540,0.00030540,0.00029270,0.00029610,2616794.88000000,2019-06-08 08:59:59.999,781.03799686,38155,1380900.45000000,412.51950784,0
16,2019-06-08 09:00:00.000,0.00029600,0.00030380,0.00029540,0.00029900,1132499.34000000,2019-06-09 08:59:59.999,338.60751789,18745,570198.08000000,170.50709637,0
17,2019-06-09 09:00:00.000,0.00029890,0.00030580,0.00029370,0.00029750,1336151.35000000,2019-06-10 08:59:59.999,399.50621753,25783,679167.80000000,203.25516838,0
18,2019-06-10 09:00:00.000,0.00029770,0.00030160,0.00029400,0.00029720,1637637.84000000,2019-06-11 08:59:59.999,488.10271016,37215,847788.27000000,252.82874599,0
19,2019-06-11 09:00:00.000,0.00029720,0.00030370,0.00029680,0.00030110,2352524.10000000,2019-06-12 08:59:59.999,707.01480822,31559,1233627.44000000,370.87637867,0
20,2019-06-12 09:00:00.000,0.00030090,0.00030220,0.00029800,0.00030010,1652963.39000000,2019-06-13 08:59:59.999,496.03124219,25106,829577.13000000,249.00929220,0
