,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-08-31 09:00:00.000,1.00000000,1.04880000,0.99354000,1.01110000,186.75670000,2020-09-01 08:59:59.999,188.08806887,2869,102.61730000,103.63852561,0
1,2020-09-01 09:00:00.000,1.01116000,1.03547000,0.99951000,1.00299000,169.04300000,2020-09-02 08:59:59.999,169.88011840,2121,54.68390000,55.20003055,0
2,2020-09-02 09:00:00.000,1.00299000,1.00988000,1.00001000,1.00400000,161.00800000,2020-09-03 08:59:59.999,161.69646572,1888,77.79840000,78.24753917,0
3,2020-09-03 09:00:00.000,1.00400000,1.00988000,0.99857000,0.99890000,202.64960000,2020-09-04 08:59:59.999,203.20028747,1962,85.13550000,85.60415848,0
4,2020-09-04 09:00:00.000,0.99890000,1.00800000,0.99801000,1.00223000,135.44530000,2020-09-05 08:59:59.999,135.94637993,1392,92.97180000,93.39557391,0
5,2020-09-05 09:00:00.000,1.00224000,1.00518000,0.99402000,0.99900000,167.67500000,2020-09-06 08:59:59.999,167.80757740,2294,55.76800000,55.89364154,0
6,2020-09-06 09:00:00.000,0.99751000,1.00800000,0.99751000,1.00393000,171.45220000,2020-09-07 08:59:59.999,172.29093525,1913,132.95550000,133.66449675,0
7,2020-09-07 09:00:00.000,1.00361000,1.00849000,1.00050000,1.00262000,204.65970000,2020-09-08 08:59:59.999,205.47436691,1758,93.00520000,93.50292095,0
8,2020-09-08 09:00:00.000,1.00262000,1.00643000,1.00000000,1.00116000,167.00710000,2020-09-09 08:59:59.999,167.62859949,1701,110.84010000,111.35308410,0
9,2020-09-09 09:00:00.000,1.00305000,1.00599000,0.99817000,1.00213000,124.71570000,2020-09-10 08:59:59.999,124.92446208,1335,28.41620000,28.50054974,0
10,2020-09-10 09:00:00.000,1.00211000,1.00814000,1.00007000,1.00189000,322.63220000,2020-09-11 08:59:59.999,323.88306219,3092,179.05020000,179.90197060,0
