,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-08-31 09:00:00.000,27.36000000,29.65000000,26.84560000,27.09670000,15.31740000,2020-09-01 08:59:59.999,425.45323505,469,12.84800000,357.35915264,0
1,2020-09-01 09:00:00.000,26.93860000,27.42920000,24.63840000,25.09150000,13.44950000,2020-09-02 08:59:59.999,348.93628753,650,7.14070000,185.86024531,0
2,2020-09-02 09:00:00.000,24.85660000,26.82840000,24.82430000,25.93590000,28.12000000,2020-09-03 08:59:59.999,719.89533872,814,22.21200000,567.62822073,0
3,2020-09-03 09:00:00.000,26.01490000,27.40650000,25.44580000,26.68620000,21.85060000,2020-09-04 08:59:59.999,578.79330117,1069,19.55600000,518.09454083,0
4,2020-09-04 09:00:00.000,26.62790000,27.66720000,26.32140000,27.13880000,11.43740000,2020-09-05 08:59:59.999,305.61944875,544,7.38950000,198.59664886,0
5,2020-09-05 09:00:00.000,27.24100000,47.75790000,26.83950000,30.24550000,18.87670000,2020-09-06 08:59:59.999,552.90777818,1159,15.24530000,444.54010585,0
6,2020-09-06 09:00:00.000,30.40460000,31.71690000,28.87590000,29.15130000,12.17010000,2020-09-07 08:59:59.999,366.36786765,913,7.10350000,214.59275882,0
7,2020-09-07 09:00:00.000,29.15130000,30.54130000,28.91570000,29.59110000,18.35050000,2020-09-08 08:59:59.999,543.12939028,716,16.81310000,496.96051063,0
8,2020-09-08 09:00:00.000,29.38680000,30.30590000,29.20950000,29.91250000,15.28750000,2020-09-09 08:59:59.999,453.91648826,607,15.06180000,447.21002685,0
9,2020-09-09 09:00:00.000,30.09350000,30.21130000,28.70780000,29.16510000,15.08570000,2020-09-10 08:59:59.999,443.01790164,623,14.24430000,418.68331003,0
10,2020-09-10 09:00:00.000,29.03350000,29.14640000,27.79260000,28.21300000,75.09360000,2020-09-11 08:59:59.999,2122.29266931,1729,47.15330000,1330.13340994,0
11,2020-09-11 09:00:00.000,28.09130000,28.67600000,27.78360000,27.85040000,12.37890000,2020-09-12 08:59:59.999,350.75411202,443,9.54380000,270.19123584,0
12,2020-09-12 09:00:00.000,27.93880000,28.47610000,26.92590000,26.98350000,34.67870000,2020-09-13 08:59:59.999,959.00741489,1068,32.34640000,894.65901035,0
13,2020-09-13 09:00:00.000,26.98050000,28.86340000,26.92590000,28.18640000,62.08790000,2020-09-14 08:59:59.999,1703.44104044,1217,60.56510000,1660.46187349,0
14,2020-09-14 09:00:00.000,28.26260000,28.72380000,27.97420000,28.39450000,15.37580000,2020-09-15 08:59:59.999,435.53864458,1075,14.32060000,405.74540401,0
15,2020-09-15 09:00:00.000,28.34550000,29.87860000,28.30560000,29.63910000,11.41320000,2020-09-16 08:59:59.999,328.10694287,1196,10.14700000,290.88648798,0
16,2020-09-16 09:00:00.000,29.64810000,33.00000000,29.62400000,30.19570000,32.79830000,2020-09-17 08:59:59.999,986.41111311,1477,14.87310000,447.46372506,0
17,2020-09-17 09:00:00.000,30.19560000,150.00000000,27.82460000,28.24030000,207.60960000,2020-09-18 08:59:59.999,5992.23968722,5225,101.08390000,2930.89209646,0
18,2020-09-18 09:00:00.000,28.18640000,28.88590000,28.02820000,28.52560000,58.12210000,2020-09-19 08:59:59.999,1658.58342322,1671,52.24170000,1490.95260012,0
19,2020-09-19 09:00:00.000,28.60260000,29.02860000,28.52560000,28.82680000,18.71300000,2020-09-20 08:59:59.999,538.66174135,715,11.73720000,338.66190185,0
20,2020-09-20 09:00:00.000,28.88340000,29.64830000,28.76040000,29.57970000,22.96570000,2020-09-21 08:59:59.999,668.47967444,664,21.88950000,637.31147503,0
21,2020-09-21 09:00:00.000,29.58050000,31.20560000,29.22160000,30.64320000,46.56100000,2020-09-22 08:59:59.999,1418.93091556,1711,44.22220000,1347.39139252,0
22,2020-09-22 09:00:00.000,30.67650000,30.95670000,30.30380000,30.68410000,11.46430000,2020-09-23 08:59:59.999,351.50891617,589,8.14610000,249.51606090,0
23,2020-09-23 09:00:00.000,30.71140000,32.35370000,30.58070000,32.03020000,21.95220000,2020-09-24 08:59:59.999,685.15567607,1078,17.76080000,554.78260122,0
24,2020-09-24 09:00:00.000,32.06660000,32.24940000,30.53220000,30.88630000,26.45360000,2020-09-25 08:59:59.999,819.71327609,1103,21.60720000,668.03658414,0
25,2020-09-25 09:00:00.000,30.88620000,31.71690000,30.02960000,30.53720000,51.84780000,2020-09-26 08:59:59.999,1606.23264005,1319,49.38480000,1530.32967080,0
26,2020-09-26 09:00:00.000,30.44310000,30.85130000,30.26940000,30.36490000,14.14310000,2020-09-27 08:59:59.999,431.73923657,585,13.17340000,402.28117006,0
27,2020-09-27 09:00:00.000,30.30380000,30.53730000,29.85940000,30.21240000,9.66940000,2020-09-28 08:59:59.999,291.68573068,442,8.53840000,257.63806175,0
28,2020-09-28 09:00:00.000,30.20070000,30.70300000,29.74300000,30.20070000,8.85140000,2020-09-29 08:59:59.999,266.44680771,489,7.09450000,213.55367364,0
29,2020-09-29 09:00:00.000,30.32980000,30.46790000,29.89340000,30.21930000,9.00990000,2020-09-30 08:59:59.999,272.38816774,342,8.09360000,244.70989793,0
30,2020-09-30 09:00:00.000,30.18100000,30.33430000,29.82550000,29.98710000,3.60840000,2020-10-01 08:59:59.999,108.99937950,198,3.48960000,105.42583366,0
31,2020-10-01 09:00:00.000,29.86720000,30.27990000,29.52230000,30.09790000,1.07910000,2020-10-02 08:59:59.999,32.24709117,264,0.68390000,20.49592392,0
32,2020-10-02 09:00:00.000,30.13210000,31.04910000,30.03060000,30.63210000,21.15660000,2020-10-03 08:59:59.999,647.13520301,610,20.10220000,615.03171438,0
33,2020-10-03 09:00:00.000,30.54590000,30.64770000,30.26940000,30.46800000,0.73700000,2020-10-04 08:59:59.999,22.44906396,142,0.40920000,12.47542726,0
