,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-09-16 09:00:00.000,0.00187500,0.08000000,0.00100000,0.00847800,332710.10800000,2020-09-17 08:59:59.999,3147.91686398,163098,144546.14200000,1352.55002835,0
1,2020-09-17 09:00:00.000,0.00843800,0.00982200,0.00530500,0.00573100,133122.77800000,2020-09-18 08:59:59.999,882.12188098,50187,56998.48900000,378.16825991,0
2,2020-09-18 09:00:00.000,0.00571200,0.00610000,0.00475000,0.00480500,72824.18100000,2020-09-19 08:59:59.999,388.50620770,43590,30276.95600000,161.88836576,0
3,2020-09-19 09:00:00.000,0.00481300,0.00720300,0.00466500,0.00600000,155078.15000000,2020-09-20 08:59:59.999,933.33566851,68364,73812.62200000,444.29864872,0
4,2020-09-20 09:00:00.000,0.00600000,0.00649500,0.00479900,0.00514000,57483.51300000,2020-09-21 08:59:59.999,306.16825235,33933,24403.74100000,129.82543792,0
5,2020-09-21 09:00:00.000,0.00513400,0.00529300,0.00360000,0.00398300,59211.47200000,2020-09-22 08:59:59.999,241.91735398,29544,24559.25000000,100.76985018,0
6,2020-09-22 09:00:00.000,0.00397500,0.00437800,0.00310200,0.00319200,52103.45600000,2020-09-23 08:59:59.999,180.22308990,23420,22380.25900000,77.63057494,0
7,2020-09-23 09:00:00.000,0.00319300,0.00327000,0.00237800,0.00240100,103735.22000000,2020-09-24 08:59:59.999,295.68635292,35502,51693.73700000,148.29584879,0
8,2020-09-24 09:00:00.000,0.00241700,0.00310300,0.00234200,0.00267900,70507.94600000,2020-09-25 08:59:59.999,180.24319350,25218,32038.33500000,82.07487765,0
9,2020-09-25 09:00:00.000,0.00267200,0.00270300,0.00234800,0.00239900,34483.29400000,2020-09-26 08:59:59.999,85.38101695,13579,13807.68300000,34.23237641,0
10,2020-09-26 09:00:00.000,0.00239700,0.00245400,0.00227700,0.00230800,30279.39300000,2020-09-27 08:59:59.999,71.27510555,9996,12353.96000000,29.11720917,0
11,2020-09-27 09:00:00.000,0.00230100,0.00231700,0.00197600,0.00202300,55692.62900000,2020-09-28 08:59:59.999,116.08184072,14772,22613.19500000,47.18731681,0
12,2020-09-28 09:00:00.000,0.00201900,0.00236300,0.00164300,0.00168500,79058.19800000,2020-09-29 08:59:59.999,148.98984082,19354,33299.66300000,63.10927929,0
13,2020-09-29 09:00:00.000,0.00167400,0.00171300,0.00146400,0.00150600,59126.32800000,2020-09-30 08:59:59.999,93.88320263,12608,24075.21800000,38.11346971,0
14,2020-09-30 09:00:00.000,0.00150600,0.00164500,0.00132700,0.00152600,89913.99900000,2020-10-01 08:59:59.999,131.08959541,15663,40652.60700000,59.38197859,0
15,2020-10-01 09:00:00.000,0.00152600,0.00188600,0.00144100,0.00163700,124307.97000000,2020-10-02 08:59:59.999,203.41721784,23129,55817.37600000,91.57758793,0
16,2020-10-02 09:00:00.000,0.00163900,0.00237500,0.00156100,0.00231600,206011.03300000,2020-10-03 08:59:59.999,403.78381022,47253,95413.18400000,187.37975626,0
17,2020-10-03 09:00:00.000,0.00231400,0.00290700,0.00206700,0.00267300,156511.22400000,2020-10-04 08:59:59.999,404.21415998,38187,72573.87600000,187.22518149,0
