,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-08-26 09:00:00.000,0.00405500,0.00480000,0.00405500,0.00448100,86393.49200000,2020-08-27 08:59:59.999,385.27389743,22164,32763.79000000,146.82395936,0
1,2020-08-27 09:00:00.000,0.00448900,0.00475000,0.00390600,0.00405900,32862.96700000,2020-08-28 08:59:59.999,141.45507971,11870,16830.98600000,72.45346423,0
2,2020-08-28 09:00:00.000,0.00404300,0.00429000,0.00399800,0.00412200,46930.79700000,2020-08-29 08:59:59.999,193.90606267,16424,20594.60000000,85.32492471,0
3,2020-08-29 09:00:00.000,0.00412300,0.00454900,0.00401200,0.00436500,47443.38800000,2020-08-30 08:59:59.999,202.60290269,15609,23299.33400000,99.88441125,0
4,2020-08-30 09:00:00.000,0.00437400,0.00681000,0.00428700,0.00647700,276331.81300000,2020-08-31 08:59:59.999,1591.19684058,83490,131191.17000000,756.24023603,0
5,2020-08-31 09:00:00.000,0.00648500,0.00650000,0.00520000,0.00533000,110457.47800000,2020-09-01 08:59:59.999,635.70828637,43182,50383.72500000,291.00901854,0
6,2020-09-01 09:00:00.000,0.00531700,0.00653600,0.00530800,0.00607500,120055.48700000,2020-09-02 08:59:59.999,708.31584262,45596,58993.81200000,348.76520292,0
7,2020-09-02 09:00:00.000,0.00607300,0.00611900,0.00495500,0.00527800,51150.62500000,2020-09-03 08:59:59.999,273.85077175,18538,20352.75200000,109.36570341,0
8,2020-09-03 09:00:00.000,0.00526100,0.00538000,0.00404200,0.00449900,43445.41000000,2020-09-04 08:59:59.999,210.12915177,15413,19192.10400000,92.79636102,0
9,2020-09-04 09:00:00.000,0.00450800,0.00479100,0.00383000,0.00407700,46880.06100000,2020-09-05 08:59:59.999,202.04792184,18591,23463.45500000,101.02736509,0
10,2020-09-05 09:00:00.000,0.00407500,0.00446400,0.00308600,0.00336100,74599.73900000,2020-09-06 08:59:59.999,274.22430720,22721,34616.75100000,126.96465514,0
11,2020-09-06 09:00:00.000,0.00336200,0.00406000,0.00310000,0.00381000,77669.13500000,2020-09-07 08:59:59.999,278.84368139,21614,32579.97500000,116.22688694,0
12,2020-09-07 09:00:00.000,0.00382300,0.00412500,0.00345400,0.00388100,54879.21200000,2020-09-08 08:59:59.999,207.67590237,17069,28775.57300000,108.82818952,0
13,2020-09-08 09:00:00.000,0.00387600,0.00404700,0.00355100,0.00359400,28485.06100000,2020-09-09 08:59:59.999,105.57786373,12431,13565.69000000,50.44214678,0
14,2020-09-09 09:00:00.000,0.00359600,0.00389300,0.00350200,0.00377200,45604.11500000,2020-09-10 08:59:59.999,168.37668268,17907,23399.56500000,86.59162458,0
15,2020-09-10 09:00:00.000,0.00377200,0.00444700,0.00374500,0.00394300,52274.10500000,2020-09-11 08:59:59.999,208.98805298,19060,27319.68100000,109.60902041,0
16,2020-09-11 09:00:00.000,0.00393500,0.00478900,0.00386200,0.00467100,65705.42200000,2020-09-12 08:59:59.999,286.54592115,22143,34458.28600000,151.21796384,0
17,2020-09-12 09:00:00.000,0.00466900,0.00556800,0.00466900,0.00550000,58989.01700000,2020-09-13 08:59:59.999,301.14699806,22209,31118.79200000,158.94356128,0
18,2020-09-13 09:00:00.000,0.00550000,0.00583800,0.00434400,0.00505000,78839.19100000,2020-09-14 08:59:59.999,402.25120596,35365,36389.66000000,187.32619472,0
19,2020-09-14 09:00:00.000,0.00504300,0.00681000,0.00456600,0.00583000,131765.79300000,2020-09-15 08:59:59.999,791.91795234,55858,66922.32000000,405.50570521,0
20,2020-09-15 09:00:00.000,0.00585300,0.00623400,0.00439000,0.00464200,112745.66500000,2020-09-16 08:59:59.999,585.52396599,48878,47575.96100000,248.57090389,0
21,2020-09-16 09:00:00.000,0.00464500,0.00477800,0.00416000,0.00453500,58826.07900000,2020-09-17 08:59:59.999,258.15948266,17555,23922.95100000,104.98591109,0
22,2020-09-17 09:00:00.000,0.00453900,0.00500000,0.00425700,0.00443400,56679.29200000,2020-09-18 08:59:59.999,258.35190052,17979,25206.33800000,115.48050904,0
23,2020-09-18 09:00:00.000,0.00443200,0.00468900,0.00416600,0.00422400,27959.48600000,2020-09-19 08:59:59.999,123.82584183,12394,13993.78700000,61.99694810,0
24,2020-09-19 09:00:00.000,0.00422400,0.00429800,0.00373400,0.00384300,45319.47100000,2020-09-20 08:59:59.999,180.09479939,14431,24979.88000000,99.10639023,0
25,2020-09-20 09:00:00.000,0.00381200,0.00420000,0.00350300,0.00366400,30465.86000000,2020-09-21 08:59:59.999,116.87023867,9758,15001.71400000,57.74529909,0
26,2020-09-21 09:00:00.000,0.00365500,0.00385700,0.00327900,0.00365700,40314.65100000,2020-09-22 08:59:59.999,142.77516540,13203,19108.27500000,67.94847169,0
27,2020-09-22 09:00:00.000,0.00366300,0.00395300,0.00358700,0.00375100,16623.47000000,2020-09-23 08:59:59.999,62.19170013,7550,9409.81700000,35.20564037,0
28,2020-09-23 09:00:00.000,0.00375000,0.00379000,0.00341200,0.00346100,14548.37900000,2020-09-24 08:59:59.999,52.56317670,5213,7739.51100000,27.92373504,0
29,2020-09-24 09:00:00.000,0.00345200,0.00370000,0.00335600,0.00357000,21712.04100000,2020-09-25 08:59:59.999,75.52184162,6768,10106.75900000,35.29455701,0
30,2020-09-25 09:00:00.000,0.00358000,0.00383000,0.00340400,0.00371700,17959.60800000,2020-09-26 08:59:59.999,64.11475271,7685,9107.03500000,32.59037765,0
31,2020-09-26 09:00:00.000,0.00371500,0.00404200,0.00360000,0.00383300,33663.29000000,2020-09-27 08:59:59.999,127.30739754,13031,14390.18800000,54.46537206,0
32,2020-09-27 09:00:00.000,0.00382200,0.00392700,0.00352400,0.00358200,15664.35700000,2020-09-28 08:59:59.999,57.72364040,5766,7097.29900000,26.23201427,0
33,2020-09-28 09:00:00.000,0.00358000,0.00375600,0.00352400,0.00361300,8919.29500000,2020-09-29 08:59:59.999,32.29420390,3667,3928.34400000,14.29061433,0
34,2020-09-29 09:00:00.000,0.00359500,0.00364600,0.00340000,0.00355800,18055.60800000,2020-09-30 08:59:59.999,63.45350702,5868,8721.36900000,30.66846447,0
35,2020-09-30 09:00:00.000,0.00355200,0.00359700,0.00334100,0.00336700,12283.11700000,2020-10-01 08:59:59.999,42.30992885,3543,5682.38100000,19.58898764,0
36,2020-10-01 09:00:00.000,0.00336400,0.00352000,0.00313800,0.00322600,28225.87600000,2020-10-02 08:59:59.999,93.89267627,8491,13799.95600000,45.96457515,0
37,2020-10-02 09:00:00.000,0.00322800,0.00355000,0.00297500,0.00317800,24727.54800000,2020-10-03 08:59:59.999,77.46825015,7809,12939.76100000,40.46387236,0
38,2020-10-03 09:00:00.000,0.00316500,0.00317100,0.00306200,0.00307600,2662.62500000,2020-10-04 08:59:59.999,8.32556791,1028,1198.84200000,3.74783113,0
