,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000169,0.00000194,0.00000159,0.00000168,149054373.00000000,2019-05-24 08:59:59.999,262.18885505,10495,65703496.00000000,115.73262107,0
1,2019-05-24 09:00:00.000,0.00000167,0.00000181,0.00000153,0.00000157,67167899.00000000,2019-05-25 08:59:59.999,112.75195317,5373,26604376.00000000,44.78836164,0
2,2019-05-25 09:00:00.000,0.00000155,0.00000158,0.00000147,0.00000154,31462925.00000000,2019-05-26 08:59:59.999,48.14719041,2385,15237985.00000000,23.41441623,0
3,2019-05-26 09:00:00.000,0.00000155,0.00000171,0.00000141,0.00000147,51073920.00000000,2019-05-27 08:59:59.999,80.96203496,4233,22521645.00000000,35.88991636,0
4,2019-05-27 09:00:00.000,0.00000148,0.00000165,0.00000140,0.00000154,50652356.00000000,2019-05-28 08:59:59.999,76.61694112,5392,24605354.00000000,37.38446248,0
5,2019-05-28 09:00:00.000,0.00000155,0.00000161,0.00000149,0.00000155,38795852.00000000,2019-05-29 08:59:59.999,60.34906311,3275,15470203.00000000,24.20734713,0
6,2019-05-29 09:00:00.000,0.00000155,0.00000156,0.00000149,0.00000154,17818279.00000000,2019-05-30 08:59:59.999,27.12632065,1542,8161070.00000000,12.46672683,0
7,2019-05-30 09:00:00.000,0.00000153,0.00000160,0.00000145,0.00000146,29817818.00000000,2019-05-31 08:59:59.999,45.57909995,2377,13110581.00000000,20.11982827,0
8,2019-05-31 09:00:00.000,0.00000147,0.00000148,0.00000141,0.00000145,13635309.00000000,2019-06-01 08:59:59.999,19.72335954,1353,5094228.00000000,7.41240867,0
9,2019-06-01 09:00:00.000,0.00000145,0.00000149,0.00000136,0.00000143,26570212.00000000,2019-06-02 08:59:59.999,37.83640640,2138,11122779.00000000,15.90024089,0
10,2019-06-02 09:00:00.000,0.00000143,0.00000147,0.00000140,0.00000145,15132430.00000000,2019-06-03 08:59:59.999,21.74814104,1410,6822409.00000000,9.84302267,0
11,2019-06-03 09:00:00.000,0.00000145,0.00000159,0.00000136,0.00000146,41794920.00000000,2019-06-04 08:59:59.999,62.03507281,3410,17996857.00000000,26.87179816,0
12,2019-06-04 09:00:00.000,0.00000145,0.00000147,0.00000139,0.00000145,18354517.00000000,2019-06-05 08:59:59.999,26.33737729,1567,8545657.00000000,12.30347904,0
13,2019-06-05 09:00:00.000,0.00000145,0.00000159,0.00000144,0.00000154,25322847.00000000,2019-06-06 08:59:59.999,38.69294117,2283,12962288.00000000,19.86838518,0
14,2019-06-06 09:00:00.000,0.00000154,0.00000159,0.00000149,0.00000153,14403689.00000000,2019-06-07 08:59:59.999,21.98073289,1276,6383603.00000000,9.77344861,0
15,2019-06-07 09:00:00.000,0.00000154,0.00000173,0.00000151,0.00000165,34847263.00000000,2019-06-08 08:59:59.999,56.82560886,3594,19095980.00000000,31.27635585,0
16,2019-06-08 09:00:00.000,0.00000165,0.00000174,0.00000163,0.00000164,23692888.00000000,2019-06-09 08:59:59.999,39.60915144,2998,10948254.00000000,18.41278504,0
17,2019-06-09 09:00:00.000,0.00000166,0.00000168,0.00000159,0.00000164,12660498.00000000,2019-06-10 08:59:59.999,20.68964834,1555,6313040.00000000,10.35319656,0
18,2019-06-10 09:00:00.000,0.00000163,0.00000199,0.00000163,0.00000182,63183458.00000000,2019-06-11 08:59:59.999,114.41358219,6147,30828480.00000000,55.84808975,0
19,2019-06-11 09:00:00.000,0.00000182,0.00000206,0.00000178,0.00000181,78249142.00000000,2019-06-12 08:59:59.999,148.39420790,7965,34751934.00000000,66.19096347,0
20,2019-06-12 09:00:00.000,0.00000182,0.00000184,0.00000172,0.00000176,20654833.00000000,2019-06-13 08:59:59.999,36.65048013,2276,8678373.00000000,15.45371133,0
