,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-02-05 09:00:00.000,0.00000216,0.00000800,0.00000216,0.00000683,564365524.00000000,2020-02-06 08:59:59.999,3452.71992678,144013,303790501.00000000,1840.45072447,0
1,2020-02-06 09:00:00.000,0.00000680,0.00001465,0.00000609,0.00001240,802021381.00000000,2020-02-07 08:59:59.999,8688.26241083,265886,411754862.00000000,4374.01567884,0
2,2020-02-07 09:00:00.000,0.00001244,0.00001689,0.00001053,0.00001145,455476336.00000000,2020-02-08 08:59:59.999,6267.36007563,174550,235544273.00000000,3259.67814323,0
3,2020-02-08 09:00:00.000,0.00001146,0.00001315,0.00001054,0.00001117,252671834.00000000,2020-02-09 08:59:59.999,2986.24910306,101594,125179060.00000000,1489.67195551,0
4,2020-02-09 09:00:00.000,0.00001121,0.00001205,0.00000831,0.00000921,195005382.00000000,2020-02-10 08:59:59.999,1973.33478352,66222,81609397.00000000,830.09483240,0
5,2020-02-10 09:00:00.000,0.00000921,0.00001087,0.00000863,0.00000953,187304307.00000000,2020-02-11 08:59:59.999,1840.27697819,56103,93181125.00000000,919.83186049,0
6,2020-02-11 09:00:00.000,0.00000953,0.00001041,0.00000867,0.00000906,115314276.00000000,2020-02-12 08:59:59.999,1110.06621713,38157,52220610.00000000,505.37498139,0
7,2020-02-12 09:00:00.000,0.00000906,0.00001256,0.00000894,0.00001174,264231485.00000000,2020-02-13 08:59:59.999,2834.21918969,75373,124227871.00000000,1342.00313674,0
8,2020-02-13 09:00:00.000,0.00001172,0.00001240,0.00000970,0.00001049,185023841.00000000,2020-02-14 08:59:59.999,1985.68382832,66177,85453120.00000000,917.89504445,0
9,2020-02-14 09:00:00.000,0.00001052,0.00001104,0.00001015,0.00001075,77876094.00000000,2020-02-15 08:59:59.999,829.14201904,27373,36407790.00000000,389.06965379,0
10,2020-02-15 09:00:00.000,0.00001080,0.00001150,0.00000985,0.00001006,67174397.00000000,2020-02-16 08:59:59.999,714.48173800,24052,28362014.00000000,303.37692141,0
11,2020-02-16 09:00:00.000,0.00001000,0.00001019,0.00000822,0.00000914,58489844.00000000,2020-02-17 08:59:59.999,535.19905586,18590,23027129.00000000,211.38247258,0
12,2020-02-17 09:00:00.000,0.00000909,0.00001010,0.00000829,0.00000900,78475144.00000000,2020-02-18 08:59:59.999,725.02348281,23283,35754094.00000000,331.52151380,0
13,2020-02-18 09:00:00.000,0.00000900,0.00000943,0.00000888,0.00000892,30093683.00000000,2020-02-19 08:59:59.999,275.45922126,11882,12282571.00000000,112.68810473,0
14,2020-02-19 09:00:00.000,0.00000892,0.00000954,0.00000863,0.00000876,34178328.00000000,2020-02-20 08:59:59.999,309.19563144,11598,15651542.00000000,142.34567377,0
15,2020-02-20 09:00:00.000,0.00000876,0.00000890,0.00000787,0.00000834,22532792.00000000,2020-02-21 08:59:59.999,188.66167893,8658,9784058.00000000,82.16915555,0
16,2020-02-21 09:00:00.000,0.00000829,0.00000911,0.00000823,0.00000870,28960680.00000000,2020-02-22 08:59:59.999,252.47873109,9172,13036256.00000000,113.97333876,0
17,2020-02-22 09:00:00.000,0.00000873,0.00000882,0.00000817,0.00000838,16163212.00000000,2020-02-23 08:59:59.999,136.59552935,5063,6578591.00000000,55.76286072,0
18,2020-02-23 09:00:00.000,0.00000838,0.00000870,0.00000828,0.00000865,19484261.00000000,2020-02-24 08:59:59.999,165.33462262,7165,8553294.00000000,72.82531812,0
19,2020-02-24 09:00:00.000,0.00000865,0.00000866,0.00000788,0.00000826,16087417.00000000,2020-02-25 08:59:59.999,132.64387608,6418,5556452.00000000,45.89277271,0
20,2020-02-25 09:00:00.000,0.00000826,0.00000831,0.00000761,0.00000801,19649749.00000000,2020-02-26 08:59:59.999,155.07380286,9138,9824440.00000000,77.77861704,0
21,2020-02-26 09:00:00.000,0.00000801,0.00000801,0.00000650,0.00000721,45569212.00000000,2020-02-27 08:59:59.999,327.47952253,13317,21802046.00000000,157.90695403,0
22,2020-02-27 09:00:00.000,0.00000721,0.00000805,0.00000655,0.00000712,45152376.00000000,2020-02-28 08:59:59.999,336.34333304,14516,18362223.00000000,137.40304646,0
23,2020-02-28 09:00:00.000,0.00000712,0.00000750,0.00000692,0.00000723,23837582.00000000,2020-02-29 08:59:59.999,171.81503908,8582,10875273.00000000,78.80801252,0
24,2020-02-29 09:00:00.000,0.00000721,0.00000733,0.00000697,0.00000705,15588569.00000000,2020-03-01 08:59:59.999,111.62355082,4812,5751426.00000000,41.35165463,0
25,2020-03-01 09:00:00.000,0.00000704,0.00000736,0.00000697,0.00000731,18526551.00000000,2020-03-02 08:59:59.999,132.41101757,5510,7654097.00000000,55.01690786,0
26,2020-03-02 09:00:00.000,0.00000726,0.00000855,0.00000720,0.00000786,84957626.00000000,2020-03-03 08:59:59.999,690.90754773,25380,42170526.00000000,343.51911274,0
27,2020-03-03 09:00:00.000,0.00000788,0.00000853,0.00000783,0.00000851,55433989.00000000,2020-03-04 08:59:59.999,452.32538376,16547,25244555.00000000,206.83010231,0
28,2020-03-04 09:00:00.000,0.00000851,0.00001435,0.00000835,0.00001435,322485729.00000000,2020-03-05 08:59:59.999,3872.40132210,110774,164629127.00000000,1969.08169632,0
29,2020-03-05 09:00:00.000,0.00001432,0.00001645,0.00001310,0.00001361,268489638.00000000,2020-03-06 08:59:59.999,3954.47969545,123727,130933582.00000000,1935.83996881,0
30,2020-03-06 09:00:00.000,0.00001361,0.00001759,0.00001342,0.00001687,191166487.00000000,2020-03-07 08:59:59.999,3074.51831757,91095,95859140.00000000,1542.17467731,0
31,2020-03-07 09:00:00.000,0.00001687,0.00002525,0.00001684,0.00002292,416472190.00000000,2020-03-08 08:59:59.999,9187.44356581,214856,213089021.00000000,4691.29523578,0
32,2020-03-08 09:00:00.000,0.00002292,0.00002323,0.00001844,0.00002003,253737014.00000000,2020-03-09 08:59:59.999,5272.50111079,128679,115915859.00000000,2416.80179348,0
33,2020-03-09 09:00:00.000,0.00002001,0.00002666,0.00001993,0.00002560,218913307.00000000,2020-03-10 08:59:59.999,5209.94239645,174830,107486976.00000000,2562.57918064,0
34,2020-03-10 09:00:00.000,0.00002565,0.00002640,0.00002310,0.00002434,126950942.00000000,2020-03-11 08:59:59.999,3120.65548354,106482,60330866.00000000,1487.63331816,0
35,2020-03-11 09:00:00.000,0.00002435,0.00002545,0.00002070,0.00002183,100133859.00000000,2020-03-12 08:59:59.999,2332.97944394,113869,46098460.00000000,1077.74194365,0
36,2020-03-12 09:00:00.000,0.00002180,0.00002180,0.00001601,0.00001780,121655159.00000000,2020-03-13 08:59:59.999,2237.60914606,84315,50885607.00000000,937.50320364,0
37,2020-03-13 09:00:00.000,0.00001766,0.00002087,0.00001355,0.00001878,153181762.00000000,2020-03-14 08:59:59.999,2717.36727669,115636,68710058.00000000,1230.28720750,0
38,2020-03-14 09:00:00.000,0.00001878,0.00002066,0.00001763,0.00001814,56509163.00000000,2020-03-15 08:59:59.999,1080.68654925,35092,24421235.00000000,469.03302214,0
39,2020-03-15 09:00:00.000,0.00001814,0.00001910,0.00001742,0.00001755,43723682.00000000,2020-03-16 08:59:59.999,791.69466674,26321,20879971.00000000,379.67049176,0
40,2020-03-16 09:00:00.000,0.00001753,0.00001761,0.00001380,0.00001508,77856865.00000000,2020-03-17 08:59:59.999,1185.47840082,44294,31742399.00000000,484.79932768,0
41,2020-03-17 09:00:00.000,0.00001507,0.00002080,0.00001477,0.00001841,107037872.00000000,2020-03-18 08:59:59.999,1993.02308952,58083,50447802.00000000,939.13434724,0
42,2020-03-18 09:00:00.000,0.00001835,0.00001949,0.00001731,0.00001812,62192690.00000000,2020-03-19 08:59:59.999,1125.50424450,33555,28585216.00000000,519.04984195,0
43,2020-03-19 09:00:00.000,0.00001816,0.00001995,0.00001654,0.00001691,82160603.00000000,2020-03-20 08:59:59.999,1511.51090001,44217,34210632.00000000,631.67334772,0
44,2020-03-20 09:00:00.000,0.00001696,0.00001810,0.00001551,0.00001627,51799679.00000000,2020-03-21 08:59:59.999,877.97480880,31345,22927009.00000000,390.34219298,0
45,2020-03-21 09:00:00.000,0.00001627,0.00001714,0.00001582,0.00001654,22889064.00000000,2020-03-22 08:59:59.999,376.62610147,12856,10084857.00000000,166.20591288,0
46,2020-03-22 09:00:00.000,0.00001660,0.00001670,0.00001461,0.00001510,21160122.00000000,2020-03-23 08:59:59.999,332.01739580,14860,9243775.00000000,145.43999903,0
47,2020-03-23 09:00:00.000,0.00001511,0.00001578,0.00001465,0.00001499,21776908.00000000,2020-03-24 08:59:59.999,328.62806057,13774,9655323.00000000,145.95020426,0
48,2020-03-24 09:00:00.000,0.00001500,0.00001578,0.00001438,0.00001461,24448514.00000000,2020-03-25 08:59:59.999,368.24363923,11918,10156261.00000000,153.52512252,0
49,2020-03-25 09:00:00.000,0.00001462,0.00001558,0.00001407,0.00001511,23001513.00000000,2020-03-26 08:59:59.999,338.75614534,12883,10901637.00000000,160.72523304,0
50,2020-03-26 09:00:00.000,0.00001512,0.00001559,0.00001464,0.00001490,26149844.00000000,2020-03-27 08:59:59.999,394.56895982,12544,11419051.00000000,172.68902082,0
51,2020-03-27 09:00:00.000,0.00001490,0.00001549,0.00001485,0.00001495,23330029.00000000,2020-03-28 08:59:59.999,353.60682623,9790,9533635.00000000,144.84608581,0
52,2020-03-28 09:00:00.000,0.00001492,0.00001515,0.00001471,0.00001503,13577619.00000000,2020-03-29 08:59:59.999,202.15918197,5965,6009401.00000000,89.64297449,0
53,2020-03-29 09:00:00.000,0.00001502,0.00001550,0.00001485,0.00001519,16771966.00000000,2020-03-30 08:59:59.999,254.19338865,7430,7947732.00000000,120.49320538,0
54,2020-03-30 09:00:00.000,0.00001513,0.00001541,0.00001424,0.00001473,15656682.00000000,2020-03-31 08:59:59.999,234.03312067,8150,5318719.00000000,79.54645767,0
55,2020-03-31 09:00:00.000,0.00001471,0.00001526,0.00001442,0.00001507,17075397.00000000,2020-04-01 08:59:59.999,255.62719743,7492,7262510.00000000,108.80759598,0
56,2020-04-01 09:00:00.000,0.00001507,0.00001850,0.00001494,0.00001791,92995343.00000000,2020-04-02 08:59:59.999,1583.01467597,56344,43713378.00000000,742.97478602,0
57,2020-04-02 09:00:00.000,0.00001791,0.00002136,0.00001707,0.00001996,118222978.00000000,2020-04-03 08:59:59.999,2333.58715049,87335,58450894.00000000,1156.40575023,0
58,2020-04-03 09:00:00.000,0.00001997,0.00002246,0.00001977,0.00002048,86273596.00000000,2020-04-04 08:59:59.999,1831.23699249,75024,42458828.00000000,903.16009671,0
59,2020-04-04 09:00:00.000,0.00002051,0.00002118,0.00001875,0.00002002,46598293.00000000,2020-04-05 08:59:59.999,932.63838910,36880,21801095.00000000,438.03766314,0
60,2020-04-05 09:00:00.000,0.00001998,0.00002064,0.00001865,0.00001888,28063001.00000000,2020-04-06 08:59:59.999,552.80411831,22953,12889427.00000000,254.50174121,0
61,2020-04-06 09:00:00.000,0.00001889,0.00001989,0.00001860,0.00001952,28574088.00000000,2020-04-07 08:59:59.999,555.32418518,21353,12573940.00000000,244.60800095,0
62,2020-04-07 09:00:00.000,0.00001953,0.00002170,0.00001865,0.00002073,56925605.00000000,2020-04-08 08:59:59.999,1138.30791369,39320,27618033.00000000,552.68901101,0
63,2020-04-08 09:00:00.000,0.00002068,0.00002148,0.00002030,0.00002084,27835005.00000000,2020-04-09 08:59:59.999,580.16110879,23641,12803578.00000000,267.17975901,0
64,2020-04-09 09:00:00.000,0.00002089,0.00002090,0.00001942,0.00001950,29448095.00000000,2020-04-10 08:59:59.999,590.21118094,22045,12000778.00000000,240.99875610,0
65,2020-04-10 09:00:00.000,0.00001954,0.00001991,0.00001820,0.00001890,34225421.00000000,2020-04-11 08:59:59.999,643.39869511,24126,14813282.00000000,278.91341173,0
66,2020-04-11 09:00:00.000,0.00001886,0.00001899,0.00001761,0.00001825,19557216.00000000,2020-04-12 08:59:59.999,360.62452006,13921,7865114.00000000,145.00438882,0
67,2020-04-12 09:00:00.000,0.00001827,0.00001995,0.00001772,0.00001871,31084222.00000000,2020-04-13 08:59:59.999,589.50507894,27546,14921396.00000000,283.13102184,0
68,2020-04-13 09:00:00.000,0.00001871,0.00001954,0.00001821,0.00001843,23838427.00000000,2020-04-14 08:59:59.999,450.08275874,20387,10109130.00000000,191.31388613,0
69,2020-04-14 09:00:00.000,0.00001841,0.00001942,0.00001833,0.00001858,15019544.00000000,2020-04-15 08:59:59.999,283.21707907,11581,6648984.00000000,125.59469783,0
70,2020-04-15 09:00:00.000,0.00001857,0.00001910,0.00001850,0.00001860,10057845.00000000,2020-04-16 08:59:59.999,188.91995524,6773,4573115.00000000,86.03469071,0
71,2020-04-16 09:00:00.000,0.00001864,0.00001992,0.00001843,0.00001950,32851175.00000000,2020-04-17 08:59:59.999,635.26894779,23049,15332260.00000000,297.22268867,0
72,2020-04-17 09:00:00.000,0.00001949,0.00001951,0.00001873,0.00001917,13818261.00000000,2020-04-18 08:59:59.999,264.10119480,10764,6073290.00000000,116.23216235,0
73,2020-04-18 09:00:00.000,0.00001915,0.00002083,0.00001912,0.00002042,33662204.00000000,2020-04-19 08:59:59.999,674.59156105,25205,16627871.00000000,333.52096472,0
74,2020-04-19 09:00:00.000,0.00002039,0.00002059,0.00001938,0.00001974,17663832.00000000,2020-04-20 08:59:59.999,352.81263074,14219,7199815.00000000,144.12071908,0
75,2020-04-20 09:00:00.000,0.00001973,0.00002000,0.00001824,0.00001859,23116601.00000000,2020-04-21 08:59:59.999,445.82327024,17294,9534907.00000000,184.22020964,0
76,2020-04-21 09:00:00.000,0.00001855,0.00001938,0.00001847,0.00001895,11463416.00000000,2020-04-22 08:59:59.999,216.25452263,9905,5466771.00000000,103.24282546,0
77,2020-04-22 09:00:00.000,0.00001896,0.00001960,0.00001856,0.00001879,12194924.00000000,2020-04-23 08:59:59.999,231.67565632,10283,5757379.00000000,109.64966821,0
78,2020-04-23 09:00:00.000,0.00001878,0.00001905,0.00001740,0.00001792,20584705.00000000,2020-04-24 08:59:59.999,377.38921160,19910,9446957.00000000,173.51095048,0
79,2020-04-24 09:00:00.000,0.00001787,0.00001849,0.00001776,0.00001806,11785209.00000000,2020-04-25 08:59:59.999,213.83903765,8845,5386398.00000000,97.88271005,0
80,2020-04-25 09:00:00.000,0.00001801,0.00001839,0.00001792,0.00001832,9565125.00000000,2020-04-26 08:59:59.999,174.18438223,8064,3849196.00000000,70.17245309,0
