,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00028580,0.00029370,0.00027710,0.00028000,1060158.06000000,2019-05-24 08:59:59.999,302.35848971,10471,629357.98000000,179.77736361,0
1,2019-05-24 09:00:00.000,0.00028010,0.00029270,0.00026810,0.00027500,1215078.86000000,2019-05-25 08:59:59.999,341.88671185,10882,764144.58000000,215.78970134,0
2,2019-05-25 09:00:00.000,0.00027530,0.00028550,0.00027010,0.00027680,1135526.85000000,2019-05-26 08:59:59.999,315.89242050,9182,757350.29000000,211.20566107,0
3,2019-05-26 09:00:00.000,0.00027650,0.00028960,0.00024840,0.00025560,1375450.81000000,2019-05-27 08:59:59.999,376.94220331,12419,822930.29000000,227.77640913,0
4,2019-05-27 09:00:00.000,0.00025680,0.00027420,0.00025270,0.00026980,1119213.85000000,2019-05-28 08:59:59.999,292.48698227,9736,667587.59000000,174.49484167,0
5,2019-05-28 09:00:00.000,0.00027060,0.00027210,0.00025870,0.00026280,1133204.14000000,2019-05-29 08:59:59.999,301.43331743,9406,720270.81000000,192.01631255,0
6,2019-05-29 09:00:00.000,0.00026290,0.00028520,0.00025660,0.00028150,1479894.65000000,2019-05-30 08:59:59.999,399.99346325,14007,896887.72000000,241.30704267,0
7,2019-05-30 09:00:00.000,0.00028080,0.00033800,0.00027890,0.00028560,4251130.13000000,2019-05-31 08:59:59.999,1286.27991577,41973,2370745.84000000,714.70468888,0
8,2019-05-31 09:00:00.000,0.00028560,0.00029350,0.00027010,0.00027550,1642103.25000000,2019-06-01 08:59:59.999,461.99488581,15530,939111.73000000,264.84831825,0
9,2019-06-01 09:00:00.000,0.00027520,0.00027810,0.00026030,0.00026300,1329995.37000000,2019-06-02 08:59:59.999,356.55243318,11489,795033.30000000,213.28045422,0
10,2019-06-02 09:00:00.000,0.00026300,0.00027230,0.00025520,0.00026120,1386555.00000000,2019-06-03 08:59:59.999,363.54639706,12474,831640.54000000,218.35272728,0
11,2019-06-03 09:00:00.000,0.00026110,0.00026230,0.00025210,0.00025670,1147138.36000000,2019-06-04 08:59:59.999,295.93971098,11348,733702.58000000,189.57475713,0
12,2019-06-04 09:00:00.000,0.00025590,0.00026270,0.00024870,0.00025440,1071016.40000000,2019-06-05 08:59:59.999,274.46072853,8540,661427.99000000,169.76784362,0
13,2019-06-05 09:00:00.000,0.00025500,0.00025630,0.00025050,0.00025270,869986.33000000,2019-06-06 08:59:59.999,219.85995781,5309,561662.75000000,141.94775345,0
14,2019-06-06 09:00:00.000,0.00025260,0.00026970,0.00025180,0.00026460,1270613.76000000,2019-06-07 08:59:59.999,330.05933547,10775,849078.51000000,220.20761068,0
15,2019-06-07 09:00:00.000,0.00026440,0.00027430,0.00025860,0.00026240,1413489.95000000,2019-06-08 08:59:59.999,378.30828444,10618,898830.21000000,241.06457594,0
16,2019-06-08 09:00:00.000,0.00026230,0.00027140,0.00026070,0.00026450,1063929.42000000,2019-06-09 08:59:59.999,282.03032663,5856,798332.03000000,211.63159376,0
17,2019-06-09 09:00:00.000,0.00026440,0.00027540,0.00026420,0.00027160,1304234.25000000,2019-06-10 08:59:59.999,351.61050765,9942,917337.60000000,247.30749546,0
18,2019-06-10 09:00:00.000,0.00027180,0.00028690,0.00027030,0.00027440,1587875.54000000,2019-06-11 08:59:59.999,443.96542611,12487,1028631.88000000,288.31442549,0
19,2019-06-11 09:00:00.000,0.00027450,0.00028500,0.00027180,0.00027870,1102224.33000000,2019-06-12 08:59:59.999,305.38250698,8740,738444.47000000,204.40507176,0
20,2019-06-12 09:00:00.000,0.00027900,0.00028700,0.00026040,0.00026230,1532046.54000000,2019-06-13 08:59:59.999,420.13346057,13483,936533.48000000,257.61037064,0
21,2019-06-13 09:00:00.000,0.00026240,0.00026800,0.00024500,0.00024980,1277654.45000000,2019-06-14 08:59:59.999,331.96298522,12536,737968.05000000,192.84455741,0
22,2019-06-14 09:00:00.000,0.00024960,0.00025430,0.00021800,0.00021880,1657901.28000000,2019-06-15 08:59:59.999,393.17928807,14838,812564.99000000,193.61555887,0
23,2019-06-15 09:00:00.000,0.00021900,0.00023020,0.00021590,0.00022070,1124824.75000000,2019-06-16 08:59:59.999,249.97679717,9550,670901.36000000,149.29343400,0
24,2019-06-16 09:00:00.000,0.00022080,0.00022150,0.00020080,0.00020880,1029533.41000000,2019-06-17 08:59:59.999,214.18261474,9269,586660.68000000,121.99717644,0
25,2019-06-17 09:00:00.000,0.00020890,0.00020970,0.00019140,0.00019380,1032027.01000000,2019-06-18 08:59:59.999,209.35918587,8113,607900.95000000,123.74215684,0
26,2019-06-18 09:00:00.000,0.00019370,0.00020380,0.00019040,0.00020110,861573.91000000,2019-06-19 08:59:59.999,169.02760379,6340,546780.62000000,107.19402683,0
27,2019-06-19 09:00:00.000,0.00020100,0.00020280,0.00019200,0.00019310,908276.15000000,2019-06-20 08:59:59.999,180.65385764,6880,562781.90000000,112.18834179,0
28,2019-06-20 09:00:00.000,0.00019280,0.00019530,0.00016720,0.00016810,1275223.89000000,2019-06-21 08:59:59.999,232.22493483,9729,712599.13000000,131.29260414,0
29,2019-06-21 09:00:00.000,0.00016770,0.00017100,0.00014560,0.00014590,1769851.11000000,2019-06-22 08:59:59.999,282.81863466,14348,751879.08000000,120.88805988,0
30,2019-06-22 09:00:00.000,0.00014590,0.00015460,0.00013010,0.00014580,2117378.84000000,2019-06-23 08:59:59.999,302.16627815,17881,1076778.98000000,153.16823509,0
31,2019-06-23 09:00:00.000,0.00014580,0.00015580,0.00013250,0.00013910,1574679.89000000,2019-06-24 08:59:59.999,232.49633106,11225,922258.37000000,136.98105597,0
32,2019-06-24 09:00:00.000,0.00013890,0.00014970,0.00013490,0.00013730,1274593.18000000,2019-06-25 08:59:59.999,181.54538833,9457,758534.58000000,107.95992013,0
33,2019-06-25 09:00:00.000,0.00013740,0.00014520,0.00013050,0.00013640,1293686.51000000,2019-06-26 08:59:59.999,177.32069080,8273,716256.95000000,97.82028981,0
34,2019-06-26 09:00:00.000,0.00013660,0.00013770,0.00011350,0.00011790,1562034.25000000,2019-06-27 08:59:59.999,197.35478975,14028,803828.09000000,101.72578930,0
35,2019-06-27 09:00:00.000,0.00011830,0.00013290,0.00011700,0.00012500,1235488.27000000,2019-06-28 08:59:59.999,154.23178101,9179,692867.28000000,86.41506544,0
36,2019-06-28 09:00:00.000,0.00012500,0.00014300,0.00011960,0.00012140,1379475.71000000,2019-06-29 08:59:59.999,179.40348884,10255,796969.82000000,103.98514013,0
37,2019-06-29 09:00:00.000,0.00012110,0.00013000,0.00011750,0.00012730,2249265.00000000,2019-06-30 08:59:59.999,275.93892971,15940,1122720.24000000,137.92869419,0
38,2019-06-30 09:00:00.000,0.00012750,0.00012980,0.00012290,0.00012740,1461432.06000000,2019-07-01 08:59:59.999,184.56779325,8682,869101.41000000,109.76504491,0
39,2019-07-01 09:00:00.000,0.00012730,0.00013630,0.00012650,0.00013540,1060855.83000000,2019-07-02 08:59:59.999,140.11509476,6520,556054.38000000,73.41864949,0
40,2019-07-02 09:00:00.000,0.00013530,0.00018650,0.00013470,0.00016350,5440122.73000000,2019-07-03 08:59:59.999,899.46094380,41362,2728875.07000000,450.78198793,0
41,2019-07-03 09:00:00.000,0.00016350,0.00017880,0.00014850,0.00015290,4137539.88000000,2019-07-04 08:59:59.999,688.77414571,32613,1979930.74000000,330.47329345,0
42,2019-07-04 09:00:00.000,0.00015300,0.00019830,0.00014850,0.00016820,4052498.61000000,2019-07-05 08:59:59.999,703.56288612,35451,2018040.58000000,350.80220137,0
43,2019-07-05 09:00:00.000,0.00016780,0.00022170,0.00016570,0.00021850,5508210.29000000,2019-07-06 08:59:59.999,1102.82219488,53415,2802901.60000000,559.92923311,0
44,2019-07-06 09:00:00.000,0.00021880,0.00028000,0.00020170,0.00025970,10303521.17000000,2019-07-07 08:59:59.999,2555.51585167,103777,5293716.76000000,1311.99400237,0
