,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00001032,0.00001036,0.00000978,0.00001029,24212110.00000000,2019-05-24 08:59:59.999,244.00394637,11561,11991209.00000000,120.92142782,0
1,2019-05-24 09:00:00.000,0.00001030,0.00001100,0.00001023,0.00001062,23953426.00000000,2019-05-25 08:59:59.999,256.59984601,12893,10895962.00000000,116.83178083,0
2,2019-05-25 09:00:00.000,0.00001063,0.00001082,0.00001028,0.00001039,8794588.00000000,2019-05-26 08:59:59.999,92.24152367,4648,3333978.00000000,34.98289346,0
3,2019-05-26 09:00:00.000,0.00001040,0.00001040,0.00000976,0.00001012,14730476.00000000,2019-05-27 08:59:59.999,149.12223329,8692,7174801.00000000,72.66584560,0
4,2019-05-27 09:00:00.000,0.00001013,0.00001074,0.00001003,0.00001041,21932956.00000000,2019-05-28 08:59:59.999,226.74652927,12899,10772181.00000000,111.32991892,0
5,2019-05-28 09:00:00.000,0.00001041,0.00001054,0.00001011,0.00001052,14483982.00000000,2019-05-29 08:59:59.999,149.34757021,7750,7608627.00000000,78.57353159,0
6,2019-05-29 09:00:00.000,0.00001052,0.00001071,0.00001003,0.00001042,21093772.00000000,2019-05-30 08:59:59.999,219.48147910,11378,9782779.00000000,101.93038815,0
7,2019-05-30 09:00:00.000,0.00001043,0.00001169,0.00001036,0.00001085,44247772.00000000,2019-05-31 08:59:59.999,486.25175389,23537,21476626.00000000,236.18465055,0
8,2019-05-31 09:00:00.000,0.00001085,0.00001257,0.00001045,0.00001144,65077857.00000000,2019-06-01 08:59:59.999,736.65897559,30714,32086907.00000000,364.69008657,0
9,2019-06-01 09:00:00.000,0.00001144,0.00001144,0.00001086,0.00001088,17223940.00000000,2019-06-02 08:59:59.999,191.56342335,9032,8631433.00000000,96.11357800,0
10,2019-06-02 09:00:00.000,0.00001090,0.00001114,0.00001079,0.00001091,8853626.00000000,2019-06-03 08:59:59.999,97.05751138,5802,4525503.00000000,49.63863139,0
11,2019-06-03 09:00:00.000,0.00001091,0.00001137,0.00001059,0.00001068,17119278.00000000,2019-06-04 08:59:59.999,186.13869368,11089,8005673.00000000,87.11667782,0
12,2019-06-04 09:00:00.000,0.00001067,0.00001116,0.00001043,0.00001067,26636944.00000000,2019-06-05 08:59:59.999,284.69678320,14956,12800787.00000000,137.04317303,0
13,2019-06-05 09:00:00.000,0.00001067,0.00001094,0.00001045,0.00001067,20167816.00000000,2019-06-06 08:59:59.999,214.46008137,9300,10480827.00000000,111.66835610,0
