,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00001595,0.00001608,0.00001561,0.00001591,41469095.00000000,2019-05-24 08:59:59.999,658.13283742,20781,20754488.00000000,329.48598442,0
1,2019-05-24 09:00:00.000,0.00001591,0.00001609,0.00001551,0.00001572,45642583.00000000,2019-05-25 08:59:59.999,723.77583226,22305,24485614.00000000,388.25706555,0
2,2019-05-25 09:00:00.000,0.00001572,0.00001593,0.00001544,0.00001555,19707204.00000000,2019-05-26 08:59:59.999,309.16509508,10056,9971530.00000000,156.45770171,0
3,2019-05-26 09:00:00.000,0.00001554,0.00001568,0.00001477,0.00001530,40785215.00000000,2019-05-27 08:59:59.999,627.04900812,21387,19459665.00000000,299.30670278,0
4,2019-05-27 09:00:00.000,0.00001530,0.00001626,0.00001508,0.00001574,54613847.00000000,2019-05-28 08:59:59.999,849.81418029,30956,25995233.00000000,404.80817235,0
5,2019-05-28 09:00:00.000,0.00001574,0.00001625,0.00001535,0.00001596,66206621.00000000,2019-05-29 08:59:59.999,1044.85309421,32817,30682900.00000000,483.98007000,0
6,2019-05-29 09:00:00.000,0.00001597,0.00001605,0.00001545,0.00001566,58883495.00000000,2019-05-30 08:59:59.999,928.37635968,25256,28448711.00000000,448.61586171,0
7,2019-05-30 09:00:00.000,0.00001568,0.00001650,0.00001528,0.00001558,102861106.00000000,2019-05-31 08:59:59.999,1636.11310733,47087,50133241.00000000,797.78716022,0
8,2019-05-31 09:00:00.000,0.00001556,0.00001572,0.00001521,0.00001560,50263536.00000000,2019-06-01 08:59:59.999,775.64205200,21745,25747609.00000000,397.44142857,0
9,2019-06-01 09:00:00.000,0.00001561,0.00001579,0.00001516,0.00001552,46451015.00000000,2019-06-02 08:59:59.999,719.08199566,19426,23837429.00000000,369.16512829,0
10,2019-06-02 09:00:00.000,0.00001552,0.00001581,0.00001546,0.00001562,42157756.00000000,2019-06-03 08:59:59.999,659.90337962,16445,21183996.00000000,331.60346146,0
11,2019-06-03 09:00:00.000,0.00001563,0.00001612,0.00001546,0.00001572,58937191.00000000,2019-06-04 08:59:59.999,926.97687437,27442,29271391.00000000,460.36793094,0
