,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.01089400,0.01099800,0.01070000,0.01078900,54508.82400000,2019-05-24 08:59:59.999,591.57673586,19492,24882.57700000,270.44748821,0
1,2019-05-24 09:00:00.000,0.01078000,0.01088600,0.01066300,0.01071500,44655.60500000,2019-05-25 08:59:59.999,480.45613008,15675,24586.75100000,264.61023894,0
2,2019-05-25 09:00:00.000,0.01071400,0.01082900,0.01069300,0.01080000,32954.95800000,2019-05-26 08:59:59.999,354.79420352,12670,16762.53000000,180.48790480,0
3,2019-05-26 09:00:00.000,0.01080600,0.01098100,0.01040200,0.01058100,39827.43000000,2019-05-27 08:59:59.999,428.53194115,18247,17974.05400000,193.70379149,0
4,2019-05-27 09:00:00.000,0.01058200,0.01118300,0.01058000,0.01112900,60868.96000000,2019-05-28 08:59:59.999,663.92730337,24635,26174.50600000,286.16553864,0
5,2019-05-28 09:00:00.000,0.01112800,0.01125500,0.01097400,0.01098700,50998.33300000,2019-05-29 08:59:59.999,566.66547065,19458,24907.56900000,276.72756263,0
6,2019-05-29 09:00:00.000,0.01099100,0.01107200,0.01065500,0.01085200,76693.96300000,2019-05-30 08:59:59.999,832.43452403,23477,42514.88500000,461.32509179,0
7,2019-05-30 09:00:00.000,0.01085200,0.01120000,0.01080900,0.01110100,83692.41600000,2019-05-31 08:59:59.999,918.23449408,29619,49463.72100000,542.83057201,0
8,2019-05-31 09:00:00.000,0.01110000,0.01119900,0.01085000,0.01089400,58534.90300000,2019-06-01 08:59:59.999,643.80960433,22029,26184.00000000,288.20294331,0
9,2019-06-01 09:00:00.000,0.01089000,0.01095900,0.01076800,0.01088500,44427.97500000,2019-06-02 08:59:59.999,481.97665373,19802,23689.81000000,257.18636902,0
10,2019-06-02 09:00:00.000,0.01088600,0.01107400,0.01080400,0.01085800,37554.75100000,2019-06-03 08:59:59.999,409.80428414,15780,16162.22400000,176.57288187,0
11,2019-06-03 09:00:00.000,0.01086100,0.01106900,0.01084700,0.01095100,42016.08600000,2019-06-04 08:59:59.999,461.51213698,17789,22318.76500000,245.27197920,0
12,2019-06-04 09:00:00.000,0.01095100,0.01102300,0.01077500,0.01085600,48220.96800000,2019-06-05 08:59:59.999,526.08278115,19437,24793.08400000,270.62846140,0
13,2019-06-05 09:00:00.000,0.01086400,0.01107000,0.01082300,0.01089700,44399.02400000,2019-06-06 08:59:59.999,486.45368367,15957,21259.46000000,233.11714546,0
14,2019-06-06 09:00:00.000,0.01089900,0.01118900,0.01086900,0.01112500,42527.32200000,2019-06-07 08:59:59.999,468.43380336,15978,21272.79000000,234.49152535,0
15,2019-06-07 09:00:00.000,0.01111600,0.01117000,0.01087800,0.01100000,40838.52800000,2019-06-08 08:59:59.999,450.01776777,15671,19498.26700000,214.94141593,0
16,2019-06-08 09:00:00.000,0.01099800,0.01125000,0.01095900,0.01103000,37118.14100000,2019-06-09 08:59:59.999,410.08353558,13765,22424.03400000,247.85262646,0
17,2019-06-09 09:00:00.000,0.01103500,0.01108300,0.01088100,0.01093500,25684.28200000,2019-06-10 08:59:59.999,281.52019333,10753,12134.56400000,133.09485039,0
18,2019-06-10 09:00:00.000,0.01093600,0.01101100,0.01082700,0.01086400,28753.72900000,2019-06-11 08:59:59.999,313.34309497,12206,14054.51900000,153.27459529,0
19,2019-06-11 09:00:00.000,0.01086300,0.01111600,0.01083100,0.01094200,34976.98000000,2019-06-12 08:59:59.999,384.73099538,13748,17726.34000000,195.11102453,0
20,2019-06-12 09:00:00.000,0.01094900,0.01113100,0.01091600,0.01107700,44007.80400000,2019-06-13 08:59:59.999,484.82676858,18012,21913.29600000,241.48982416,0
21,2019-06-13 09:00:00.000,0.01107700,0.01130400,0.01085100,0.01089000,54971.38200000,2019-06-14 08:59:59.999,612.00944210,22239,29871.76200000,332.71638304,0
22,2019-06-14 09:00:00.000,0.01089000,0.01095100,0.01032700,0.01044100,90328.92700000,2019-06-15 08:59:59.999,964.95428845,24778,51805.31800000,553.83761404,0
23,2019-06-15 09:00:00.000,0.01044800,0.01091700,0.01042900,0.01075400,69338.85600000,2019-06-16 08:59:59.999,743.72453558,28039,38668.12700000,414.86245012,0
24,2019-06-16 09:00:00.000,0.01075500,0.01090000,0.01036300,0.01069000,46688.07000000,2019-06-17 08:59:59.999,494.14462720,19740,22074.92900000,233.92261976,0
25,2019-06-17 09:00:00.000,0.01069300,0.01079000,0.01048100,0.01057300,49112.54000000,2019-06-18 08:59:59.999,522.41406782,21119,27370.91000000,291.42997585,0
26,2019-06-18 09:00:00.000,0.01057600,0.01072700,0.01054800,0.01061300,50308.68400000,2019-06-19 08:59:59.999,534.96098326,18906,27151.14100000,288.90673046,0
27,2019-06-19 09:00:00.000,0.01061400,0.01118700,0.01057800,0.01081900,82509.82300000,2019-06-20 08:59:59.999,895.56113523,27584,50950.75400000,552.91632116,0
28,2019-06-20 09:00:00.000,0.01081900,0.01152000,0.01078800,0.01101900,127208.22800000,2019-06-21 08:59:59.999,1411.93114924,40659,76996.25400000,854.73571655,0
29,2019-06-21 09:00:00.000,0.01102400,0.01139700,0.01075000,0.01076900,81592.14400000,2019-06-22 08:59:59.999,900.41910550,28237,41179.20600000,455.21160470,0
30,2019-06-22 09:00:00.000,0.01077800,0.01087400,0.01042000,0.01075200,67570.31700000,2019-06-23 08:59:59.999,721.16130606,28529,33234.85200000,354.85919657,0
31,2019-06-23 09:00:00.000,0.01075200,0.01094000,0.01058000,0.01061900,57905.40400000,2019-06-24 08:59:59.999,624.62624845,20649,29164.27000000,314.86831631,0
32,2019-06-24 09:00:00.000,0.01061400,0.01090200,0.01054000,0.01066000,56019.22700000,2019-06-25 08:59:59.999,599.01426199,21207,30482.65600000,326.17880642,0
33,2019-06-25 09:00:00.000,0.01066700,0.01066700,0.00950800,0.00951700,107892.04400000,2019-06-26 08:59:59.999,1091.09363732,41278,54805.48000000,554.57310812,0
34,2019-06-26 09:00:00.000,0.00951600,0.00954000,0.00735300,0.00800500,287632.81500000,2019-06-27 08:59:59.999,2430.26604064,87357,154637.79500000,1306.52320074,0
35,2019-06-27 09:00:00.000,0.00800500,0.00889900,0.00770000,0.00852400,178666.25800000,2019-06-28 08:59:59.999,1431.41653405,62652,95166.07000000,762.66511812,0
36,2019-06-28 09:00:00.000,0.00851800,0.00873900,0.00807300,0.00821300,90315.61800000,2019-06-29 08:59:59.999,756.42332793,34348,46106.54300000,386.64431456,0
37,2019-06-29 09:00:00.000,0.00821200,0.00839300,0.00788800,0.00838900,69168.36100000,2019-06-30 08:59:59.999,566.61048820,25829,36763.75000000,301.73501375,0
38,2019-06-30 09:00:00.000,0.00839000,0.00845900,0.00808200,0.00818900,66083.07800000,2019-07-01 08:59:59.999,544.82021737,26233,30198.95200000,249.67478786,0
39,2019-07-01 09:00:00.000,0.00818900,0.00854400,0.00804000,0.00836600,81237.89600000,2019-07-02 08:59:59.999,679.40073028,32320,47381.33100000,396.75404845,0
40,2019-07-02 09:00:00.000,0.00836500,0.00870400,0.00782600,0.00797000,96330.38800000,2019-07-03 08:59:59.999,799.55068886,36946,55322.13500000,459.41344297,0
41,2019-07-03 09:00:00.000,0.00797000,0.00820000,0.00746300,0.00752500,86079.35300000,2019-07-04 08:59:59.999,674.02657931,30143,47810.13200000,375.11823771,0
42,2019-07-04 09:00:00.000,0.00751800,0.00793100,0.00746000,0.00785600,76382.64800000,2019-07-05 08:59:59.999,589.65971943,21236,40010.70000000,308.88645966,0
43,2019-07-05 09:00:00.000,0.00786700,0.00828400,0.00772300,0.00815000,45795.31500000,2019-07-06 08:59:59.999,364.93668635,19142,25197.23200000,200.82633427,0
44,2019-07-06 09:00:00.000,0.00814800,0.00866900,0.00802600,0.00840000,85975.88700000,2019-07-07 08:59:59.999,720.69239541,30128,48131.20600000,402.71479134,0
45,2019-07-07 09:00:00.000,0.00840300,0.00938700,0.00835100,0.00936800,79397.65400000,2019-07-08 08:59:59.999,705.50784796,30866,44376.27200000,393.18438566,0
46,2019-07-08 09:00:00.000,0.00936900,0.00941400,0.00820200,0.00826400,67865.74500000,2019-07-09 08:59:59.999,593.57419890,27058,30409.30800000,266.02985562,0
47,2019-07-09 09:00:00.000,0.00826300,0.00842100,0.00786100,0.00792200,57119.21700000,2019-07-10 08:59:59.999,465.18474996,22761,28106.98000000,229.32511798,0
48,2019-07-10 09:00:00.000,0.00792100,0.00800000,0.00757700,0.00784600,69559.15200000,2019-07-11 08:59:59.999,539.22130450,24631,36844.75200000,285.50611789,0
49,2019-07-11 09:00:00.000,0.00784900,0.00815000,0.00770100,0.00790800,47977.18100000,2019-07-12 08:59:59.999,377.89433187,22147,24131.93600000,190.30275748,0
50,2019-07-12 09:00:00.000,0.00791300,0.00834600,0.00770100,0.00833900,45041.81400000,2019-07-13 08:59:59.999,358.34145366,24915,23814.09100000,189.53810439,0
51,2019-07-13 09:00:00.000,0.00833800,0.00833800,0.00802400,0.00823600,40662.53000000,2019-07-14 08:59:59.999,332.71476667,21820,17784.95900000,145.58234582,0
52,2019-07-14 09:00:00.000,0.00823700,0.00850100,0.00813100,0.00844800,49730.64100000,2019-07-15 08:59:59.999,413.19259037,29429,22849.39500000,190.10080624,0
53,2019-07-15 09:00:00.000,0.00844800,0.00846000,0.00749500,0.00818800,121960.95400000,2019-07-16 08:59:59.999,969.15180105,49084,52303.54900000,415.44406955,0
54,2019-07-16 09:00:00.000,0.00818900,0.00820900,0.00774300,0.00786800,75352.71700000,2019-07-17 08:59:59.999,596.61038580,45163,36554.18700000,289.51603057,0
55,2019-07-17 09:00:00.000,0.00786800,0.00823200,0.00764900,0.00792800,60911.18300000,2019-07-18 08:59:59.999,485.29303743,33199,29266.81200000,233.76287008,0
56,2019-07-18 09:00:00.000,0.00793100,0.00827200,0.00779200,0.00790000,50201.79400000,2019-07-19 08:59:59.999,401.26579469,28259,25223.56400000,201.83968672,0
57,2019-07-19 09:00:00.000,0.00789000,0.00813700,0.00779600,0.00782100,43429.13000000,2019-07-20 08:59:59.999,343.26467647,23613,20231.88100000,159.98546269,0
58,2019-07-20 09:00:00.000,0.00782100,0.00817000,0.00781100,0.00793800,39000.95400000,2019-07-21 08:59:59.999,311.02791088,21383,20635.44900000,164.79365177,0
