,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00004873,0.00004919,0.00004777,0.00004834,59591712.00000000,2019-05-24 08:59:59.999,2884.33433766,74669,31020220.00000000,1501.27809611,0
1,2019-05-24 09:00:00.000,0.00004832,0.00004914,0.00004759,0.00004803,77029901.00000000,2019-05-25 08:59:59.999,3727.15258084,88018,38863324.00000000,1881.12024002,0
2,2019-05-25 09:00:00.000,0.00004802,0.00004870,0.00004760,0.00004801,46319325.00000000,2019-05-26 08:59:59.999,2231.21115478,49968,24890477.00000000,1199.30025712,0
3,2019-05-26 09:00:00.000,0.00004802,0.00004820,0.00004595,0.00004689,70622638.00000000,2019-05-27 08:59:59.999,3345.96692109,76450,35798723.00000000,1696.55498513,0
4,2019-05-27 09:00:00.000,0.00004687,0.00005029,0.00004654,0.00004950,141998001.00000000,2019-05-28 08:59:59.999,6826.62909750,151979,70042880.00000000,3367.60446686,0
5,2019-05-28 09:00:00.000,0.00004950,0.00005334,0.00004819,0.00005148,196250104.00000000,2019-05-29 08:59:59.999,9903.24677988,201892,96578792.00000000,4872.80484705,0
6,2019-05-29 09:00:00.000,0.00005148,0.00005277,0.00004970,0.00005127,145838093.00000000,2019-05-30 08:59:59.999,7470.22689577,148587,72632939.00000000,3721.79697663,0
7,2019-05-30 09:00:00.000,0.00005124,0.00005401,0.00004904,0.00005056,224645923.00000000,2019-05-31 08:59:59.999,11672.15054811,213283,111362712.00000000,5790.10220344,0
8,2019-05-31 09:00:00.000,0.00005055,0.00005146,0.00004995,0.00005125,94235355.00000000,2019-06-01 08:59:59.999,4777.73731870,106214,49005476.00000000,2485.15958396,0
9,2019-06-01 09:00:00.000,0.00005125,0.00005156,0.00004937,0.00005020,76927100.00000000,2019-06-02 08:59:59.999,3896.47868407,91030,39421734.00000000,1997.46978124,0
10,2019-06-02 09:00:00.000,0.00005020,0.00005123,0.00005008,0.00005089,56846427.00000000,2019-06-03 08:59:59.999,2876.82393084,72302,27430381.00000000,1388.25591944,0
11,2019-06-03 09:00:00.000,0.00005088,0.00005347,0.00005067,0.00005144,144235521.00000000,2019-06-04 08:59:59.999,7509.72838043,152719,71940712.00000000,3745.70919062,0
12,2019-06-04 09:00:00.000,0.00005141,0.00005222,0.00005025,0.00005191,132019357.00000000,2019-06-05 08:59:59.999,6794.80743775,145791,72499803.00000000,3731.98860447,0
13,2019-06-05 09:00:00.000,0.00005191,0.00005200,0.00005073,0.00005143,82738893.00000000,2019-06-06 08:59:59.999,4246.09301039,98856,45393970.00000000,2329.52559534,0
14,2019-06-06 09:00:00.000,0.00005145,0.00005537,0.00005118,0.00005385,142291035.00000000,2019-06-07 08:59:59.999,7605.14219513,145918,74040802.00000000,3955.89421864,0
15,2019-06-07 09:00:00.000,0.00005385,0.00005430,0.00005234,0.00005247,83749068.00000000,2019-06-08 08:59:59.999,4460.35507667,95045,40240372.00000000,2142.55783368,0
16,2019-06-08 09:00:00.000,0.00005250,0.00005280,0.00005150,0.00005156,54144538.00000000,2019-06-09 08:59:59.999,2822.98783877,72353,26617573.00000000,1388.02008759,0
17,2019-06-09 09:00:00.000,0.00005156,0.00005200,0.00004816,0.00005051,93910927.00000000,2019-06-10 08:59:59.999,4719.17122939,109749,45146959.00000000,2269.66167666,0
18,2019-06-10 09:00:00.000,0.00005051,0.00005087,0.00004970,0.00005009,68269675.00000000,2019-06-11 08:59:59.999,3432.05180448,91336,36687287.00000000,1844.72423602,0
19,2019-06-11 09:00:00.000,0.00005009,0.00005020,0.00004924,0.00004972,49184215.00000000,2019-06-12 08:59:59.999,2444.92318860,70605,26036256.00000000,1294.39572343,0
20,2019-06-12 09:00:00.000,0.00004971,0.00004985,0.00004868,0.00004929,53345052.00000000,2019-06-13 08:59:59.999,2629.41952852,76912,27030850.00000000,1332.55741156,0
