,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-09-24 09:00:00.000,0.00010250,0.00011500,0.00008860,0.00010250,1670617.44000000,2019-09-25 08:59:59.999,174.50556958,9820,798026.14000000,83.38010829,0
1,2019-09-25 09:00:00.000,0.00010260,0.00010530,0.00009510,0.00010090,873701.47000000,2019-09-26 08:59:59.999,88.91907225,4564,359118.72000000,36.53048370,0
2,2019-09-26 09:00:00.000,0.00010080,0.00010890,0.00009990,0.00010440,657698.77000000,2019-09-27 08:59:59.999,68.42853340,3891,284836.44000000,29.73098541,0
3,2019-09-27 09:00:00.000,0.00010500,0.00011060,0.00010140,0.00010800,529578.37000000,2019-09-28 08:59:59.999,56.40553399,3546,288054.53000000,30.73978322,0
4,2019-09-28 09:00:00.000,0.00010820,0.00011270,0.00010500,0.00010870,382301.56000000,2019-09-29 08:59:59.999,41.88875924,2571,167632.47000000,18.37065843,0
5,2019-09-29 09:00:00.000,0.00010840,0.00011290,0.00010680,0.00010920,421117.36000000,2019-09-30 08:59:59.999,46.30890676,2361,174757.38000000,19.28419704,0
6,2019-09-30 09:00:00.000,0.00010880,0.00011200,0.00010690,0.00010850,519752.85000000,2019-10-01 08:59:59.999,56.73709911,3099,246368.79000000,26.92162326,0
7,2019-10-01 09:00:00.000,0.00010900,0.00011900,0.00010800,0.00011410,698853.54000000,2019-10-02 08:59:59.999,79.29063057,4540,361744.43000000,41.12136291,0
8,2019-10-02 09:00:00.000,0.00011410,0.00011500,0.00010800,0.00011270,476661.05000000,2019-10-03 08:59:59.999,53.03851888,3160,221357.90000000,24.69840004,0
9,2019-10-03 09:00:00.000,0.00011280,0.00011680,0.00011000,0.00011320,456168.76000000,2019-10-04 08:59:59.999,51.70849387,2943,173599.90000000,19.70711470,0
10,2019-10-04 09:00:00.000,0.00011320,0.00011380,0.00011000,0.00011260,338124.78000000,2019-10-05 08:59:59.999,37.91763711,1974,132925.11000000,14.87027693,0
11,2019-10-05 09:00:00.000,0.00011240,0.00011500,0.00011100,0.00011170,208619.25000000,2019-10-06 08:59:59.999,23.50534504,1476,99478.16000000,11.21892128,0
12,2019-10-06 09:00:00.000,0.00011190,0.00011260,0.00010840,0.00011010,392344.12000000,2019-10-07 08:59:59.999,43.32386560,2866,179081.75000000,19.79531829,0
13,2019-10-07 09:00:00.000,0.00011030,0.00011390,0.00010880,0.00010930,435255.02000000,2019-10-08 08:59:59.999,48.37929155,2519,190510.20000000,21.19876132,0
14,2019-10-08 09:00:00.000,0.00010940,0.00011140,0.00010890,0.00010950,244768.76000000,2019-10-09 08:59:59.999,26.89417412,1666,122202.97000000,13.44948625,0
15,2019-10-09 09:00:00.000,0.00010970,0.00011700,0.00010850,0.00010920,889096.75000000,2019-10-10 08:59:59.999,99.67953395,5347,424049.43000000,47.68209342,0
16,2019-10-10 09:00:00.000,0.00010920,0.00010990,0.00010640,0.00010690,468705.05000000,2019-10-11 08:59:59.999,50.77338084,2827,176282.79000000,19.14521093,0
