,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000138,0.00000148,0.00000137,0.00000146,245475502.00000000,2019-05-24 08:59:59.999,350.13389701,8635,112490183.00000000,161.10674663,0
1,2019-05-24 09:00:00.000,0.00000146,0.00000149,0.00000133,0.00000136,226298918.00000000,2019-05-25 08:59:59.999,318.00602117,8463,85229929.00000000,120.35696610,0
2,2019-05-25 09:00:00.000,0.00000136,0.00000149,0.00000133,0.00000137,466113933.00000000,2019-05-26 08:59:59.999,653.84891810,15452,222972734.00000000,314.67115700,0
3,2019-05-26 09:00:00.000,0.00000137,0.00000139,0.00000121,0.00000125,278545270.00000000,2019-05-27 08:59:59.999,362.67433421,9859,104713830.00000000,135.97422998,0
4,2019-05-27 09:00:00.000,0.00000126,0.00000130,0.00000122,0.00000126,188231800.00000000,2019-05-28 08:59:59.999,235.66360204,7637,87412605.00000000,109.87047249,0
5,2019-05-28 09:00:00.000,0.00000126,0.00000129,0.00000120,0.00000121,245531870.00000000,2019-05-29 08:59:59.999,303.57689308,7677,96828898.00000000,120.11988644,0
6,2019-05-29 09:00:00.000,0.00000122,0.00000124,0.00000117,0.00000121,194300358.00000000,2019-05-30 08:59:59.999,233.50117823,7097,81070060.00000000,97.92543928,0
7,2019-05-30 09:00:00.000,0.00000121,0.00000126,0.00000114,0.00000116,273530723.00000000,2019-05-31 08:59:59.999,330.61349606,8795,117532805.00000000,142.89905477,0
8,2019-05-31 09:00:00.000,0.00000116,0.00000120,0.00000113,0.00000116,163687544.00000000,2019-06-01 08:59:59.999,189.94847280,4458,70306210.00000000,81.90765015,0
9,2019-06-01 09:00:00.000,0.00000117,0.00000120,0.00000115,0.00000118,145876970.00000000,2019-06-02 08:59:59.999,171.32286360,4654,63828937.00000000,75.18765151,0
10,2019-06-02 09:00:00.000,0.00000119,0.00000120,0.00000116,0.00000116,99276271.00000000,2019-06-03 08:59:59.999,116.69412772,3513,42093417.00000000,49.68877027,0
11,2019-06-03 09:00:00.000,0.00000116,0.00000118,0.00000112,0.00000113,126272711.00000000,2019-06-04 08:59:59.999,144.86779107,3866,44805552.00000000,51.58220679,0
12,2019-06-04 09:00:00.000,0.00000113,0.00000114,0.00000110,0.00000112,199599699.00000000,2019-06-05 08:59:59.999,223.85790830,4769,80170775.00000000,90.34164852,0
13,2019-06-05 09:00:00.000,0.00000111,0.00000113,0.00000110,0.00000111,99059924.00000000,2019-06-06 08:59:59.999,110.34129160,2419,37921601.00000000,42.42315183,0
14,2019-06-06 09:00:00.000,0.00000111,0.00000120,0.00000110,0.00000116,207584337.00000000,2019-06-07 08:59:59.999,237.32606336,5483,100475431.00000000,115.39344014,0
15,2019-06-07 09:00:00.000,0.00000116,0.00000118,0.00000114,0.00000116,138195356.00000000,2019-06-08 08:59:59.999,160.61830777,3590,67478513.00000000,78.71584601,0
16,2019-06-08 09:00:00.000,0.00000116,0.00000117,0.00000113,0.00000114,111317178.00000000,2019-06-09 08:59:59.999,128.42286423,2832,41097870.00000000,47.62322701,0
17,2019-06-09 09:00:00.000,0.00000114,0.00000115,0.00000110,0.00000112,108671567.00000000,2019-06-10 08:59:59.999,122.12649391,2741,37404233.00000000,42.23790471,0
18,2019-06-10 09:00:00.000,0.00000111,0.00000118,0.00000110,0.00000115,173289042.00000000,2019-06-11 08:59:59.999,197.01290868,4773,95131700.00000000,108.56059713,0
19,2019-06-11 09:00:00.000,0.00000115,0.00000117,0.00000113,0.00000114,137479123.00000000,2019-06-12 08:59:59.999,157.64665639,3093,61194030.00000000,70.43541459,0
20,2019-06-12 09:00:00.000,0.00000115,0.00000115,0.00000110,0.00000114,105823952.00000000,2019-06-13 08:59:59.999,119.39000711,3058,46411944.00000000,52.52244041,0
21,2019-06-13 09:00:00.000,0.00000115,0.00000115,0.00000109,0.00000110,87111906.00000000,2019-06-14 08:59:59.999,97.37538552,2854,26209434.00000000,29.39921193,0
22,2019-06-14 09:00:00.000,0.00000110,0.00000112,0.00000100,0.00000102,157200203.00000000,2019-06-15 08:59:59.999,165.20821466,5793,49361382.00000000,51.89185001,0
23,2019-06-15 09:00:00.000,0.00000101,0.00000107,0.00000100,0.00000104,181004859.00000000,2019-06-16 08:59:59.999,187.36240219,5626,92270963.00000000,95.79677823,0
24,2019-06-16 09:00:00.000,0.00000104,0.00000106,0.00000098,0.00000103,188027579.00000000,2019-06-17 08:59:59.999,191.12009950,5572,83419958.00000000,85.20848397,0
25,2019-06-17 09:00:00.000,0.00000103,0.00000104,0.00000098,0.00000100,135965565.00000000,2019-06-18 08:59:59.999,137.16198802,3368,50540054.00000000,51.29458938,0
26,2019-06-18 09:00:00.000,0.00000099,0.00000101,0.00000098,0.00000099,85216979.00000000,2019-06-19 08:59:59.999,84.62257586,2557,41573541.00000000,41.44222633,0
27,2019-06-19 09:00:00.000,0.00000099,0.00000103,0.00000098,0.00000099,148439042.00000000,2019-06-20 08:59:59.999,148.83252397,3234,77770601.00000000,78.16788786,0
28,2019-06-20 09:00:00.000,0.00000100,0.00000101,0.00000092,0.00000093,139363241.00000000,2019-06-21 08:59:59.999,133.70858308,4023,45701465.00000000,44.09966004,0
29,2019-06-21 09:00:00.000,0.00000093,0.00000095,0.00000085,0.00000085,139039264.00000000,2019-06-22 08:59:59.999,125.71998271,3992,48253796.00000000,43.91636941,0
30,2019-06-22 09:00:00.000,0.00000085,0.00000087,0.00000078,0.00000086,253468398.00000000,2019-06-23 08:59:59.999,209.95880248,6253,116709488.00000000,97.02695372,0
31,2019-06-23 09:00:00.000,0.00000086,0.00000101,0.00000085,0.00000088,436183248.00000000,2019-06-24 08:59:59.999,405.87246072,10696,214431168.00000000,200.61682649,0
32,2019-06-24 09:00:00.000,0.00000087,0.00000088,0.00000083,0.00000084,201803717.00000000,2019-06-25 08:59:59.999,172.28604606,5801,106226878.00000000,91.06567901,0
33,2019-06-25 09:00:00.000,0.00000084,0.00000085,0.00000078,0.00000080,239016503.00000000,2019-06-26 08:59:59.999,195.12272905,5702,100927902.00000000,82.64795080,0
34,2019-06-26 09:00:00.000,0.00000081,0.00000081,0.00000062,0.00000067,473816627.00000000,2019-06-27 08:59:59.999,333.41986362,11385,214602645.00000000,150.93631321,0
35,2019-06-27 09:00:00.000,0.00000067,0.00000075,0.00000064,0.00000070,283581688.00000000,2019-06-28 08:59:59.999,197.58242833,6930,142441952.00000000,99.69815238,0
36,2019-06-28 09:00:00.000,0.00000070,0.00000072,0.00000066,0.00000067,181161838.00000000,2019-06-29 08:59:59.999,124.28309046,4180,84234994.00000000,57.96674770,0
37,2019-06-29 09:00:00.000,0.00000067,0.00000074,0.00000065,0.00000071,155556649.00000000,2019-06-30 08:59:59.999,107.87420071,3886,78610153.00000000,54.83685590,0
38,2019-06-30 09:00:00.000,0.00000070,0.00000074,0.00000069,0.00000072,157467160.00000000,2019-07-01 08:59:59.999,112.94576922,3389,85493839.00000000,61.64924746,0
39,2019-07-01 09:00:00.000,0.00000073,0.00000078,0.00000072,0.00000076,200242606.00000000,2019-07-02 08:59:59.999,148.34510172,4423,109767843.00000000,81.62103186,0
40,2019-07-02 09:00:00.000,0.00000075,0.00000078,0.00000068,0.00000071,187305576.00000000,2019-07-03 08:59:59.999,137.14068991,4296,75454374.00000000,55.66674020,0
41,2019-07-03 09:00:00.000,0.00000070,0.00000071,0.00000065,0.00000065,155333201.00000000,2019-07-04 08:59:59.999,104.23224099,3697,71843757.00000000,48.44969815,0
42,2019-07-04 09:00:00.000,0.00000065,0.00000067,0.00000062,0.00000065,139910177.00000000,2019-07-05 08:59:59.999,90.03202182,3159,69126890.00000000,44.73182715,0
43,2019-07-05 09:00:00.000,0.00000066,0.00000068,0.00000065,0.00000067,91782763.00000000,2019-07-06 08:59:59.999,61.10274564,2135,43660422.00000000,29.22124693,0
44,2019-07-06 09:00:00.000,0.00000067,0.00000067,0.00000064,0.00000066,66462934.00000000,2019-07-07 08:59:59.999,43.53752732,1846,27177674.00000000,17.90672529,0
45,2019-07-07 09:00:00.000,0.00000066,0.00000073,0.00000066,0.00000067,148518159.00000000,2019-07-08 08:59:59.999,102.57319320,3606,72295288.00000000,50.15086527,0
46,2019-07-08 09:00:00.000,0.00000067,0.00000069,0.00000062,0.00000062,112771388.00000000,2019-07-09 08:59:59.999,73.16176884,2712,44334496.00000000,29.02985212,0
47,2019-07-09 09:00:00.000,0.00000062,0.00000063,0.00000058,0.00000060,109192154.00000000,2019-07-10 08:59:59.999,65.22376454,3006,38577036.00000000,23.08216224,0
48,2019-07-10 09:00:00.000,0.00000061,0.00000064,0.00000055,0.00000061,136142709.00000000,2019-07-11 08:59:59.999,79.94597332,3829,62830684.00000000,37.25989862,0
