,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00093700,0.00097800,0.00090900,0.00091700,49224.19000000,2019-05-24 08:59:59.999,45.88395674,3480,22165.59000000,20.69423256,0
1,2019-05-24 09:00:00.000,0.00091600,0.00097300,0.00089500,0.00090800,54668.19000000,2019-05-25 08:59:59.999,50.76454334,3884,25054.07000000,23.29495967,0
2,2019-05-25 09:00:00.000,0.00090900,0.00091600,0.00086500,0.00088500,39412.66000000,2019-05-26 08:59:59.999,34.89889297,2664,19007.55000000,16.84884449,0
3,2019-05-26 09:00:00.000,0.00088700,0.00093100,0.00080100,0.00083800,61689.57000000,2019-05-27 08:59:59.999,53.13842312,4154,25856.28000000,22.41148782,0
4,2019-05-27 09:00:00.000,0.00083600,0.00086400,0.00080800,0.00083600,47672.95000000,2019-05-28 08:59:59.999,39.79834181,3782,22548.25000000,18.89376774,0
5,2019-05-28 09:00:00.000,0.00083700,0.00088400,0.00083300,0.00085600,48019.50000000,2019-05-29 08:59:59.999,41.07653952,3934,23193.22000000,19.84725378,0
6,2019-05-29 09:00:00.000,0.00085600,0.00087400,0.00083900,0.00084600,41389.20000000,2019-05-30 08:59:59.999,35.28487620,3398,19205.51000000,16.40599567,0
7,2019-05-30 09:00:00.000,0.00084800,0.00088700,0.00082500,0.00084600,63695.09000000,2019-05-31 08:59:59.999,54.80811553,4685,28400.37000000,24.46455414,0
8,2019-05-31 09:00:00.000,0.00084700,0.00086700,0.00083500,0.00085000,39625.23000000,2019-06-01 08:59:59.999,33.70335387,2796,12880.67000000,10.95291722,0
9,2019-06-01 09:00:00.000,0.00085000,0.00094500,0.00083300,0.00086200,133911.91000000,2019-06-02 08:59:59.999,118.83206913,9225,62797.81000000,55.68843106,0
10,2019-06-02 09:00:00.000,0.00086300,0.00092800,0.00085000,0.00087500,86190.98000000,2019-06-03 08:59:59.999,75.84427468,6506,35910.81000000,31.72379128,0
11,2019-06-03 09:00:00.000,0.00087500,0.00087500,0.00083500,0.00084500,44330.89000000,2019-06-04 08:59:59.999,37.98451933,2918,18581.56000000,15.94428170,0
12,2019-06-04 09:00:00.000,0.00084400,0.00086800,0.00083400,0.00086100,35547.88000000,2019-06-05 08:59:59.999,30.24859063,3273,15476.29000000,13.19895474,0
13,2019-06-05 09:00:00.000,0.00085700,0.00088100,0.00083800,0.00085200,33861.87000000,2019-06-06 08:59:59.999,29.04177973,3257,16517.09000000,14.17943166,0
14,2019-06-06 09:00:00.000,0.00085500,0.00088300,0.00084600,0.00088100,22853.46000000,2019-06-07 08:59:59.999,19.80521928,2376,10384.07000000,9.00091750,0
15,2019-06-07 09:00:00.000,0.00088200,0.00122500,0.00087200,0.00105100,795489.55000000,2019-06-08 08:59:59.999,862.55604098,42161,335727.10000000,362.44799704,0
16,2019-06-08 09:00:00.000,0.00105500,0.00107800,0.00099500,0.00102000,198609.61000000,2019-06-09 08:59:59.999,203.46176950,11433,78773.19000000,80.72938963,0
17,2019-06-09 09:00:00.000,0.00102500,0.00104200,0.00100000,0.00101500,49291.58000000,2019-06-10 08:59:59.999,49.80391093,2908,14176.95000000,14.38353127,0
18,2019-06-10 09:00:00.000,0.00101400,0.00129000,0.00100700,0.00121900,407397.93000000,2019-06-11 08:59:59.999,485.33669760,24688,175346.21000000,209.40500219,0
19,2019-06-11 09:00:00.000,0.00121800,0.00131000,0.00116000,0.00126600,192577.79000000,2019-06-12 08:59:59.999,234.48352517,13390,67347.59000000,82.52892551,0
20,2019-06-12 09:00:00.000,0.00126600,0.00175000,0.00126200,0.00152600,979822.52000000,2019-06-13 08:59:59.999,1514.59430496,74288,461918.83000000,712.83973678,0
21,2019-06-13 09:00:00.000,0.00152600,0.00166700,0.00133300,0.00145500,378208.40000000,2019-06-14 08:59:59.999,580.21760096,29406,151169.91000000,231.65033956,0
22,2019-06-14 09:00:00.000,0.00145800,0.00147600,0.00123100,0.00128600,160934.92000000,2019-06-15 08:59:59.999,214.85043926,13226,73775.15000000,98.06586541,0
23,2019-06-15 09:00:00.000,0.00128600,0.00150300,0.00123600,0.00130000,190512.44000000,2019-06-16 08:59:59.999,263.96895584,17886,76360.10000000,105.85519790,0
24,2019-06-16 09:00:00.000,0.00130300,0.00138000,0.00124500,0.00127500,131365.57000000,2019-06-17 08:59:59.999,171.52359663,13509,65542.28000000,85.71624189,0
25,2019-06-17 09:00:00.000,0.00127700,0.00137200,0.00123800,0.00128300,74101.17000000,2019-06-18 08:59:59.999,94.06563024,7772,36534.71000000,46.41178971,0
26,2019-06-18 09:00:00.000,0.00127900,0.00142900,0.00125800,0.00138500,121676.80000000,2019-06-19 08:59:59.999,164.44301564,9367,53007.79000000,71.68436521,0
27,2019-06-19 09:00:00.000,0.00138300,0.00157800,0.00138100,0.00145100,202394.35000000,2019-06-20 08:59:59.999,302.07342885,15364,99519.38000000,149.07927991,0
28,2019-06-20 09:00:00.000,0.00145100,0.00159500,0.00135600,0.00137600,166697.12000000,2019-06-21 08:59:59.999,247.05226395,15681,70871.86000000,105.24868660,0
29,2019-06-21 09:00:00.000,0.00137600,0.00137800,0.00123500,0.00124700,97449.96000000,2019-06-22 08:59:59.999,127.84152532,8117,53783.27000000,70.48858221,0
30,2019-06-22 09:00:00.000,0.00124800,0.00128800,0.00113000,0.00124100,97089.86000000,2019-06-23 08:59:59.999,117.41196185,8731,43655.52000000,52.70720133,0
31,2019-06-23 09:00:00.000,0.00124000,0.00130100,0.00112900,0.00119100,107409.51000000,2019-06-24 08:59:59.999,131.73811751,7289,39158.59000000,47.63650878,0
32,2019-06-24 09:00:00.000,0.00118900,0.00126200,0.00110700,0.00116600,49747.53000000,2019-06-25 08:59:59.999,58.24156214,4800,24587.21000000,28.72820351,0
33,2019-06-25 09:00:00.000,0.00116500,0.00116800,0.00108200,0.00108300,30202.89000000,2019-06-26 08:59:59.999,33.97227418,2862,11788.63000000,13.29309225,0
34,2019-06-26 09:00:00.000,0.00108500,0.00109400,0.00087800,0.00090200,87923.24000000,2019-06-27 08:59:59.999,85.35639475,7875,39594.64000000,38.56456300,0
35,2019-06-27 09:00:00.000,0.00090100,0.00100900,0.00088000,0.00098700,82885.19000000,2019-06-28 08:59:59.999,77.99522523,6886,38855.40000000,36.52855229,0
36,2019-06-28 09:00:00.000,0.00098500,0.00098900,0.00089000,0.00090300,35102.84000000,2019-06-29 08:59:59.999,32.69700327,3307,14454.86000000,13.46680171,0
37,2019-06-29 09:00:00.000,0.00090100,0.00115300,0.00089600,0.00107000,192738.53000000,2019-06-30 08:59:59.999,201.80456058,14227,73464.92000000,76.76126749,0
38,2019-06-30 09:00:00.000,0.00107000,0.00108200,0.00102400,0.00105200,53557.61000000,2019-07-01 08:59:59.999,56.28833872,4823,18426.90000000,19.31547357,0
39,2019-07-01 09:00:00.000,0.00104900,0.00110000,0.00104700,0.00106900,41196.50000000,2019-07-02 08:59:59.999,44.18255966,3764,19692.45000000,21.16072112,0
40,2019-07-02 09:00:00.000,0.00106900,0.00109900,0.00098300,0.00100400,45724.92000000,2019-07-03 08:59:59.999,48.28320310,4004,20202.20000000,21.28144167,0
41,2019-07-03 09:00:00.000,0.00100400,0.00108800,0.00095500,0.00103600,53680.43000000,2019-07-04 08:59:59.999,54.22506889,5805,23890.41000000,24.11730419,0
42,2019-07-04 09:00:00.000,0.00103200,0.00116900,0.00096700,0.00100200,112439.30000000,2019-07-05 08:59:59.999,118.40174065,10261,50780.36000000,53.63542291,0
43,2019-07-05 09:00:00.000,0.00100300,0.00103300,0.00098000,0.00100800,34080.31000000,2019-07-06 08:59:59.999,34.28554553,3267,16559.36000000,16.70144681,0
44,2019-07-06 09:00:00.000,0.00100800,0.00110600,0.00098400,0.00101200,82791.07000000,2019-07-07 08:59:59.999,86.12348889,6817,39066.06000000,40.65803850,0
45,2019-07-07 09:00:00.000,0.00101200,0.00103400,0.00100300,0.00102300,25082.87000000,2019-07-08 08:59:59.999,25.51173767,2291,12690.19000000,12.92267386,0
46,2019-07-08 09:00:00.000,0.00102300,0.00103800,0.00094300,0.00095500,32043.07000000,2019-07-09 08:59:59.999,31.91820719,2913,12909.83000000,12.85230364,0
47,2019-07-09 09:00:00.000,0.00095400,0.00098700,0.00089600,0.00090900,73328.08000000,2019-07-10 08:59:59.999,67.98660630,5295,27971.00000000,25.95949396,0
48,2019-07-10 09:00:00.000,0.00090500,0.00095900,0.00087400,0.00090800,34779.20000000,2019-07-11 08:59:59.999,31.44616161,2923,16896.96000000,15.32226044,0
49,2019-07-11 09:00:00.000,0.00091300,0.00092800,0.00087900,0.00090400,18476.61000000,2019-07-12 08:59:59.999,16.66815866,2492,8544.50000000,7.73156589,0
50,2019-07-12 09:00:00.000,0.00090400,0.00091100,0.00087400,0.00089800,19183.33000000,2019-07-13 08:59:59.999,17.17582268,2529,8593.38000000,7.71585360,0
51,2019-07-13 09:00:00.000,0.00089800,0.00098200,0.00088900,0.00092200,28901.42000000,2019-07-14 08:59:59.999,26.94978302,3119,13191.16000000,12.29139697,0
52,2019-07-14 09:00:00.000,0.00092200,0.00092400,0.00087200,0.00087800,26105.35000000,2019-07-15 08:59:59.999,23.29733163,2448,8747.08000000,7.81405984,0
53,2019-07-15 09:00:00.000,0.00087500,0.00093100,0.00084800,0.00085700,52623.95000000,2019-07-16 08:59:59.999,46.26283671,5286,23270.23000000,20.51404941,0
54,2019-07-16 09:00:00.000,0.00086100,0.00089800,0.00084900,0.00087600,31840.88000000,2019-07-17 08:59:59.999,27.52701379,2757,15450.47000000,13.39034451,0
55,2019-07-17 09:00:00.000,0.00087500,0.00096000,0.00086900,0.00093700,36412.35000000,2019-07-18 08:59:59.999,33.18282715,3545,19850.34000000,18.20314052,0
56,2019-07-18 09:00:00.000,0.00094000,0.00095600,0.00088900,0.00089400,19246.11000000,2019-07-19 08:59:59.999,17.82983067,2541,9048.20000000,8.41264840,0
57,2019-07-19 09:00:00.000,0.00089500,0.00093400,0.00088400,0.00090900,16364.13000000,2019-07-20 08:59:59.999,14.78826794,2199,8381.26000000,7.59921765,0
58,2019-07-20 09:00:00.000,0.00091300,0.00094900,0.00088800,0.00091500,21539.86000000,2019-07-21 08:59:59.999,19.79110985,2678,10984.43000000,10.10842375,0
59,2019-07-21 09:00:00.000,0.00091500,0.00092200,0.00089500,0.00090300,8649.31000000,2019-07-22 08:59:59.999,7.83704851,1290,2779.41000000,2.52135405,0
60,2019-07-22 09:00:00.000,0.00090100,0.00096000,0.00089500,0.00093900,37317.00000000,2019-07-23 08:59:59.999,34.73317368,3113,20856.51000000,19.44816458,0
61,2019-07-23 09:00:00.000,0.00093900,0.00095900,0.00092700,0.00093200,16705.90000000,2019-07-24 08:59:59.999,15.75060929,1972,8788.10000000,8.30083257,0
62,2019-07-24 09:00:00.000,0.00093200,0.00100000,0.00093000,0.00096800,43473.67000000,2019-07-25 08:59:59.999,42.28834506,3339,22731.54000000,22.13483333,0
63,2019-07-25 09:00:00.000,0.00097000,0.00098200,0.00093200,0.00096200,25141.49000000,2019-07-26 08:59:59.999,23.88309711,2548,11535.59000000,10.98059620,0
64,2019-07-26 09:00:00.000,0.00096200,0.00098800,0.00096000,0.00097200,15083.22000000,2019-07-27 08:59:59.999,14.70519641,1646,8333.21000000,8.13389577,0
65,2019-07-27 09:00:00.000,0.00097500,0.00097800,0.00094500,0.00095100,27015.54000000,2019-07-28 08:59:59.999,25.85151815,1946,7876.52000000,7.55057665,0
66,2019-07-28 09:00:00.000,0.00095300,0.00096200,0.00094600,0.00095500,10333.27000000,2019-07-29 08:59:59.999,9.82215310,1211,5455.11000000,5.19146845,0
67,2019-07-29 09:00:00.000,0.00095200,0.00095900,0.00093400,0.00094500,13625.86000000,2019-07-30 08:59:59.999,12.90102086,1390,5045.60000000,4.79013633,0
68,2019-07-30 09:00:00.000,0.00094500,0.00096600,0.00093000,0.00093500,22413.59000000,2019-07-31 08:59:59.999,21.17467709,2199,9157.47000000,8.66737837,0
69,2019-07-31 09:00:00.000,0.00093500,0.00093500,0.00087500,0.00088900,29693.13000000,2019-08-01 08:59:59.999,26.90105099,2615,12270.32000000,11.11090939,0
70,2019-08-01 09:00:00.000,0.00088700,0.00089400,0.00081600,0.00082200,30583.70000000,2019-08-02 08:59:59.999,25.99097168,2429,11156.48000000,9.44849964,0
71,2019-08-02 09:00:00.000,0.00082200,0.00084100,0.00080300,0.00081800,22597.94000000,2019-08-03 08:59:59.999,18.40803898,1751,10754.72000000,8.77341810,0
72,2019-08-03 09:00:00.000,0.00082200,0.00082700,0.00080000,0.00081900,16654.39000000,2019-08-04 08:59:59.999,13.51961244,1615,7690.37000000,6.25085513,0
73,2019-08-04 09:00:00.000,0.00081600,0.00083000,0.00079400,0.00079700,16089.66000000,2019-08-05 08:59:59.999,13.02381488,1561,6441.87000000,5.21504254,0
74,2019-08-05 09:00:00.000,0.00080000,0.00080000,0.00072100,0.00073100,25932.51000000,2019-08-06 08:59:59.999,19.40355867,2896,12016.86000000,8.94841221,0
75,2019-08-06 09:00:00.000,0.00073200,0.00073400,0.00068600,0.00071400,36545.63000000,2019-08-07 08:59:59.999,25.99206850,2913,19396.50000000,13.79715320,0
76,2019-08-07 09:00:00.000,0.00071600,0.00072500,0.00066500,0.00067000,37657.49000000,2019-08-08 08:59:59.999,26.03931341,2894,14543.43000000,10.08634453,0
77,2019-08-08 09:00:00.000,0.00066800,0.00071100,0.00065700,0.00068300,37828.90000000,2019-08-09 08:59:59.999,26.02139474,2785,17687.39000000,12.15830643,0
78,2019-08-09 09:00:00.000,0.00068300,0.00077800,0.00067600,0.00069900,70797.57000000,2019-08-10 08:59:59.999,51.13090859,6725,31758.08000000,22.97749788,0
79,2019-08-10 09:00:00.000,0.00069600,0.00070000,0.00066900,0.00069900,20123.22000000,2019-08-11 08:59:59.999,13.73471636,2465,8982.45000000,6.13855276,0
80,2019-08-11 09:00:00.000,0.00069900,0.00070300,0.00067700,0.00068900,24914.32000000,2019-08-12 08:59:59.999,17.13324549,2091,10590.67000000,7.30788605,0
81,2019-08-12 09:00:00.000,0.00069200,0.00069800,0.00068000,0.00068300,16044.87000000,2019-08-13 08:59:59.999,11.01381942,1278,7854.96000000,5.40352064,0
82,2019-08-13 09:00:00.000,0.00068200,0.00069700,0.00066700,0.00068700,23165.53000000,2019-08-14 08:59:59.999,15.74088976,2200,11228.87000000,7.66564114,0
83,2019-08-14 09:00:00.000,0.00068700,0.00070900,0.00065900,0.00066400,36003.47000000,2019-08-15 08:59:59.999,24.68694044,3056,18280.08000000,12.58803003,0
84,2019-08-15 09:00:00.000,0.00066100,0.00068100,0.00064000,0.00066000,27910.57000000,2019-08-16 08:59:59.999,18.40536870,1858,14806.74000000,9.78251795,0
85,2019-08-16 09:00:00.000,0.00066100,0.00067900,0.00063000,0.00063900,25201.06000000,2019-08-17 08:59:59.999,16.42686848,2211,10300.98000000,6.73567646,0
86,2019-08-17 09:00:00.000,0.00063600,0.00064300,0.00061600,0.00063000,25178.16000000,2019-08-18 08:59:59.999,15.80080053,1804,12705.20000000,7.98813088,0
87,2019-08-18 09:00:00.000,0.00062700,0.00067000,0.00062400,0.00064100,27861.37000000,2019-08-19 08:59:59.999,17.95241023,2320,15125.51000000,9.76426363,0
88,2019-08-19 09:00:00.000,0.00064200,0.00066400,0.00063200,0.00065000,29810.55000000,2019-08-20 08:59:59.999,19.30028592,2198,12242.29000000,7.93259575,0
89,2019-08-20 09:00:00.000,0.00065000,0.00065400,0.00062700,0.00063200,15770.15000000,2019-08-21 08:59:59.999,10.11392969,1454,6776.51000000,4.35122130,0
90,2019-08-21 09:00:00.000,0.00062800,0.00066300,0.00062800,0.00065200,38889.96000000,2019-08-22 08:59:59.999,25.18442811,2659,18973.03000000,12.30403399,0
91,2019-08-22 09:00:00.000,0.00065200,0.00068400,0.00065200,0.00067800,29324.72000000,2019-08-23 08:59:59.999,19.73649406,2510,13990.98000000,9.41834443,0
92,2019-08-23 09:00:00.000,0.00067800,0.00069700,0.00066400,0.00066600,15169.72000000,2019-08-24 08:59:59.999,10.31253003,1647,7335.45000000,4.99851240,0
