,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-08-10 09:00:00.000,0.41663000,0.68999000,0.41663000,0.52381000,1285.85000000,2020-08-11 08:59:59.999,700.01046892,34326,558.65040000,305.07354387,0
1,2020-08-11 09:00:00.000,0.52382000,0.57253000,0.48402000,0.53217000,550.59490000,2020-08-12 08:59:59.999,288.87136714,25625,239.72390000,126.50440211,0
2,2020-08-12 09:00:00.000,0.53213000,0.53997000,0.46500000,0.49699000,490.75190000,2020-08-13 08:59:59.999,243.78782221,22026,184.69270000,92.30307751,0
3,2020-08-13 09:00:00.000,0.49602000,0.49958000,0.30000000,0.45326000,911.02680000,2020-08-14 08:59:59.999,397.23862986,28702,340.37510000,147.80729620,0
4,2020-08-14 09:00:00.000,0.45326000,0.45647000,0.40140000,0.42627000,274.04780000,2020-08-15 08:59:59.999,116.37818781,7696,113.16820000,48.11897315,0
5,2020-08-15 09:00:00.000,0.42685000,0.45913000,0.35111000,0.45510000,548.81340000,2020-08-16 08:59:59.999,210.96934023,18776,241.35220000,93.35493454,0
6,2020-08-16 09:00:00.000,0.45509000,0.57680000,0.43948000,0.56061000,891.60740000,2020-08-17 08:59:59.999,463.89715487,47894,417.88320000,217.68247475,0
7,2020-08-17 09:00:00.000,0.55954000,0.74900000,0.53600000,0.72500000,1281.78340000,2020-08-18 08:59:59.999,829.01295298,55466,611.40520000,395.22490713,0
8,2020-08-18 09:00:00.000,0.72878000,0.99206000,0.70440000,0.80849000,2070.29960000,2020-08-19 08:59:59.999,1739.52160190,74385,934.99230000,788.37831765,0
9,2020-08-19 09:00:00.000,0.80840000,1.09999000,0.80300000,1.06987000,1451.19000000,2020-08-20 08:59:59.999,1352.39918206,69389,754.43190000,704.75649872,0
10,2020-08-20 09:00:00.000,1.06998000,1.41620000,0.97593000,1.29311000,2935.72130000,2020-08-21 08:59:59.999,3559.38123409,112271,1414.18750000,1715.95153090,0
11,2020-08-21 09:00:00.000,1.29309000,1.31600000,1.01404000,1.06738000,1549.70770000,2020-08-22 08:59:59.999,1822.01544165,74583,710.22680000,837.35519652,0
12,2020-08-22 09:00:00.000,1.06751000,1.24460000,0.97161000,1.20554000,864.29620000,2020-08-23 08:59:59.999,988.28086274,41041,408.78500000,468.19237158,0
13,2020-08-23 09:00:00.000,1.20550000,1.20700000,1.01666000,1.07410000,459.83730000,2020-08-24 08:59:59.999,513.52700149,24478,185.43130000,208.51443675,0
14,2020-08-24 09:00:00.000,1.07410000,1.23477000,1.04806000,1.23121000,442.17850000,2020-08-25 08:59:59.999,505.23054714,21453,233.04750000,266.49735477,0
15,2020-08-25 09:00:00.000,1.23310000,1.26776000,1.13014000,1.19305000,503.59610000,2020-08-26 08:59:59.999,604.85781249,24882,232.28460000,279.74366634,0
16,2020-08-26 09:00:00.000,1.19302000,1.42330000,1.16432000,1.36800000,644.37960000,2020-08-27 08:59:59.999,833.16621032,30905,330.02530000,427.00001254,0
17,2020-08-27 09:00:00.000,1.36357000,1.38797000,1.25000000,1.25237000,419.60330000,2020-08-28 08:59:59.999,546.63651999,22881,194.77640000,253.83941676,0
18,2020-08-28 09:00:00.000,1.25000000,1.69100000,1.23900000,1.63519000,1433.18050000,2020-08-29 08:59:59.999,2208.07550144,64068,732.59680000,1124.47877358,0
19,2020-08-29 09:00:00.000,1.63505000,2.39846000,1.55341000,2.39655000,2968.49700000,2020-08-30 08:59:59.999,6033.46874726,156858,1483.14670000,3021.73265225,0
20,2020-08-30 09:00:00.000,2.39623000,3.35400000,2.31110000,2.70166000,5880.76220000,2020-08-31 08:59:59.999,16139.35966587,357499,2782.75300000,7654.49399450,0
21,2020-08-31 09:00:00.000,2.70301000,3.38700000,2.54534000,3.00086000,3503.41110000,2020-09-01 08:59:59.999,10489.89061761,242068,1753.44430000,5248.73822657,0
22,2020-09-01 09:00:00.000,2.99380000,3.06900000,2.63348000,2.67000000,1998.10200000,2020-09-02 08:59:59.999,5685.19316012,153139,926.85340000,2641.56851943,0
23,2020-09-02 09:00:00.000,2.67000000,2.88529000,2.25326000,2.80443000,1763.69590000,2020-09-03 08:59:59.999,4524.49057040,129833,879.61720000,2259.59896020,0
24,2020-09-03 09:00:00.000,2.80443000,3.11372000,2.53078000,2.88962000,1213.14670000,2020-09-04 08:59:59.999,3437.70770175,99808,621.82180000,1764.91350790,0
25,2020-09-04 09:00:00.000,2.90083000,3.10000000,2.37100000,2.61325000,948.18690000,2020-09-05 08:59:59.999,2550.54208663,69566,418.25710000,1132.43507987,0
26,2020-09-05 09:00:00.000,2.61325000,2.74794000,1.80292000,2.18149000,1825.10910000,2020-09-06 08:59:59.999,3896.94331586,91434,718.20040000,1542.34942447,0
27,2020-09-06 09:00:00.000,2.18131000,2.48002000,1.92917000,2.32582000,911.84650000,2020-09-07 08:59:59.999,2057.21083619,66953,433.42500000,981.58879022,0
28,2020-09-07 09:00:00.000,2.32583000,2.39000000,2.05848000,2.21188000,457.65700000,2020-09-08 08:59:59.999,1007.95466712,32679,216.18980000,477.37695819,0
29,2020-09-08 09:00:00.000,2.20499000,2.30000000,2.11860000,2.22002000,437.57570000,2020-09-09 08:59:59.999,955.22749685,28303,168.87820000,371.04287802,0
30,2020-09-09 09:00:00.000,2.22932000,2.85879000,2.14094000,2.69649000,964.18930000,2020-09-10 08:59:59.999,2443.58169955,68689,472.81930000,1203.42902816,0
31,2020-09-10 09:00:00.000,2.69647000,3.48000000,2.69069000,3.29308000,1273.33600000,2020-09-11 08:59:59.999,3879.15692735,112444,662.27180000,2022.34055540,0
32,2020-09-11 09:00:00.000,3.29709000,3.69000000,3.06371000,3.67000000,819.99000000,2020-09-12 08:59:59.999,2709.15741213,72508,412.87020000,1367.02165035,0
33,2020-09-12 09:00:00.000,3.66666000,4.20000000,3.50135000,4.14000000,1153.52940000,2020-09-13 08:59:59.999,4446.55698551,120013,578.77300000,2233.58011904,0
34,2020-09-13 09:00:00.000,4.13877000,4.15366000,3.18000000,3.57293000,1129.82470000,2020-09-14 08:59:59.999,4046.44952734,105475,519.61930000,1859.70082547,0
35,2020-09-14 09:00:00.000,3.56642000,4.05622000,3.38470000,3.73590000,942.48360000,2020-09-15 08:59:59.999,3558.49865673,97909,467.99360000,1768.50375467,0
36,2020-09-15 09:00:00.000,3.72874000,3.84356000,3.25925000,3.28430000,839.70520000,2020-09-16 08:59:59.999,3013.77169652,77395,400.32610000,1438.84661730,0
37,2020-09-16 09:00:00.000,3.28116000,3.39372000,2.85364000,3.18462000,1129.44860000,2020-09-17 08:59:59.999,3572.62833415,87736,545.62590000,1730.74806394,0
38,2020-09-17 09:00:00.000,3.18470000,3.32743000,2.73780000,3.03710000,873.22120000,2020-09-18 08:59:59.999,2640.46533560,61588,412.40590000,1248.97923966,0
39,2020-09-18 09:00:00.000,3.04117000,3.19623000,2.80010000,3.02010000,684.24900000,2020-09-19 08:59:59.999,2075.98158255,53459,348.43290000,1058.39311252,0
40,2020-09-19 09:00:00.000,3.02180000,3.03452000,2.52270000,2.78930000,683.78440000,2020-09-20 08:59:59.999,1891.50780372,50106,325.53110000,901.24646948,0
41,2020-09-20 09:00:00.000,2.78930000,2.79594000,2.40521000,2.56891000,645.89150000,2020-09-21 08:59:59.999,1676.76455313,46144,303.12260000,785.25254580,0
42,2020-09-21 09:00:00.000,2.57152000,2.59200000,2.10000000,2.30190000,1208.42850000,2020-09-22 08:59:59.999,2777.13094074,67268,573.21440000,1319.94726911,0
43,2020-09-22 09:00:00.000,2.30765000,2.56866000,2.16400000,2.37381000,794.48120000,2020-09-23 08:59:59.999,1866.62366788,50625,376.05750000,883.76641353,0
44,2020-09-23 09:00:00.000,2.37946000,2.50143000,2.05682000,2.06837000,591.33350000,2020-09-24 08:59:59.999,1374.49420498,43128,250.74530000,585.83813462,0
45,2020-09-24 09:00:00.000,2.07526000,2.35894000,1.98414000,2.35733000,609.03410000,2020-09-25 08:59:59.999,1352.44680319,43021,295.98270000,658.92232090,0
46,2020-09-25 09:00:00.000,2.35725000,2.56861000,2.19306000,2.50841000,522.68470000,2020-09-26 08:59:59.999,1238.41798182,40307,269.17230000,640.12801607,0
47,2020-09-26 09:00:00.000,2.50841000,2.96549000,2.43372000,2.95231000,886.02210000,2020-09-27 08:59:59.999,2436.69209426,67060,458.44420000,1264.21681210,0
48,2020-09-27 09:00:00.000,2.95229000,3.17124000,2.64200000,2.84785000,1062.38220000,2020-09-28 08:59:59.999,3044.88515125,77557,509.71760000,1460.95960144,0
49,2020-09-28 09:00:00.000,2.84043000,2.88080000,2.54147000,2.65640000,637.29990000,2020-09-29 08:59:59.999,1714.41445730,50512,267.04030000,718.73923273,0
50,2020-09-29 09:00:00.000,2.65834000,2.69600000,2.20040000,2.31118000,1423.01390000,2020-09-30 08:59:59.999,3370.66273046,91741,650.21070000,1544.16343173,0
51,2020-09-30 09:00:00.000,2.31217000,2.31541000,2.04223000,2.21342000,994.51020000,2020-10-01 08:59:59.999,2148.96475894,59319,482.26420000,1041.85292613,0
52,2020-10-01 09:00:00.000,2.21342000,2.42922000,2.05000000,2.14901000,1205.28400000,2020-10-02 08:59:59.999,2680.21577645,69016,620.86530000,1382.10775969,0
53,2020-10-02 09:00:00.000,2.14495000,2.18185000,1.82710000,1.99249000,993.71170000,2020-10-03 08:59:59.999,1970.20050684,55260,488.68160000,968.66937546,0
54,2020-10-03 09:00:00.000,1.99512000,2.05706000,1.97201000,1.99800000,298.46010000,2020-10-04 08:59:59.999,600.58726528,17347,157.41020000,316.94282325,0
