,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-09-01 09:00:00.000,0.25310000,0.83000000,0.25310000,0.71671000,20904.59490000,2020-09-02 08:59:59.999,13142.13174702,266306,9195.14240000,5831.22455767,0
1,2020-09-02 09:00:00.000,0.71695000,0.71695000,0.55227000,0.64413000,13036.27000000,2020-09-03 08:59:59.999,8410.61134728,198748,6085.92920000,3930.25464925,0
2,2020-09-03 09:00:00.000,0.64479000,0.64836000,0.44500000,0.47925000,7176.70820000,2020-09-04 08:59:59.999,4056.09056149,109230,2973.27410000,1696.53482416,0
3,2020-09-04 09:00:00.000,0.47934000,0.52242000,0.37650000,0.41101000,5847.77640000,2020-09-05 08:59:59.999,2600.16055843,77402,2763.36890000,1223.95057544,0
4,2020-09-05 09:00:00.000,0.41092000,0.53500000,0.32577000,0.37088000,9063.17100000,2020-09-06 08:59:59.999,3685.60264169,118538,3980.01210000,1632.35684122,0
5,2020-09-06 09:00:00.000,0.37087000,0.41192000,0.28070000,0.37774000,7051.33930000,2020-09-07 08:59:59.999,2509.49148137,78441,3400.86240000,1212.28126757,0
6,2020-09-07 09:00:00.000,0.37774000,0.39400000,0.31572000,0.35747000,3811.43510000,2020-09-08 08:59:59.999,1332.26353953,43826,1765.42450000,618.40355206,0
7,2020-09-08 09:00:00.000,0.35692000,0.36053000,0.31300000,0.31817000,2146.30220000,2020-09-09 08:59:59.999,711.89797359,30737,969.13540000,321.06106538,0
8,2020-09-09 09:00:00.000,0.31813000,0.36474000,0.28335000,0.34909000,4553.16770000,2020-09-10 08:59:59.999,1506.37776362,50916,2033.09560000,674.93503324,0
9,2020-09-10 09:00:00.000,0.34908000,0.40887000,0.34103000,0.38252000,5873.30450000,2020-09-11 08:59:59.999,2221.44790644,71902,2724.51650000,1031.08563197,0
10,2020-09-11 09:00:00.000,0.38252000,0.47745000,0.35783000,0.47450000,6481.84400000,2020-09-12 08:59:59.999,2670.81627169,81482,3114.71940000,1286.89295184,0
11,2020-09-12 09:00:00.000,0.47435000,0.66249000,0.44000000,0.62104000,16705.05540000,2020-09-13 08:59:59.999,9627.49811594,255758,7940.66570000,4577.78139192,0
12,2020-09-13 09:00:00.000,0.62004000,0.62400000,0.45000000,0.53605000,9065.03550000,2020-09-14 08:59:59.999,4816.95700014,147044,4219.60280000,2243.90010641,0
13,2020-09-14 09:00:00.000,0.53555000,0.64014000,0.49084000,0.54092000,8016.85760000,2020-09-15 08:59:59.999,4588.56543758,145357,3999.19190000,2291.05399840,0
14,2020-09-15 09:00:00.000,0.54183000,0.56799000,0.44922000,0.45637000,5122.82810000,2020-09-16 08:59:59.999,2647.78607801,84638,2278.05260000,1179.54188259,0
15,2020-09-16 09:00:00.000,0.45568000,0.48044000,0.39480000,0.42388000,5561.56190000,2020-09-17 08:59:59.999,2410.19133214,74321,2649.78740000,1149.12116416,0
16,2020-09-17 09:00:00.000,0.42425000,0.47000000,0.37587000,0.39756000,4305.36200000,2020-09-18 08:59:59.999,1777.93973060,52050,2133.52120000,883.13271600,0
