,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00916400,0.00930400,0.00898700,0.00918500,33021.20800000,2019-05-24 08:59:59.999,301.23024184,8874,16232.75700000,148.08697591,0
1,2019-05-24 09:00:00.000,0.00917500,0.00937900,0.00905900,0.00908400,30840.41600000,2019-05-25 08:59:59.999,283.42147655,8786,17048.38400000,156.68951895,0
2,2019-05-25 09:00:00.000,0.00908200,0.00915600,0.00893200,0.00899000,29059.34000000,2019-05-26 08:59:59.999,262.15329936,6061,16793.46600000,151.50730923,0
3,2019-05-26 09:00:00.000,0.00898700,0.00910000,0.00855000,0.00873000,45847.37300000,2019-05-27 08:59:59.999,406.49766447,10402,17885.90200000,159.20903572,0
4,2019-05-27 09:00:00.000,0.00873000,0.00877500,0.00858100,0.00873000,49906.20800000,2019-05-28 08:59:59.999,433.40908595,11472,21013.18900000,182.33556338,0
5,2019-05-28 09:00:00.000,0.00871300,0.01015600,0.00868600,0.00975900,92527.56400000,2019-05-29 08:59:59.999,893.56590917,26906,44906.79100000,433.75226968,0
6,2019-05-29 09:00:00.000,0.00976000,0.01019700,0.00935300,0.00981900,58964.86800000,2019-05-30 08:59:59.999,572.73057506,18220,28953.54700000,281.14130588,0
7,2019-05-30 09:00:00.000,0.00983600,0.01121300,0.00971900,0.01001000,115382.18000000,2019-05-31 08:59:59.999,1193.40904300,36418,57287.08300000,592.89603590,0
8,2019-05-31 09:00:00.000,0.01001000,0.01066100,0.00998000,0.01054100,78326.83500000,2019-06-01 08:59:59.999,811.04651222,22234,41082.98800000,425.56336066,0
9,2019-06-01 09:00:00.000,0.01052200,0.01080500,0.00989100,0.01008100,58981.79700000,2019-06-02 08:59:59.999,606.05448755,19561,30055.87500000,309.10494082,0
10,2019-06-02 09:00:00.000,0.01008500,0.01026300,0.00997300,0.01016600,34421.37700000,2019-06-03 08:59:59.999,347.60028476,11943,18231.12600000,184.16229676,0
11,2019-06-03 09:00:00.000,0.01016300,0.01033600,0.00996100,0.01029600,38723.06800000,2019-06-04 08:59:59.999,393.09296599,12878,18717.55400000,190.26515307,0
12,2019-06-04 09:00:00.000,0.01029200,0.01084200,0.01004000,0.01011100,53504.88700000,2019-06-05 08:59:59.999,552.55162365,18121,25842.95500000,267.21562081,0
13,2019-06-05 09:00:00.000,0.01011100,0.01037000,0.00998400,0.01034000,31320.40700000,2019-06-06 08:59:59.999,316.25301453,10096,15138.38400000,152.83931638,0
14,2019-06-06 09:00:00.000,0.01034000,0.01037800,0.01013400,0.01024000,24566.37500000,2019-06-07 08:59:59.999,252.16650264,7908,10681.36500000,109.55151335,0
15,2019-06-07 09:00:00.000,0.01024000,0.01055300,0.01015200,0.01043100,27718.44200000,2019-06-08 08:59:59.999,286.80216959,9261,13547.37500000,140.21784742,0
16,2019-06-08 09:00:00.000,0.01043100,0.01061400,0.01013500,0.01017600,30853.72500000,2019-06-09 08:59:59.999,319.29350519,10364,12021.35000000,124.75807812,0
17,2019-06-09 09:00:00.000,0.01017000,0.01031800,0.00993000,0.01012800,34563.10600000,2019-06-10 08:59:59.999,349.48692824,13228,20428.31100000,206.95766886,0
18,2019-06-10 09:00:00.000,0.01012800,0.01031500,0.00991300,0.01001200,35357.63400000,2019-06-11 08:59:59.999,358.01928435,11605,18550.42500000,188.07538575,0
19,2019-06-11 09:00:00.000,0.01002300,0.01017200,0.00985400,0.01010000,28332.43300000,2019-06-12 08:59:59.999,283.84581177,9439,17078.73100000,171.16641610,0
20,2019-06-12 09:00:00.000,0.01010000,0.01131400,0.01007800,0.01120800,95957.74600000,2019-06-13 08:59:59.999,1029.56666095,28889,51442.53000000,551.23675460,0
21,2019-06-13 09:00:00.000,0.01120800,0.01125600,0.01066600,0.01068400,75316.66800000,2019-06-14 08:59:59.999,823.22715525,22837,42925.71800000,469.74471434,0
22,2019-06-14 09:00:00.000,0.01067200,0.01160900,0.01040000,0.01048200,110904.04100000,2019-06-15 08:59:59.999,1207.42049522,29532,61537.96600000,670.71591596,0
23,2019-06-15 09:00:00.000,0.01048500,0.01087100,0.01044800,0.01045900,63107.37100000,2019-06-16 08:59:59.999,668.92061532,18298,35743.81100000,379.05415572,0
24,2019-06-16 09:00:00.000,0.01046000,0.01058000,0.01000100,0.01044300,47266.82300000,2019-06-17 08:59:59.999,484.19135155,16200,25662.59100000,263.29353739,0
25,2019-06-17 09:00:00.000,0.01045300,0.01142200,0.01028400,0.01094900,115151.78200000,2019-06-18 08:59:59.999,1233.09255303,33911,62148.23400000,665.43438020,0
26,2019-06-18 09:00:00.000,0.01095000,0.01252800,0.01094300,0.01231200,175076.68900000,2019-06-19 08:59:59.999,2063.81432541,54168,96682.20300000,1140.96770505,0
27,2019-06-19 09:00:00.000,0.01231800,0.01261400,0.01176000,0.01195400,124833.30200000,2019-06-20 08:59:59.999,1523.25068700,37292,69843.48600000,853.11531253,0
28,2019-06-20 09:00:00.000,0.01195400,0.01198800,0.01135300,0.01149800,43013.81700000,2019-06-21 08:59:59.999,499.80699770,17062,22008.53800000,255.76313116,0
29,2019-06-21 09:00:00.000,0.01149100,0.01194900,0.01079100,0.01080900,64851.56000000,2019-06-22 08:59:59.999,736.84420635,22689,30806.17200000,350.03834179,0
30,2019-06-22 09:00:00.000,0.01081200,0.01094800,0.01015000,0.01055300,71478.59800000,2019-06-23 08:59:59.999,753.52328990,24998,35527.02100000,374.72500804,0
31,2019-06-23 09:00:00.000,0.01055400,0.01068700,0.00985200,0.01010600,54505.65300000,2019-06-24 08:59:59.999,565.37273651,18337,25759.24700000,267.65449075,0
32,2019-06-24 09:00:00.000,0.01011200,0.01018900,0.00977900,0.00986700,56015.61500000,2019-06-25 08:59:59.999,558.29883461,17983,27664.33100000,275.81730627,0
33,2019-06-25 09:00:00.000,0.00986200,0.00990000,0.00887900,0.00893300,67350.34800000,2019-06-26 08:59:59.999,631.28919165,24797,34825.12200000,326.53837334,0
34,2019-06-26 09:00:00.000,0.00892700,0.01012200,0.00816600,0.00870200,152301.53900000,2019-06-27 08:59:59.999,1342.98753239,49660,75822.66100000,668.32769350,0
35,2019-06-27 09:00:00.000,0.00870400,0.00950300,0.00832600,0.00945100,93897.83600000,2019-06-28 08:59:59.999,833.58933218,36843,49867.70900000,443.77884253,0
36,2019-06-28 09:00:00.000,0.00944900,0.01022200,0.00900500,0.00905400,79771.90500000,2019-06-29 08:59:59.999,766.86396932,28344,40316.09600000,387.79460724,0
37,2019-06-29 09:00:00.000,0.00904100,0.00960000,0.00896100,0.00957700,58464.72900000,2019-06-30 08:59:59.999,546.50794743,18140,28604.29400000,267.56784688,0
38,2019-06-30 09:00:00.000,0.00955900,0.00958900,0.00930100,0.00954400,34119.27500000,2019-07-01 08:59:59.999,321.68203460,15483,17697.99300000,166.98636769,0
39,2019-07-01 09:00:00.000,0.00954700,0.01010900,0.00938900,0.00978500,48867.56400000,2019-07-02 08:59:59.999,470.70181047,18525,25658.71800000,247.59428959,0
40,2019-07-02 09:00:00.000,0.00978400,0.00998400,0.00936200,0.00939600,44268.29200000,2019-07-03 08:59:59.999,430.64291378,17079,20527.82700000,199.72975309,0
41,2019-07-03 09:00:00.000,0.00938100,0.00942700,0.00880500,0.00885800,34654.33900000,2019-07-04 08:59:59.999,318.69003102,14721,17940.33100000,165.07144389,0
42,2019-07-04 09:00:00.000,0.00884400,0.00910100,0.00870800,0.00903300,36117.19600000,2019-07-05 08:59:59.999,319.13456320,13473,20250.19800000,179.00866885,0
43,2019-07-05 09:00:00.000,0.00903000,0.00926500,0.00884100,0.00911100,33294.21400000,2019-07-06 08:59:59.999,300.96727687,12786,18408.96200000,166.41234365,0
44,2019-07-06 09:00:00.000,0.00911600,0.00934500,0.00882600,0.00921300,27280.34900000,2019-07-07 08:59:59.999,246.62401886,11493,15630.55000000,141.13881321,0
45,2019-07-07 09:00:00.000,0.00920900,0.00932800,0.00902900,0.00930700,22559.16100000,2019-07-08 08:59:59.999,207.54486973,8548,10486.37300000,96.53996628,0
46,2019-07-08 09:00:00.000,0.00930800,0.00931200,0.00851300,0.00855200,29783.22400000,2019-07-09 08:59:59.999,266.39119435,10104,16188.61200000,144.73291045,0
