,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00150000,0.00150200,0.00146300,0.00147400,13069.17300000,2019-05-24 08:59:59.999,19.33316082,1374,4753.30300000,7.02836448,0
1,2019-05-24 09:00:00.000,0.00147100,0.00149100,0.00140000,0.00140600,14784.53300000,2019-05-25 08:59:59.999,21.36939265,1876,5165.03500000,7.48587660,0
2,2019-05-25 09:00:00.000,0.00140700,0.00148000,0.00134300,0.00136200,20835.26500000,2019-05-26 08:59:59.999,29.12366828,2553,9679.51400000,13.56556876,0
3,2019-05-26 09:00:00.000,0.00136200,0.00138600,0.00120400,0.00124200,30203.89200000,2019-05-27 08:59:59.999,39.81277786,3356,12114.05200000,16.08009836,0
4,2019-05-27 09:00:00.000,0.00123500,0.00132400,0.00121500,0.00130700,30965.60400000,2019-05-28 08:59:59.999,39.04575935,3220,15611.90300000,19.69049950,0
5,2019-05-28 09:00:00.000,0.00130100,0.00130500,0.00124000,0.00124400,22671.98400000,2019-05-29 08:59:59.999,28.88017648,2480,8323.69900000,10.60933479,0
6,2019-05-29 09:00:00.000,0.00125400,0.00136000,0.00122700,0.00129700,30441.26600000,2019-05-30 08:59:59.999,39.66638913,3316,14899.90400000,19.41670973,0
7,2019-05-30 09:00:00.000,0.00130000,0.00134500,0.00123200,0.00126900,25870.97700000,2019-05-31 08:59:59.999,33.35487752,3085,12212.92900000,15.79561939,0
8,2019-05-31 09:00:00.000,0.00126900,0.00127300,0.00123900,0.00126000,11225.34200000,2019-06-01 08:59:59.999,14.10875802,1283,3656.76000000,4.60115048,0
9,2019-06-01 09:00:00.000,0.00126000,0.00135700,0.00125700,0.00131400,27513.54600000,2019-06-02 08:59:59.999,36.22503554,2770,14255.60600000,18.79580492,0
10,2019-06-02 09:00:00.000,0.00131100,0.00134900,0.00128900,0.00129700,15148.57900000,2019-06-03 08:59:59.999,19.95047051,1776,6081.27900000,8.03678770,0
11,2019-06-03 09:00:00.000,0.00129900,0.00129900,0.00125500,0.00128000,20077.33500000,2019-06-04 08:59:59.999,25.61935856,1997,9541.82000000,12.19403614,0
12,2019-06-04 09:00:00.000,0.00128200,0.00129900,0.00123600,0.00125400,24630.13300000,2019-06-05 08:59:59.999,31.05249007,2860,10962.12000000,13.84608368,0
13,2019-06-05 09:00:00.000,0.00125400,0.00127700,0.00123200,0.00124900,15621.04700000,2019-06-06 08:59:59.999,19.52591919,1809,7012.49200000,8.79239775,0
14,2019-06-06 09:00:00.000,0.00124800,0.00130900,0.00123200,0.00124900,25136.58600000,2019-06-07 08:59:59.999,31.72060444,2512,10377.22600000,13.12802691,0
15,2019-06-07 09:00:00.000,0.00125000,0.00129900,0.00123200,0.00127400,22978.34300000,2019-06-08 08:59:59.999,28.80244979,2272,13150.34000000,16.51217896,0
16,2019-06-08 09:00:00.000,0.00127600,0.00129100,0.00125000,0.00127000,10960.36900000,2019-06-09 08:59:59.999,13.92215521,1255,5330.06900000,6.78558111,0
17,2019-06-09 09:00:00.000,0.00127000,0.00129300,0.00126500,0.00126800,17216.83200000,2019-06-10 08:59:59.999,21.98387417,1371,7276.41400000,9.30971792,0
18,2019-06-10 09:00:00.000,0.00127100,0.00134000,0.00126600,0.00132500,40356.88600000,2019-06-11 08:59:59.999,52.59629976,3651,20253.81300000,26.40653405,0
19,2019-06-11 09:00:00.000,0.00132900,0.00133700,0.00129100,0.00130400,17917.64200000,2019-06-12 08:59:59.999,23.50159052,1427,5981.62500000,7.86737127,0
20,2019-06-12 09:00:00.000,0.00130500,0.00134300,0.00129000,0.00134300,27285.60300000,2019-06-13 08:59:59.999,35.94422800,2240,12804.97500000,16.93498658,0
21,2019-06-13 09:00:00.000,0.00134300,0.00137000,0.00129400,0.00129900,44479.37900000,2019-06-14 08:59:59.999,59.46093206,3470,20248.86300000,27.17328445,0
22,2019-06-14 09:00:00.000,0.00129900,0.00130500,0.00115800,0.00118100,49767.80200000,2019-06-15 08:59:59.999,60.88157955,4550,18011.43700000,22.04139363,0
23,2019-06-15 09:00:00.000,0.00118100,0.00121300,0.00118000,0.00118100,17529.39800000,2019-06-16 08:59:59.999,20.85994294,1637,6771.41600000,8.08171029,0
24,2019-06-16 09:00:00.000,0.00118300,0.00119000,0.00111900,0.00114000,24649.33300000,2019-06-17 08:59:59.999,28.13760344,2061,8817.82400000,10.03547299,0
25,2019-06-17 09:00:00.000,0.00114000,0.00122900,0.00110400,0.00112000,42649.54100000,2019-06-18 08:59:59.999,48.85319079,3435,20419.64200000,23.43046202,0
26,2019-06-18 09:00:00.000,0.00111700,0.00118900,0.00111500,0.00115600,39740.56900000,2019-06-19 08:59:59.999,45.81972663,3976,20590.17600000,23.82614168,0
27,2019-06-19 09:00:00.000,0.00115300,0.00127500,0.00115300,0.00121100,48744.06800000,2019-06-20 08:59:59.999,59.16989013,5432,25381.42800000,30.77707356,0
28,2019-06-20 09:00:00.000,0.00121100,0.00124000,0.00112000,0.00112500,27095.96600000,2019-06-21 08:59:59.999,31.40273924,2289,10290.96100000,11.95916445,0
29,2019-06-21 09:00:00.000,0.00112300,0.00112400,0.00103300,0.00103800,25061.31800000,2019-06-22 08:59:59.999,27.22989747,2133,10912.89700000,11.85411076,0
30,2019-06-22 09:00:00.000,0.00103800,0.00109900,0.00095000,0.00099300,38000.70200000,2019-06-23 08:59:59.999,38.50247922,3342,18972.03100000,19.45475223,0
31,2019-06-23 09:00:00.000,0.00100000,0.00104900,0.00094000,0.00095300,29199.02500000,2019-06-24 08:59:59.999,28.89230982,2317,15035.17600000,14.96883807,0
32,2019-06-24 09:00:00.000,0.00095200,0.00096700,0.00091500,0.00092900,18858.71800000,2019-06-25 08:59:59.999,17.67171052,2039,9161.86300000,8.58536279,0
33,2019-06-25 09:00:00.000,0.00092700,0.00092700,0.00084500,0.00085500,31949.05500000,2019-06-26 08:59:59.999,28.22780519,2704,14521.37000000,12.78244806,0
34,2019-06-26 09:00:00.000,0.00085500,0.00087900,0.00067200,0.00070600,77755.48300000,2019-06-27 08:59:59.999,59.97303025,6073,38573.69000000,29.84988815,0
35,2019-06-27 09:00:00.000,0.00071200,0.00096400,0.00070500,0.00089200,114520.67200000,2019-06-28 08:59:59.999,99.71888770,8786,60114.85700000,52.37041380,0
36,2019-06-28 09:00:00.000,0.00088500,0.00089400,0.00076900,0.00076900,32468.91900000,2019-06-29 08:59:59.999,26.93344613,2700,14876.52600000,12.34601922,0
37,2019-06-29 09:00:00.000,0.00076900,0.00088000,0.00076900,0.00087400,30174.64800000,2019-06-30 08:59:59.999,24.59839670,2344,18799.48400000,15.34245028,0
38,2019-06-30 09:00:00.000,0.00087400,0.00099800,0.00082400,0.00085600,72261.65200000,2019-07-01 08:59:59.999,63.50072364,6151,32965.68800000,29.03857302,0
39,2019-07-01 09:00:00.000,0.00085600,0.00087400,0.00083800,0.00086700,22593.57700000,2019-07-02 08:59:59.999,19.35046524,1757,10299.78100000,8.84303840,0
40,2019-07-02 09:00:00.000,0.00086600,0.00093200,0.00080100,0.00084000,34624.94800000,2019-07-03 08:59:59.999,30.29636372,2813,15811.06800000,13.86018200,0
41,2019-07-03 09:00:00.000,0.00083900,0.00084400,0.00078000,0.00078300,34060.80700000,2019-07-04 08:59:59.999,27.57050905,2004,12272.07600000,10.01590453,0
42,2019-07-04 09:00:00.000,0.00078400,0.00089200,0.00077600,0.00079300,63743.78400000,2019-07-05 08:59:59.999,52.45548750,3874,27070.42700000,22.32640875,0
43,2019-07-05 09:00:00.000,0.00079600,0.00084600,0.00079500,0.00081800,36380.61300000,2019-07-06 08:59:59.999,29.94015831,2363,19593.45600000,16.12834047,0
44,2019-07-06 09:00:00.000,0.00081400,0.00082000,0.00079200,0.00080700,14057.90200000,2019-07-07 08:59:59.999,11.30113536,1172,7740.65800000,6.22906498,0
45,2019-07-07 09:00:00.000,0.00081100,0.00081900,0.00079100,0.00080600,15368.55300000,2019-07-08 08:59:59.999,12.36534096,1062,8574.73300000,6.91021129,0
46,2019-07-08 09:00:00.000,0.00080700,0.00082000,0.00077200,0.00077700,21663.13500000,2019-07-09 08:59:59.999,17.14748401,1694,8104.19200000,6.43416346,0
47,2019-07-09 09:00:00.000,0.00078000,0.00078900,0.00071700,0.00072800,21385.48900000,2019-07-10 08:59:59.999,16.18496619,1686,6545.70800000,4.99512380,0
48,2019-07-10 09:00:00.000,0.00072900,0.00080000,0.00070800,0.00071100,21491.27000000,2019-07-11 08:59:59.999,15.81737712,2018,9539.66800000,7.05277754,0
49,2019-07-11 09:00:00.000,0.00071100,0.00074700,0.00069700,0.00069800,16631.43800000,2019-07-12 08:59:59.999,11.92398557,1675,7023.69500000,5.05513760,0
50,2019-07-12 09:00:00.000,0.00069800,0.00071700,0.00068400,0.00070000,18138.26100000,2019-07-13 08:59:59.999,12.68521600,1884,6859.15200000,4.80703480,0
51,2019-07-13 09:00:00.000,0.00070000,0.00073100,0.00069200,0.00070600,16911.02700000,2019-07-14 08:59:59.999,12.02451875,1337,9614.89600000,6.83124069,0
52,2019-07-14 09:00:00.000,0.00070500,0.00071500,0.00067500,0.00068000,11441.45600000,2019-07-15 08:59:59.999,7.92886235,1320,4440.58200000,3.08383536,0
53,2019-07-15 09:00:00.000,0.00067800,0.00069300,0.00063900,0.00065700,15226.24600000,2019-07-16 08:59:59.999,10.11817164,1731,6084.26300000,4.04061227,0
54,2019-07-16 09:00:00.000,0.00065800,0.00068700,0.00063300,0.00064000,25481.08200000,2019-07-17 08:59:59.999,16.57106452,2031,9929.29400000,6.48666863,0
55,2019-07-17 09:00:00.000,0.00064100,0.00067500,0.00062500,0.00064400,32900.68100000,2019-07-18 08:59:59.999,21.11989764,2198,16546.37200000,10.67075421,0
56,2019-07-18 09:00:00.000,0.00064000,0.00065100,0.00054000,0.00057600,144491.48300000,2019-07-19 08:59:59.999,84.09504031,6197,55372.11100000,32.41432729,0
57,2019-07-19 09:00:00.000,0.00057700,0.00058300,0.00056300,0.00057800,16516.56500000,2019-07-20 08:59:59.999,9.50299007,1497,8394.50500000,4.83896315,0
58,2019-07-20 09:00:00.000,0.00057800,0.00059100,0.00056200,0.00057900,23556.16900000,2019-07-21 08:59:59.999,13.67919722,1609,13260.98700000,7.73626714,0
59,2019-07-21 09:00:00.000,0.00058000,0.00061000,0.00057800,0.00059800,19652.65200000,2019-07-22 08:59:59.999,11.67060190,1433,11034.91000000,6.56067329,0
60,2019-07-22 09:00:00.000,0.00059900,0.00062000,0.00059100,0.00061200,18174.75300000,2019-07-23 08:59:59.999,10.96723276,1472,9035.76900000,5.46745466,0
61,2019-07-23 09:00:00.000,0.00061200,0.00063700,0.00060600,0.00063200,15025.82800000,2019-07-24 08:59:59.999,9.37906201,1230,7243.69300000,4.52741619,0
62,2019-07-24 09:00:00.000,0.00063200,0.00067500,0.00063200,0.00067100,19317.26500000,2019-07-25 08:59:59.999,12.57360517,1811,10585.44000000,6.89738738,0
63,2019-07-25 09:00:00.000,0.00067100,0.00074200,0.00065600,0.00073100,25145.51100000,2019-07-26 08:59:59.999,17.40540159,2290,13502.53400000,9.37293648,0
64,2019-07-26 09:00:00.000,0.00073300,0.00089500,0.00073300,0.00078400,109761.84400000,2019-07-27 08:59:59.999,88.32742374,7968,51476.74100000,41.52594832,0
65,2019-07-27 09:00:00.000,0.00078400,0.00078400,0.00072600,0.00073900,35838.27400000,2019-07-28 08:59:59.999,26.75729175,2110,13700.91700000,10.21391072,0
66,2019-07-28 09:00:00.000,0.00073900,0.00080600,0.00072800,0.00077500,24653.67300000,2019-07-29 08:59:59.999,18.57055150,1790,12497.20400000,9.47789993,0
67,2019-07-29 09:00:00.000,0.00077300,0.00077800,0.00071800,0.00073900,29213.80300000,2019-07-30 08:59:59.999,21.53687734,3464,11193.88700000,8.25928701,0
