,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000284,0.00000289,0.00000247,0.00000258,728367646.00000000,2019-05-24 08:59:59.999,1965.48235349,51695,296612003.00000000,803.53714623,0
1,2019-05-24 09:00:00.000,0.00000258,0.00000269,0.00000238,0.00000241,433691424.00000000,2019-05-25 08:59:59.999,1101.05815566,35442,185060816.00000000,471.41248017,0
2,2019-05-25 09:00:00.000,0.00000241,0.00000257,0.00000231,0.00000250,353972021.00000000,2019-05-26 08:59:59.999,856.39737777,22141,157534109.00000000,382.05242657,0
3,2019-05-26 09:00:00.000,0.00000251,0.00000254,0.00000213,0.00000226,336897857.00000000,2019-05-27 08:59:59.999,791.23737116,22699,130791283.00000000,307.48480370,0
4,2019-05-27 09:00:00.000,0.00000226,0.00000238,0.00000223,0.00000231,248929245.00000000,2019-05-28 08:59:59.999,571.19673751,18143,116252618.00000000,267.08262348,0
5,2019-05-28 09:00:00.000,0.00000232,0.00000249,0.00000229,0.00000249,272246238.00000000,2019-05-29 08:59:59.999,655.91091105,23074,128632089.00000000,310.70150564,0
6,2019-05-29 09:00:00.000,0.00000249,0.00000251,0.00000233,0.00000241,217065111.00000000,2019-05-30 08:59:59.999,526.30518444,18574,88565860.00000000,215.28850486,0
7,2019-05-30 09:00:00.000,0.00000240,0.00000263,0.00000227,0.00000234,418744021.00000000,2019-05-31 08:59:59.999,1027.85270229,31576,182163985.00000000,449.48119450,0
8,2019-05-31 09:00:00.000,0.00000234,0.00000242,0.00000228,0.00000238,187702218.00000000,2019-06-01 08:59:59.999,441.64447628,14002,90797729.00000000,214.13908466,0
9,2019-06-01 09:00:00.000,0.00000238,0.00000239,0.00000225,0.00000230,219154442.00000000,2019-06-02 08:59:59.999,506.20829830,13357,83939821.00000000,194.20905561,0
10,2019-06-02 09:00:00.000,0.00000230,0.00000253,0.00000228,0.00000249,453998004.00000000,2019-06-03 08:59:59.999,1104.42093080,35762,210421825.00000000,512.93191419,0
11,2019-06-03 09:00:00.000,0.00000249,0.00000274,0.00000234,0.00000256,678910088.00000000,2019-06-04 08:59:59.999,1723.97106744,46034,298603951.00000000,760.60724764,0
12,2019-06-04 09:00:00.000,0.00000257,0.00000308,0.00000252,0.00000286,1292891254.00000000,2019-06-05 08:59:59.999,3713.31861666,82413,630063891.00000000,1813.17300199,0
13,2019-06-05 09:00:00.000,0.00000286,0.00000292,0.00000265,0.00000276,550220698.00000000,2019-06-06 08:59:59.999,1529.34034096,37774,242003615.00000000,673.82663003,0
14,2019-06-06 09:00:00.000,0.00000276,0.00000313,0.00000271,0.00000298,822099791.00000000,2019-06-07 08:59:59.999,2404.21244121,52593,382684741.00000000,1122.88832770,0
15,2019-06-07 09:00:00.000,0.00000298,0.00000330,0.00000293,0.00000318,938630481.00000000,2019-06-08 08:59:59.999,2958.90865304,62498,446603068.00000000,1410.62240218,0
16,2019-06-08 09:00:00.000,0.00000318,0.00000326,0.00000294,0.00000303,442462625.00000000,2019-06-09 08:59:59.999,1364.04774052,31674,185362125.00000000,572.51943443,0
17,2019-06-09 09:00:00.000,0.00000304,0.00000310,0.00000279,0.00000287,427195503.00000000,2019-06-10 08:59:59.999,1258.56959432,29397,176558758.00000000,521.25764586,0
18,2019-06-10 09:00:00.000,0.00000287,0.00000306,0.00000283,0.00000297,393674630.00000000,2019-06-11 08:59:59.999,1158.69654203,27322,194255479.00000000,572.71938865,0
