,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00003969,0.00004010,0.00003870,0.00003993,5922062.00000000,2019-05-24 08:59:59.999,233.05276478,8927,3228782.00000000,127.10871692,0
1,2019-05-24 09:00:00.000,0.00003996,0.00004294,0.00003878,0.00003938,6053353.00000000,2019-05-25 08:59:59.999,242.87406171,11391,2994810.00000000,120.16481833,0
2,2019-05-25 09:00:00.000,0.00003946,0.00004028,0.00003880,0.00004024,3258939.00000000,2019-05-26 08:59:59.999,128.63618499,4928,1507010.00000000,59.46739077,0
3,2019-05-26 09:00:00.000,0.00004018,0.00004050,0.00003700,0.00003760,4143199.00000000,2019-05-27 08:59:59.999,162.55175599,7403,1737176.00000000,68.36120719,0
4,2019-05-27 09:00:00.000,0.00003762,0.00003877,0.00003738,0.00003838,4156919.00000000,2019-05-28 08:59:59.999,157.55594424,7180,2020098.00000000,76.65123580,0
5,2019-05-28 09:00:00.000,0.00003836,0.00003897,0.00003789,0.00003841,5628099.00000000,2019-05-29 08:59:59.999,216.12841851,7811,2695405.00000000,103.58498201,0
6,2019-05-29 09:00:00.000,0.00003843,0.00004120,0.00003816,0.00003964,8252144.00000000,2019-05-30 08:59:59.999,326.01023604,11714,4023652.00000000,158.94506166,0
7,2019-05-30 09:00:00.000,0.00003959,0.00004267,0.00003802,0.00003921,14647927.00000000,2019-05-31 08:59:59.999,588.95340309,18355,7538369.00000000,304.22685743,0
8,2019-05-31 09:00:00.000,0.00003912,0.00004023,0.00003855,0.00004010,4961300.00000000,2019-06-01 08:59:59.999,195.07308090,7915,2247524.00000000,88.35259270,0
9,2019-06-01 09:00:00.000,0.00004010,0.00004023,0.00003894,0.00003909,3728434.00000000,2019-06-02 08:59:59.999,147.46669907,6524,1644918.00000000,65.12266016,0
10,2019-06-02 09:00:00.000,0.00003909,0.00003933,0.00003827,0.00003906,3660235.00000000,2019-06-03 08:59:59.999,141.98729969,6677,1897983.00000000,73.62675685,0
